task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
1771.323874, 538.0, 1052779512.0, 13946356.0, 18642720.0, 34799173.0, 3872148933.0, 59494.0, 538.0, 1753223645.0, 721.0, 5651475155.0, 7126187.0, 1564194000.0, 813863669.0, 2869886.0, 55012800.0, 1743602612.0, 937007047.0, 39165100.0, 3150664.0, 9892.64788732, 1222064, 19656.51 
1775.830804, 543.0, 1106805628.0, 12083000.0, 13816101.0, 30207075.0, 3631604627.0, 63815.0, 543.0, 1744296602.0, 709.0, 5421426873.0, 6921645.0, 1766397722.0, 962754457.0, 2782542.0, 54951385.0, 1687383519.0, 867540482.0, 32270092.0, 3150664.0, 14832.2428571, 1235173, 19858.95 
1741.428634, 561.0, 1200821569.0, 12848016.0, 14494425.0, 29712526.0, 4045254406.0, 64718.0, 561.0, 1715845813.0, 723.0, 5464947151.0, 7509882.0, 1435884494.0, 903324397.0, 2725138.0, 55081827.0, 1758674176.0, 875389238.0, 29673381.0, 3150664.0, 9555.50704225, 1204430, 19349.24 
1751.994566, 546.0, 1161314690.0, 10789749.0, 14179923.0, 29691616.0, 3605133243.0, 62653.0, 546.0, 1737875430.0, 719.0, 5038924386.0, 7976354.0, 1629445677.0, 947419866.0, 3471016.0, 55503079.0, 1844338967.0, 972956064.0, 28503525.0, 3150664.0, 14250.9859155, 1188946, 19178.16 
1796.97499, 570.0, 1205707401.0, 12680030.0, 16466111.0, 34648930.0, 3993031202.0, 66737.0, 570.0, 1784639537.0, 748.0, 5938765507.0, 8307193.0, 1645490272.0, 883186109.0, 3018576.0, 61629033.0, 1782258557.0, 916129212.0, 38575118.0, 3150664.0, 9964.07042254, 1233931, 19875.16 
1748.583319, 575.0, 1055406939.0, 14027554.0, 16493970.0, 31332955.0, 3854007500.0, 61432.0, 575.0, 1714251795.0, 751.0, 5722710752.0, 8897787.0, 1624959711.0, 893636909.0, 3101563.0, 49395870.0, 1668569000.0, 845131488.0, 31642341.0, 3150664.0, 9766.36619718, 1190676, 19161.88 
1744.06892, 553.0, 1201178643.0, 11092314.0, 15927737.0, 32403713.0, 3789684687.0, 65430.0, 553.0, 1726258388.0, 711.0, 4995317170.0, 7799686.0, 1664938107.0, 863320450.0, 2591900.0, 48698767.0, 1772710019.0, 919305148.0, 33838169.0, 3150664.0, 15181.6142857, 1194469, 19241.16 
1719.585061, 544.0, 1178514880.0, 12880428.0, 13568275.0, 30774226.0, 3845942150.0, 53908.0, 544.0, 1701205477.0, 708.0, 5642325681.0, 6068923.0, 1756415896.0, 793714155.0, 2985227.0, 53663509.0, 1593170618.0, 934216149.0, 34379370.0, 3150664.0, 9565.92957746, 1200654, 19345.55 
1749.593682, 560.0, 1098097039.0, 12131427.0, 13630835.0, 31018441.0, 3908669354.0, 63571.0, 560.0, 1733987909.0, 715.0, 5891644231.0, 7004706.0, 1772092761.0, 820459044.0, 3173309.0, 58407179.0, 1630727723.0, 878349779.0, 32686120.0, 3150664.0, 9558.15492958, 1200752, 19346.04 
1839.732005, 563.0, 1110148928.0, 11747434.0, 23016113.0, 42674407.0, 4056439781.0, 65911.0, 563.0, 1808979815.0, 710.0, 6496737494.0, 6842837.0, 1997482670.0, 933049245.0, 2673207.0, 82288897.0, 1684769670.0, 866571602.0, 35665655.0, 3150664.0, 13926.8028169, 1237800, 19912.21 
1782.945089, 530.0, 1174816620.0, 12268928.0, 13308686.0, 31238806.0, 4019064334.0, 62653.0, 530.0, 1766970342.0, 688.0, 5834159789.0, 6873590.0, 1399879884.0, 769403165.0, 3371317.0, 61450942.0, 1816489302.0, 956464624.0, 40511257.0, 3150664.0, 9568.01408451, 1203780, 19338.55 
1747.499078, 514.0, 1057049697.0, 14022318.0, 14993673.0, 32199182.0, 3795634741.0, 63608.0, 514.0, 1732708516.0, 702.0, 5959049813.0, 7435901.0, 1850254339.0, 908298074.0, 2595639.0, 51581152.0, 1556252223.0, 889441976.0, 32133104.0, 3150664.0, 14191.056338, 1189000, 19181.66 
1729.877787, 549.0, 1140859331.0, 11212250.0, 13891242.0, 33517946.0, 3788568844.0, 62679.0, 549.0, 1710483617.0, 712.0, 5200118333.0, 7855221.0, 1711958483.0, 828698706.0, 3222801.0, 45876103.0, 1678309171.0, 853896237.0, 37552114.0, 3150664.0, 10097.0704225, 1214878, 19573.92 
1727.531186, 561.0, 1170198045.0, 11247456.0, 16768508.0, 33734668.0, 3537105537.0, 59668.0, 561.0, 1709194468.0, 703.0, 5510838467.0, 6824769.0, 1786431722.0, 824848044.0, 2642237.0, 50700175.0, 1811596806.0, 957425247.0, 34123537.0, 3150664.0, 9714.72857143, 1203527, 19336.82 
