task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
920.418526, 267.0, 509594703.0, 6423588.0, 7218876.0, 15635489.0, 1893738361.0, 33862.0, 267.0, 911956098.0, 426.0, 2656584038.0, 3232178.0, 736923678.0, 413715891.0, 2047848.0, 23995421.0, 803474101.0, 485513174.0, 20796505.0, 1508805.0, 10885.3225806, 199402, 9058.73 
908.295993, 304.0, 499498977.0, 6992086.0, 6798851.0, 16592732.0, 1721618371.0, 33951.0, 304.0, 891914248.0, 430.0, 2664513870.0, 3325699.0, 763408006.0, 342782452.0, 1616916.0, 23219738.0, 830453748.0, 451878825.0, 19496296.0, 1518516.0, 10888.5483871, 199774, 9023.48 
911.174731, 281.0, 523322691.0, 8132156.0, 7551233.0, 18182542.0, 1800302343.0, 33803.0, 281.0, 902491956.0, 427.0, 2633230775.0, 3742011.0, 695603012.0, 373344803.0, 1036239.0, 24241597.0, 821392419.0, 460447151.0, 29793476.0, 1518516.0, 10877.6451613, 199611, 9025.18 
891.524775, 260.0, 633637596.0, 9175765.0, 7313279.0, 19366566.0, 1672968030.0, 34338.0, 260.0, 880941083.0, 424.0, 2356191371.0, 3353116.0, 783370767.0, 376769560.0, 1427821.0, 23402414.0, 590540253.0, 387556141.0, 21906313.0, 1518516.0, 10879.5806452, 199255, 9058.71 
859.136761, 261.0, 483857214.0, 7257088.0, 6046893.0, 16072396.0, 1849816679.0, 28723.0, 261.0, 848295115.0, 403.0, 2872207610.0, 3005851.0, 831496337.0, 453108928.0, 1847411.0, 22924311.0, 724583205.0, 353147273.0, 15273576.0, 1508805.0, 10872.0645161, 199137, 9022.28 
872.189828, 251.0, 581988655.0, 5696991.0, 6341116.0, 15777086.0, 1630859957.0, 33273.0, 251.0, 864704674.0, 415.0, 2551837262.0, 3348626.0, 830946701.0, 369839857.0, 1156565.0, 25544462.0, 753167695.0, 459155277.0, 19422891.0, 1518516.0, 10883.5806452, 199942, 9061.56 
871.184936, 274.0, 478157362.0, 7000214.0, 7125947.0, 17003879.0, 1786935244.0, 33850.0, 274.0, 868768921.0, 438.0, 2793185095.0, 3240928.0, 742915579.0, 438564570.0, 1637865.0, 25563541.0, 728810522.0, 362348493.0, 18438043.0, 1518516.0, 10876.6451613, 199309, 9022.66 
1017.483249, 261.0, 684729998.0, 6697406.0, 17618575.0, 33106228.0, 1865044612.0, 27774.0, 261.0, 1011840799.0, 624.0, 3177333817.0, 3486868.0, 809035422.0, 381494183.0, 1728896.0, 57639266.0, 842824893.0, 447713316.0, 22110079.0, 1518516.0, 10811.2258065, 200563, 9062.42 
890.88829, 278.0, 567050404.0, 5966186.0, 6212905.0, 16550640.0, 1905167048.0, 34561.0, 278.0, 871966382.0, 419.0, 2648338897.0, 3901980.0, 878290089.0, 359269184.0, 2148351.0, 22816405.0, 723144253.0, 406391563.0, 14359090.0, 1518516.0, 10802.7741935, 200507, 9060.06 
887.701207, 261.0, 468541011.0, 9865207.0, 5456472.0, 17532086.0, 1954548120.0, 34660.0, 261.0, 880126951.0, 415.0, 2722084243.0, 4800984.0, 803045424.0, 381619464.0, 1637395.0, 24138232.0, 726212559.0, 410901174.0, 24087599.0, 1518516.0, 10889.2580645, 199156, 9057.75 
866.703812, 266.0, 536159051.0, 5787722.0, 5706972.0, 15869413.0, 1659567752.0, 34104.0, 266.0, 857236366.0, 414.0, 2485982883.0, 3675210.0, 708670292.0, 458129062.0, 1272289.0, 24467698.0, 701987234.0, 392674495.0, 18142987.0, 1518516.0, 10788.0322581, 200399, 9061.7 
880.62156, 268.0, 521524781.0, 7511924.0, 7211860.0, 18793268.0, 1764692453.0, 34058.0, 268.0, 869248663.0, 440.0, 2505592683.0, 3884247.0, 768163005.0, 421397580.0, 1228200.0, 23614079.0, 684653089.0, 358236368.0, 22043406.0, 1518516.0, 10884.5806452, 199041, 9020.69 
897.158559, 281.0, 517035364.0, 7048517.0, 6303735.0, 18379043.0, 1961269817.0, 34548.0, 281.0, 885573195.0, 421.0, 2582494499.0, 3772296.0, 842957702.0, 309212691.0, 1696231.0, 23300806.0, 669483345.0, 346543046.0, 19408491.0, 1518516.0, 10890.2258065, 199699, 9056.13 
873.060707, 250.0, 477359787.0, 6697784.0, 7057733.0, 16463171.0, 1865163443.0, 34201.0, 250.0, 859464022.0, 393.0, 2602746146.0, 3592283.0, 845189772.0, 376603443.0, 1388652.0, 22447545.0, 807843319.0, 386827086.0, 20908070.0, 1518516.0, 10911.7741935, 199125, 9055.18 
884.412973, 242.0, 572637949.0, 7393309.0, 6657304.0, 17926273.0, 1807018153.0, 26901.0, 242.0, 884308120.0, 403.0, 2333678178.0, 3104403.0, 771725359.0, 412970998.0, 1301542.0, 28967088.0, 698328672.0, 356105842.0, 21215963.0, 1518516.0, 10789.0322581, 200629, 9066.23 
870.780128, 263.0, 552195500.0, 7276750.0, 6462539.0, 18295708.0, 1743112129.0, 17231.0, 263.0, 871378448.0, 424.0, 2491126257.0, 2816887.0, 775619226.0, 329240876.0, 1827892.0, 22425823.0, 731279980.0, 430017965.0, 26396009.0, 1508805.0, 10529.71875, 199536, 9058.67 
880.897826, 272.0, 461952030.0, 6100020.0, 6053636.0, 15048242.0, 1752006353.0, 33776.0, 272.0, 864682744.0, 412.0, 2583316948.0, 3234024.0, 875302438.0, 447043317.0, 1259995.0, 23955746.0, 769336107.0, 394375199.0, 18530272.0, 1518516.0, 10875.2580645, 199135, 9022.93 
880.234488, 282.0, 545366663.0, 7567963.0, 7588528.0, 19002090.0, 1717269325.0, 33870.0, 282.0, 864953134.0, 434.0, 2436889154.0, 3404583.0, 800809335.0, 407486164.0, 1458113.0, 21967043.0, 711500056.0, 412109619.0, 21404589.0, 1508805.0, 10866.1612903, 199943, 9026.3 
910.677121, 288.0, 606304642.0, 8362363.0, 6217251.0, 16539413.0, 2026376004.0, 34149.0, 288.0, 893658694.0, 437.0, 2670614747.0, 3873610.0, 796648567.0, 363665798.0, 1632669.0, 28226756.0, 713945085.0, 360206868.0, 21914945.0, 1508805.0, 10882.3548387, 199061, 9020.67 
839.141525, 264.0, 536079820.0, 6543561.0, 6390402.0, 15832218.0, 1793010581.0, 33310.0, 264.0, 824653338.0, 405.0, 2761313520.0, 4151436.0, 775418535.0, 347373379.0, 745050.0, 27826682.0, 713076898.0, 382315499.0, 18606179.0, 1518516.0, 10849.0, 199845, 9017.8 
875.22234, 278.0, 480573654.0, 6818918.0, 5396699.0, 12093509.0, 1627103080.0, 17501.0, 278.0, 840714158.0, 415.0, 2318297068.0, 2723675.0, 760932318.0, 411975190.0, 1602610.0, 21218528.0, 848063066.0, 445863423.0, 17352002.0, 1508805.0, 10329.625, 204982, 9323.24 
887.510756, 276.0, 561649311.0, 5919390.0, 4944786.0, 15172502.0, 1685802306.0, 33990.0, 276.0, 880399066.0, 418.0, 2338616006.0, 3060248.0, 703923748.0, 425675037.0, 1993578.0, 21912197.0, 702659424.0, 405432145.0, 21022669.0, 1508805.0, 10871.8709677, 199191, 9060.62 
864.349108, 251.0, 491564214.0, 7659308.0, 7944026.0, 18041514.0, 1827602897.0, 33471.0, 251.0, 858728241.0, 418.0, 2615612210.0, 3250913.0, 778538708.0, 384196422.0, 1328553.0, 22510742.0, 805343613.0, 450548326.0, 24265781.0, 1518516.0, 10883.9354839, 199034, 9050.17 
885.997308, 271.0, 554339859.0, 8373304.0, 7768101.0, 18626441.0, 1888908412.0, 33469.0, 271.0, 883154549.0, 419.0, 2916702063.0, 3851967.0, 766112840.0, 368817842.0, 1494433.0, 24095174.0, 770101531.0, 417094442.0, 21487577.0, 1518516.0, 10900.3548387, 199943, 9061.51 
888.961377, 257.0, 563990990.0, 7559520.0, 6362726.0, 16284109.0, 1887289524.0, 33297.0, 257.0, 889187131.0, 407.0, 2806688932.0, 3227113.0, 770290258.0, 439472925.0, 1737519.0, 21033147.0, 652245730.0, 362852774.0, 21232524.0, 1518516.0, 10784.9677419, 200726, 9029.65 
900.544373, 259.0, 532511356.0, 8001717.0, 6022808.0, 16759421.0, 1880244095.0, 34408.0, 259.0, 893722614.0, 443.0, 2542904887.0, 3342190.0, 750521651.0, 406862024.0, 1357426.0, 19803593.0, 680462526.0, 383236645.0, 22662995.0, 1518516.0, 10874.7096774, 199205, 9023.93 
890.249135, 271.0, 569263140.0, 7863484.0, 8377063.0, 17870380.0, 1639519978.0, 34410.0, 271.0, 879184882.0, 420.0, 2606255404.0, 3587806.0, 779436394.0, 402193543.0, 1370324.0, 20410962.0, 745896939.0, 427134860.0, 13753577.0, 1518516.0, 10881.516129, 199544, 9023.24 
879.825748, 282.0, 558149638.0, 7435645.0, 6116063.0, 16566912.0, 1655354107.0, 33604.0, 282.0, 856645672.0, 412.0, 2170661026.0, 3225506.0, 711043961.0, 369168120.0, 1635795.0, 22885829.0, 713149277.0, 421077331.0, 20569594.0, 1518516.0, 10830.0645161, 200255, 9050.47 
995.017672, 269.0, 682862806.0, 8888964.0, 15499578.0, 30509843.0, 1968758211.0, 31874.0, 269.0, 977684378.0, 416.0, 3101858810.0, 4035895.0, 979562474.0, 423606859.0, 1297733.0, 52275953.0, 868053322.0, 368136055.0, 15757057.0, 1518516.0, 10885.5806452, 199118, 9021.69 
845.485337, 260.0, 535792603.0, 6916018.0, 6451137.0, 17894565.0, 1644856513.0, 17320.0, 260.0, 833626832.0, 429.0, 2489148479.0, 2573803.0, 730199405.0, 378134545.0, 1452038.0, 22764525.0, 761541797.0, 427751918.0, 25256840.0, 1518516.0, 10807.8709677, 200650, 9063.04 
893.580911, 256.0, 619182915.0, 8911550.0, 6541403.0, 17539569.0, 1604879061.0, 33546.0, 256.0, 880637560.0, 401.0, 1966308015.0, 2996775.0, 680848424.0, 359593974.0, 1342185.0, 24296106.0, 695660434.0, 399752908.0, 22068788.0, 1518516.0, 10890.6451613, 199123, 9020.72 
899.102553, 288.0, 554245682.0, 6594408.0, 4931569.0, 17774722.0, 1765723844.0, 17042.0, 288.0, 862969966.0, 411.0, 2499543012.0, 2982004.0, 750954332.0, 419241281.0, 2068441.0, 21892846.0, 764942197.0, 425738720.0, 17707630.0, 1518516.0, 10539.6875, 199892, 9063.98 
