task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
4850.578319, 675.0, 4430673903.0, 26436291.0, 43579075.0, 77192926.0, 12098051791.0, 266359.0, 675.0, 4843216441.0, 881.0, 21984099003.0, 24170581.0, 6187983344.0, 3024322712.0, 9796692.0, 207515994.0, 6428324607.0, 3257087535.0, 70071653.0, 16540131.0, 138822.0, 847441, 91077.09 
5562.091026, 781.0, 5397475400.0, 30876547.0, 100810728.0, 208436034.0, 11666837206.0, 266033.0, 781.0, 5542012865.0, 972.0, 21498640557.0, 23155654.0, 7176778679.0, 3169766544.0, 4760349.0, 392108286.0, 6927171532.0, 3099404563.0, 70723935.0, 16540131.0, 138846.0, 840655, 91057.1 
5202.833063, 687.0, 4714606685.0, 27804188.0, 77072087.0, 147078308.0, 11362383774.0, 252460.0, 687.0, 5154571159.0, 888.0, 19378124694.0, 24036141.0, 6288688495.0, 3050583668.0, 6360176.0, 286761350.0, 6633662213.0, 3165546643.0, 71392760.0, 16186745.0, 130622.0, 768792, 88746.61 
5242.464149, 672.0, 4973451934.0, 28078396.0, 75846732.0, 145334185.0, 11763830014.0, 269674.0, 672.0, 5243320670.0, 885.0, 21000877818.0, 24290996.0, 6822491654.0, 3069181132.0, 7984573.0, 301335713.0, 6670050470.0, 3054523787.0, 73557379.0, 16540875.0, 134896.0, 802509, 91640.79 
4804.610051, 811.0, 4362260362.0, 22503037.0, 45811910.0, 76632972.0, 11728030741.0, 266947.0, 811.0, 4754986662.0, 952.0, 20944794549.0, 23078981.0, 6241404270.0, 2952914762.0, 6508696.0, 212303623.0, 6665858247.0, 3273955587.0, 66528559.0, 16540131.0, 138843.0, 817102, 91055.56 
5987.256726, 668.0, 6121596516.0, 35487660.0, 139003574.0, 290526597.0, 12114427616.0, 264796.0, 668.0, 5974226075.0, 865.0, 21214775595.0, 27788290.0, 7759071088.0, 3117180990.0, 9164664.0, 470289624.0, 6987182785.0, 3070076109.0, 67796994.0, 16541171.0, 135406.0, 810611, 91423.21 
4621.260633, 577.0, 4418550081.0, 25540794.0, 67558044.0, 134260968.0, 10618690797.0, 214383.0, 577.0, 4606767431.0, 805.0, 19138331720.0, 21954148.0, 5452323619.0, 2340902827.0, 6059124.0, 247964318.0, 5669902957.0, 2672913637.0, 73755964.0, 14239555.0, 123771.0, 738469, 78494.47 
4469.299795, 576.0, 4399722222.0, 23931018.0, 72725316.0, 140607462.0, 10175135374.0, 214117.0, 576.0, 4461695947.0, 803.0, 18023692261.0, 20087234.0, 5650774961.0, 2521389572.0, 4992214.0, 227497834.0, 5393354642.0, 2594197340.0, 70383639.0, 14193335.0, 130391.0, 903460, 78350.54 
3887.996346, 591.0, 3625834921.0, 19928317.0, 38755335.0, 67462946.0, 9495664585.0, 208438.0, 591.0, 3877631280.0, 775.0, 16482570497.0, 19023924.0, 5085681435.0, 2511751777.0, 5620687.0, 159038612.0, 5161414226.0, 2561546079.0, 61919599.0, 13996886.0, 129609.0, 933464, 77368.51 
4840.643178, 762.0, 4424661074.0, 25431157.0, 43902787.0, 77237782.0, 12298162008.0, 265073.0, 762.0, 4816596616.0, 934.0, 21795353553.0, 22999151.0, 6385990024.0, 2974254704.0, 7326292.0, 204021998.0, 6198428702.0, 3187476364.0, 75481814.0, 16533893.0, 134802.0, 1023072, 91233.4 
5236.499501, 818.0, 4942896420.0, 29733138.0, 80463350.0, 147511121.0, 12159391290.0, 268310.0, 818.0, 5226512058.0, 1041.0, 21210734648.0, 24550415.0, 7056311098.0, 3236014163.0, 7338927.0, 299750756.0, 6571126989.0, 3167960544.0, 71785248.0, 16539976.0, 135496.0, 876394, 90867.61 
4822.438784, 681.0, 4448636135.0, 24855504.0, 70044748.0, 132779230.0, 10971164032.0, 241341.0, 681.0, 4808105258.0, 885.0, 18987789269.0, 23312262.0, 6060152202.0, 2921154383.0, 6111587.0, 285484383.0, 6284798403.0, 2952164807.0, 62765439.0, 15724380.0, 136229.0, 914463, 85936.28 
4188.307078, 581.0, 3348276284.0, 21309404.0, 55148966.0, 102524065.0, 9125454071.0, 184659.0, 581.0, 4161582254.0, 807.0, 14931421400.0, 19089907.0, 4819951672.0, 2310674080.0, 7520083.0, 209933445.0, 4567279278.0, 2189058507.0, 63932017.0, 12818192.0, 125312.0, 877191, 70465.75 
3814.089485, 608.0, 3186106238.0, 22811217.0, 35602772.0, 64006753.0, 9496259073.0, 196720.0, 608.0, 3801647415.0, 800.0, 16399075833.0, 17631935.0, 4864948368.0, 2379524090.0, 6539671.0, 149168365.0, 4600323144.0, 2424854290.0, 60213756.0, 13432159.0, 138227.0, 844502, 74442.09 
5235.293833, 746.0, 5150202044.0, 27813689.0, 77981378.0, 145107341.0, 12032470372.0, 267834.0, 746.0, 5196286644.0, 944.0, 21789854646.0, 23148636.0, 6772635699.0, 3059058667.0, 8429530.0, 296354946.0, 6724950020.0, 3184766845.0, 70328789.0, 16540131.0, 138799.0, 835383, 91092.29 
4564.305424, 605.0, 4502921834.0, 25288031.0, 93439788.0, 194249192.0, 9411356954.0, 206917.0, 605.0, 4553959376.0, 785.0, 17159743650.0, 19712764.0, 5779051895.0, 2501240978.0, 4195418.0, 335481197.0, 5704657416.0, 2595491094.0, 60286845.0, 13956023.0, 126137.0, 921393, 76593.88 
