task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
956.352509, 299.0, 529435232.0, 7494368.0, 14489445.0, 34276590.0, 1502754762.0, 24588.0, 299.0, 941290694.0, 428.0, 1966169132.0, 2891220.0, 752630973.0, 367653851.0, 1613779.0, 52042628.0, 701439762.0, 340595191.0, 17119171.0, 1297265.0, 50988.0, 84466, 8371.52 
723.656127, 321.0, 375489076.0, 5474317.0, 5317649.0, 12786550.0, 1543966052.0, 24521.0, 321.0, 708222970.0, 397.0, 2205141800.0, 3012872.0, 722151265.0, 285581142.0, 1127732.0, 17261119.0, 547521079.0, 335129426.0, 18404119.0, 1297265.0, 50988.0, 84707, 8368.38 
716.282249, 299.0, 436489532.0, 6709595.0, 5680509.0, 15952974.0, 1567452884.0, 24579.0, 299.0, 700709163.0, 430.0, 2049379637.0, 3254318.0, 676640094.0, 299046672.0, 1142711.0, 15160844.0, 605740120.0, 303115625.0, 14620304.0, 1297265.0, 50984.0, 84514, 8369.76 
723.55557, 272.0, 402806555.0, 6623970.0, 5019818.0, 13572589.0, 1483112043.0, 24573.0, 272.0, 712552715.0, 395.0, 1962476762.0, 3216955.0, 543991150.0, 299555876.0, 1162528.0, 20247598.0, 692712106.0, 348322927.0, 18603729.0, 1297265.0, 51035.0, 84533, 8361.48 
864.749135, 309.0, 534879998.0, 7403533.0, 11985598.0, 25843535.0, 1608436769.0, 24705.0, 309.0, 846169163.0, 436.0, 2170364560.0, 3111211.0, 850810049.0, 286772555.0, 1230784.0, 45585095.0, 687652241.0, 394145611.0, 20673323.0, 1297265.0, 50992.0, 84308, 8367.44 
728.046925, 280.0, 409575400.0, 6501104.0, 5735737.0, 15031951.0, 1630824522.0, 24617.0, 280.0, 714290902.0, 403.0, 2113439041.0, 3180718.0, 658212639.0, 306374947.0, 960818.0, 17524848.0, 591378146.0, 288627470.0, 16284715.0, 1297265.0, 50993.0, 84365, 8368.04 
727.997297, 270.0, 397191021.0, 5732491.0, 5446506.0, 14653522.0, 1568078489.0, 24712.0, 270.0, 719930764.0, 406.0, 2224814511.0, 3089635.0, 639504523.0, 385747044.0, 1203385.0, 18295405.0, 548988358.0, 304209511.0, 19865515.0, 1297265.0, 51017.0, 84404, 8365.38 
1179.306789, 300.0, 951414305.0, 9664443.0, 36326765.0, 77915662.0, 1351839503.0, 24461.0, 300.0, 1163653871.0, 450.0, 2002393932.0, 3170331.0, 1153052154.0, 351246294.0, 1509089.0, 104425238.0, 973208951.0, 356737467.0, 16038312.0, 1297265.0, 50983.0, 84579, 8368.86 
783.738237, 289.0, 443648266.0, 6928065.0, 9536084.0, 22497696.0, 1575514921.0, 24471.0, 289.0, 774784631.0, 422.0, 2114603560.0, 2531021.0, 740585391.0, 331590086.0, 1249113.0, 26380088.0, 626615860.0, 330688970.0, 16712266.0, 1297265.0, 51024.0, 84418, 8362.77 
709.027158, 270.0, 429043243.0, 7720137.0, 4124874.0, 14722414.0, 1404137981.0, 24546.0, 270.0, 703704291.0, 406.0, 2022819625.0, 3028400.0, 642634964.0, 291811964.0, 1056035.0, 14284568.0, 507402086.0, 300761025.0, 15538576.0, 1297265.0, 50987.0, 84600, 8369.25 
738.132057, 286.0, 380325830.0, 7345545.0, 5191286.0, 13737413.0, 1446280516.0, 24608.0, 286.0, 733637787.0, 428.0, 1913727064.0, 2422933.0, 709628266.0, 264387041.0, 1065389.0, 23650756.0, 667537015.0, 388973141.0, 20090491.0, 1297265.0, 50987.0, 84547, 8367.7 
880.96144, 309.0, 469464736.0, 7222788.0, 11790297.0, 27979940.0, 1561020787.0, 24632.0, 309.0, 855949469.0, 435.0, 2229863284.0, 3035186.0, 768075299.0, 360600997.0, 1409578.0, 36276110.0, 761061071.0, 349913100.0, 15388030.0, 1297265.0, 50989.0, 84723, 8367.89 
738.67704, 281.0, 386568378.0, 5831163.0, 5652116.0, 13379795.0, 1491545594.0, 24661.0, 281.0, 721834752.0, 409.0, 2230755048.0, 3401934.0, 622789543.0, 374525510.0, 1751460.0, 16135250.0, 500386361.0, 291170783.0, 15290247.0, 1297265.0, 50990.0, 84286, 8368.58 
