task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
687.598045, 237.0, 364017097.0, 6014947.0, 4893032.0, 15561357.0, 1257339143.0, 13226.0, 237.0, 661733211.0, 402.0, 1600582432.0, 1919942.0, 619808090.0, 305081643.0, 1552457.0, 15647611.0, 555514793.0, 367462922.0, 15421258.0, 401408.0, 164249.0, 30241, 2479.14 
678.27271, 217.0, 382627254.0, 6857018.0, 3877517.0, 11293996.0, 1216358417.0, 14290.0, 217.0, 659758619.0, 396.0, 1633803253.0, 2825428.0, 604743801.0, 255746630.0, 1103858.0, 20243580.0, 507322459.0, 270500943.0, 19998060.0, 401408.0, 164192.0, 30319, 2480.11 
660.173416, 196.0, 366634896.0, 5876586.0, 4528910.0, 13578839.0, 1345775875.0, 14317.0, 196.0, 634179599.0, 341.0, 1686110962.0, 2397225.0, 553437220.0, 306574980.0, 1012605.0, 13734391.0, 548257414.0, 257651623.0, 14540459.0, 401408.0, 164004.0, 30196, 2478.68 
653.851686, 245.0, 381506128.0, 4651546.0, 4214497.0, 11589374.0, 1195398777.0, 14069.0, 245.0, 620445276.0, 401.0, 1656708713.0, 1876772.0, 568555076.0, 297139089.0, 1114039.0, 16503032.0, 521866548.0, 327320839.0, 15468503.0, 401408.0, 164643.0, 30292, 2479.62 
682.462341, 234.0, 374711657.0, 5712958.0, 6366228.0, 15581891.0, 1353249065.0, 13423.0, 234.0, 646362281.0, 383.0, 1950534003.0, 2082154.0, 589894899.0, 293812082.0, 1106544.0, 14748694.0, 519107900.0, 275808779.0, 14846259.0, 401408.0, 164433.0, 30196, 2484.88 
720.591488, 244.0, 376850281.0, 5714323.0, 4033796.0, 12530450.0, 1242576838.0, 13554.0, 244.0, 697782769.0, 384.0, 1698063885.0, 2520292.0, 644872299.0, 250317508.0, 1592832.0, 20528050.0, 504161182.0, 287776543.0, 19228033.0, 401408.0, 164033.0, 30172, 2475.63 
700.324312, 225.0, 400787651.0, 6223503.0, 5417032.0, 13104846.0, 1265456626.0, 14855.0, 225.0, 679899792.0, 401.0, 1658034913.0, 2727362.0, 547314475.0, 269563785.0, 921983.0, 15056284.0, 485806593.0, 286584817.0, 15522867.0, 401408.0, 164454.0, 30311, 2492.36 
664.063859, 229.0, 362902669.0, 6643458.0, 4365304.0, 13930274.0, 1343754555.0, 14259.0, 229.0, 640572700.0, 388.0, 1771520645.0, 2563889.0, 615921571.0, 251673120.0, 843088.0, 14138877.0, 541676109.0, 298668448.0, 16387478.0, 401408.0, 164533.0, 30210, 2475.86 
650.534694, 211.0, 360938011.0, 7125108.0, 4337521.0, 11768571.0, 1203035546.0, 13843.0, 211.0, 638077996.0, 380.0, 1606220008.0, 2334955.0, 554512225.0, 296609912.0, 1474226.0, 19847649.0, 522838100.0, 249768399.0, 19219893.0, 401408.0, 164133.0, 30225, 2476.42 
741.090595, 218.0, 361782326.0, 6134223.0, 3436525.0, 11194006.0, 1289198233.0, 21495.0, 218.0, 725968638.0, 410.0, 1721130827.0, 2136788.0, 554710101.0, 297608815.0, 1273604.0, 18055619.0, 581317781.0, 349205887.0, 21248028.0, 401408.0, 164552.0, 30381, 2495.18 
