task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
1979.89068, 405.0, 1459527304.0, 10177524.0, 19186664.0, 38643284.0, 4570878039.0, 80490.0, 405.0, 1957446862.0, 649.0, 6517387396.0, 10729361.0, 2209738906.0, 1065410911.0, 2944587.0, 70264589.0, 2262156203.0, 1115923134.0, 36194222.0, 3551643.0, 124335.0, 244082, 20242.01 
1996.455707, 417.0, 1493576373.0, 13407070.0, 21992129.0, 38806123.0, 4684336628.0, 79170.0, 417.0, 1960787339.0, 646.0, 7308215232.0, 10907579.0, 2184346785.0, 1041358199.0, 3371145.0, 62770506.0, 2127803583.0, 1074568711.0, 43172964.0, 3551643.0, 124296.0, 244184, 20249.67 
2004.720055, 386.0, 1357277018.0, 12663832.0, 20400615.0, 39303005.0, 4427496027.0, 80179.0, 386.0, 1999080411.0, 633.0, 6964065872.0, 10846639.0, 2258643065.0, 1095896035.0, 3649654.0, 67240496.0, 2314220796.0, 1169356343.0, 39597529.0, 3551643.0, 124271.0, 244190, 20249.41 
1998.555287, 526.0, 1330109303.0, 10366930.0, 19005959.0, 36864320.0, 4617159041.0, 78893.0, 526.0, 1819149661.0, 632.0, 7716746021.0, 10246656.0, 2335666896.0, 1004863191.0, 4521054.0, 69818584.0, 2009625080.0, 1104401545.0, 43607917.0, 3551643.0, 124267.0, 244240, 20243.25 
2040.005044, 377.0, 1504219747.0, 11155140.0, 18188717.0, 37243323.0, 4907036223.0, 74871.0, 377.0, 2026184163.0, 604.0, 7011425488.0, 9887225.0, 1975680494.0, 1049606537.0, 4983071.0, 72896787.0, 2198415462.0, 1158917032.0, 35983546.0, 3551643.0, 124281.0, 244284, 20242.19 
2110.573353, 407.0, 1470074968.0, 12880236.0, 28158445.0, 59664872.0, 4470461183.0, 79967.0, 407.0, 2098831892.0, 638.0, 6646536395.0, 10135833.0, 2174272733.0, 1037651994.0, 3650253.0, 85662195.0, 2374002998.0, 1204525832.0, 46032903.0, 3551643.0, 124283.0, 244207, 20248.76 
1961.763613, 423.0, 1473067500.0, 10557829.0, 14074565.0, 33226129.0, 4533771095.0, 80448.0, 423.0, 1934949942.0, 606.0, 6997587391.0, 9786337.0, 2049867144.0, 1036163665.0, 3486693.0, 69266229.0, 2002981155.0, 1073120471.0, 34401895.0, 3551643.0, 124321.0, 244169, 20236.03 
1973.307425, 443.0, 1571799160.0, 11345205.0, 19195069.0, 39169352.0, 4555710560.0, 79217.0, 443.0, 1885160563.0, 582.0, 6740281932.0, 10793948.0, 2128698633.0, 1111752887.0, 3777396.0, 68009747.0, 2153665166.0, 1099470227.0, 42042712.0, 3551643.0, 124267.0, 244191, 20247.98 
2055.535929, 406.0, 1492559257.0, 12289327.0, 16710352.0, 34730612.0, 4771386150.0, 81012.0, 406.0, 2029572085.0, 643.0, 7255457731.0, 10158522.0, 2183684115.0, 1090063520.0, 4294833.0, 73253219.0, 2202457370.0, 1130831351.0, 38362341.0, 3551643.0, 124300.0, 244243, 20237.55 
2017.872208, 425.0, 1541758277.0, 11486868.0, 13458814.0, 30713579.0, 4841156483.0, 77050.0, 425.0, 1941667121.0, 627.0, 7480432428.0, 9805242.0, 2195027000.0, 1103525547.0, 3572307.0, 77758821.0, 1946407707.0, 1162613554.0, 36447232.0, 3551643.0, 124300.0, 244127, 20246.42 
1898.677913, 385.0, 1445779525.0, 12255441.0, 16981114.0, 35110458.0, 4357488688.0, 59697.0, 385.0, 1876741547.0, 608.0, 6680876501.0, 8313021.0, 2200846321.0, 998853317.0, 3131256.0, 62465221.0, 2228845573.0, 1161178643.0, 37218266.0, 3551643.0, 124271.0, 244162, 20248.93 
2045.46344, 506.0, 1416634866.0, 12849942.0, 20246569.0, 38614222.0, 4607581409.0, 79306.0, 506.0, 1908699789.0, 631.0, 7103162867.0, 12188984.0, 2247447442.0, 1086346143.0, 3787262.0, 71752712.0, 2187699842.0, 1095517513.0, 44283866.0, 3551643.0, 124252.0, 244283, 20252.65 
