task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
932.468475, 317.0, 589421544.0, 7554239.0, 7437280.0, 16553634.0, 2026868241.0, 23404.0, 317.0, 904290633.0, 480.0, 2882105235.0, 3444664.0, 778095294.0, 478919190.0, 1530068.0, 25286763.0, 1009131547.0, 541683973.0, 19157225.0, 1140042.0, 158212.0, 80004, 7326.87 
926.95153, 285.0, 562395269.0, 8403219.0, 7486137.0, 18663534.0, 2102906469.0, 22848.0, 285.0, 913872623.0, 452.0, 2916963937.0, 3892961.0, 927037310.0, 428393735.0, 1653549.0, 24813467.0, 850840077.0, 515367543.0, 24390053.0, 1140042.0, 158219.0, 81219, 7297.44 
982.202173, 347.0, 606256868.0, 7989610.0, 6587847.0, 18679289.0, 2003941825.0, 22851.0, 347.0, 953466811.0, 494.0, 2674675697.0, 3619220.0, 895138262.0, 402739881.0, 1570360.0, 30842705.0, 873629709.0, 446060530.0, 25917126.0, 1140042.0, 158218.0, 81662, 7293.27 
947.16084, 326.0, 608363651.0, 7169345.0, 4975407.0, 14617040.0, 2003319399.0, 22258.0, 326.0, 910405938.0, 490.0, 2939711406.0, 3644112.0, 944075361.0, 429797318.0, 2082904.0, 36735152.0, 826923243.0, 477279791.0, 26039526.0, 1140042.0, 158154.0, 79971, 7323.16 
999.960233, 298.0, 653160970.0, 6361564.0, 5911703.0, 15435649.0, 1959821139.0, 23012.0, 298.0, 990029239.0, 456.0, 2649990364.0, 3288209.0, 729893260.0, 445764455.0, 1699263.0, 36358024.0, 982609474.0, 603023335.0, 23534567.0, 1140042.0, 158149.0, 79959, 7326.27 
954.810629, 350.0, 568393823.0, 6806076.0, 7177461.0, 18865741.0, 2045468927.0, 22714.0, 350.0, 904341487.0, 466.0, 3085666721.0, 3778139.0, 831445886.0, 461639828.0, 1986160.0, 28593527.0, 964132590.0, 545752834.0, 21580443.0, 1140042.0, 158030.0, 82635, 7373.55 
946.860945, 283.0, 680014552.0, 9001518.0, 8290451.0, 19047625.0, 2076238833.0, 23016.0, 283.0, 935232135.0, 454.0, 2954608076.0, 3479979.0, 849871060.0, 422288527.0, 1392477.0, 27810920.0, 884057669.0, 459575468.0, 21312040.0, 1140042.0, 158156.0, 81053, 7330.83 
930.614794, 278.0, 616165940.0, 8738747.0, 8080421.0, 20199763.0, 2184583062.0, 22240.0, 278.0, 888610938.0, 453.0, 3118995733.0, 3793818.0, 862915306.0, 413715028.0, 2237628.0, 22800669.0, 875858652.0, 439983512.0, 18166301.0, 1140042.0, 158144.0, 81619, 7291.54 
915.478145, 322.0, 579344872.0, 6401343.0, 7710580.0, 19488140.0, 2093230486.0, 23509.0, 322.0, 863811495.0, 447.0, 2914979728.0, 3762051.0, 1034311858.0, 393300967.0, 1404828.0, 27578531.0, 826702337.0, 426276891.0, 21497623.0, 1140042.0, 158223.0, 81687, 7292.64 
920.215724, 295.0, 567310730.0, 8417186.0, 6557294.0, 17063561.0, 1943321818.0, 23553.0, 295.0, 912015835.0, 444.0, 2845448819.0, 3833569.0, 895660453.0, 463217459.0, 1710755.0, 23232489.0, 895520773.0, 524160491.0, 20510793.0, 1140042.0, 158038.0, 79898, 7324.67 
953.701656, 275.0, 507561766.0, 6460499.0, 7121548.0, 17619078.0, 2091096765.0, 22500.0, 275.0, 943551832.0, 450.0, 3042339248.0, 3748400.0, 981467205.0, 465428401.0, 2287899.0, 27167419.0, 989818477.0, 519946472.0, 22238243.0, 1140042.0, 158203.0, 80012, 7321.99 
963.745519, 339.0, 602865734.0, 7452454.0, 6190606.0, 15286889.0, 1876165684.0, 23009.0, 339.0, 929133440.0, 466.0, 2506094133.0, 3290081.0, 904746279.0, 428638876.0, 2045713.0, 27399710.0, 854031506.0, 508541503.0, 23160970.0, 1140042.0, 158206.0, 82860, 7266.35 
916.208863, 276.0, 551523693.0, 9529790.0, 6790384.0, 16868460.0, 2053924129.0, 21903.0, 276.0, 903749701.0, 457.0, 2681830440.0, 3433595.0, 891833675.0, 445693278.0, 1659567.0, 23790760.0, 845133158.0, 511315651.0, 22188463.0, 1140042.0, 158162.0, 82392, 7289.31 
937.768966, 316.0, 692528530.0, 8096008.0, 8800316.0, 20394102.0, 2127448698.0, 21327.0, 316.0, 900290639.0, 472.0, 2539079637.0, 3859707.0, 993890063.0, 444253860.0, 1712017.0, 28114699.0, 880371334.0, 428782556.0, 20869154.0, 1140042.0, 158289.0, 79952, 7326.86 
916.253, 264.0, 564369048.0, 8256908.0, 5747816.0, 16786511.0, 2015574455.0, 22971.0, 264.0, 899038664.0, 436.0, 2748920715.0, 3604869.0, 902242366.0, 389317994.0, 1822497.0, 26242423.0, 859573297.0, 525076696.0, 24034083.0, 1140042.0, 158032.0, 80526, 7292.51 
971.044851, 302.0, 630487204.0, 7542856.0, 8728340.0, 20865230.0, 1990067480.0, 23396.0, 302.0, 943008544.0, 458.0, 2600658711.0, 3656353.0, 941742267.0, 464691440.0, 2113041.0, 31522996.0, 822578697.0, 444479004.0, 23384010.0, 1140042.0, 158222.0, 81569, 7294.2 
