task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
1442.652002, 462.0, 1022441171.0, 9382455.0, 9568688.0, 22484621.0, 3375898944.0, 56685.0, 462.0, 1406726894.0, 636.0, 5188790167.0, 7008312.0, 1418948254.0, 609876469.0, 2238578.0, 50212970.0, 1416113086.0, 788141429.0, 33883006.0, 1093280.0, 151559.0, 301170, 7021.43 
1489.060498, 491.0, 1054398630.0, 10457991.0, 13186986.0, 30191371.0, 3593025881.0, 52552.0, 491.0, 1421990830.0, 660.0, 5514507753.0, 6992535.0, 1530035320.0, 703577304.0, 2211557.0, 58227729.0, 1384848139.0, 786431520.0, 33682157.0, 1093280.0, 151706.0, 297448, 7013.12 
1459.000023, 418.0, 930253468.0, 9603686.0, 12719500.0, 29037921.0, 3485444745.0, 56871.0, 418.0, 1428864929.0, 645.0, 5577319786.0, 7749573.0, 1701379674.0, 758727564.0, 2801648.0, 48112503.0, 1237630996.0, 667952331.0, 30023638.0, 1093280.0, 151644.0, 299103, 7032.43 
1553.108977, 450.0, 1169836124.0, 12010885.0, 16072696.0, 40664484.0, 3570861083.0, 56608.0, 450.0, 1514040127.0, 638.0, 4910011233.0, 9556327.0, 1640620342.0, 808976568.0, 3661084.0, 74716518.0, 1634196632.0, 819150124.0, 28684998.0, 1093280.0, 151571.0, 296081, 7017.68 
1455.630263, 492.0, 1024545108.0, 12110931.0, 12491091.0, 28038803.0, 3315038116.0, 57495.0, 492.0, 1374800190.0, 624.0, 5473854650.0, 7903866.0, 1481514203.0, 701954187.0, 2820380.0, 51298533.0, 1418558668.0, 711349161.0, 30598911.0, 1093280.0, 151643.0, 298937, 7014.02 
1525.230977, 459.0, 916159511.0, 9575317.0, 12666626.0, 26136513.0, 3435699643.0, 56748.0, 459.0, 1490201175.0, 651.0, 5402393906.0, 7508187.0, 1589305500.0, 726596688.0, 3254427.0, 49340020.0, 1410804627.0, 761776304.0, 33540242.0, 1093280.0, 151638.0, 297930, 7016.8 
1494.32225, 431.0, 1029601717.0, 9346092.0, 12543598.0, 28935945.0, 3655774556.0, 54427.0, 431.0, 1464638822.0, 651.0, 5040037621.0, 8934170.0, 1420738022.0, 724899078.0, 2798091.0, 56679493.0, 1569131494.0, 825765477.0, 31831320.0, 1093280.0, 151559.0, 298629, 7028.83 
1459.422178, 487.0, 883937816.0, 8658456.0, 13303836.0, 29286061.0, 3226071097.0, 56219.0, 487.0, 1413029380.0, 654.0, 4399153345.0, 7415096.0, 1582799959.0, 786529099.0, 2608868.0, 48313707.0, 1601316076.0, 809815165.0, 25400054.0, 1093280.0, 151635.0, 295356, 7016.86 
1442.640083, 414.0, 1057802177.0, 7289398.0, 15255675.0, 30559850.0, 3125832069.0, 57451.0, 414.0, 1424506414.0, 653.0, 4290894514.0, 7565166.0, 1409757730.0, 668202902.0, 2576789.0, 44578191.0, 1456028850.0, 825225243.0, 27954300.0, 1093280.0, 151641.0, 298587, 7011.61 
1457.940704, 499.0, 973446574.0, 9019616.0, 12120748.0, 27990370.0, 3519005217.0, 56325.0, 499.0, 1419390921.0, 651.0, 4973915227.0, 7583620.0, 1631977401.0, 717728570.0, 2882244.0, 51708206.0, 1357322721.0, 758448685.0, 25122024.0, 1093280.0, 151629.0, 293197, 7020.73 
1661.276604, 462.0, 1203767565.0, 10751416.0, 23400381.0, 52885467.0, 3764058071.0, 56823.0, 462.0, 1588024569.0, 636.0, 5380909090.0, 9400941.0, 1660146871.0, 782153402.0, 2316281.0, 98515758.0, 1763256275.0, 828172963.0, 32363789.0, 1093280.0, 151642.0, 293297, 7017.86 
1480.039141, 471.0, 916933311.0, 11718311.0, 13959226.0, 29460430.0, 3273809310.0, 56733.0, 471.0, 1428367119.0, 629.0, 4860513313.0, 9179798.0, 1677697813.0, 843912827.0, 2712967.0, 48338133.0, 1385112507.0, 708603333.0, 25016663.0, 1093280.0, 151569.0, 299188, 7017.14 
1490.43552, 453.0, 1063104901.0, 11483946.0, 13352044.0, 27898302.0, 3571989519.0, 58805.0, 453.0, 1453250683.0, 642.0, 4703182222.0, 8312466.0, 1368659822.0, 784283542.0, 2896696.0, 47937721.0, 1560348938.0, 769127784.0, 33739796.0, 1093280.0, 151569.0, 297250, 7019.45 
1481.581584, 475.0, 1029406058.0, 10004894.0, 10153035.0, 26297432.0, 3713460799.0, 57045.0, 475.0, 1449154945.0, 651.0, 5303184811.0, 7991758.0, 1510505707.0, 718049854.0, 3100765.0, 52090929.0, 1318785053.0, 747428991.0, 38150370.0, 1093280.0, 151464.0, 299930, 7021.85 
1442.707134, 436.0, 1049562719.0, 9838328.0, 8441541.0, 25592740.0, 3532337317.0, 56347.0, 436.0, 1424499810.0, 639.0, 5211334216.0, 7796004.0, 1439741142.0, 683788735.0, 2159709.0, 51155342.0, 1437965286.0, 795851866.0, 32409667.0, 1105472.0, 151638.0, 294821, 7016.15 
1475.369569, 552.0, 1029509614.0, 9957166.0, 16217315.0, 34798779.0, 3409357717.0, 56546.0, 552.0, 1392798019.0, 616.0, 4136846483.0, 8553027.0, 1482455655.0, 724216545.0, 2074638.0, 52427025.0, 1661096537.0, 881057577.0, 38132897.0, 1093280.0, 151673.0, 296962, 7019.71 
1521.602925, 455.0, 936075113.0, 11147343.0, 13986534.0, 31571506.0, 3821868697.0, 56650.0, 455.0, 1495839488.0, 668.0, 5114598280.0, 9680564.0, 1437293106.0, 754915195.0, 4511904.0, 47231621.0, 1609794476.0, 825236157.0, 36048382.0, 1093280.0, 151619.0, 293361, 7014.58 
1524.147693, 432.0, 904939571.0, 12200592.0, 13500868.0, 29503190.0, 3609730860.0, 56975.0, 432.0, 1471935636.0, 597.0, 4990253704.0, 7864153.0, 1524658686.0, 702766552.0, 3606279.0, 43958348.0, 1425988292.0, 732605271.0, 29098843.0, 1093280.0, 151566.0, 295362, 7018.5 
1479.21201, 489.0, 1025953089.0, 10479390.0, 14769454.0, 30760067.0, 3465343129.0, 56958.0, 489.0, 1424975574.0, 662.0, 5052550453.0, 7456641.0, 1575350197.0, 723519376.0, 2877523.0, 55122629.0, 1489663292.0, 783721451.0, 29729637.0, 1093280.0, 151630.0, 300386, 7027.51 
1512.808813, 488.0, 996030768.0, 11114458.0, 13345887.0, 30757202.0, 3257241290.0, 56454.0, 488.0, 1472719730.0, 648.0, 4569982820.0, 7016653.0, 1445616154.0, 730186578.0, 3025940.0, 60181814.0, 1541942510.0, 733731447.0, 32592313.0, 1093280.0, 151636.0, 299807, 7022.25 
1459.48008, 513.0, 1065039686.0, 10341267.0, 10316594.0, 23927488.0, 3528824475.0, 56844.0, 513.0, 1413845988.0, 639.0, 5072002277.0, 7649323.0, 1451448314.0, 719692199.0, 3055694.0, 51460747.0, 1342101106.0, 811509647.0, 33994018.0, 1093280.0, 151636.0, 297739, 7012.42 
1471.140251, 449.0, 1016854186.0, 9955080.0, 16037074.0, 33624879.0, 3436174451.0, 55286.0, 449.0, 1447822984.0, 634.0, 4878364382.0, 8527122.0, 1526407959.0, 769762073.0, 3058260.0, 49536016.0, 1656142124.0, 885016554.0, 32893940.0, 1093280.0, 151543.0, 301512, 7027.97 
1585.288651, 609.0, 1037745981.0, 9447052.0, 13177193.0, 32770596.0, 3708228202.0, 57431.0, 609.0, 1502947195.0, 729.0, 5495075163.0, 7622946.0, 1422404078.0, 729624838.0, 2214753.0, 74446041.0, 1467002516.0, 761354419.0, 32170616.0, 1105472.0, 151631.0, 299234, 7016.05 
1456.200802, 510.0, 899086701.0, 11614887.0, 11216905.0, 27603085.0, 3405008825.0, 56463.0, 510.0, 1389065977.0, 636.0, 4882015255.0, 7490282.0, 1600498196.0, 829188906.0, 2251477.0, 43118864.0, 1145110217.0, 625306914.0, 31862570.0, 1093280.0, 151569.0, 298120, 7022.14 
1451.871572, 504.0, 1039059300.0, 8716900.0, 12350463.0, 26667423.0, 3231734961.0, 56889.0, 504.0, 1407611496.0, 654.0, 4302522907.0, 8383201.0, 1392518676.0, 817736132.0, 2527129.0, 45393035.0, 1674393445.0, 742992518.0, 32303636.0, 1093280.0, 151550.0, 297057, 7017.89 
1509.28853, 483.0, 1111006236.0, 11165156.0, 21402538.0, 49499755.0, 3226490066.0, 57011.0, 483.0, 1478400752.0, 644.0, 4216666412.0, 8516329.0, 1516483860.0, 777430225.0, 2835177.0, 55911437.0, 1748728919.0, 837250394.0, 34356617.0, 1093280.0, 151630.0, 300946, 7028.72 
