task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
2389.956417, 484.0, 2012958435.0, 13149603.0, 19887957.0, 38913331.0, 5359791986.0, 115912.0, 484.0, 2354971154.0, 680.0, 8721090307.0, 10915229.0, 2500715155.0, 1250881672.0, 3754013.0, 89876914.0, 2824322855.0, 1444712963.0, 53366243.0, 2634526.0, 136964.0, 215941, 23027.0 
2340.990741, 473.0, 1773939764.0, 13885769.0, 21695803.0, 41801127.0, 5706042057.0, 112316.0, 473.0, 2304986671.0, 678.0, 9940753115.0, 10557077.0, 2578170757.0, 1316416603.0, 4185722.0, 80174736.0, 2678610636.0, 1441263129.0, 48267116.0, 2634526.0, 136969.0, 215794, 23018.31 
2332.613611, 439.0, 1994451314.0, 13696541.0, 19422739.0, 40230027.0, 5654086624.0, 99042.0, 439.0, 2308691538.0, 674.0, 9848659396.0, 11369920.0, 2724858905.0, 1221387704.0, 3901958.0, 95364474.0, 2684318764.0, 1379626345.0, 43673030.0, 2634526.0, 136944.0, 215752, 23020.55 
2359.658674, 484.0, 2084821296.0, 12221952.0, 21416187.0, 41193019.0, 5743519109.0, 116400.0, 484.0, 2274508052.0, 662.0, 9384167148.0, 13336862.0, 2715112423.0, 1214656486.0, 4684841.0, 88858669.0, 2606756261.0, 1475595179.0, 43740743.0, 2634526.0, 136959.0, 216624, 23094.2 
2342.564531, 412.0, 1898789496.0, 14767962.0, 24119396.0, 44297801.0, 5407295162.0, 109798.0, 412.0, 2319631566.0, 683.0, 8958562831.0, 10640419.0, 2556368363.0, 1346454685.0, 3555700.0, 85687155.0, 2784900140.0, 1480800574.0, 46214617.0, 2634526.0, 136924.0, 216117, 23022.05 
2401.145471, 421.0, 2143023009.0, 14068799.0, 23118824.0, 41594456.0, 5740840543.0, 108998.0, 421.0, 2364093911.0, 652.0, 9526447509.0, 10596093.0, 2778749525.0, 1312543152.0, 5462515.0, 81091999.0, 2479433222.0, 1347535785.0, 47429655.0, 2633593.0, 136966.0, 216637, 23009.22 
2260.650753, 455.0, 1821406650.0, 11300281.0, 19563435.0, 41059733.0, 5465904568.0, 95503.0, 455.0, 2220548323.0, 686.0, 9394593474.0, 9463884.0, 2679620553.0, 1348726763.0, 3082984.0, 89227889.0, 2721589613.0, 1355507294.0, 52157359.0, 2634526.0, 136948.0, 210125, 22790.3 
2463.647558, 449.0, 2227581046.0, 12061786.0, 20611833.0, 44297666.0, 5954033245.0, 104532.0, 449.0, 2414337794.0, 665.0, 9357620803.0, 10966319.0, 2619697218.0, 1259168087.0, 5535489.0, 82853120.0, 2767507290.0, 1377262580.0, 49421658.0, 2634526.0, 136946.0, 215761, 23022.6 
2418.090112, 432.0, 2110144210.0, 11407121.0, 21604958.0, 40969941.0, 5714975243.0, 115189.0, 432.0, 2373068435.0, 646.0, 10052193309.0, 11264159.0, 2639333176.0, 1380684151.0, 5255056.0, 82306781.0, 2498225564.0, 1361412316.0, 46147314.0, 2634526.0, 136973.0, 215808, 23016.06 
2333.049623, 434.0, 1748480306.0, 11300846.0, 22280250.0, 39811037.0, 5630032755.0, 116303.0, 434.0, 2301444565.0, 693.0, 9723778337.0, 10919627.0, 2676183796.0, 1289726248.0, 3178019.0, 81072438.0, 2544971378.0, 1426450221.0, 53101933.0, 2637329.0, 136896.0, 218131, 22958.42 
2372.837064, 460.0, 2087994848.0, 13935959.0, 23382341.0, 39981430.0, 5653441318.0, 114843.0, 460.0, 2334244777.0, 689.0, 9450625368.0, 11098928.0, 2569212561.0, 1274164585.0, 4755519.0, 82262530.0, 2501189434.0, 1380631294.0, 45593988.0, 2634526.0, 136964.0, 218006, 22895.81 
2425.82356, 493.0, 2040652207.0, 12818961.0, 22414676.0, 42442228.0, 5834565250.0, 113736.0, 493.0, 2332494989.0, 666.0, 8953137197.0, 11522827.0, 2561618890.0, 1303196975.0, 5772063.0, 83655486.0, 2735651661.0, 1394158926.0, 44232637.0, 2634526.0, 136971.0, 215939, 23016.45 
2421.622025, 527.0, 2186376355.0, 12964410.0, 19586241.0, 40434884.0, 5794577980.0, 115184.0, 527.0, 2238787250.0, 632.0, 9816083124.0, 12125308.0, 2834321126.0, 1460900572.0, 5269436.0, 81915788.0, 2677050855.0, 1326252315.0, 46624408.0, 2634526.0, 136943.0, 216096, 23025.6 
2389.115786, 472.0, 1845166782.0, 14839935.0, 22039093.0, 43363137.0, 5646140318.0, 113419.0, 472.0, 2355320411.0, 685.0, 8976530407.0, 12807048.0, 2577197101.0, 1330953100.0, 3327572.0, 96595912.0, 2731857846.0, 1269734112.0, 50935039.0, 2633593.0, 136976.0, 218139, 22870.82 
2395.761799, 441.0, 2035708243.0, 11635673.0, 21681613.0, 41377074.0, 5850548503.0, 115219.0, 441.0, 2378648294.0, 683.0, 9312618396.0, 11403800.0, 2670602645.0, 1315442819.0, 5088981.0, 85400310.0, 2485750423.0, 1443087045.0, 44754179.0, 2634526.0, 136939.0, 215991, 23017.79 
2418.243126, 459.0, 2246422733.0, 11688598.0, 24843985.0, 42754017.0, 5802488947.0, 104492.0, 459.0, 2380061097.0, 691.0, 9840383344.0, 10044078.0, 2796336949.0, 1332830536.0, 4119269.0, 83109310.0, 2587041719.0, 1370450877.0, 47896074.0, 2634526.0, 136921.0, 215859, 23030.84 
2403.29698, 470.0, 1961254972.0, 13870982.0, 20819578.0, 39702071.0, 5854189968.0, 113410.0, 470.0, 2340092977.0, 686.0, 9873462808.0, 11125296.0, 2685705643.0, 1339810255.0, 4240404.0, 88479815.0, 2518330276.0, 1306789028.0, 51626453.0, 2634526.0, 136955.0, 215911, 23011.69 
2329.730622, 436.0, 1836547499.0, 13854622.0, 23532497.0, 44079658.0, 5658628312.0, 113973.0, 436.0, 2293594057.0, 642.0, 9387002457.0, 10692927.0, 2681535496.0, 1344349900.0, 3688088.0, 80187935.0, 2673143578.0, 1382027965.0, 44692006.0, 2634526.0, 136951.0, 221086, 22907.48 
2328.66893, 448.0, 1949619760.0, 12645606.0, 19260919.0, 37589372.0, 5868633582.0, 112590.0, 448.0, 2294508435.0, 649.0, 9471956378.0, 10624844.0, 2804546290.0, 1458909123.0, 3473638.0, 87319921.0, 2520349177.0, 1402743714.0, 40631079.0, 2635461.0, 136879.0, 218643, 22931.4 
2331.716167, 442.0, 1986295390.0, 14247383.0, 20143727.0, 40151979.0, 5482959243.0, 113796.0, 442.0, 2310901735.0, 652.0, 9371243570.0, 11348599.0, 2599254164.0, 1326822871.0, 3618027.0, 85415679.0, 2394219811.0, 1326979337.0, 42924178.0, 2634526.0, 136958.0, 215794, 23032.9 
2344.562764, 527.0, 1952634342.0, 14214406.0, 23697481.0, 44427142.0, 5637529974.0, 101867.0, 527.0, 2258940447.0, 691.0, 9663051717.0, 8718832.0, 2544549212.0, 1227065952.0, 5073222.0, 78508646.0, 2593293916.0, 1476941459.0, 41574435.0, 2633593.0, 136962.0, 218671, 23005.8 
2429.737515, 503.0, 2152866066.0, 12767567.0, 19765669.0, 38035328.0, 5890964112.0, 114434.0, 503.0, 2390830685.0, 688.0, 10226262689.0, 11162393.0, 2713226105.0, 1460482070.0, 3912444.0, 93207296.0, 2634201061.0, 1400051387.0, 43067345.0, 2634526.0, 136970.0, 217283, 23018.35 
2412.079298, 448.0, 2181409343.0, 12247846.0, 19833892.0, 39597167.0, 5492339659.0, 114699.0, 448.0, 2370545726.0, 717.0, 8354100463.0, 10799714.0, 2517218326.0, 1350792866.0, 4926785.0, 89801424.0, 2707218265.0, 1456465024.0, 45436692.0, 2634526.0, 136929.0, 215816, 23014.92 
2275.757055, 495.0, 1788603206.0, 12586345.0, 22576660.0, 40992247.0, 5418412503.0, 115012.0, 495.0, 2213792760.0, 705.0, 9292749173.0, 10739088.0, 2501726191.0, 1368403672.0, 3510988.0, 87359623.0, 2756352537.0, 1407349568.0, 47977329.0, 2634526.0, 136947.0, 215771, 23015.56 
2439.307657, 493.0, 2149697342.0, 13354843.0, 21029520.0, 43146353.0, 5931740993.0, 114422.0, 493.0, 2390970136.0, 684.0, 9557723064.0, 11824663.0, 2793258590.0, 1353807381.0, 4469502.0, 81802436.0, 2502186905.0, 1350390766.0, 48628335.0, 2634526.0, 136968.0, 215719, 23024.29 
2334.685348, 424.0, 2063473180.0, 13242948.0, 22570949.0, 44826659.0, 5677469716.0, 117155.0, 424.0, 2296109297.0, 654.0, 9662842236.0, 11578820.0, 2751889041.0, 1312278235.0, 3812182.0, 80953494.0, 2422206485.0, 1282675770.0, 49261044.0, 2634526.0, 136959.0, 215795, 23029.21 
2369.689116, 470.0, 1873843333.0, 11796955.0, 22453907.0, 40843666.0, 5268096487.0, 113418.0, 470.0, 2309416092.0, 672.0, 8956788724.0, 10578749.0, 2617636822.0, 1342065092.0, 4993114.0, 84992694.0, 2807588014.0, 1499937101.0, 39371041.0, 2634526.0, 136959.0, 215958, 23017.06 
2318.284868, 480.0, 1809349211.0, 12795369.0, 21687185.0, 42200285.0, 5447216482.0, 96448.0, 480.0, 2254978583.0, 679.0, 9441265936.0, 10599577.0, 2607908639.0, 1352755404.0, 3535769.0, 97588341.0, 2996028582.0, 1436602162.0, 45756165.0, 2633593.0, 136960.0, 218210, 22880.27 
2380.565399, 505.0, 1853621481.0, 12394580.0, 20653194.0, 39927145.0, 5559033031.0, 115270.0, 505.0, 2276843527.0, 683.0, 9572479950.0, 12829619.0, 2745783941.0, 1524391442.0, 4783347.0, 89637109.0, 2646624210.0, 1422125428.0, 47607679.0, 2634526.0, 136947.0, 215901, 23023.4 
2374.360594, 481.0, 2130391356.0, 14199746.0, 25163930.0, 44104148.0, 5761888657.0, 105310.0, 481.0, 2296046166.0, 658.0, 9329613664.0, 9718945.0, 2701852278.0, 1326504091.0, 5181058.0, 78001595.0, 2476457674.0, 1371797258.0, 41970039.0, 2634526.0, 136932.0, 215881, 23026.73 
2489.032763, 509.0, 2226289966.0, 15448539.0, 35636277.0, 71503921.0, 5830944620.0, 111274.0, 509.0, 2450376195.0, 701.0, 9507587903.0, 11076335.0, 2704704680.0, 1252190758.0, 4243957.0, 113268320.0, 2622621049.0, 1418510096.0, 51747326.0, 2634526.0, 136976.0, 212821, 22650.85 
2393.141401, 460.0, 2010528287.0, 16253145.0, 22003050.0, 44625703.0, 5598678149.0, 113050.0, 460.0, 2350433633.0, 690.0, 9226835723.0, 12562501.0, 2546080562.0, 1373150009.0, 5150624.0, 82570059.0, 2543203619.0, 1422325966.0, 49204954.0, 2634526.0, 136952.0, 215856, 22991.05 
2365.750517, 528.0, 1881767273.0, 12851337.0, 19732280.0, 41067012.0, 5869681209.0, 99858.0, 528.0, 2315150263.0, 698.0, 9676951403.0, 9721189.0, 2759853125.0, 1283643544.0, 3877456.0, 87983264.0, 2552447886.0, 1324525951.0, 53065518.0, 2634526.0, 136787.0, 215781, 23030.18 
2629.713181, 559.0, 2146529454.0, 13987109.0, 30232415.0, 55559427.0, 5872862946.0, 115822.0, 559.0, 2610400273.0, 810.0, 9965963833.0, 11231382.0, 3068896391.0, 1522633185.0, 4027676.0, 101725113.0, 2812947382.0, 1519197364.0, 40822574.0, 2640138.0, 137620.0, 211256, 25932.74 
2345.770435, 430.0, 2026243593.0, 12724000.0, 22391935.0, 41183983.0, 5422454780.0, 114167.0, 430.0, 2321816772.0, 679.0, 9162367331.0, 10923022.0, 2632983509.0, 1476199564.0, 4096134.0, 85485361.0, 2577923549.0, 1356263590.0, 42830282.0, 2634526.0, 136931.0, 215907, 23006.54 
2341.63616, 435.0, 1898086120.0, 15095077.0, 24814185.0, 48383799.0, 5593764543.0, 106041.0, 435.0, 2305521143.0, 647.0, 9588883153.0, 11856191.0, 2672142268.0, 1344301952.0, 3501613.0, 78996371.0, 2753066806.0, 1449692611.0, 49986627.0, 2634526.0, 136977.0, 215837, 23015.55 
2404.042722, 483.0, 2088249717.0, 11501409.0, 25188493.0, 44735824.0, 5715518629.0, 114230.0, 483.0, 2350188310.0, 665.0, 10356599890.0, 11031320.0, 2750010778.0, 1343722137.0, 4103408.0, 87676221.0, 2663963379.0, 1510275454.0, 40303855.0, 2634526.0, 136968.0, 215934, 23020.65 
2381.585725, 596.0, 1927790904.0, 15109832.0, 26309541.0, 45423629.0, 5385416610.0, 112711.0, 596.0, 2249614052.0, 698.0, 8894433853.0, 11299878.0, 2554656398.0, 1344243389.0, 4376315.0, 90713948.0, 2761951167.0, 1392274139.0, 49136309.0, 2634526.0, 136962.0, 215966, 23010.83 
2426.072415, 496.0, 1837719602.0, 12175076.0, 24302983.0, 44618628.0, 5808795550.0, 114594.0, 496.0, 2362731107.0, 646.0, 9632582938.0, 10540687.0, 2733949542.0, 1336672337.0, 5266083.0, 87454471.0, 2800904440.0, 1547315059.0, 49350370.0, 2634526.0, 136966.0, 215828, 23007.69 
2434.903431, 451.0, 2197580484.0, 14686899.0, 21830356.0, 41249870.0, 5671040897.0, 105428.0, 451.0, 2398124650.0, 680.0, 9310068008.0, 10608778.0, 2721190284.0, 1260533259.0, 4819352.0, 87811373.0, 2759309583.0, 1385578373.0, 52357361.0, 2637329.0, 136912.0, 212707, 22934.92 
2297.823409, 456.0, 1906938556.0, 16405319.0, 20419275.0, 40578958.0, 5305626980.0, 98609.0, 456.0, 2264896715.0, 679.0, 8750313368.0, 8710531.0, 2626199389.0, 1355524436.0, 4378237.0, 78116295.0, 2612880434.0, 1424480089.0, 40201143.0, 2634526.0, 136635.0, 215842, 23020.57 
2313.710286, 505.0, 1978131295.0, 15153419.0, 20356431.0, 39663062.0, 5577212759.0, 112400.0, 505.0, 2274010473.0, 728.0, 9638802918.0, 13708469.0, 2636480974.0, 1286700280.0, 4777838.0, 82299180.0, 2473020876.0, 1386106205.0, 50302706.0, 2633593.0, 136970.0, 219195, 22886.47 
2418.319517, 438.0, 1899823695.0, 12535932.0, 23341195.0, 43033314.0, 5345808994.0, 114368.0, 438.0, 2402386142.0, 683.0, 9281692137.0, 10904686.0, 2510967634.0, 1388963704.0, 3816361.0, 84619581.0, 2677199285.0, 1403208585.0, 47961245.0, 2634526.0, 136976.0, 215841, 23011.45 
2472.383526, 446.0, 2076058789.0, 14906327.0, 35967241.0, 69631505.0, 5550904744.0, 111204.0, 446.0, 2446328541.0, 689.0, 9455510300.0, 11353826.0, 2684870305.0, 1367841625.0, 4535694.0, 107816490.0, 2802373967.0, 1468751125.0, 43496558.0, 2634526.0, 136945.0, 215942, 23017.14 
2349.457607, 527.0, 1995901671.0, 14046329.0, 19681429.0, 38732755.0, 5636246105.0, 114999.0, 527.0, 2259408369.0, 697.0, 9345742078.0, 10981942.0, 2564119697.0, 1305331956.0, 5350239.0, 88191531.0, 2566070446.0, 1438002429.0, 43273514.0, 2634526.0, 136956.0, 216138, 23020.87 
2363.495344, 529.0, 2000331530.0, 17122160.0, 23281487.0, 43834225.0, 5672181584.0, 114553.0, 529.0, 2254654789.0, 675.0, 9132999082.0, 11328158.0, 2625509804.0, 1383662837.0, 4293870.0, 89670194.0, 2549633473.0, 1419323835.0, 39639912.0, 2633593.0, 136938.0, 220296, 22864.14 
