task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
3099.459377, 537.0, 2626990284.0, 18429295.0, 32339736.0, 56455531.0, 7122601249.0, 159838.0, 537.0, 3073541146.0, 841.0, 12660617918.0, 20563921.0, 4033501896.0, 1776769841.0, 4256169.0, 115919407.0, 3704265164.0, 1864720450.0, 43186513.0, 6418169.0, 169092.0, 678565, 36175.06 
3101.418562, 537.0, 2651649094.0, 16525660.0, 32478296.0, 56351664.0, 7301791707.0, 158914.0, 537.0, 3056899237.0, 832.0, 11978664544.0, 15031303.0, 3852131729.0, 1877888502.0, 3936989.0, 122907829.0, 3743664826.0, 1818846054.0, 58721631.0, 6418169.0, 169208.0, 678669, 36170.39 
3117.595088, 536.0, 2531772002.0, 15998469.0, 25604884.0, 50102017.0, 7534455822.0, 153955.0, 536.0, 3100465923.0, 840.0, 12529638004.0, 17422695.0, 3881491821.0, 1923814575.0, 4792957.0, 137501246.0, 3882691550.0, 2062218429.0, 55131681.0, 6418169.0, 169130.0, 678787, 36178.02 
3083.333834, 538.0, 2604155250.0, 18565467.0, 33376160.0, 55892999.0, 7085083964.0, 160468.0, 538.0, 3067754547.0, 834.0, 12830779457.0, 17304745.0, 3849957599.0, 1792552465.0, 3638977.0, 125604601.0, 3778218288.0, 1945830398.0, 50429031.0, 6418169.0, 169176.0, 678531, 36166.38 
3326.709537, 528.0, 2518145914.0, 15586232.0, 31122046.0, 54243989.0, 7857154797.0, 159721.0, 528.0, 3308788832.0, 821.0, 12486584258.0, 19334761.0, 3632130138.0, 1848232237.0, 6929172.0, 126403355.0, 3584338016.0, 1831333548.0, 63435147.0, 6418169.0, 169117.0, 678534, 36176.76 
3137.82163, 534.0, 2555803363.0, 18218703.0, 33986905.0, 59961908.0, 7317604094.0, 131934.0, 534.0, 3113040124.0, 840.0, 12804676823.0, 13968108.0, 3948044975.0, 1850997290.0, 4131474.0, 125193333.0, 3695429333.0, 1794324655.0, 58102168.0, 6418169.0, 169119.0, 672553, 36118.66 
3080.072107, 533.0, 2561404297.0, 16134736.0, 30037393.0, 53553816.0, 7304729827.0, 159402.0, 533.0, 3058053669.0, 845.0, 12838423081.0, 18729083.0, 3514329018.0, 1911621523.0, 3669438.0, 140329316.0, 4047970138.0, 2101645352.0, 55567605.0, 6418169.0, 169114.0, 678680, 36177.43 
3079.41978, 571.0, 2474295837.0, 18044704.0, 26679575.0, 55487722.0, 6985302148.0, 147686.0, 571.0, 3013113639.0, 830.0, 11604770709.0, 13559529.0, 3550279008.0, 1926130903.0, 3867611.0, 119919635.0, 3830078773.0, 1875245236.0, 55837207.0, 6418169.0, 169198.0, 678539, 36168.31 
3084.678607, 537.0, 2474403319.0, 18312273.0, 32395251.0, 54824653.0, 7403765356.0, 151897.0, 537.0, 3050421916.0, 811.0, 13376748623.0, 14763650.0, 3709797191.0, 1735819546.0, 4002623.0, 113744448.0, 3651939973.0, 1865592313.0, 56788472.0, 6418169.0, 169268.0, 673465, 35812.32 
3085.844423, 535.0, 2658906021.0, 17275347.0, 27980539.0, 51714600.0, 7304072554.0, 155666.0, 535.0, 3069298926.0, 850.0, 12502305026.0, 15729991.0, 3463937549.0, 1827366939.0, 5096436.0, 123093764.0, 3916214048.0, 1937727497.0, 57478973.0, 6418169.0, 169113.0, 685385, 35996.42 
3135.161245, 570.0, 2649914001.0, 16969769.0, 32240310.0, 54171957.0, 7348124317.0, 158824.0, 570.0, 3099237958.0, 836.0, 12243569160.0, 15729767.0, 3851386248.0, 1685301698.0, 4317010.0, 118960905.0, 3750790431.0, 1902812850.0, 54350468.0, 6418169.0, 169134.0, 678344, 36170.25 
3121.437408, 610.0, 2609124895.0, 17074241.0, 31177699.0, 53562952.0, 7597076036.0, 158228.0, 610.0, 3030340147.0, 853.0, 13216306353.0, 18236587.0, 3395137265.0, 1734681981.0, 4769252.0, 118863934.0, 3594499523.0, 1856414703.0, 50884382.0, 6418169.0, 169131.0, 678534, 36165.6 
