task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
858.954398, 215.0, 527223452.0, 6397858.0, 7033546.0, 14041057.0, 1978288930.0, 20549.0, 215.0, 847852175.0, 376.0, 2855423736.0, 3271626.0, 731559681.0, 412109835.0, 1488673.0, 21304252.0, 847111953.0, 418001128.0, 21158445.0, 1341922.0, 147285.0, 33209, 7595.16 
866.453844, 237.0, 558460241.0, 6152874.0, 9424876.0, 20020644.0, 1810640072.0, 21753.0, 237.0, 839651102.0, 366.0, 2479262645.0, 4004409.0, 767681033.0, 394761613.0, 1472503.0, 19851686.0, 712258236.0, 386727199.0, 15892736.0, 1341922.0, 147168.0, 33248, 7600.21 
882.9717, 240.0, 516323322.0, 6804097.0, 3971023.0, 11692984.0, 1684448083.0, 20561.0, 240.0, 863113143.0, 410.0, 2216845368.0, 2800231.0, 718312267.0, 338652092.0, 1596444.0, 30098695.0, 871764600.0, 452289229.0, 18976198.0, 1341922.0, 147355.0, 33228, 7605.11 
879.341172, 231.0, 463166948.0, 7542812.0, 5524733.0, 14440422.0, 1981068963.0, 20296.0, 231.0, 858657170.0, 405.0, 2619175617.0, 2847690.0, 866424139.0, 317562573.0, 1372794.0, 20842252.0, 721411399.0, 407413014.0, 14456538.0, 1341922.0, 147531.0, 33212, 7591.37 
854.762289, 227.0, 489728219.0, 7124538.0, 4922279.0, 14599467.0, 1802688375.0, 20871.0, 227.0, 830680247.0, 359.0, 2607820828.0, 3229657.0, 802488764.0, 386541465.0, 1161014.0, 24079537.0, 716400906.0, 410132784.0, 18826307.0, 1341922.0, 147015.0, 33226, 7601.51 
875.203398, 235.0, 466604601.0, 7438906.0, 4733945.0, 12322401.0, 1772466416.0, 20352.0, 235.0, 834422535.0, 372.0, 2403179667.0, 3233517.0, 792949844.0, 343059531.0, 1741220.0, 23667411.0, 755859640.0, 442360360.0, 15253618.0, 1341922.0, 147306.0, 33208, 7593.7 
879.347637, 277.0, 494154716.0, 5938488.0, 7312898.0, 15950758.0, 1728643011.0, 21741.0, 277.0, 852630539.0, 437.0, 2372809405.0, 3516398.0, 760282972.0, 445349738.0, 1608770.0, 21953205.0, 809036396.0, 406938963.0, 14831995.0, 1341922.0, 147353.0, 33223, 7600.55 
848.904517, 259.0, 524032551.0, 6348515.0, 5817506.0, 15691507.0, 1666870847.0, 21202.0, 259.0, 833039037.0, 1082.0, 2317992335.0, 4536181.0, 763976539.0, 459583325.0, 1295589.0, 26172197.0, 859956345.0, 449362153.0, 20214642.0, 1341922.0, 147291.0, 33209, 7591.58 
849.141474, 235.0, 502061388.0, 6804836.0, 8487290.0, 19220513.0, 1733712468.0, 20952.0, 235.0, 824258036.0, 371.0, 2430250816.0, 4044751.0, 802866051.0, 416237294.0, 1136625.0, 25735517.0, 701722466.0, 367983073.0, 14861925.0, 1341922.0, 147174.0, 33212, 7602.44 
863.388836, 193.0, 478629262.0, 6166684.0, 5174149.0, 14330393.0, 1683558782.0, 20270.0, 193.0, 858561895.0, 363.0, 2541128175.0, 2922102.0, 738649772.0, 328361088.0, 1539710.0, 25507650.0, 678403339.0, 423440534.0, 23985378.0, 1341922.0, 147241.0, 33228, 7598.15 
869.397293, 220.0, 578720500.0, 8410144.0, 3925714.0, 11909008.0, 1623314365.0, 20504.0, 220.0, 855000323.0, 384.0, 2422460292.0, 2965735.0, 756816865.0, 316394834.0, 1934887.0, 32032180.0, 744426852.0, 470102519.0, 21476185.0, 1341922.0, 147275.0, 33223, 7597.66 
856.956895, 209.0, 467057786.0, 7329211.0, 8696410.0, 16600197.0, 1767946671.0, 20291.0, 209.0, 845490342.0, 362.0, 2279156515.0, 3101191.0, 780933772.0, 420009949.0, 949296.0, 31213897.0, 821683726.0, 413443652.0, 15258167.0, 1341922.0, 147424.0, 33183, 7591.26 
830.670055, 224.0, 471685461.0, 5983488.0, 4000539.0, 13240497.0, 1779549826.0, 20177.0, 224.0, 811379762.0, 396.0, 2570400998.0, 2997548.0, 812749425.0, 367913149.0, 1442181.0, 25911690.0, 745285545.0, 461633531.0, 23031698.0, 1341922.0, 147290.0, 33235, 7599.09 
869.469942, 237.0, 500926701.0, 6446353.0, 5716890.0, 14274860.0, 1612341074.0, 20099.0, 237.0, 850419310.0, 402.0, 2264506173.0, 3167249.0, 806424833.0, 418373148.0, 1251634.0, 23338523.0, 700777879.0, 376290494.0, 14658930.0, 1341922.0, 147261.0, 33198, 7595.81 
