task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
2617.043677, 485.0, 1962512343.0, 15955094.0, 33521699.0, 63889307.0, 6118537599.0, 116907.0, 485.0, 2599572274.0, 796.0, 10252827794.0, 12243346.0, 3065939060.0, 1613685492.0, 3823593.0, 109560466.0, 2815535722.0, 1539326491.0, 48475055.0, 4085286.0, 85799.0, 594726, 37313.39 
2655.52709, 524.0, 2126176719.0, 15903848.0, 23879764.0, 45642178.0, 6335255674.0, 121122.0, 524.0, 2605818952.0, 807.0, 9855459527.0, 12570304.0, 2818387787.0, 1518860232.0, 4212509.0, 91276674.0, 3118267025.0, 1525712042.0, 52899967.0, 4086457.0, 77370.0, 591236, 37121.78 
2560.476154, 480.0, 2278738440.0, 13363962.0, 22298114.0, 46816995.0, 6126252483.0, 123685.0, 480.0, 2542772621.0, 766.0, 9597933141.0, 12232122.0, 2848914827.0, 1612128773.0, 4767446.0, 95590806.0, 3126056834.0, 1623810050.0, 41107128.0, 4099298.0, 66993.0, 591580, 37515.06 
2897.259005, 585.0, 2415337727.0, 16054558.0, 25126845.0, 51122234.0, 6836622447.0, 146322.0, 585.0, 2809927258.0, 810.0, 11105067906.0, 13821857.0, 3677153775.0, 1760795838.0, 3734239.0, 118253537.0, 3359331866.0, 1768677197.0, 56002271.0, 4109043.0, 96454.0, 554549, 32167.21 
2842.841363, 558.0, 2054354772.0, 14282460.0, 27234697.0, 51559744.0, 6847959997.0, 134443.0, 558.0, 2751317776.0, 787.0, 10786964696.0, 12169114.0, 3422486802.0, 1713887479.0, 5857759.0, 103026044.0, 2913297652.0, 1590038992.0, 55578525.0, 4074818.0, 50691.0, 539159, 30062.33 
2868.471492, 570.0, 2339404370.0, 14368821.0, 28817089.0, 53753238.0, 7070039333.0, 144593.0, 570.0, 2807888718.0, 823.0, 11280479917.0, 13825839.0, 3596738757.0, 2085129376.0, 3997902.0, 112201637.0, 3470688949.0, 1840394279.0, 57492457.0, 4117553.0, 78350.0, 552812, 31929.9 
2872.850775, 557.0, 2397997744.0, 17465478.0, 28436944.0, 51996195.0, 6783614092.0, 143372.0, 557.0, 2851827305.0, 814.0, 12149159202.0, 14963503.0, 3486366110.0, 1605816303.0, 4566126.0, 117128593.0, 3415814671.0, 1804108761.0, 47135532.0, 4099479.0, 78922.0, 549780, 31849.18 
2629.28752, 555.0, 2184542202.0, 15782901.0, 23110111.0, 48633029.0, 6261590022.0, 117271.0, 555.0, 2598780340.0, 808.0, 10167765749.0, 15110879.0, 2992628312.0, 1484532141.0, 5381013.0, 103652991.0, 3001849079.0, 1552067351.0, 45196094.0, 4089096.0, 78282.0, 594477, 37463.4 
2929.009682, 599.0, 2548923036.0, 18374497.0, 27993840.0, 58950854.0, 6842885661.0, 143295.0, 599.0, 2869381047.0, 831.0, 11366294999.0, 14768218.0, 3530519946.0, 1690100074.0, 4905496.0, 135900496.0, 3781665104.0, 1923502054.0, 54526498.0, 4108758.0, 78343.0, 551817, 31957.26 
2849.214558, 635.0, 2296757426.0, 17621492.0, 29092598.0, 53157195.0, 6719253795.0, 141416.0, 635.0, 2711751879.0, 806.0, 11871716750.0, 13579489.0, 3560543312.0, 1650811875.0, 4081830.0, 106021669.0, 3347214773.0, 1697032049.0, 55478992.0, 4096265.0, 79485.0, 535150, 31673.06 
2588.812854, 489.0, 2141052303.0, 14642405.0, 19630425.0, 41343147.0, 6383600911.0, 122755.0, 489.0, 2566026617.0, 755.0, 10348593910.0, 12472876.0, 2962478411.0, 1545163665.0, 3628370.0, 104037480.0, 2808558078.0, 1610352005.0, 51178466.0, 4108703.0, 97284.0, 593300, 37298.4 
2588.550543, 498.0, 2352961972.0, 14051557.0, 20501235.0, 47376370.0, 6125562850.0, 111229.0, 498.0, 2556588649.0, 792.0, 9617815293.0, 11767286.0, 2929148290.0, 1533581198.0, 4259750.0, 104196373.0, 3009204810.0, 1641642960.0, 51486654.0, 4094593.0, 96967.0, 594660, 37408.88 
2541.122431, 524.0, 2006098930.0, 15112010.0, 19924995.0, 40506534.0, 6149383991.0, 121142.0, 524.0, 2507710721.0, 816.0, 10766316517.0, 12605199.0, 3100207763.0, 1462616213.0, 3853033.0, 97979008.0, 2961645833.0, 1523952572.0, 52233677.0, 4104716.0, 97609.0, 595251, 37211.64 
2979.713808, 549.0, 2372021165.0, 16262067.0, 29351557.0, 57080124.0, 7016964487.0, 142593.0, 549.0, 2947802066.0, 835.0, 11694969229.0, 15005760.0, 3718546387.0, 1657375582.0, 5756523.0, 115663759.0, 3379061327.0, 1774654494.0, 53535331.0, 4086039.0, 78082.0, 553544, 32202.43 
