task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
4737.811783, 840.0, 4215256630.0, 24682011.0, 53058483.0, 88010470.0, 11060877368.0, 271181.0, 840.0, 4694952157.0, 1181.0, 20385379785.0, 19642170.0, 5879109862.0, 3027023096.0, 7772825.0, 189137058.0, 6004833144.0, 3111285593.0, 59121532.0, 7068897.0, 80344.0, 2291500, 48180.87 
4494.947832, 807.0, 4270856203.0, 24771449.0, 47861728.0, 77980011.0, 11298160832.0, 235696.0, 807.0, 4407960462.0, 1133.0, 20772566266.0, 16782795.0, 5661229815.0, 2909680434.0, 6951755.0, 179168941.0, 5711754203.0, 2964036552.0, 67127911.0, 7068897.0, 77576.0, 2300267, 47262.51 
4666.759737, 921.0, 4287155142.0, 26926074.0, 47420782.0, 81754165.0, 10952358506.0, 249839.0, 921.0, 4631453315.0, 1323.0, 20221352670.0, 16790654.0, 6073391749.0, 2881463919.0, 9699308.0, 203174639.0, 5978759230.0, 2975320214.0, 64434317.0, 7068897.0, 77399.0, 2315155, 47302.6 
4651.907984, 822.0, 4407070891.0, 20791541.0, 47405466.0, 80181497.0, 11431868260.0, 263095.0, 822.0, 4619325178.0, 1184.0, 20513031250.0, 20213984.0, 5439324508.0, 3017073577.0, 7086532.0, 197307863.0, 5629198013.0, 2975693926.0, 73145448.0, 7068897.0, 76872.0, 2298657, 47069.43 
4681.020116, 944.0, 4165691398.0, 22871041.0, 54723350.0, 90491720.0, 10993594623.0, 262629.0, 944.0, 4639961444.0, 1293.0, 20448239266.0, 21419843.0, 5572769075.0, 2980363969.0, 7295735.0, 192486445.0, 5884570369.0, 3037518672.0, 72004773.0, 7068897.0, 76929.0, 2286501, 47099.19 
4565.272128, 819.0, 4311269150.0, 24596493.0, 48628960.0, 80875459.0, 11313124116.0, 249760.0, 819.0, 4512708786.0, 1146.0, 20755620122.0, 16365700.0, 5706397077.0, 3004020340.0, 6191453.0, 200965733.0, 5964236760.0, 2968481780.0, 78702289.0, 7068897.0, 77615.0, 2309969, 47419.07 
4568.509189, 832.0, 4198701789.0, 22204843.0, 47593996.0, 80572146.0, 11105294363.0, 255660.0, 832.0, 4523033647.0, 1130.0, 20859833669.0, 18241748.0, 5777154008.0, 2800152858.0, 7468066.0, 195325504.0, 5587520439.0, 2880502176.0, 74384212.0, 7068897.0, 76904.0, 2298162, 47102.21 
4704.669644, 787.0, 4132951611.0, 24118289.0, 46746081.0, 85615701.0, 11300021490.0, 264076.0, 787.0, 4672736324.0, 1149.0, 19083635082.0, 21212049.0, 5660622108.0, 3101278876.0, 6687580.0, 217082297.0, 6100465962.0, 3072703457.0, 69881790.0, 7067948.0, 66926.0, 2312777, 47301.72 
4611.197304, 860.0, 4369953924.0, 25327672.0, 48653892.0, 83659427.0, 11193836452.0, 266168.0, 860.0, 4591175894.0, 1180.0, 21182069829.0, 21314962.0, 5338818834.0, 2876228793.0, 5530112.0, 192318262.0, 5866822379.0, 2972325491.0, 67075213.0, 7068897.0, 77584.0, 2307715, 47321.79 
4709.879458, 792.0, 4465310613.0, 23629772.0, 49185947.0, 80429915.0, 11419086198.0, 262937.0, 792.0, 4669144139.0, 1169.0, 20860177751.0, 18988286.0, 5742780916.0, 3054711212.0, 7231778.0, 194044176.0, 5446012582.0, 2892114336.0, 78515494.0, 7068897.0, 77601.0, 2312222, 47425.57 
