task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
3661.066727, 499.0, 3378437065.0, 20906355.0, 35170112.0, 62615715.0, 9269922659.0, 138454.0, 499.0, 3623112509.0, 786.0, 15680352446.0, 15047941.0, 4379003448.0, 2352797990.0, 5785235.0, 152473586.0, 4290880423.0, 2359957079.0, 59407519.0, 6355567.0, 137560.0, 780398, 36335.4 
3684.664953, 469.0, 3304493948.0, 21216771.0, 31992225.0, 56125619.0, 8957671593.0, 140407.0, 469.0, 3663194409.0, 747.0, 16493964538.0, 14851960.0, 4436220787.0, 2140266448.0, 5658427.0, 147068319.0, 4206588950.0, 2307671383.0, 52551739.0, 6355567.0, 136164.0, 778174, 36612.1 
3725.965552, 446.0, 3187259308.0, 16315671.0, 39253773.0, 63909607.0, 9165068064.0, 139012.0, 446.0, 3705841478.0, 733.0, 16090463293.0, 14362768.0, 4641217072.0, 2416741202.0, 7041398.0, 144793864.0, 4216369627.0, 2152851993.0, 60545473.0, 6355567.0, 136193.0, 789842, 36601.17 
3647.568735, 480.0, 3386443435.0, 18240981.0, 29312390.0, 50901685.0, 9123788928.0, 135249.0, 480.0, 3619455586.0, 781.0, 16317583901.0, 16215703.0, 4524235402.0, 2241715003.0, 4423029.0, 161453869.0, 3971736510.0, 2249275344.0, 67976495.0, 6355567.0, 136187.0, 802332, 36729.61 
3780.90729, 485.0, 3330519258.0, 18617791.0, 33762954.0, 56893093.0, 8894037768.0, 137975.0, 485.0, 3746988570.0, 787.0, 16070420334.0, 14574550.0, 4563342149.0, 2129387705.0, 5970420.0, 151265233.0, 4469253505.0, 2305371740.0, 58364507.0, 6355567.0, 136800.0, 815398, 36499.68 
3687.642591, 523.0, 3192688930.0, 18687994.0, 38278074.0, 60857908.0, 9106841703.0, 138452.0, 523.0, 3639964177.0, 816.0, 16218547562.0, 14719272.0, 4287938255.0, 2080071900.0, 5662397.0, 145010952.0, 4332012551.0, 2236835036.0, 57380773.0, 6355567.0, 136214.0, 798034, 36757.16 
3539.25156, 464.0, 3226956437.0, 18973177.0, 35958819.0, 62835406.0, 8562004258.0, 137202.0, 464.0, 3529160450.0, 770.0, 15196068723.0, 13179706.0, 3888788100.0, 2165235059.0, 5474110.0, 134014716.0, 4727895656.0, 2351499164.0, 53123229.0, 6355567.0, 139065.0, 781257, 36170.52 
3735.826983, 456.0, 3405299287.0, 18091436.0, 31729828.0, 57844365.0, 8968490646.0, 141358.0, 456.0, 3713584094.0, 763.0, 15148223038.0, 13963674.0, 4360088412.0, 2446115163.0, 6016667.0, 157359703.0, 4503008468.0, 2350946005.0, 66734221.0, 6355567.0, 136157.0, 777134, 36827.13 
3620.540738, 481.0, 3431232712.0, 20347986.0, 35000379.0, 62118411.0, 8336946242.0, 138762.0, 481.0, 3585083479.0, 754.0, 14631705068.0, 14058640.0, 4017178466.0, 2491771127.0, 6069491.0, 152028451.0, 4689942826.0, 2376261288.0, 59775369.0, 6355567.0, 137413.0, 807296, 36329.82 
3665.578301, 468.0, 3164407643.0, 18148397.0, 37252947.0, 61939683.0, 9085924421.0, 138157.0, 468.0, 3643612478.0, 775.0, 15958916781.0, 14694846.0, 4662555833.0, 2226211440.0, 6964993.0, 132617706.0, 4148218440.0, 2046865083.0, 52788847.0, 6355567.0, 136674.0, 824604, 36543.96 
