task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
2862.014558, 563.0, 2450638060.0, 15295713.0, 29261792.0, 53427154.0, 6809480101.0, 145001.0, 563.0, 2702982985.0, 654.0, 10641449563.0, 13970783.0, 3292006540.0, 1849296378.0, 5913463.0, 108052314.0, 3512722522.0, 1850432465.0, 49185580.0, 3737116.0, 80909.0, 279633, 34808.32 
2966.922303, 472.0, 2570437946.0, 16055283.0, 23736947.0, 49179455.0, 7350314864.0, 140766.0, 472.0, 2879227212.0, 680.0, 11586206956.0, 14450846.0, 3432917675.0, 1806918204.0, 5190017.0, 126000951.0, 3475905672.0, 1722133438.0, 58307912.0, 3737116.0, 80882.0, 279633, 34798.39 
2838.155902, 533.0, 2522536772.0, 14886524.0, 21381197.0, 43737085.0, 7053390697.0, 143603.0, 533.0, 2699005333.0, 657.0, 11344722795.0, 13874324.0, 3629203810.0, 1748274207.0, 3863164.0, 118212418.0, 3385254677.0, 1770404304.0, 56481205.0, 3737116.0, 80999.0, 279495, 34813.33 
2976.203977, 528.0, 2432419853.0, 14689140.0, 30686322.0, 52504402.0, 6808816087.0, 146246.0, 528.0, 2894519537.0, 685.0, 12086767991.0, 16633507.0, 3704399614.0, 1695809265.0, 5291301.0, 114348194.0, 3404848356.0, 1746790256.0, 58083527.0, 3737116.0, 80880.0, 279815, 34795.86 
2938.465969, 447.0, 2465933604.0, 15248853.0, 22894116.0, 45237508.0, 7536382593.0, 144613.0, 447.0, 2920503998.0, 666.0, 12251525536.0, 13779509.0, 3490040624.0, 1792251054.0, 8396589.0, 107715240.0, 3280561095.0, 1919858568.0, 49791173.0, 3737116.0, 81052.0, 278944, 34804.36 
2847.618137, 434.0, 2323197708.0, 13542121.0, 28899425.0, 51663782.0, 6883287459.0, 145364.0, 434.0, 2783399976.0, 643.0, 11526656327.0, 13859185.0, 3579476866.0, 1865915421.0, 4862582.0, 101772288.0, 3678091711.0, 1830548803.0, 55414472.0, 3737116.0, 80749.0, 279908, 34797.98 
2970.640545, 422.0, 2247774102.0, 14711580.0, 26078582.0, 49591391.0, 7343243059.0, 144386.0, 422.0, 2953371998.0, 696.0, 12114850332.0, 15414826.0, 3782963053.0, 1901692946.0, 5769780.0, 112475804.0, 3715569988.0, 1858304944.0, 57259911.0, 3737116.0, 80988.0, 279586, 34790.92 
2946.508767, 468.0, 2516787501.0, 16446785.0, 22795916.0, 45742690.0, 7489416349.0, 146087.0, 468.0, 2879858298.0, 660.0, 12715235326.0, 15265433.0, 3338140234.0, 1751335185.0, 5522899.0, 120788373.0, 3527546734.0, 1900885803.0, 46586339.0, 3737116.0, 80879.0, 279752, 34807.14 
2860.057305, 447.0, 2459708678.0, 15333605.0, 23026895.0, 44396094.0, 7246130866.0, 150207.0, 447.0, 2811889422.0, 684.0, 12334392092.0, 14483049.0, 3307243676.0, 1769491624.0, 5218375.0, 110984483.0, 3393882590.0, 1785501064.0, 50712696.0, 3737116.0, 81145.0, 279891, 34806.16 
2892.324079, 387.0, 2558293893.0, 16132913.0, 24102369.0, 48856460.0, 7010004321.0, 146599.0, 387.0, 2881241516.0, 671.0, 11139440234.0, 14165254.0, 3454501591.0, 1765785666.0, 4602395.0, 115693089.0, 3568357186.0, 1830596274.0, 51862810.0, 3737116.0, 80969.0, 279775, 34803.29 
