task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
1004.131765, 248.0, 658449013.0, 6224737.0, 5955162.0, 17862743.0, 2195805559.0, 25848.0, 248.0, 991379739.0, 431.0, 2979800987.0, 4229588.0, 1011147246.0, 544897673.0, 1485329.0, 30234343.0, 1056596516.0, 548478410.0, 23993183.0, 1481662.0, 146293.0, 43106, 9779.94 
1027.293326, 244.0, 738147885.0, 8178345.0, 7133489.0, 17471764.0, 2311046055.0, 27878.0, 244.0, 1015491981.0, 416.0, 3194667884.0, 3729176.0, 989700422.0, 585968066.0, 1957081.0, 33863965.0, 1039422167.0, 582857806.0, 21474827.0, 1446235.0, 146295.0, 39611, 10074.73 
1055.488988, 306.0, 757720471.0, 7362123.0, 8679687.0, 18306182.0, 2222352580.0, 26076.0, 306.0, 989033617.0, 429.0, 3029130555.0, 5776473.0, 966945318.0, 456008731.0, 2669130.0, 35351675.0, 960599826.0, 524601311.0, 23156871.0, 1468381.0, 146293.0, 40081, 9970.49 
1001.450646, 262.0, 660725345.0, 7301277.0, 7037213.0, 17935879.0, 2098739282.0, 27327.0, 262.0, 974120597.0, 433.0, 2953776903.0, 4223760.0, 1000380250.0, 437322209.0, 1390196.0, 32189717.0, 944588031.0, 565078376.0, 25277740.0, 1484451.0, 146358.0, 39637, 9602.15 
967.651722, 240.0, 601229832.0, 8719689.0, 9634890.0, 20432825.0, 2222545957.0, 24694.0, 240.0, 955825115.0, 427.0, 3325905786.0, 3936641.0, 1134314921.0, 423427034.0, 1466035.0, 25603838.0, 920992139.0, 497807634.0, 20005973.0, 1481146.0, 146297.0, 40585, 8859.39 
958.080618, 248.0, 571927465.0, 7417633.0, 5949533.0, 16593990.0, 2101045655.0, 23548.0, 248.0, 938462113.0, 431.0, 2872520976.0, 4061734.0, 1015674944.0, 454834642.0, 1440671.0, 32795613.0, 881450294.0, 477349839.0, 23285275.0, 1484451.0, 191124.0, 40810, 8845.71 
1063.426828, 296.0, 727134256.0, 6627682.0, 8006336.0, 18826072.0, 2232516009.0, 27697.0, 296.0, 1015481900.0, 439.0, 3105920542.0, 4683507.0, 978594293.0, 568947391.0, 2305948.0, 31547029.0, 944265597.0, 541901589.0, 23739251.0, 1476924.0, 146271.0, 40181, 9981.58 
1051.062977, 294.0, 597537600.0, 7764879.0, 8750463.0, 18605297.0, 2120881294.0, 39876.0, 294.0, 1012409011.0, 456.0, 2975213858.0, 4747746.0, 1099676874.0, 507764755.0, 1554505.0, 38200927.0, 922020902.0, 498265720.0, 24793008.0, 1481662.0, 146294.0, 39610, 9630.48 
1022.720984, 282.0, 667401990.0, 7297626.0, 9283639.0, 18809540.0, 2148997261.0, 41407.0, 282.0, 992385017.0, 423.0, 3247993476.0, 5076892.0, 996383099.0, 513102271.0, 1558720.0, 29002862.0, 961360864.0, 564272609.0, 20396135.0, 1471322.0, 146289.0, 43158, 9501.2 
1024.050401, 270.0, 683478403.0, 7053947.0, 7859559.0, 19006125.0, 2274894827.0, 38834.0, 270.0, 1006341082.0, 451.0, 3016283800.0, 5006957.0, 954954857.0, 547752173.0, 1541204.0, 31094762.0, 972623572.0, 505207272.0, 24933255.0, 1471322.0, 615253.0, 40927, 8891.0 
1048.099638, 239.0, 656449468.0, 7028144.0, 8807907.0, 18445291.0, 2200507827.0, 41808.0, 239.0, 1045917680.0, 429.0, 3180691177.0, 4853641.0, 1014672686.0, 577869394.0, 2008293.0, 34195529.0, 872576612.0, 532762634.0, 26489705.0, 1481662.0, 146275.0, 39653, 9628.35 
964.004394, 264.0, 629633016.0, 7009428.0, 5791779.0, 17051854.0, 2070722775.0, 25249.0, 264.0, 952905739.0, 430.0, 2926092648.0, 3650953.0, 844782712.0, 470867018.0, 1441993.0, 28342803.0, 1051211938.0, 487280317.0, 21103468.0, 1463127.0, 254965.0, 39646, 8840.29 
1062.347867, 252.0, 607204313.0, 8842911.0, 7734045.0, 17102349.0, 1951545748.0, 38434.0, 252.0, 1048663828.0, 450.0, 2906236168.0, 4497248.0, 920546052.0, 480094534.0, 1980868.0, 28995354.0, 951187897.0, 488036837.0, 21580872.0, 1484451.0, 178842.0, 38195, 8800.46 
1019.839995, 250.0, 664070339.0, 7589697.0, 9229257.0, 20235765.0, 2188221526.0, 41237.0, 250.0, 1015014818.0, 428.0, 3368360087.0, 5300506.0, 1080821698.0, 466241873.0, 1895480.0, 32165069.0, 975245123.0, 543465362.0, 28096391.0, 1484451.0, 621684.0, 41264, 8921.77 
1056.284855, 263.0, 681408907.0, 7098418.0, 9110886.0, 19111740.0, 2219350895.0, 41995.0, 263.0, 1042079920.0, 468.0, 3135310029.0, 4645581.0, 975948781.0, 447292487.0, 1757723.0, 38075788.0, 961110262.0, 492572912.0, 25571975.0, 1484451.0, 146271.0, 40127, 9941.0 
1036.531436, 260.0, 647744660.0, 6107246.0, 7392774.0, 17182468.0, 2174173031.0, 31515.0, 260.0, 1028322621.0, 450.0, 2965552568.0, 4429947.0, 1003741393.0, 550290440.0, 1891573.0, 31089000.0, 968452093.0, 561567998.0, 25808150.0, 1468381.0, 146285.0, 41363, 9166.37 
1027.516776, 271.0, 674713715.0, 6948553.0, 9283943.0, 19759248.0, 2200363801.0, 39054.0, 271.0, 1011984861.0, 451.0, 3097144056.0, 4070191.0, 1018719718.0, 548389768.0, 1963684.0, 32085147.0, 908083235.0, 526736256.0, 20117852.0, 1471322.0, 616253.0, 40811, 8896.5 
975.16794, 293.0, 605976001.0, 7130107.0, 5370104.0, 16356769.0, 2015978508.0, 27070.0, 293.0, 935841261.0, 429.0, 3078952640.0, 4225501.0, 1058302875.0, 476818812.0, 1393106.0, 29667606.0, 1069018574.0, 546833765.0, 18325781.0, 1484451.0, 146278.0, 39661, 9614.96 
