task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
1612.749801, 393.0, 1196028996.0, 10330092.0, 13141459.0, 29277015.0, 3467822787.0, 62699.0, 393.0, 1579442234.0, 647.0, 5034707411.0, 8716626.0, 1657461259.0, 790339823.0, 3035199.0, 52077935.0, 1728205823.0, 917714149.0, 31944398.0, 1862840.0, 56915.0, 561994, 11401.82 
1666.372078, 485.0, 1319993756.0, 12494771.0, 14677370.0, 35042274.0, 3633499987.0, 57119.0, 485.0, 1616414739.0, 677.0, 4879170797.0, 8167013.0, 1576916466.0, 768259168.0, 3296448.0, 60140162.0, 1688573844.0, 948976022.0, 34260793.0, 1862840.0, 56313.0, 607600, 11387.41 
1749.111988, 491.0, 1229529943.0, 10242691.0, 15863129.0, 32270935.0, 3871549480.0, 61915.0, 491.0, 1675994063.0, 689.0, 5345489524.0, 8845824.0, 1530556548.0, 825535676.0, 3235799.0, 58382451.0, 1554728867.0, 822019046.0, 35819438.0, 1862840.0, 56972.0, 643018, 11394.16 
1663.712774, 448.0, 993109130.0, 11205550.0, 16004892.0, 30452293.0, 3697068622.0, 61675.0, 448.0, 1607942937.0, 664.0, 5533136931.0, 8380436.0, 1678971368.0, 846762762.0, 2817535.0, 48656709.0, 1791149907.0, 844158487.0, 32399309.0, 1862840.0, 56748.0, 566121, 11403.47 
1724.295674, 483.0, 1219289912.0, 11328724.0, 17009818.0, 34976887.0, 3711556101.0, 53103.0, 483.0, 1611233129.0, 658.0, 5109631190.0, 8523217.0, 1560257906.0, 831786375.0, 3379377.0, 57572228.0, 1770451500.0, 921498667.0, 37671426.0, 1862840.0, 56216.0, 569802, 11399.2 
1638.279453, 486.0, 1262171633.0, 12306291.0, 16569031.0, 32356946.0, 3722125573.0, 57875.0, 486.0, 1559897224.0, 673.0, 5342899406.0, 8749627.0, 1515209928.0, 800542720.0, 2881101.0, 55043549.0, 1763224279.0, 911708298.0, 34760898.0, 1864580.0, 56729.0, 588872, 11431.08 
1650.621213, 456.0, 1056034336.0, 11549395.0, 12509031.0, 29579599.0, 3842492319.0, 62238.0, 456.0, 1565478087.0, 638.0, 5678511531.0, 7294402.0, 1724412916.0, 757605181.0, 3318441.0, 53623760.0, 1490236829.0, 820672158.0, 37033934.0, 1862840.0, 56876.0, 579641, 11403.94 
1608.799829, 456.0, 1038223259.0, 10071006.0, 18280508.0, 32343234.0, 3519604154.0, 50496.0, 456.0, 1539298259.0, 659.0, 5130994973.0, 7069305.0, 1630375679.0, 821247359.0, 2947400.0, 53359323.0, 1809840136.0, 914508351.0, 31445562.0, 1862840.0, 56233.0, 550919, 11397.9 
1698.48008, 485.0, 1139989993.0, 12013172.0, 13242617.0, 26550583.0, 3739782062.0, 62145.0, 485.0, 1624036827.0, 673.0, 5199240111.0, 10354672.0, 1607203838.0, 805137659.0, 4288841.0, 54933271.0, 1768573893.0, 927659343.0, 32556665.0, 1864580.0, 56225.0, 625886, 11417.5 
1652.198168, 421.0, 1135880309.0, 10400608.0, 13103983.0, 30394750.0, 3504153247.0, 62177.0, 421.0, 1631827078.0, 673.0, 4983213444.0, 7713077.0, 1686656269.0, 849580933.0, 2986218.0, 54337776.0, 1686978131.0, 851207019.0, 32657257.0, 1862840.0, 56934.0, 552424, 11398.81 
1737.503135, 419.0, 1170284408.0, 11223789.0, 14657726.0, 26932944.0, 3944926945.0, 62727.0, 419.0, 1699994326.0, 651.0, 5386163384.0, 9084359.0, 1620811138.0, 857945006.0, 3738607.0, 52376869.0, 1625131246.0, 834743608.0, 40273412.0, 1862840.0, 56980.0, 616041, 11399.23 
1690.558018, 426.0, 1056436422.0, 10417998.0, 19309719.0, 34879122.0, 3626621169.0, 60814.0, 426.0, 1668685387.0, 669.0, 5437363700.0, 8112678.0, 1741717303.0, 859759323.0, 3086563.0, 51138530.0, 1742574762.0, 887187160.0, 32038517.0, 1862840.0, 56927.0, 618131, 11396.93 
1675.70293, 437.0, 1050271123.0, 11728940.0, 14096477.0, 28757665.0, 3738087217.0, 56354.0, 437.0, 1637589486.0, 656.0, 5607216524.0, 7430614.0, 1703131545.0, 819983892.0, 3156480.0, 51303034.0, 1550154066.0, 767975046.0, 30226218.0, 1862840.0, 56934.0, 627603, 11394.57 
1660.139385, 446.0, 943086277.0, 10731615.0, 15608426.0, 29326409.0, 3640191313.0, 57770.0, 446.0, 1614719877.0, 662.0, 5690224860.0, 8268177.0, 1844433502.0, 886782732.0, 2640642.0, 48640243.0, 1627978099.0, 769521185.0, 30825964.0, 1862840.0, 56141.0, 632911, 11404.88 
1659.536894, 415.0, 1186291920.0, 12192892.0, 17281004.0, 32822599.0, 3737704194.0, 62612.0, 415.0, 1625166869.0, 670.0, 5259985750.0, 9181808.0, 1588876103.0, 765499177.0, 2542859.0, 55215616.0, 1673496121.0, 908384042.0, 36337042.0, 1862840.0, 56270.0, 581145, 11392.89 
1655.587451, 430.0, 1200951819.0, 10490375.0, 13634144.0, 31235323.0, 3666972063.0, 61993.0, 430.0, 1645107697.0, 663.0, 5442878406.0, 7814939.0, 1466372816.0, 772353210.0, 2944454.0, 53481070.0, 1634186079.0, 829959856.0, 31877908.0, 1862840.0, 56297.0, 593624, 11393.98 
1646.970563, 488.0, 1163759652.0, 13181414.0, 13438347.0, 30215978.0, 3552396615.0, 61184.0, 488.0, 1566219655.0, 655.0, 5379247821.0, 8820852.0, 1462948527.0, 852093306.0, 2950245.0, 53064432.0, 1707515416.0, 862684873.0, 31624439.0, 1862840.0, 56081.0, 556994, 11405.59 
1669.278334, 462.0, 1129001465.0, 10757151.0, 16926231.0, 34007533.0, 3632977504.0, 60366.0, 462.0, 1590034884.0, 641.0, 5280671197.0, 7649026.0, 1624280636.0, 744577233.0, 3012617.0, 43642893.0, 1769198346.0, 838992156.0, 34523237.0, 1862840.0, 57018.0, 622307, 11399.83 
