task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
1321.374474, 430.0, 814502024.0, 9599937.0, 14092800.0, 27637822.0, 2758219075.0, 46729.0, 430.0, 1245027718.0, 576.0, 3711393833.0, 5094781.0, 1314092064.0, 634999582.0, 1999847.0, 40852990.0, 1310632881.0, 712765924.0, 27571074.0, 1411169.0, 104254.0, 101655, 9517.11 
1275.019149, 328.0, 771754142.0, 8971244.0, 11656113.0, 21795666.0, 2882956047.0, 29382.0, 328.0, 1242236105.0, 529.0, 4290263748.0, 5773217.0, 1133333902.0, 554399348.0, 2730420.0, 36578268.0, 1242440528.0, 601274170.0, 27830897.0, 1411169.0, 93797.0, 101770, 9545.91 
1252.015225, 402.0, 832979185.0, 9718874.0, 12307128.0, 25280573.0, 2836859870.0, 30767.0, 402.0, 1197436482.0, 565.0, 4526666945.0, 5020891.0, 1419524745.0, 643682999.0, 2230261.0, 39353171.0, 1013226681.0, 548127910.0, 24398778.0, 1411169.0, 104138.0, 101825, 9519.36 
1270.168579, 374.0, 850522471.0, 9108440.0, 10699430.0, 18789026.0, 2588237809.0, 43822.0, 374.0, 1242956074.0, 607.0, 4271049723.0, 4413838.0, 1286264906.0, 679910550.0, 2159127.0, 43091318.0, 1155631234.0, 650500528.0, 27286448.0, 1411169.0, 92613.0, 101574, 9527.75 
1352.931187, 364.0, 972008924.0, 9195388.0, 10166700.0, 23849067.0, 2752764250.0, 54381.0, 364.0, 1295050673.0, 586.0, 4036849379.0, 5929928.0, 1319801495.0, 591435181.0, 1990558.0, 38029516.0, 1266071024.0, 746440631.0, 33419585.0, 1411169.0, 96372.0, 101561, 9512.6 
1279.719286, 369.0, 908284904.0, 9741628.0, 9453818.0, 23012980.0, 2939058062.0, 29966.0, 369.0, 1242758757.0, 575.0, 4647825801.0, 4705583.0, 1082212934.0, 586903895.0, 2341856.0, 39924013.0, 1125941391.0, 686970410.0, 25839369.0, 1411169.0, 94756.0, 101751, 9523.93 
1224.714187, 317.0, 957635605.0, 9014927.0, 10751210.0, 22219762.0, 2643644727.0, 40913.0, 317.0, 1202310309.0, 520.0, 4269737504.0, 4994397.0, 1384344348.0, 599928511.0, 1784012.0, 41127133.0, 1013420101.0, 525693373.0, 24465959.0, 1411169.0, 102127.0, 101996, 9541.54 
1379.235131, 382.0, 884659465.0, 8731555.0, 11497724.0, 22575123.0, 2907631880.0, 55979.0, 382.0, 1321865319.0, 564.0, 4697879298.0, 5913568.0, 1213955968.0, 642806814.0, 2533711.0, 45823719.0, 1196824300.0, 623532192.0, 31071996.0, 1411169.0, 92813.0, 101913, 9554.8 
1320.952862, 374.0, 994764134.0, 7520701.0, 11518131.0, 22831432.0, 2826304501.0, 54279.0, 374.0, 1287899430.0, 569.0, 3944993996.0, 5830434.0, 1170497016.0, 588041602.0, 1640690.0, 40693057.0, 1312968972.0, 696188743.0, 28566210.0, 1411425.0, 103601.0, 101871, 9586.06 
1297.215694, 380.0, 855504125.0, 7941279.0, 10836655.0, 24315695.0, 2869041514.0, 53155.0, 380.0, 1223804779.0, 532.0, 4631890203.0, 5231212.0, 1288526417.0, 670830390.0, 2512836.0, 41397548.0, 1176670730.0, 643151458.0, 27347527.0, 1411169.0, 98814.0, 101628, 9509.5 
1335.685312, 411.0, 936444522.0, 8207585.0, 15216547.0, 29142193.0, 2555342475.0, 53608.0, 411.0, 1263100295.0, 570.0, 3588165435.0, 4978055.0, 1198352411.0, 677927133.0, 1903443.0, 42051244.0, 1383869410.0, 705381280.0, 33458733.0, 1411169.0, 103912.0, 101623, 9524.29 
1295.147024, 343.0, 863076519.0, 8314009.0, 9790934.0, 22192821.0, 2753886735.0, 42643.0, 343.0, 1259305172.0, 572.0, 4166657983.0, 4787223.0, 1248375674.0, 642587552.0, 2748885.0, 38208198.0, 1165509071.0, 682071433.0, 25134898.0, 1411169.0, 104994.0, 101539, 9505.86 
1330.959087, 384.0, 865690586.0, 8825212.0, 11492419.0, 21120328.0, 2818680812.0, 55853.0, 384.0, 1272076990.0, 576.0, 4240000805.0, 5069278.0, 1343252647.0, 654582789.0, 2037501.0, 46182806.0, 1194236414.0, 724421860.0, 31977412.0, 1411169.0, 103750.0, 101845, 9531.67 
1334.940883, 414.0, 942346705.0, 10137892.0, 14070573.0, 25774102.0, 2532075376.0, 55993.0, 414.0, 1246346356.0, 553.0, 3638601731.0, 5409834.0, 1106818369.0, 695201963.0, 2131454.0, 37877798.0, 1374306024.0, 724235318.0, 29020583.0, 1411169.0, 93459.0, 101470, 9489.87 
1333.766849, 335.0, 973917502.0, 8988392.0, 9293193.0, 22715367.0, 2857419895.0, 56201.0, 335.0, 1289240633.0, 534.0, 4035817850.0, 5999356.0, 1214908952.0, 581167946.0, 1921604.0, 38807894.0, 1178802453.0, 692984564.0, 27231078.0, 1411169.0, 93848.0, 101478, 9533.55 
1335.647845, 368.0, 1008219289.0, 9760759.0, 9425204.0, 24133958.0, 2939875189.0, 41002.0, 368.0, 1294766324.0, 608.0, 4054451433.0, 4714016.0, 1148213382.0, 684719759.0, 1914625.0, 41243915.0, 1221579287.0, 681056320.0, 30440756.0, 1411169.0, 91805.0, 101599, 9532.5 
1294.564848, 389.0, 869809048.0, 9271090.0, 13232717.0, 23376023.0, 2667123647.0, 54467.0, 389.0, 1261294573.0, 609.0, 3975885097.0, 5167570.0, 1156907402.0, 635516275.0, 2352667.0, 41408037.0, 1390588830.0, 719712862.0, 30980848.0, 1411169.0, 96573.0, 101541, 9518.42 
1310.214172, 385.0, 884437176.0, 8840912.0, 10049963.0, 23298647.0, 2879377542.0, 41051.0, 385.0, 1278628850.0, 619.0, 4350725278.0, 4920146.0, 1356642520.0, 641129173.0, 1932513.0, 46791984.0, 1084911693.0, 567292664.0, 25384417.0, 1411169.0, 92669.0, 101651, 9531.83 
1264.432235, 371.0, 829003996.0, 9291354.0, 8926282.0, 22111233.0, 3011366182.0, 41555.0, 371.0, 1213845912.0, 550.0, 4536311701.0, 4974023.0, 1294315905.0, 605368617.0, 2116874.0, 39552146.0, 1213078744.0, 762996374.0, 26641040.0, 1411169.0, 94060.0, 101711, 9522.42 
1350.264034, 340.0, 1007928239.0, 8151320.0, 12244886.0, 26940068.0, 2721779294.0, 55855.0, 340.0, 1307100428.0, 569.0, 3533303502.0, 6046637.0, 1338201722.0, 650169413.0, 1809705.0, 35686813.0, 1125342418.0, 635094837.0, 30096839.0, 1411169.0, 95348.0, 101485, 9515.39 
1307.828778, 350.0, 981160562.0, 9324295.0, 11014989.0, 25831993.0, 2850734232.0, 56126.0, 350.0, 1260396812.0, 536.0, 3731622256.0, 6410981.0, 1164215764.0, 572389095.0, 2212855.0, 41663658.0, 1246108773.0, 749208239.0, 25543011.0, 1411169.0, 93890.0, 101464, 9522.07 
1345.007878, 385.0, 828052671.0, 8706456.0, 12570135.0, 26890798.0, 2851053149.0, 47032.0, 385.0, 1297164005.0, 582.0, 4105068836.0, 4835250.0, 1253432595.0, 703747718.0, 2339784.0, 42169246.0, 1208185099.0, 644458119.0, 27128039.0, 1411169.0, 96672.0, 101532, 9518.2 
1333.09088, 403.0, 875144460.0, 8082687.0, 10888696.0, 21363837.0, 2819475134.0, 56569.0, 403.0, 1249530900.0, 596.0, 4409935279.0, 5277653.0, 1354623957.0, 613017498.0, 2085495.0, 49014379.0, 1281226130.0, 674330888.0, 25537572.0, 1411169.0, 93975.0, 101791, 9549.15 
1338.857405, 406.0, 836750570.0, 7913470.0, 10729978.0, 19766557.0, 2980010038.0, 55858.0, 406.0, 1260419852.0, 574.0, 4184249565.0, 5368992.0, 1283922227.0, 671886504.0, 2522269.0, 42644143.0, 1078340596.0, 622012850.0, 29334971.0, 1411169.0, 95508.0, 101581, 9517.26 
1257.85064, 319.0, 868687575.0, 8006166.0, 10448386.0, 22305827.0, 2850972658.0, 30363.0, 319.0, 1229535523.0, 528.0, 4623416823.0, 4968686.0, 1354400835.0, 618829392.0, 2091411.0, 40315165.0, 1096419277.0, 573683322.0, 27036652.0, 1411169.0, 92878.0, 101498, 9518.9 
1344.664762, 347.0, 809123259.0, 9083416.0, 10715119.0, 21513510.0, 2887718174.0, 38203.0, 347.0, 1323695864.0, 549.0, 4526020458.0, 5596917.0, 1325680241.0, 628337624.0, 2416850.0, 42397753.0, 1173768769.0, 629151261.0, 28217229.0, 1411169.0, 93834.0, 101440, 9519.04 
1330.016704, 389.0, 726582639.0, 8522299.0, 13670958.0, 23751898.0, 2705761637.0, 47090.0, 389.0, 1270102498.0, 572.0, 4356313473.0, 4835994.0, 1215433773.0, 683685390.0, 2074617.0, 46738744.0, 1444599146.0, 722380929.0, 31157171.0, 1411169.0, 96262.0, 101650, 9525.71 
1343.189817, 438.0, 784375305.0, 7982815.0, 13693786.0, 27287865.0, 2748827615.0, 48271.0, 438.0, 1240878872.0, 598.0, 4243257653.0, 4557214.0, 1238376450.0, 574137872.0, 3254104.0, 38128971.0, 1201909763.0, 597937593.0, 32966270.0, 1411169.0, 99524.0, 101722, 9514.92 
1344.513889, 342.0, 1066097898.0, 7682508.0, 10197184.0, 23952326.0, 2891989543.0, 55412.0, 342.0, 1326135015.0, 598.0, 3946946504.0, 6247082.0, 1203994532.0, 630441653.0, 2130829.0, 36855424.0, 1135844735.0, 678141018.0, 26335542.0, 1411169.0, 104451.0, 101616, 9518.6 
1315.920614, 365.0, 900899846.0, 8468663.0, 11588611.0, 25611697.0, 2846537831.0, 55114.0, 365.0, 1270891541.0, 527.0, 3920334521.0, 6486074.0, 1222537740.0, 695034342.0, 1980763.0, 39566997.0, 1364134743.0, 736463248.0, 23001219.0, 1411169.0, 96446.0, 101691, 9515.62 
1303.38083, 350.0, 915336394.0, 9052059.0, 12883467.0, 24887873.0, 2810088374.0, 43173.0, 350.0, 1244065243.0, 543.0, 4355515133.0, 5293053.0, 1231265754.0, 616507000.0, 2075806.0, 41900245.0, 1140105666.0, 651003701.0, 30330756.0, 1411169.0, 94697.0, 101871, 9541.64 
1250.348129, 404.0, 821055729.0, 7941915.0, 9980176.0, 20738369.0, 2542277073.0, 39348.0, 404.0, 1180205619.0, 606.0, 4220927836.0, 4880074.0, 1188287399.0, 632356045.0, 1833684.0, 41814353.0, 1207169875.0, 654415000.0, 20694096.0, 1411169.0, 92953.0, 101526, 9524.67 
1311.829938, 372.0, 995313784.0, 7412122.0, 9173045.0, 21094513.0, 2692295581.0, 37608.0, 372.0, 1254529334.0, 570.0, 3650247005.0, 5142765.0, 1122576509.0, 614773053.0, 2068182.0, 43564382.0, 1162328376.0, 697360858.0, 25957289.0, 1411169.0, 365142.0, 105903, 9785.19 
1319.585388, 354.0, 796596990.0, 7766828.0, 13912190.0, 26270946.0, 2940316881.0, 53993.0, 354.0, 1281148322.0, 540.0, 4266976702.0, 5713310.0, 1192996917.0, 684163990.0, 2586813.0, 39521019.0, 1376246333.0, 668249678.0, 31094690.0, 1411169.0, 95608.0, 101572, 9519.8 
1279.118401, 343.0, 866635772.0, 9493661.0, 10738300.0, 22506732.0, 2792995320.0, 55940.0, 343.0, 1240170931.0, 563.0, 4469288681.0, 5235472.0, 1325851637.0, 681196815.0, 1970803.0, 43202554.0, 1135109544.0, 680500984.0, 26967523.0, 1411169.0, 95666.0, 101510, 9511.29 
1351.075577, 390.0, 955140247.0, 9913636.0, 11841789.0, 24106322.0, 2698353357.0, 51933.0, 390.0, 1276482564.0, 565.0, 4092385812.0, 5270882.0, 1290721888.0, 660082526.0, 3470672.0, 46860201.0, 1217370942.0, 730716402.0, 28339240.0, 1411169.0, 104436.0, 101710, 9519.36 
1315.412117, 356.0, 959838950.0, 8774569.0, 10606306.0, 24544766.0, 2969131782.0, 54011.0, 356.0, 1286396837.0, 590.0, 4226375420.0, 5763290.0, 1367431716.0, 528177934.0, 2138571.0, 34552277.0, 1151906623.0, 684257938.0, 26901855.0, 1411169.0, 94251.0, 102071, 9560.1 
1306.908395, 380.0, 850694493.0, 9135477.0, 9589229.0, 21810602.0, 2762010452.0, 49487.0, 380.0, 1269796326.0, 584.0, 4842847630.0, 4831584.0, 1307505990.0, 644924356.0, 2528375.0, 42085795.0, 1160875264.0, 623474312.0, 29772288.0, 1411169.0, 93751.0, 101390, 9517.9 
