task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
943.625585, 212.0, 664004623.0, 7930144.0, 5766156.0, 17571376.0, 2036875384.0, 31740.0, 212.0, 923045593.0, 385.0, 3002812755.0, 4029895.0, 819085106.0, 459755928.0, 1590524.0, 28350275.0, 767403834.0, 444609781.0, 22374259.0, 768948.0, 106263.0, 79708, 8186.05 
984.27858, 238.0, 553931796.0, 6104508.0, 8320124.0, 19114610.0, 1914092529.0, 34296.0, 238.0, 976060025.0, 428.0, 2572083047.0, 3732316.0, 943260503.0, 423551814.0, 1468866.0, 27651902.0, 843205059.0, 412718977.0, 24965221.0, 751540.0, 76083.0, 73281, 7123.27 
1002.54567, 214.0, 580832388.0, 7029844.0, 6520903.0, 19062079.0, 2035463194.0, 37138.0, 214.0, 999692998.0, 400.0, 2816722138.0, 4916046.0, 935678991.0, 495127396.0, 1712307.0, 28288732.0, 960077309.0, 501037742.0, 21493983.0, 768948.0, 94542.0, 81442, 8309.91 
975.235743, 270.0, 539778259.0, 7858885.0, 8766138.0, 19554156.0, 2118094023.0, 37270.0, 270.0, 924173999.0, 410.0, 3085294807.0, 4570939.0, 1079672023.0, 468969064.0, 1414402.0, 22107735.0, 866533758.0, 463631779.0, 19075762.0, 738281.0, 92673.0, 80218, 8282.77 
891.550329, 201.0, 571741815.0, 7911705.0, 6435127.0, 15750659.0, 1751043249.0, 34320.0, 201.0, 890452407.0, 365.0, 2424061470.0, 3491899.0, 788204275.0, 422557601.0, 1608117.0, 25724626.0, 841842220.0, 483317471.0, 24808812.0, 768948.0, 85864.0, 73894, 7225.74 
944.463756, 254.0, 594796141.0, 6672493.0, 8500631.0, 20534035.0, 2149930302.0, 37848.0, 254.0, 920317904.0, 408.0, 2686224923.0, 4629909.0, 1035265404.0, 438445717.0, 1884548.0, 27598856.0, 785899843.0, 395297772.0, 21956608.0, 768948.0, 106314.0, 79627, 8188.01 
891.684497, 259.0, 486087863.0, 8064427.0, 6297985.0, 17531499.0, 1978729414.0, 33984.0, 259.0, 853409376.0, 377.0, 2849026188.0, 4106690.0, 786863845.0, 415563806.0, 1745811.0, 25343659.0, 712099713.0, 394067173.0, 21191354.0, 751540.0, 77118.0, 73318, 7126.27 
916.865611, 224.0, 538713670.0, 7470671.0, 7239541.0, 16751895.0, 1964358510.0, 23539.0, 224.0, 897938888.0, 379.0, 2494407189.0, 2995965.0, 797337703.0, 424318484.0, 2023406.0, 24616263.0, 804998309.0, 456419835.0, 25459849.0, 751540.0, 69489.0, 76606, 7269.49 
930.531897, 272.0, 534637359.0, 6896896.0, 6328956.0, 16490423.0, 2045897808.0, 34681.0, 272.0, 865831473.0, 411.0, 2739361919.0, 3978438.0, 886904522.0, 436912051.0, 1760619.0, 27351000.0, 688105355.0, 424703704.0, 27999335.0, 751540.0, 86014.0, 73327, 7129.51 
911.742191, 261.0, 536547280.0, 9141660.0, 5825768.0, 16918699.0, 1924297045.0, 20508.0, 261.0, 891793329.0, 405.0, 2657120829.0, 3281355.0, 828485135.0, 402989589.0, 2155005.0, 26710021.0, 738027650.0, 424410580.0, 21047926.0, 768948.0, 69598.0, 73809, 7213.63 
