task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
2744.820436, 458.0, 2180500130.0, 14575395.0, 27098733.0, 51671522.0, 6985002734.0, 131222.0, 458.0, 2713939047.0, 751.0, 11492184819.0, 16305874.0, 3439133205.0, 1565738358.0, 5309184.0, 112038020.0, 3253577714.0, 1751660436.0, 52513421.0, 3122421.0, 83750.0, 170842, 27158.15 
2744.171874, 558.0, 2158596170.0, 16148773.0, 21709520.0, 45882975.0, 6909417558.0, 132932.0, 558.0, 2618723450.0, 761.0, 11475457250.0, 14425576.0, 3282252174.0, 1708912521.0, 4910062.0, 107401048.0, 2957394586.0, 1628050155.0, 52100893.0, 3122421.0, 85771.0, 167687, 26820.83 
2669.95928, 547.0, 2210766937.0, 16422843.0, 21616462.0, 46638713.0, 6641057192.0, 126651.0, 547.0, 2520509026.0, 724.0, 10594401494.0, 14942674.0, 3045059682.0, 1710234211.0, 4723925.0, 99500035.0, 3120417967.0, 1561587815.0, 45978112.0, 3122421.0, 83503.0, 169653, 27180.77 
2949.650835, 450.0, 2416293053.0, 14845784.0, 46081712.0, 89461885.0, 6431298948.0, 127821.0, 450.0, 2905665476.0, 743.0, 9867721792.0, 13998001.0, 3374339459.0, 1576607902.0, 6618147.0, 142795889.0, 3401018342.0, 1677801869.0, 51827336.0, 3122421.0, 96637.0, 165450, 26930.58 
2774.505272, 551.0, 2306197304.0, 15088382.0, 22466280.0, 45503200.0, 6523789421.0, 132249.0, 551.0, 2673225742.0, 776.0, 10317523789.0, 14448140.0, 3193381688.0, 1601133468.0, 5612666.0, 111084062.0, 3342724421.0, 1705918724.0, 56681481.0, 3122421.0, 84657.0, 171179, 26956.47 
2719.025987, 514.0, 2318783161.0, 16950582.0, 20550432.0, 45275757.0, 6934309285.0, 132411.0, 514.0, 2660782674.0, 783.0, 11078068897.0, 18006474.0, 3081082736.0, 1686326418.0, 4547531.0, 103711896.0, 3122176118.0, 1643734945.0, 53067407.0, 3122421.0, 84783.0, 168014, 26978.94 
2744.436276, 486.0, 2210838461.0, 16808336.0, 23252394.0, 51332295.0, 6782316527.0, 125926.0, 486.0, 2692700268.0, 750.0, 10943149014.0, 13218269.0, 3346162534.0, 1596375669.0, 6500164.0, 111833253.0, 3123245379.0, 1674948218.0, 54507259.0, 3122421.0, 83211.0, 169789, 27245.21 
2769.866971, 639.0, 2132438061.0, 14600616.0, 29010015.0, 52776221.0, 6749101644.0, 134044.0, 639.0, 2648040173.0, 758.0, 11276545887.0, 14136257.0, 3241737863.0, 1653107467.0, 3906597.0, 101423565.0, 3297410571.0, 1656764834.0, 57010717.0, 3122421.0, 84339.0, 171139, 27005.79 
2770.335008, 588.0, 2225379371.0, 13644014.0, 24508812.0, 49514478.0, 6576882143.0, 128803.0, 588.0, 2668103943.0, 754.0, 10784483962.0, 14486590.0, 3224365157.0, 1735210101.0, 4468761.0, 115569477.0, 3181806468.0, 1701945117.0, 49862941.0, 3122421.0, 96835.0, 168041, 27190.98 
2701.101604, 481.0, 2300878844.0, 13828720.0, 23165125.0, 47085365.0, 6615242906.0, 129458.0, 481.0, 2667338545.0, 742.0, 10344284214.0, 16160123.0, 3209274386.0, 1687499659.0, 4610641.0, 106792321.0, 3292154105.0, 1642273847.0, 53697718.0, 3122421.0, 83267.0, 172974, 27231.4 
2692.828442, 415.0, 1997151722.0, 13081739.0, 31557753.0, 52402975.0, 6123144604.0, 127615.0, 415.0, 2658851490.0, 665.0, 9590027762.0, 13289473.0, 3296931548.0, 1583496389.0, 4948221.0, 105758103.0, 3075967600.0, 1579432410.0, 54379358.0, 3122421.0, 85869.0, 170506, 26795.47 
