task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, throughput_b2a, similarity, time 
977.679313, 280.0, 617303677.0, 8591757.0, 7023471.0, 17355878.0, 2198600578.0, 23009.0, 280.0, 971469645.0, 513.0, 3339383355.0, 3562288.0, 914066801.0, 502579642.0, 1482529.0, 27428223.0, 991957855.0, 534486487.0, 22892988.0, 973547.0, 74381.0, 126017, 6008.77 
1014.500722, 288.0, 653365661.0, 7632191.0, 7182284.0, 18525267.0, 2187943938.0, 21240.0, 288.0, 988597204.0, 489.0, 3023690436.0, 3201150.0, 914994558.0, 520587518.0, 2155506.0, 28941983.0, 897035350.0, 496166171.0, 23572255.0, 973547.0, 74279.0, 126340, 6015.65 
982.674433, 310.0, 595881643.0, 6074772.0, 6076558.0, 15412267.0, 2056871725.0, 21922.0, 310.0, 942049373.0, 471.0, 2988812447.0, 3212317.0, 952528551.0, 410940511.0, 1952756.0, 28875982.0, 1064906093.0, 504158134.0, 20012404.0, 973547.0, 74360.0, 126178, 6014.55 
1048.561273, 260.0, 723063817.0, 7764997.0, 6892053.0, 18155019.0, 2158619490.0, 36368.0, 260.0, 1025627308.0, 495.0, 3100545319.0, 4265108.0, 956337220.0, 428004350.0, 1745554.0, 30943973.0, 868497926.0, 544185887.0, 28945049.0, 973547.0, 74440.0, 125932, 6006.32 
994.705025, 276.0, 586015492.0, 6731107.0, 10604222.0, 22064023.0, 1952052894.0, 22849.0, 276.0, 976448845.0, 492.0, 2693378030.0, 4057145.0, 1006288839.0, 448488553.0, 1401793.0, 27519740.0, 953721854.0, 454350637.0, 19434832.0, 973547.0, 74321.0, 126332, 6012.62 
995.698841, 279.0, 606151339.0, 7056119.0, 5551813.0, 14080249.0, 2157514632.0, 22079.0, 279.0, 980184313.0, 509.0, 2904059411.0, 3179473.0, 908832164.0, 462627367.0, 2383429.0, 27574241.0, 1075929262.0, 602869054.0, 19825373.0, 973547.0, 74300.0, 126712, 6020.22 
1063.020888, 306.0, 674098251.0, 9355106.0, 9230700.0, 20258824.0, 2133850457.0, 30479.0, 306.0, 1034827689.0, 503.0, 3119688408.0, 4113474.0, 948941288.0, 450578693.0, 1760310.0, 32598599.0, 973048498.0, 504759451.0, 27444105.0, 973547.0, 74304.0, 126219, 6018.78 
1045.192979, 281.0, 621636539.0, 7619598.0, 8104453.0, 17063438.0, 2130893990.0, 36151.0, 281.0, 1014152384.0, 467.0, 2866576509.0, 4667594.0, 881454499.0, 483793012.0, 2379520.0, 31601156.0, 1104179827.0, 637624468.0, 23900182.0, 973547.0, 74317.0, 126291, 6019.42 
995.300293, 302.0, 555143537.0, 7328358.0, 8253623.0, 17308331.0, 2156328339.0, 21475.0, 302.0, 943943179.0, 444.0, 2979534928.0, 3602052.0, 964171076.0, 445505716.0, 2183319.0, 32533370.0, 893236724.0, 483861940.0, 22768861.0, 973547.0, 74292.0, 126350, 6030.44 
1058.020005, 350.0, 597824325.0, 8348742.0, 6344855.0, 17272392.0, 2364009554.0, 24725.0, 350.0, 975258182.0, 467.0, 3136779350.0, 4048203.0, 863196987.0, 495483365.0, 2020167.0, 31309354.0, 966933868.0, 499376503.0, 23832393.0, 973547.0, 74516.0, 125816, 6002.37 
1016.136663, 275.0, 557064705.0, 6620744.0, 9672767.0, 21984641.0, 2060955317.0, 22221.0, 275.0, 999176800.0, 485.0, 2844445662.0, 4077926.0, 1090255577.0, 429164507.0, 2728860.0, 27326960.0, 988601528.0, 450866973.0, 18328893.0, 973547.0, 74330.0, 126434, 6018.91 
990.627684, 286.0, 579878850.0, 7910634.0, 6986953.0, 19773160.0, 1979162342.0, 30222.0, 286.0, 977884114.0, 498.0, 2892024278.0, 3766789.0, 948845774.0, 493344956.0, 1702859.0, 26882543.0, 942982530.0, 503643482.0, 24016955.0, 973547.0, 74367.0, 126170, 6010.33 
1019.508434, 302.0, 656819350.0, 7691399.0, 6667194.0, 18167696.0, 2024402819.0, 24606.0, 302.0, 973681459.0, 489.0, 2956213788.0, 3460396.0, 899470165.0, 483777050.0, 1699169.0, 35086259.0, 967970566.0, 562403675.0, 27653805.0, 973547.0, 74306.0, 126349, 6012.65 
1057.414542, 298.0, 613152271.0, 9414025.0, 10041946.0, 20036145.0, 2024279114.0, 36365.0, 298.0, 1019125804.0, 474.0, 2859587903.0, 3982969.0, 988655147.0, 522266630.0, 1681783.0, 29823139.0, 977949289.0, 533628228.0, 19304830.0, 973547.0, 74283.0, 126294, 6021.9 
