task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
3983.741488, 3015.0, 2847059103.0, 28779795.0, 43830044.0, 77711325.0, 8815131875.0, 171006.0, 3015.0, 4059230395.0, 3261.0, 13829817090.0, 18100347.0, 3589860567.0, 1989252755.0, 5482111.0, 137013067.0, 4060835523.0, 2011641898.0, 69598802.0, 4051135.0, 10834064, 22967.58 
3905.608156, 3029.0, 2976393083.0, 25920521.0, 44097374.0, 78401392.0, 8420857328.0, 153054.0, 3029.0, 3907269854.0, 3139.0, 12730174718.0, 16921854.0, 3960240626.0, 2065070163.0, 6545859.0, 140602433.0, 3373358416.0, 1786193532.0, 77207960.0, 3961748.0, 10497482, 22490.21 
3705.018539, 2901.0, 2591121833.0, 24490596.0, 46064774.0, 77915668.0, 8204247465.0, 147787.0, 2901.0, 3726454550.0, 3068.0, 12790503390.0, 15273248.0, 3619061400.0, 2095102974.0, 5899243.0, 117848044.0, 3360136818.0, 1702175894.0, 76906910.0, 3821895.0, 4185615, 21788.6 
3942.602921, 2956.0, 2843271679.0, 31130688.0, 45306908.0, 80602443.0, 9020999736.0, 156275.0, 2956.0, 4024081203.0, 3211.0, 13977102611.0, 15191390.0, 3604606817.0, 2247812746.0, 6761869.0, 138907664.0, 3802178775.0, 1893714309.0, 79117333.0, 3991864.0, 11131644, 23039.1 
4148.909477, 3144.0, 3348063996.0, 27022586.0, 49848188.0, 85669741.0, 8994390620.0, 164091.0, 3144.0, 4238329036.0, 3361.0, 14558422943.0, 14681396.0, 4298567559.0, 2030943254.0, 5658413.0, 140573378.0, 4058528472.0, 2295647080.0, 86174240.0, 4287670.0, 11057577, 24468.74 
4111.932649, 3099.0, 3146518987.0, 27587727.0, 47560570.0, 81888148.0, 9315434163.0, 160561.0, 3099.0, 4181953737.0, 3320.0, 15280700942.0, 15910561.0, 4240907316.0, 2070982849.0, 7015528.0, 147030564.0, 4239607341.0, 2381303958.0, 84879532.0, 4345682.0, 8900412, 24628.92 
3873.59796, 3026.0, 3070389030.0, 26685427.0, 42236836.0, 74331824.0, 8638484199.0, 136388.0, 3026.0, 3954148166.0, 3262.0, 14619510992.0, 14845823.0, 4041339302.0, 1942484036.0, 5362197.0, 135177332.0, 3875072886.0, 2135988794.0, 76252243.0, 4103968.0, 6876388, 23101.72 
4107.080868, 3104.0, 3161900830.0, 25547557.0, 46632164.0, 79326667.0, 9381751237.0, 178689.0, 3104.0, 4142892938.0, 3297.0, 14821708753.0, 16078628.0, 3910658954.0, 2336617379.0, 7071804.0, 146843257.0, 3845323444.0, 2008873182.0, 76648022.0, 4149814.0, 10548972, 23315.29 
4233.375909, 3162.0, 3194978242.0, 30250960.0, 47115108.0, 82145400.0, 10163530212.0, 146482.0, 3162.0, 4324861481.0, 3408.0, 15206525138.0, 16457574.0, 4186222591.0, 2386657174.0, 7083364.0, 150733047.0, 4183088999.0, 2208680223.0, 86521979.0, 4340354.0, 8865753, 24450.19 
4042.421379, 2925.0, 2874553617.0, 25977779.0, 42035108.0, 74880833.0, 9413791164.0, 169029.0, 2925.0, 4127899670.0, 3159.0, 14415226815.0, 17241705.0, 3978541735.0, 1757592783.0, 7682035.0, 155090041.0, 3809090293.0, 1806007888.0, 81408703.0, 3980796.0, 12343980, 22601.56 
3910.503716, 2967.0, 2912538149.0, 27204891.0, 41957104.0, 74730283.0, 9227400615.0, 168044.0, 2967.0, 3993606075.0, 3230.0, 14022891415.0, 18149839.0, 3593052343.0, 2115843091.0, 5855765.0, 133149946.0, 3865351705.0, 2003878584.0, 75226243.0, 3993041.0, 3855136, 22473.72 
3995.773068, 3028.0, 2642082344.0, 25668594.0, 49658817.0, 77412778.0, 9508995160.0, 171671.0, 3028.0, 4086834581.0, 3232.0, 15836983960.0, 15562585.0, 4076754092.0, 1840936527.0, 6665787.0, 138447551.0, 3944156532.0, 2133079936.0, 80991479.0, 4175145.0, 11535051, 23506.97 
3885.76584, 2951.0, 3047141418.0, 26006226.0, 40220891.0, 74540558.0, 8578059609.0, 162418.0, 2951.0, 3980985328.0, 3199.0, 13222353977.0, 16353505.0, 3631599617.0, 2002573673.0, 5711561.0, 130509108.0, 3746808543.0, 2174340022.0, 67945509.0, 3997212.0, 2058711, 22416.21 
4448.605061, 3269.0, 3019503847.0, 29382535.0, 53411595.0, 89364046.0, 9666152018.0, 187967.0, 3269.0, 4533317030.0, 3509.0, 14794684280.0, 17187076.0, 4809136549.0, 2235854481.0, 6729880.0, 152371075.0, 4548784471.0, 2317425502.0, 79944450.0, 4427754.0, 8211694, 25124.44 
4353.005805, 3360.0, 3478732884.0, 30420774.0, 49906060.0, 82241748.0, 9921688759.0, 193525.0, 3360.0, 4365798101.0, 3503.0, 16502995574.0, 19566048.0, 4412001471.0, 2170392470.0, 7470930.0, 137424409.0, 3987864269.0, 2287522640.0, 83081323.0, 4456088.0, 1995240, 25611.97 
4026.395637, 3007.0, 2864942958.0, 31969017.0, 46912857.0, 81871266.0, 9132942948.0, 168881.0, 3007.0, 4115896412.0, 3265.0, 14698481591.0, 18616438.0, 3737287092.0, 2284793233.0, 7506143.0, 134673020.0, 3812093942.0, 2224592624.0, 78126568.0, 4071248.0, 993084, 22902.08 
4353.505051, 3289.0, 3383137323.0, 27215928.0, 47995696.0, 84542093.0, 9910865480.0, 191130.0, 3289.0, 4425137711.0, 3516.0, 14679729406.0, 19100868.0, 4129396864.0, 2313996493.0, 5998553.0, 138195378.0, 4174775194.0, 2253988468.0, 78736917.0, 4336804.0, 3570880, 24521.13 
4360.253286, 3191.0, 3072647603.0, 27987159.0, 46975069.0, 85989574.0, 9736905029.0, 182281.0, 3191.0, 4442863978.0, 3437.0, 16019573140.0, 18316031.0, 4651683249.0, 1917713569.0, 7860251.0, 146318164.0, 4098127264.0, 2195839649.0, 84493453.0, 4291292.0, 2975549, 24107.13 
3881.976803, 3007.0, 2773271815.0, 28369257.0, 40954069.0, 72422326.0, 9298168441.0, 150944.0, 3007.0, 3956935759.0, 3204.0, 14942060094.0, 16552084.0, 3934967070.0, 2283036018.0, 6500535.0, 134226661.0, 3758934760.0, 2286632237.0, 79099523.0, 4120923.0, 8885167, 23206.43 
3931.65013, 2970.0, 2961984469.0, 26001218.0, 48173184.0, 86281779.0, 9229815932.0, 158904.0, 2970.0, 4014451006.0, 3211.0, 14296052073.0, 14526165.0, 3502692261.0, 2478414041.0, 6919933.0, 140663489.0, 4060081767.0, 2049636840.0, 76683707.0, 4073027.0, 7659664, 22943.16 
4098.504895, 3040.0, 3030703904.0, 27162935.0, 44307709.0, 76229265.0, 9303208663.0, 173933.0, 3040.0, 4174824152.0, 3275.0, 13761434857.0, 21764865.0, 4078064449.0, 2027100308.0, 7796800.0, 139220048.0, 3978974775.0, 2185357421.0, 84645514.0, 4107442.0, 5936211, 23545.17 
4264.996245, 3217.0, 3611672751.0, 27908734.0, 50345147.0, 86755383.0, 9481893140.0, 176308.0, 3217.0, 4353784439.0, 3471.0, 14992818762.0, 16907514.0, 4211046456.0, 1822324267.0, 6272643.0, 153245891.0, 4497547769.0, 2351757301.0, 74210586.0, 4345702.0, 9067738, 24633.59 
2895.186976, 2290.0, 1826269553.0, 19824974.0, 34146887.0, 56737865.0, 6282766670.0, 108171.0, 2290.0, 2950666094.0, 2525.0, 9095659630.0, 12071303.0, 2602327444.0, 1260453992.0, 5187842.0, 81505715.0, 2516953597.0, 1407690974.0, 62544397.0, 3122303.0, 10147397, 17823.75 
3967.877527, 3081.0, 2869642393.0, 29932438.0, 42815652.0, 76525601.0, 8983187189.0, 148626.0, 3081.0, 4030812659.0, 3310.0, 12946187582.0, 14797939.0, 3715006460.0, 2157086382.0, 7391728.0, 150315536.0, 4320540921.0, 2346989940.0, 70547291.0, 4102309.0, 11880544, 23045.92 
2762.709828, 2254.0, 1683424432.0, 22567115.0, 33243411.0, 57930785.0, 6084813808.0, 107125.0, 2254.0, 2829003014.0, 2449.0, 8784250058.0, 11648941.0, 2459958268.0, 1556576452.0, 4375150.0, 77023701.0, 2767301131.0, 1539866018.0, 59624870.0, 3122185.0, 6539976, 17674.09 
4347.938382, 3317.0, 3582398322.0, 26796964.0, 52601971.0, 83027996.0, 9891387920.0, 191644.0, 3317.0, 4419575535.0, 3555.0, 15013387073.0, 18423700.0, 4085826268.0, 2379384981.0, 6626359.0, 148856999.0, 4604624972.0, 2239112930.0, 86973410.0, 4416031.0, 7212593, 25066.94 
4078.398969, 3144.0, 3190410476.0, 25725086.0, 51408103.0, 90718235.0, 8780979905.0, 138089.0, 3144.0, 4123645412.0, 3329.0, 12602573737.0, 17059059.0, 3529224414.0, 1796229054.0, 8664421.0, 157395571.0, 4200935712.0, 2026413340.0, 78900313.0, 4173322.0, 2523653, 23390.81 
2928.664383, 2344.0, 2187039147.0, 19002544.0, 31077789.0, 59440843.0, 6211831043.0, 91606.0, 2344.0, 2986338257.0, 2564.0, 10021857510.0, 11184457.0, 2634825769.0, 1658594669.0, 4516283.0, 89400141.0, 2434292345.0, 1394014426.0, 52328045.0, 3131873.0, 4329604, 17925.14 
4034.823063, 3058.0, 2958614885.0, 28900712.0, 47686535.0, 76768973.0, 9401744441.0, 144566.0, 3058.0, 4117123316.0, 3281.0, 15610538261.0, 14374635.0, 3848322146.0, 2197602283.0, 6891699.0, 141939327.0, 3788508650.0, 2155032175.0, 82357962.0, 4154173.0, 7923841, 23350.19 
3978.904354, 3150.0, 2899487117.0, 26100533.0, 42797238.0, 74064502.0, 9016801217.0, 169419.0, 3150.0, 4069889689.0, 3407.0, 14798665282.0, 16254310.0, 4632159159.0, 2014676371.0, 5356971.0, 153217387.0, 3664424361.0, 1975461122.0, 78082106.0, 4152220.0, 763806, 23436.33 
