task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
885.874471, 517.0, 426570855.0, 7685552.0, 10819547.0, 22821209.0, 1973754673.0, 24961.0, 517.0, 877710967.0, 690.0, 2504213042.0, 3662081.0, 802231068.0, 448705832.0, 1497962.0, 22988929.0, 719498841.0, 373306149.0, 22844382.0, 514194.0, 12519, 3315.82 
935.48845, 518.0, 519166051.0, 8455815.0, 7884120.0, 17906762.0, 1954457953.0, 29722.0, 518.0, 939214717.0, 663.0, 2250722634.0, 3315910.0, 803577925.0, 414648916.0, 1617488.0, 28135886.0, 684209709.0, 405539419.0, 31085801.0, 514194.0, 15540, 3650.65 
843.77735, 491.0, 545318765.0, 9887885.0, 8362035.0, 19502237.0, 1946608353.0, 27780.0, 491.0, 850447478.0, 634.0, 2186587771.0, 3433116.0, 721647397.0, 314627876.0, 1191739.0, 24889166.0, 727048288.0, 335875270.0, 26988543.0, 514194.0, 14349, 3080.22 
900.789326, 516.0, 488321763.0, 9386129.0, 8038569.0, 19115019.0, 1916710573.0, 27957.0, 516.0, 904370404.0, 660.0, 2445194850.0, 3700564.0, 708082869.0, 334352967.0, 1828752.0, 22192559.0, 738550220.0, 362517788.0, 28935476.0, 514194.0, 14377, 3037.77 
930.904353, 488.0, 483995537.0, 8811320.0, 9717640.0, 20977466.0, 1865537435.0, 26414.0, 488.0, 920737636.0, 642.0, 2231077886.0, 3734411.0, 645531091.0, 421988232.0, 1857817.0, 23487746.0, 655906974.0, 388339860.0, 25167478.0, 514194.0, 14944, 3407.42 
903.343463, 504.0, 515448121.0, 7823434.0, 8220427.0, 19016010.0, 2068642863.0, 29515.0, 504.0, 889690390.0, 636.0, 2375265241.0, 4016010.0, 709497736.0, 438122947.0, 1792761.0, 20914781.0, 739264844.0, 349641339.0, 22849635.0, 514194.0, 16159, 3567.7 
942.911372, 509.0, 526270604.0, 7212523.0, 7886336.0, 18337300.0, 1924072404.0, 29271.0, 509.0, 940007464.0, 659.0, 2292386556.0, 4007557.0, 766383825.0, 364928658.0, 1651948.0, 28425417.0, 726280006.0, 410689272.0, 22861956.0, 514053.0, 15239, 3649.88 
870.607533, 514.0, 449620723.0, 10085999.0, 7404368.0, 18774853.0, 2018356330.0, 28637.0, 514.0, 847643538.0, 659.0, 2561810676.0, 3397643.0, 807434827.0, 270536077.0, 1640364.0, 20790513.0, 644206282.0, 313399224.0, 23145039.0, 514194.0, 14831, 3396.39 
890.145959, 494.0, 462569864.0, 9062278.0, 6866996.0, 17980514.0, 1850043467.0, 29220.0, 494.0, 885853199.0, 654.0, 2411047235.0, 3439358.0, 684301142.0, 333804979.0, 1363617.0, 27694138.0, 711496488.0, 411348066.0, 30479387.0, 514194.0, 15962, 3577.79 
921.791157, 493.0, 455812672.0, 7184991.0, 8008590.0, 18558045.0, 1983757352.0, 29047.0, 493.0, 914345339.0, 651.0, 2580980687.0, 3618473.0, 936287289.0, 392337476.0, 1503308.0, 22761931.0, 736273006.0, 381908064.0, 26608944.0, 514194.0, 15949, 3578.8 
896.546297, 518.0, 419963749.0, 7458944.0, 7004061.0, 18145011.0, 2045901365.0, 24905.0, 518.0, 883822814.0, 666.0, 2461605308.0, 3380976.0, 758049477.0, 436162727.0, 1979986.0, 23684405.0, 731129885.0, 351699652.0, 16834545.0, 514194.0, 14128, 3061.97 
887.656539, 492.0, 518718285.0, 7501669.0, 7481513.0, 17663530.0, 1704769579.0, 28503.0, 492.0, 881673664.0, 655.0, 1992065818.0, 3925602.0, 755867570.0, 414535663.0, 1408646.0, 21837849.0, 687133412.0, 430999710.0, 16238589.0, 514194.0, 14800, 3391.46 
867.564449, 506.0, 511499250.0, 7757812.0, 7599448.0, 18230417.0, 1990816750.0, 27960.0, 506.0, 868415043.0, 644.0, 2381390910.0, 4005143.0, 748435647.0, 328703688.0, 1411591.0, 24231087.0, 701103698.0, 351857156.0, 25277532.0, 514053.0, 13285, 3343.66 
864.141672, 480.0, 459276472.0, 7918783.0, 7966484.0, 18473004.0, 2024475947.0, 27923.0, 480.0, 863867146.0, 637.0, 2367867369.0, 4011156.0, 705650848.0, 330328295.0, 1596883.0, 21552822.0, 721911465.0, 372439974.0, 22044940.0, 514053.0, 13423, 3428.78 
870.039533, 482.0, 452232014.0, 8663013.0, 5962958.0, 15820471.0, 1778684555.0, 29082.0, 482.0, 879427417.0, 647.0, 2379506047.0, 3424510.0, 712532417.0, 343384789.0, 1114217.0, 34238635.0, 813113887.0, 408747952.0, 24525021.0, 514194.0, 14251, 3426.06 
894.122711, 497.0, 474224271.0, 9204507.0, 8303382.0, 19247322.0, 1995805079.0, 28611.0, 497.0, 895551399.0, 652.0, 2441077679.0, 3209824.0, 739387817.0, 404367040.0, 1553661.0, 19509307.0, 585015177.0, 389295716.0, 25997489.0, 514194.0, 14805, 3578.82 
860.88802, 498.0, 513330682.0, 9054720.0, 4447149.0, 13814089.0, 1650554574.0, 27873.0, 498.0, 860587551.0, 664.0, 1963763925.0, 3399725.0, 678389007.0, 313459843.0, 2278572.0, 21750606.0, 585963343.0, 358430036.0, 22352514.0, 514194.0, 15045, 3077.69 
920.559901, 513.0, 480284934.0, 8314675.0, 9117467.0, 18925664.0, 1935400149.0, 29016.0, 513.0, 914291473.0, 628.0, 2271920683.0, 4036198.0, 783303582.0, 338805022.0, 1570585.0, 20628599.0, 668342402.0, 347454287.0, 17661833.0, 514194.0, 14886, 3404.59 
858.216685, 481.0, 456771566.0, 7822880.0, 7109183.0, 17114207.0, 1963828154.0, 29113.0, 481.0, 858790542.0, 646.0, 2487444689.0, 4035156.0, 689949876.0, 332672307.0, 1445718.0, 20878627.0, 778959748.0, 420005921.0, 20826145.0, 514194.0, 14174, 3181.96 
906.943755, 486.0, 445600263.0, 8175350.0, 9164510.0, 19074453.0, 1972574330.0, 28740.0, 486.0, 908004384.0, 649.0, 2356046746.0, 3585875.0, 631058815.0, 381929627.0, 2239928.0, 24677212.0, 719959776.0, 360671102.0, 25471090.0, 514053.0, 13957, 3494.15 
922.097519, 485.0, 469057013.0, 8008514.0, 7699720.0, 16967768.0, 2069872204.0, 29839.0, 485.0, 917517672.0, 653.0, 2534951887.0, 4196486.0, 719706536.0, 451868829.0, 1610308.0, 20881761.0, 702098423.0, 402229002.0, 23840796.0, 514194.0, 16598, 3655.52 
