task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1754.11112, 573.0, 1291820090.0, 12014129.0, 14106993.0, 29125237.0, 4060459393.0, 59960.0, 573.0, 1749714368.0, 741.0, 6625743519.0, 8559913.0, 1728135567.0, 891830298.0, 3082100.0, 77397176.0, 1658150258.0, 883498301.0, 40431900.0, 2795008.0, 2220266, 12493.73 
1802.026457, 637.0, 1487432057.0, 12068252.0, 14280294.0, 30603422.0, 3758161713.0, 72021.0, 637.0, 1797777015.0, 777.0, 5999753003.0, 7406366.0, 1422720449.0, 786331601.0, 3392398.0, 54039383.0, 1607287132.0, 903624517.0, 39011526.0, 2797858.0, 2152795, 12461.32 
1808.650275, 628.0, 1301626225.0, 11135895.0, 14834672.0, 35279239.0, 3727517849.0, 71296.0, 628.0, 1795836821.0, 823.0, 4797290061.0, 7935589.0, 1655077476.0, 969524097.0, 3331295.0, 53087204.0, 1835015876.0, 901029190.0, 35556310.0, 2799262.0, 1154644, 12409.2 
1799.468498, 625.0, 1443153939.0, 11147815.0, 14856787.0, 30263218.0, 3944227913.0, 72686.0, 625.0, 1778807977.0, 761.0, 5875231818.0, 8193400.0, 1588922927.0, 792106255.0, 3278107.0, 50794049.0, 1701371331.0, 967471960.0, 42094503.0, 2797975.0, 2271587, 12465.83 
1765.63015, 641.0, 1108445185.0, 13115878.0, 18009019.0, 34589834.0, 3762754099.0, 72724.0, 641.0, 1746646425.0, 814.0, 5414352069.0, 7561089.0, 1853870423.0, 860644575.0, 2975313.0, 58386880.0, 1599245376.0, 807676548.0, 33410323.0, 2797827.0, 2247168, 12399.76 
1802.507333, 622.0, 1271137871.0, 11160621.0, 15529849.0, 31987178.0, 3991077760.0, 59761.0, 622.0, 1789832321.0, 782.0, 5618839956.0, 6981977.0, 1707337462.0, 872226012.0, 3246621.0, 55839090.0, 1791415204.0, 899090032.0, 39689488.0, 2797845.0, 1910469, 12471.71 
1818.098259, 649.0, 1354779811.0, 11829911.0, 13114595.0, 28488025.0, 3910126313.0, 72225.0, 649.0, 1814863241.0, 852.0, 6313129800.0, 6999200.0, 1573877368.0, 901327859.0, 3888193.0, 61695747.0, 1564087999.0, 959247819.0, 39461663.0, 2802089.0, 1575262, 12538.22 
1816.452154, 622.0, 1486149309.0, 12710695.0, 12889496.0, 27819367.0, 3767255198.0, 73122.0, 622.0, 1800727590.0, 794.0, 6034449880.0, 8965861.0, 1515896766.0, 875803666.0, 3608787.0, 58900729.0, 1817405143.0, 967049726.0, 29513430.0, 2802502.0, 2183661, 12519.9 
1773.249008, 623.0, 1396743829.0, 10785747.0, 14072130.0, 29203974.0, 3853978493.0, 72554.0, 623.0, 1761643946.0, 789.0, 6327024891.0, 7833847.0, 1601721313.0, 958202495.0, 3182554.0, 55483747.0, 1701578657.0, 968086866.0, 40562983.0, 2802530.0, 1905846, 12919.74 
1735.539561, 627.0, 1111512351.0, 12260322.0, 18521192.0, 37394845.0, 3719951461.0, 72321.0, 627.0, 1725742163.0, 790.0, 5583212014.0, 7197141.0, 1787633377.0, 827265703.0, 2211257.0, 51661714.0, 1647641911.0, 783789931.0, 33529216.0, 2797859.0, 2407590, 12917.86 
1817.987027, 669.0, 1185398532.0, 12567165.0, 15122910.0, 31208202.0, 4343276835.0, 71648.0, 669.0, 1736358332.0, 784.0, 6707976568.0, 6978224.0, 1650673246.0, 757508200.0, 4166620.0, 58667328.0, 1511936565.0, 877787251.0, 38721063.0, 2799061.0, 1135376, 12693.02 
1721.996494, 599.0, 1399868916.0, 11531726.0, 13514016.0, 32132231.0, 3789844383.0, 72754.0, 599.0, 1713130171.0, 755.0, 6249215823.0, 8472677.0, 1550523136.0, 928867192.0, 2874232.0, 57037505.0, 1696914438.0, 945508555.0, 35187034.0, 2797980.0, 2373235, 12488.69 
1837.509286, 620.0, 1377677425.0, 11210200.0, 13440472.0, 30235213.0, 3811882649.0, 72198.0, 620.0, 1834021689.0, 796.0, 6097172162.0, 7854679.0, 1468313043.0, 884645712.0, 3825462.0, 57534098.0, 1664048234.0, 908801332.0, 41584674.0, 2799220.0, 832667, 12421.2 
2007.333657, 642.0, 1168114833.0, 14316281.0, 18485263.0, 38002898.0, 4692329864.0, 64868.0, 642.0, 2008912209.0, 821.0, 7916401673.0, 7924613.0, 2039393984.0, 901584450.0, 4469862.0, 71930344.0, 1869552445.0, 1057124263.0, 46039364.0, 2797914.0, 1819039, 17719.97 
1736.361571, 607.0, 1325991210.0, 10612671.0, 18074173.0, 36586310.0, 3446195566.0, 66168.0, 607.0, 1727651152.0, 777.0, 4844825880.0, 6914847.0, 1712422715.0, 841564871.0, 2470594.0, 54168896.0, 1828038618.0, 966170872.0, 31287984.0, 2803710.0, 809885, 12488.28 
1664.596012, 615.0, 902293228.0, 12981686.0, 16695663.0, 32122508.0, 3780811230.0, 42429.0, 615.0, 1655567892.0, 779.0, 5634368812.0, 6000249.0, 1649670097.0, 920179682.0, 2294789.0, 48629036.0, 1665098686.0, 885081096.0, 41554617.0, 2798799.0, 671271, 12483.46 
1694.164881, 571.0, 1291463187.0, 10173153.0, 12744888.0, 29784726.0, 3822819269.0, 55694.0, 571.0, 1687610833.0, 755.0, 6106388878.0, 5712221.0, 1558337761.0, 927292500.0, 2676315.0, 54602457.0, 1551000924.0, 843020997.0, 28140455.0, 2796264.0, 1044702, 12482.59 
