task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
879.554575, 340.0, 474529347.0, 7734102.0, 5113141.0, 16990396.0, 1755418079.0, 30280.0, 340.0, 875165600.0, 565.0, 2236107418.0, 2851073.0, 629339800.0, 251344531.0, 988242.0, 24415933.0, 676859430.0, 380836246.0, 22600888.0, 962456.0, 245719, 5290.47 
872.484074, 374.0, 542919367.0, 6130102.0, 8166344.0, 18255012.0, 1572101723.0, 30037.0, 374.0, 837456379.0, 496.0, 2267408990.0, 2754107.0, 664715915.0, 401474512.0, 1897275.0, 19472139.0, 688139250.0, 382473311.0, 19065128.0, 962330.0, 238930, 5270.25 
799.782241, 322.0, 444889220.0, 8992905.0, 4557904.0, 13581411.0, 1728504684.0, 18827.0, 322.0, 789396432.0, 477.0, 2193519891.0, 2183199.0, 627891291.0, 313938901.0, 1426087.0, 19863432.0, 562666222.0, 305342536.0, 18798206.0, 962505.0, 150331, 5286.59 
853.128947, 333.0, 470053118.0, 6849550.0, 4106622.0, 13714842.0, 1594347274.0, 16600.0, 333.0, 844245550.0, 469.0, 2280131990.0, 2421116.0, 574816856.0, 358523954.0, 1267756.0, 16522971.0, 740197006.0, 383418090.0, 19003797.0, 957624.0, 249446, 5286.61 
796.921309, 323.0, 428673528.0, 10220814.0, 4860552.0, 14722783.0, 1659435884.0, 16361.0, 323.0, 791741249.0, 476.0, 2507510232.0, 2377280.0, 723931909.0, 292616303.0, 938938.0, 21861738.0, 610502961.0, 285409588.0, 16861144.0, 966129.0, 260203, 5330.74 
859.867397, 360.0, 507776055.0, 7849849.0, 6690857.0, 16664650.0, 1686437435.0, 29818.0, 360.0, 853908921.0, 526.0, 2275011547.0, 3030232.0, 733827071.0, 297539209.0, 1069488.0, 20398277.0, 554883813.0, 318110236.0, 11974183.0, 956795.0, 219518, 5258.15 
849.12186, 340.0, 423073049.0, 8036786.0, 5570492.0, 14500342.0, 1576236781.0, 29613.0, 340.0, 843109420.0, 501.0, 2166848093.0, 2319287.0, 651795276.0, 310074696.0, 1689076.0, 20091205.0, 780092203.0, 393566129.0, 26704757.0, 966185.0, 203660, 5419.14 
869.931408, 328.0, 537988919.0, 7309500.0, 7499201.0, 16972627.0, 1815114606.0, 30199.0, 328.0, 859571494.0, 493.0, 2494071275.0, 3116962.0, 818979272.0, 337003297.0, 1550300.0, 22409323.0, 561574958.0, 320179316.0, 13358716.0, 966384.0, 255654, 5426.11 
855.328756, 343.0, 445933935.0, 6957371.0, 5768632.0, 16310606.0, 1503736501.0, 30189.0, 343.0, 855074747.0, 500.0, 2043636910.0, 2482378.0, 681245352.0, 388752020.0, 1852631.0, 20095611.0, 765322378.0, 383747486.0, 24802511.0, 962746.0, 227456, 5370.39 
873.232182, 350.0, 411037939.0, 6786379.0, 5631270.0, 13921093.0, 1539074579.0, 27809.0, 350.0, 867929560.0, 491.0, 2075705414.0, 2662032.0, 539641562.0, 371162578.0, 1783914.0, 20864150.0, 710540731.0, 412901903.0, 23057169.0, 953190.0, 271103, 5283.46 
831.965419, 395.0, 421234840.0, 6268985.0, 7217229.0, 17478345.0, 1588423670.0, 24058.0, 395.0, 788899188.0, 575.0, 2136235629.0, 2387079.0, 677023966.0, 407629773.0, 1466982.0, 20254712.0, 828559757.0, 433798635.0, 22845221.0, 950732.0, 144795, 5335.16 
848.090782, 334.0, 467812886.0, 7436202.0, 6381919.0, 15812187.0, 1705677307.0, 30180.0, 334.0, 830209837.0, 508.0, 2380556769.0, 2620133.0, 631919966.0, 301278514.0, 1398805.0, 21377416.0, 679944608.0, 425050980.0, 21450745.0, 953054.0, 266077, 5303.71 
805.209999, 354.0, 500257472.0, 8170824.0, 4558194.0, 14002189.0, 1539177731.0, 14624.0, 354.0, 792100861.0, 507.0, 2097244385.0, 2427873.0, 634611845.0, 305484312.0, 1632097.0, 25881888.0, 594047188.0, 347492064.0, 15355520.0, 962481.0, 127753, 5337.68 
860.528654, 359.0, 458436127.0, 7743962.0, 6036035.0, 16030378.0, 1707583925.0, 27221.0, 359.0, 847552451.0, 515.0, 2294418923.0, 2554517.0, 688648384.0, 308529644.0, 1801382.0, 22799271.0, 632358838.0, 385885949.0, 25363208.0, 953060.0, 210640, 5338.07 
864.642224, 354.0, 470236530.0, 5786285.0, 7254411.0, 16478238.0, 1675067748.0, 15130.0, 354.0, 848192691.0, 505.0, 2420484382.0, 2403541.0, 613880057.0, 367422224.0, 1189457.0, 19837614.0, 707918229.0, 366764432.0, 18392819.0, 943653.0, 113284, 5196.87 
830.389719, 346.0, 439613167.0, 7753289.0, 6393994.0, 17573569.0, 1524148102.0, 15345.0, 346.0, 817031993.0, 494.0, 2002267779.0, 2431572.0, 698407090.0, 356713347.0, 1480543.0, 21221466.0, 589421977.0, 276859956.0, 15538714.0, 962483.0, 114126, 5308.53 
843.475426, 399.0, 453092934.0, 8605194.0, 5326424.0, 15673665.0, 1713147266.0, 29448.0, 399.0, 834526544.0, 590.0, 2029597443.0, 2374853.0, 575466613.0, 387727558.0, 1487017.0, 21324417.0, 849895310.0, 375347956.0, 27479717.0, 943850.0, 143547, 5196.11 
875.283775, 357.0, 451795046.0, 7567397.0, 7494404.0, 17278785.0, 1690301093.0, 15234.0, 357.0, 854393542.0, 491.0, 2117126000.0, 2689868.0, 741598498.0, 328533021.0, 1571556.0, 21047332.0, 653866452.0, 338656326.0, 20061110.0, 952997.0, 129466, 5235.96 
840.664558, 344.0, 496861535.0, 7958500.0, 7505022.0, 17468721.0, 1685100215.0, 30612.0, 344.0, 830330316.0, 489.0, 2677571579.0, 3117071.0, 756224025.0, 356979505.0, 1614242.0, 18251828.0, 547860880.0, 399811512.0, 16896630.0, 962679.0, 227945, 5333.48 
907.440127, 324.0, 524421141.0, 8420687.0, 7231787.0, 18070810.0, 1802564051.0, 29648.0, 324.0, 900090456.0, 488.0, 2226108082.0, 3380133.0, 783965444.0, 360962442.0, 1578974.0, 20390127.0, 624645110.0, 341128228.0, 18957199.0, 962512.0, 199033, 5263.79 
816.190473, 334.0, 475862470.0, 6075829.0, 5334000.0, 13739157.0, 1612374177.0, 29493.0, 334.0, 813839628.0, 494.0, 2327596797.0, 3140782.0, 571742049.0, 320918578.0, 1209120.0, 23962258.0, 702713638.0, 418911121.0, 22791490.0, 962560.0, 179174, 5286.39 
825.519724, 318.0, 521434403.0, 7705926.0, 6414137.0, 16344599.0, 1740005574.0, 27276.0, 318.0, 834642269.0, 485.0, 2354141082.0, 2929189.0, 718310255.0, 319342976.0, 1187915.0, 25248952.0, 649409556.0, 381668666.0, 15960903.0, 962447.0, 230605, 5328.71 
834.764986, 399.0, 530625860.0, 6192285.0, 6567687.0, 16870788.0, 1634615799.0, 24575.0, 399.0, 819992529.0, 486.0, 2204060268.0, 2363970.0, 614893524.0, 380236294.0, 1935120.0, 17465322.0, 614684628.0, 313841074.0, 21659131.0, 969406.0, 241883, 5360.01 
858.22334, 333.0, 463265951.0, 6855602.0, 5187000.0, 14422995.0, 1701084237.0, 28158.0, 333.0, 850693855.0, 484.0, 2237299124.0, 2859442.0, 671385601.0, 317349751.0, 1774029.0, 25047595.0, 633123782.0, 316713447.0, 13676182.0, 962475.0, 273968, 5349.41 
817.370215, 339.0, 485238922.0, 7709856.0, 6914093.0, 17155093.0, 1674717148.0, 29787.0, 339.0, 813349125.0, 496.0, 2207614709.0, 3424927.0, 808453122.0, 392774119.0, 1092711.0, 19149715.0, 596839955.0, 331749723.0, 15768098.0, 966535.0, 196180, 5313.57 
861.928283, 343.0, 448183897.0, 7979571.0, 5283948.0, 16652823.0, 1764040822.0, 23107.0, 343.0, 851530733.0, 508.0, 2188842278.0, 2605844.0, 620700465.0, 293203578.0, 1037812.0, 23854548.0, 584663149.0, 301825443.0, 14108607.0, 962403.0, 202888, 5369.67 
866.078132, 365.0, 495625123.0, 6797570.0, 6758977.0, 17280417.0, 1587570525.0, 15158.0, 365.0, 855353580.0, 492.0, 1956813594.0, 2275719.0, 592844740.0, 337076584.0, 1836518.0, 17682380.0, 746229014.0, 400455858.0, 18178966.0, 953201.0, 121613, 5215.57 
892.137639, 340.0, 436019520.0, 6111898.0, 5825350.0, 14093326.0, 1534435627.0, 29475.0, 340.0, 885460989.0, 509.0, 2124951195.0, 2314116.0, 581683188.0, 337251972.0, 1709884.0, 21457483.0, 836615696.0, 405942301.0, 22009232.0, 962522.0, 156060, 5404.73 
846.334602, 334.0, 485989122.0, 7297453.0, 6735893.0, 16761737.0, 1678845612.0, 15694.0, 334.0, 845652759.0, 484.0, 2432801267.0, 2750214.0, 637420655.0, 437107830.0, 1353405.0, 19597533.0, 600558095.0, 337497137.0, 19862667.0, 962505.0, 199835, 5257.52 
825.310229, 331.0, 392118780.0, 6202807.0, 5900912.0, 14292020.0, 1652043092.0, 15414.0, 331.0, 820544203.0, 495.0, 2528021362.0, 2447170.0, 620539747.0, 375659283.0, 1834537.0, 23112078.0, 610344372.0, 352627270.0, 22184924.0, 962687.0, 109778, 5286.86 
841.774723, 344.0, 561159988.0, 6565201.0, 7263102.0, 16707318.0, 1408608456.0, 26387.0, 344.0, 832183125.0, 499.0, 2068303879.0, 2151984.0, 621558768.0, 377524866.0, 2241372.0, 22632301.0, 710182971.0, 397326709.0, 17404931.0, 962455.0, 206885, 5332.02 
851.566753, 379.0, 505065429.0, 8066856.0, 5830501.0, 17509060.0, 1694863023.0, 28646.0, 379.0, 840025213.0, 514.0, 2396363433.0, 2555404.0, 667024767.0, 377517949.0, 1723897.0, 20243840.0, 802532476.0, 410682340.0, 23555438.0, 966344.0, 240073, 5308.35 
814.790304, 330.0, 461550009.0, 7198064.0, 7323213.0, 17615050.0, 1664400072.0, 28295.0, 330.0, 811940400.0, 494.0, 2335617670.0, 2856390.0, 763079714.0, 348218755.0, 1084009.0, 19648230.0, 639300566.0, 311546319.0, 18709399.0, 962397.0, 193015, 5343.05 
853.603736, 317.0, 406498285.0, 6051487.0, 5306792.0, 13539654.0, 1586713547.0, 29559.0, 317.0, 852574316.0, 466.0, 2219324963.0, 2727158.0, 668238479.0, 315360508.0, 1244484.0, 20759229.0, 716850396.0, 407571479.0, 23545332.0, 952938.0, 243344, 5274.85 
842.41015, 341.0, 521879147.0, 7224633.0, 8843636.0, 17544912.0, 1639229115.0, 21372.0, 341.0, 851912365.0, 505.0, 2079444018.0, 2405550.0, 595100511.0, 336156875.0, 1252585.0, 20751186.0, 661221658.0, 378913659.0, 15980010.0, 953316.0, 243889, 5293.68 
901.231247, 336.0, 487658437.0, 6748415.0, 6423989.0, 16427336.0, 1712766776.0, 30044.0, 336.0, 892881686.0, 483.0, 2373943226.0, 3820885.0, 798405404.0, 331728079.0, 1154458.0, 20874863.0, 657956777.0, 344936290.0, 18475489.0, 969299.0, 200187, 5360.9 
