task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1768.536889, 267.0, 1271586641.0, 9319669.0, 11324759.0, 36286520.0, 3836503114.0, 39321.0, 267.0, 1729638600.0, 402.0, 6099650154.0, 7311577.0, 1727481455.0, 902067288.0, 3032420.0, 61522613.0, 1654827401.0, 861953484.0, 39490801.0, 4007250.0, 3443537, 20082.71 
1469.2262, 268.0, 978401462.0, 8321707.0, 13951404.0, 30784401.0, 3105890067.0, 31441.0, 268.0, 1411310209.0, 398.0, 4800479064.0, 4959020.0, 1348885126.0, 702412413.0, 2623785.0, 50202386.0, 1344653015.0, 711249724.0, 35041526.0, 3125586.0, 4254084, 19845.17 
1577.032667, 223.0, 1070420319.0, 10504508.0, 9715451.0, 30016391.0, 3304338277.0, 34852.0, 223.0, 1557124054.0, 653.0, 4791354831.0, 5623219.0, 1414606518.0, 693506490.0, 2775715.0, 54673359.0, 1261731119.0, 720999804.0, 34615851.0, 3122327.0, 3506838, 19359.41 
2351.641087, 332.0, 1857908023.0, 11858450.0, 17886668.0, 44251661.0, 5626416135.0, 63419.0, 332.0, 2320654871.0, 536.0, 9134958001.0, 8581817.0, 2263544945.0, 1240556867.0, 4432601.0, 83164754.0, 2560104465.0, 1267236789.0, 39266890.0, 4236695.0, 1119133, 53470.38 
4892.389101, 330.0, 4903345034.0, 21560498.0, 45799806.0, 85132154.0, 12922820221.0, 212372.0, 330.0, 4875714583.0, 570.0, 25117587529.0, 18197555.0, 6872880208.0, 3160508846.0, 6615298.0, 233017644.0, 6533005488.0, 3390193692.0, 79738168.0, 3880009.0, 2199720, 136573.4 
1502.221579, 236.0, 1025843128.0, 8409605.0, 10169659.0, 31548591.0, 3513156490.0, 34448.0, 236.0, 1467427713.0, 514.0, 5367697513.0, 5023996.0, 1337830501.0, 659498779.0, 2790659.0, 46766059.0, 1268962356.0, 724297321.0, 32422435.0, 3122325.0, 3818495, 19585.72 
1660.537298, 230.0, 1059001996.0, 8892562.0, 18318856.0, 38763888.0, 4019753321.0, 38170.0, 230.0, 1630472835.0, 423.0, 5942697583.0, 6524790.0, 1649859494.0, 824289984.0, 3773658.0, 56551135.0, 1661111557.0, 833819231.0, 40789817.0, 3879902.0, 2541547, 19583.42 
2199.704346, 313.0, 1635880721.0, 10460152.0, 18313346.0, 50812155.0, 4947247329.0, 54817.0, 313.0, 2197207304.0, 808.0, 7279347219.0, 8877426.0, 2149510433.0, 1104258428.0, 4663819.0, 66973563.0, 1975800967.0, 1163962610.0, 44037070.0, 4113142.0, 1197176, 47840.29 
1782.533189, 255.0, 1161318461.0, 9913897.0, 18841811.0, 47253097.0, 4062272815.0, 39793.0, 255.0, 1774800704.0, 1103.0, 5894099391.0, 6996688.0, 1690736305.0, 854055957.0, 3518533.0, 56542940.0, 1706618018.0, 901043763.0, 47071463.0, 3871385.0, 3066686, 25074.05 
1454.810642, 215.0, 952744002.0, 7997141.0, 11532076.0, 30844188.0, 3090848339.0, 32727.0, 215.0, 1425228633.0, 415.0, 4722612455.0, 5678228.0, 1403331658.0, 594784159.0, 3181790.0, 40306167.0, 1336574306.0, 765443312.0, 32165851.0, 3122316.0, 4206933, 19392.06 
4938.962625, 266.0, 5011910168.0, 24641444.0, 46431527.0, 87070101.0, 12853722988.0, 200105.0, 266.0, 4922608668.0, 658.0, 24605779778.0, 18312124.0, 6922220586.0, 3302098675.0, 6978515.0, 224691204.0, 7004190009.0, 3780362097.0, 67877933.0, 3893295.0, 2157381, 155998.4 
4193.485091, 419.0, 4108710053.0, 21274806.0, 31288738.0, 69112138.0, 10213015109.0, 167820.0, 419.0, 4160758682.0, 505.0, 18992599064.0, 16502577.0, 5408435528.0, 2720029345.0, 5220047.0, 188102753.0, 5517148086.0, 2832088152.0, 70482169.0, 4113142.0, 1367326, 110197.89 
1970.766265, 246.0, 1361620918.0, 10753549.0, 14229747.0, 38510469.0, 4394392721.0, 48103.0, 246.0, 1966930236.0, 431.0, 7634077394.0, 7004695.0, 1841101786.0, 1037578896.0, 3715564.0, 68269647.0, 1767993233.0, 990164704.0, 47606819.0, 3856514.0, 1896298, 38499.28 
1515.937364, 184.0, 1010261451.0, 9651101.0, 11538829.0, 30115505.0, 3225889264.0, 31992.0, 184.0, 1502978986.0, 359.0, 4931505815.0, 5494359.0, 1411502751.0, 649096197.0, 2604912.0, 49930734.0, 1346277605.0, 744560090.0, 35415453.0, 3125599.0, 3971108, 19696.26 
1745.391781, 219.0, 1128381691.0, 11782293.0, 17374026.0, 38605525.0, 4029953195.0, 42383.0, 219.0, 1743389938.0, 552.0, 6433284066.0, 7221179.0, 1680467608.0, 900439704.0, 4256773.0, 58191879.0, 1781819073.0, 954001038.0, 43044421.0, 4068541.0, 3393273, 19970.21 
1924.326726, 253.0, 1183933421.0, 9887766.0, 17323719.0, 43463879.0, 4273418939.0, 41982.0, 253.0, 1913148958.0, 413.0, 5734726311.0, 6682272.0, 1779107595.0, 871073048.0, 3798724.0, 55329776.0, 1738741192.0, 878094515.0, 43404079.0, 3961721.0, 3631744, 24822.69 
2143.175899, 424.0, 1697202498.0, 11422224.0, 13776252.0, 41066934.0, 4744163543.0, 50529.0, 424.0, 2096231326.0, 555.0, 7668272270.0, 7983562.0, 2043034329.0, 1117741834.0, 4989399.0, 72204550.0, 2069840957.0, 1081637153.0, 46079520.0, 4176280.0, 1575611, 41139.54 
3606.948634, 1503.0, 2707448616.0, 19623523.0, 33696041.0, 66402214.0, 8495437790.0, 116282.0, 1503.0, 3609295966.0, 1726.0, 14309263052.0, 12901969.0, 3804592104.0, 1779494203.0, 5988199.0, 133412714.0, 3872209247.0, 2098138299.0, 52665505.0, 4495587.0, 757655, 52496.4 
1433.642036, 193.0, 1048434318.0, 8769412.0, 9317448.0, 33641143.0, 3389872580.0, 34966.0, 193.0, 1424650855.0, 537.0, 4657724948.0, 5336102.0, 1372255104.0, 844667284.0, 2623177.0, 48149382.0, 1302987637.0, 729786122.0, 42326736.0, 3122306.0, 3387710, 19249.05 
1443.999918, 179.0, 971761636.0, 7474945.0, 10240386.0, 31444489.0, 3158771566.0, 33215.0, 179.0, 1443087156.0, 367.0, 4923302426.0, 5142881.0, 1359337717.0, 673968624.0, 2607012.0, 47235548.0, 1315288076.0, 804748966.0, 33960638.0, 3122324.0, 3948084, 19400.58 
1671.67321, 267.0, 1310197143.0, 9895239.0, 11859658.0, 35155234.0, 3992305841.0, 42450.0, 267.0, 1684043986.0, 749.0, 6362346622.0, 6712469.0, 1678251360.0, 855362397.0, 2556884.0, 68570820.0, 1885676009.0, 930447067.0, 46490174.0, 4060755.0, 3238810, 19667.2 
