task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1777.463359, 386.0, 1292736939.0, 10815297.0, 14491334.0, 37048059.0, 3970624095.0, 73141.0, 386.0, 1743720742.0, 769.0, 6292898871.0, 7473665.0, 1414027791.0, 880007759.0, 3305463.0, 63539923.0, 1799988788.0, 948758524.0, 49365751.0, 2011802.0, 2670471, 12664.41 
1968.77601, 678.0, 1464399112.0, 15114688.0, 14677257.0, 39536104.0, 4624012793.0, 55179.0, 678.0, 1940001846.0, 1207.0, 6688088762.0, 7894950.0, 1725323942.0, 983273754.0, 4801345.0, 68135039.0, 1764157274.0, 921554286.0, 50163524.0, 2045075.0, 3466247, 12873.2 
1824.707723, 348.0, 1388092708.0, 11740025.0, 13610363.0, 35000712.0, 4242512855.0, 74433.0, 348.0, 1794806998.0, 611.0, 6531984029.0, 8605135.0, 1756816917.0, 914644960.0, 3537691.0, 56918070.0, 1648604884.0, 859789527.0, 43458043.0, 2009756.0, 2782740, 13094.25 
1533.014924, 384.0, 1054960099.0, 11861953.0, 11382995.0, 34727330.0, 3536250644.0, 32785.0, 384.0, 1484536598.0, 589.0, 5026826743.0, 5575967.0, 1319712745.0, 786003894.0, 2506354.0, 46279641.0, 1225677638.0, 675752507.0, 36349402.0, 2009453.0, 653542, 13179.68 
2040.03654, 775.0, 1394740317.0, 11593683.0, 19622497.0, 40525473.0, 4233980131.0, 44665.0, 775.0, 2007491965.0, 1021.0, 5892668777.0, 7049630.0, 1971646130.0, 863974384.0, 4505126.0, 60086432.0, 1896075072.0, 1018506453.0, 41902313.0, 2011961.0, 1329922, 12813.36 
1640.701804, 323.0, 938588659.0, 13017985.0, 12302328.0, 31983069.0, 3571896915.0, 56717.0, 323.0, 1612596917.0, 559.0, 5469322888.0, 6280950.0, 1548671231.0, 720105575.0, 3173294.0, 48683903.0, 1324803626.0, 674429569.0, 40690594.0, 2012731.0, 3022066, 13126.15 
1859.415392, 366.0, 1305781921.0, 11195502.0, 10906291.0, 35436172.0, 4177752539.0, 55916.0, 366.0, 1815136042.0, 779.0, 6351616275.0, 7547309.0, 1699167273.0, 1025385226.0, 3315203.0, 59541847.0, 1654154674.0, 786933730.0, 42262082.0, 2030956.0, 1781673, 12877.07 
1588.361848, 407.0, 975018248.0, 11783152.0, 10192011.0, 29781175.0, 3457585713.0, 34598.0, 407.0, 1555409276.0, 560.0, 5275491628.0, 6044607.0, 1494335339.0, 746504052.0, 2842228.0, 49775232.0, 1283621224.0, 685202648.0, 34534798.0, 2028336.0, 691255, 12585.29 
1944.481362, 429.0, 1423310192.0, 11138538.0, 11918890.0, 30511668.0, 4136482801.0, 76010.0, 429.0, 1915586978.0, 636.0, 6157230180.0, 8834898.0, 1580917439.0, 956978597.0, 4087998.0, 62344065.0, 1719810671.0, 1009865653.0, 44780173.0, 2025121.0, 1964595, 12817.5 
1814.68159, 269.0, 1345019771.0, 10968952.0, 20049373.0, 41495802.0, 3902810491.0, 52681.0, 269.0, 1776694765.0, 493.0, 5904435194.0, 8023695.0, 1804454856.0, 906242429.0, 3077383.0, 48141825.0, 1728170365.0, 800720224.0, 39536850.0, 2027050.0, 3398798, 12821.38 
1483.243568, 317.0, 1044713234.0, 10941257.0, 14573833.0, 33412797.0, 3410866747.0, 32740.0, 317.0, 1442160622.0, 518.0, 5134464326.0, 6185116.0, 1463177803.0, 663784985.0, 2355888.0, 46825759.0, 1319404406.0, 767478639.0, 34072367.0, 2027324.0, 1267754, 12995.23 
1807.054127, 598.0, 1047860500.0, 12077341.0, 19283803.0, 36114699.0, 4136182289.0, 41605.0, 598.0, 1789220562.0, 784.0, 6481823412.0, 7421227.0, 1727635640.0, 911914067.0, 3756574.0, 57264044.0, 1620940059.0, 833084091.0, 45435362.0, 2011301.0, 750909, 12873.22 
1494.7865, 255.0, 965786496.0, 8822586.0, 10815895.0, 29976547.0, 3306839762.0, 32357.0, 255.0, 1446284900.0, 487.0, 4951097345.0, 4963743.0, 1515025469.0, 643615952.0, 2760947.0, 47322482.0, 1228475562.0, 736831209.0, 37858872.0, 2012121.0, 1200063, 12766.85 
1784.148432, 353.0, 1447614615.0, 9473703.0, 13730183.0, 34347832.0, 3882831251.0, 75540.0, 353.0, 1750715828.0, 565.0, 5968752522.0, 7464029.0, 1624891162.0, 913900406.0, 3000228.0, 64728738.0, 1668121385.0, 879449017.0, 40994815.0, 2022594.0, 3245385, 12903.53 
1707.570755, 259.0, 1178640547.0, 11107306.0, 15938209.0, 38802076.0, 3890594576.0, 70565.0, 259.0, 1689843223.0, 780.0, 5689768219.0, 7975422.0, 1628787204.0, 923017893.0, 2620659.0, 60787527.0, 1875944338.0, 871121779.0, 45296597.0, 2024393.0, 2603501, 12804.49 
