task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
3529.740889, 586.0, 2436821480.0, 18004000.0, 30873929.0, 74251374.0, 8185571483.0, 143547.0, 586.0, 3527355610.0, 874.0, 12192029173.0, 14438911.0, 3536257577.0, 1862903806.0, 7119644.0, 118857089.0, 3413151023.0, 1741812874.0, 77697292.0, 8843827.0, 5550118, 28849.88 
2515.662182, 427.0, 1499475061.0, 12624844.0, 29238918.0, 62047969.0, 5397973662.0, 69491.0, 427.0, 2494675498.0, 630.0, 7665746383.0, 9580113.0, 2442940793.0, 1106011010.0, 5530765.0, 87462940.0, 2425249375.0, 1206681187.0, 56651144.0, 6909368.0, 6996761, 38569.3 
3495.707413, 474.0, 2396101674.0, 16605722.0, 31996366.0, 77725767.0, 8178816579.0, 143056.0, 474.0, 3494310465.0, 842.0, 12364375033.0, 14897661.0, 3651897020.0, 1755565635.0, 6208727.0, 126455716.0, 3526909318.0, 1799814929.0, 82773381.0, 9556884.0, 5715842, 27099.43 
3090.235657, 458.0, 2406227890.0, 16801837.0, 24751628.0, 70478049.0, 7330123036.0, 92839.0, 458.0, 3113803412.0, 824.0, 10769150940.0, 14128735.0, 3018834231.0, 1595474563.0, 6259977.0, 120903351.0, 3368826727.0, 1576184306.0, 63162669.0, 9035015.0, 1218405, 31307.74 
3753.749034, 529.0, 2711389882.0, 18442733.0, 30418674.0, 73140753.0, 8708728799.0, 154215.0, 529.0, 3752286135.0, 881.0, 14001310352.0, 14426841.0, 4120569949.0, 1986334297.0, 7196890.0, 139616766.0, 4034320538.0, 2106415091.0, 75856049.0, 12024717.0, 2802697, 71501.93 
2303.664447, 649.0, 1686930671.0, 15424571.0, 19655077.0, 45431776.0, 5362089986.0, 80933.0, 649.0, 2260726870.0, 981.0, 7122476534.0, 10651435.0, 2138862608.0, 1026822993.0, 5147899.0, 70421050.0, 2195649407.0, 1126906658.0, 49003546.0, 5785136.0, 6059785, 34658.13 
3595.129922, 568.0, 2764164429.0, 17698207.0, 28393615.0, 69809259.0, 8413173323.0, 157108.0, 568.0, 3484625620.0, 771.0, 11806552891.0, 13713916.0, 3629419228.0, 2017560001.0, 6465652.0, 137143881.0, 3953538961.0, 1937226711.0, 83410956.0, 10348227.0, 3744323, 65624.04 
3677.390452, 337.0, 2963267929.0, 16055815.0, 31648014.0, 81268397.0, 9286370910.0, 137663.0, 337.0, 3681707444.0, 748.0, 13827219424.0, 14612667.0, 4167130068.0, 2054329482.0, 6433241.0, 146760112.0, 4234897941.0, 2020307496.0, 81953369.0, 11359740.0, 1362588, 28503.34 
3573.269322, 746.0, 2510140421.0, 19055517.0, 32419857.0, 76660089.0, 8045732689.0, 136145.0, 746.0, 3524575423.0, 1477.0, 12386504432.0, 14512537.0, 3828135540.0, 1628881238.0, 6705002.0, 130415394.0, 3412521421.0, 1711473875.0, 84852086.0, 10357065.0, 4169708, 63853.23 
2670.677336, 480.0, 1720547978.0, 14809412.0, 22567688.0, 56340376.0, 5850374077.0, 97696.0, 480.0, 2637492062.0, 733.0, 8332575766.0, 12886270.0, 2573700115.0, 1350123752.0, 5525974.0, 96320341.0, 2549031104.0, 1314704414.0, 60119812.0, 7080391.0, 6917714, 29856.76 
3032.953266, 483.0, 1999286432.0, 16022976.0, 31009683.0, 74025879.0, 7156910190.0, 106159.0, 483.0, 3026870276.0, 743.0, 10293597261.0, 12841711.0, 3585811757.0, 1625560565.0, 7763587.0, 101808899.0, 3067114455.0, 1496469307.0, 71527812.0, 9044214.0, 2632703, 30365.94 
2827.91198, 386.0, 1875030621.0, 14598363.0, 25199385.0, 63462072.0, 6705646040.0, 72569.0, 386.0, 2802694384.0, 683.0, 9037429323.0, 13445519.0, 2777075271.0, 1299492154.0, 6180388.0, 93460376.0, 2854928943.0, 1448839165.0, 65560726.0, 7689219.0, 1431905, 32196.17 
3295.721827, 494.0, 2464589055.0, 18950516.0, 31157207.0, 77041829.0, 7521110307.0, 146802.0, 494.0, 3274762539.0, 1375.0, 11803374433.0, 14120984.0, 3597986833.0, 1731911647.0, 7131960.0, 112635455.0, 3837330543.0, 1935937415.0, 73998421.0, 11033813.0, 2523766, 68808.73 
2837.967796, 476.0, 1657376328.0, 13765994.0, 27350259.0, 63890937.0, 6383481337.0, 83842.0, 476.0, 2804309397.0, 704.0, 8674481995.0, 10776777.0, 2826280163.0, 1359797452.0, 6579663.0, 94964947.0, 2548323597.0, 1333169954.0, 76795812.0, 7094615.0, 6634641, 41765.67 
3405.048743, 591.0, 2450151580.0, 20067763.0, 30478070.0, 71390009.0, 7995740350.0, 146742.0, 591.0, 3358319998.0, 994.0, 12318032479.0, 15246336.0, 3739477706.0, 1751544564.0, 6593553.0, 126582476.0, 3779290777.0, 1901311691.0, 75110724.0, 10146331.0, 5385239, 37995.84 
3267.17854, 523.0, 2359816414.0, 16904224.0, 31232303.0, 71739091.0, 7380276693.0, 128655.0, 523.0, 3257353823.0, 816.0, 11330891948.0, 14295544.0, 3531009380.0, 1819225833.0, 4790803.0, 118278131.0, 3090914253.0, 1660298147.0, 70214102.0, 8849606.0, 5825915, 27677.58 
2984.793039, 452.0, 2217215259.0, 16568213.0, 29953960.0, 72897627.0, 7172066145.0, 79402.0, 452.0, 2968054627.0, 1173.0, 10926649577.0, 10750824.0, 3132090668.0, 1461363403.0, 6184375.0, 108646941.0, 3089767337.0, 1509552357.0, 65932153.0, 8679763.0, 1651907, 61473.54 
5573.084891, 411.0, 4903037011.0, 27916750.0, 51965112.0, 108113065.0, 13810932542.0, 222302.0, 411.0, 5537558591.0, 778.0, 25185323651.0, 21542037.0, 7240599482.0, 3291987610.0, 10410399.0, 252511959.0, 6850262791.0, 3498046022.0, 100361024.0, 15492620.0, 770815, 64996.46 
2901.086067, 335.0, 1958425006.0, 14980177.0, 26217761.0, 64025516.0, 6838253299.0, 112193.0, 335.0, 2878457653.0, 556.0, 10002380509.0, 13275906.0, 2942494284.0, 1385619615.0, 6881244.0, 88688923.0, 2761650394.0, 1336140555.0, 59855407.0, 9031216.0, 5333162, 30739.53 
2896.65475, 449.0, 1751730140.0, 13560647.0, 29443386.0, 69233955.0, 6581981139.0, 82610.0, 449.0, 2866611597.0, 927.0, 9152502238.0, 11425513.0, 2984288009.0, 1435424615.0, 6240253.0, 100200825.0, 2995921914.0, 1473805967.0, 67418988.0, 7932439.0, 6525709, 51574.93 
2886.555457, 408.0, 2012598491.0, 16549224.0, 18962904.0, 55356008.0, 6852450769.0, 100103.0, 408.0, 2856350253.0, 702.0, 10361186053.0, 12711180.0, 3030265414.0, 1570869424.0, 6091969.0, 111218421.0, 2768940792.0, 1552138276.0, 71155575.0, 9023503.0, 5023140, 29779.57 
3044.926729, 467.0, 1898135202.0, 15989783.0, 27871439.0, 68016351.0, 6831481369.0, 113790.0, 467.0, 3009405143.0, 728.0, 9542292209.0, 12798782.0, 2902018507.0, 1529532113.0, 6206381.0, 100098397.0, 2955307069.0, 1473549453.0, 64948625.0, 8147152.0, 6797458, 29854.15 
3554.373996, 415.0, 2669668841.0, 16817483.0, 30310831.0, 74499403.0, 8408017758.0, 115389.0, 415.0, 3522195716.0, 796.0, 12214756478.0, 12058071.0, 3691195708.0, 1824314586.0, 6369219.0, 139996586.0, 3843212897.0, 2023115554.0, 72991677.0, 10362251.0, 1306330, 72750.72 
2788.889023, 281.0, 2141987165.0, 14336550.0, 17094011.0, 59434910.0, 6588723327.0, 90633.0, 281.0, 2753517485.0, 556.0, 9761073558.0, 12270112.0, 2856632439.0, 1531548153.0, 5912969.0, 107622782.0, 2843749556.0, 1413164647.0, 70181382.0, 8172648.0, 4743125, 36106.54 
2704.594228, 400.0, 1755635576.0, 12390131.0, 22920695.0, 58509357.0, 6395954729.0, 105854.0, 400.0, 2670737579.0, 663.0, 9316120975.0, 13485536.0, 2775663968.0, 1507463668.0, 5419956.0, 90394274.0, 2864238464.0, 1283023676.0, 59872906.0, 7093940.0, 7303262, 27021.58 
3047.284561, 342.0, 2072882702.0, 17237776.0, 20962836.0, 61222282.0, 7406997398.0, 121598.0, 342.0, 3017169783.0, 565.0, 10869391734.0, 13467265.0, 2830559138.0, 1514618447.0, 5380193.0, 106291280.0, 3062326034.0, 1602993659.0, 66587913.0, 8879574.0, 5188999, 30872.85 
3305.711088, 542.0, 2465034276.0, 15860954.0, 30458925.0, 74940160.0, 7802971512.0, 145985.0, 542.0, 3236505497.0, 766.0, 12097487871.0, 14560607.0, 3421747434.0, 1878784518.0, 5909833.0, 127642187.0, 3647334876.0, 1899896701.0, 63503402.0, 10431360.0, 7536146, 70660.8 
3854.308004, 812.0, 2851538124.0, 21814059.0, 38590464.0, 93151730.0, 8670074287.0, 150771.0, 812.0, 3838312426.0, 1399.0, 12774247528.0, 14957414.0, 3970968445.0, 1952132550.0, 6668179.0, 131543397.0, 3993726607.0, 2023147641.0, 85808390.0, 10719867.0, 5678464, 69654.5 
2539.36414, 470.0, 1569842169.0, 12849121.0, 21288685.0, 55220930.0, 5717495915.0, 93682.0, 470.0, 2502221556.0, 715.0, 8767782825.0, 11955995.0, 2622219989.0, 1223992582.0, 4559335.0, 84036772.0, 2336932152.0, 1217419556.0, 61991114.0, 6762585.0, 7201645, 40588.13 
3107.677821, 395.0, 2230167337.0, 17218067.0, 25353865.0, 67719921.0, 7364390663.0, 127797.0, 395.0, 3118728437.0, 758.0, 11560041806.0, 15364137.0, 3318569902.0, 1581320213.0, 6875314.0, 107341414.0, 2951078394.0, 1634988520.0, 65839705.0, 8846244.0, 3259370, 28651.3 
2414.232639, 495.0, 1841018159.0, 13956440.0, 18812449.0, 54259893.0, 5747343559.0, 57601.0, 495.0, 2391145402.0, 815.0, 7884839489.0, 9745801.0, 2375291191.0, 1171272812.0, 5234613.0, 94654237.0, 2411660902.0, 1209896293.0, 58937070.0, 6395778.0, 4260718, 27283.45 
3653.323408, 542.0, 2321300690.0, 18932891.0, 25992518.0, 66436749.0, 8643094673.0, 146960.0, 542.0, 3560452640.0, 776.0, 13044279862.0, 13128796.0, 3890665989.0, 2011270256.0, 7225362.0, 138609665.0, 3670246379.0, 1872025010.0, 79595500.0, 10359963.0, 3645596, 64706.69 
3090.200248, 457.0, 2011630017.0, 17111268.0, 27910531.0, 67909778.0, 7238741376.0, 116020.0, 457.0, 3061165539.0, 712.0, 10722754993.0, 12520677.0, 3150961768.0, 1474474179.0, 8875023.0, 105751392.0, 3059614033.0, 1541550284.0, 68898441.0, 9028161.0, 3522614, 30165.14 
2895.200681, 474.0, 2011580855.0, 15623059.0, 20999131.0, 56390323.0, 6569145505.0, 102430.0, 474.0, 2867854483.0, 703.0, 10358637809.0, 9784230.0, 2489816786.0, 1404235978.0, 6837424.0, 112792555.0, 3086770882.0, 1632484599.0, 67822113.0, 8867940.0, 3188376, 51330.04 
2688.554456, 396.0, 1771452588.0, 14295360.0, 22483193.0, 57536934.0, 6429681433.0, 99579.0, 396.0, 2643797024.0, 649.0, 9238581095.0, 12828310.0, 2525826347.0, 1267061729.0, 6948984.0, 87197081.0, 2511998611.0, 1316926705.0, 51956853.0, 7809109.0, 6302376, 43626.94 
3051.698694, 513.0, 2151561007.0, 15812985.0, 21934569.0, 66156014.0, 7601451076.0, 113057.0, 513.0, 3056261846.0, 1209.0, 11499056304.0, 10602032.0, 3227587253.0, 1564873195.0, 7565475.0, 115635914.0, 2845087673.0, 1607310502.0, 74574465.0, 8633517.0, 7496766, 40384.36 
2057.505933, 420.0, 1358763184.0, 12595531.0, 20532876.0, 50164260.0, 4760538488.0, 51643.0, 420.0, 2033468410.0, 625.0, 7280739068.0, 8226176.0, 2103379506.0, 1005033679.0, 3146091.0, 67924761.0, 1854479806.0, 968187593.0, 54785445.0, 5345032.0, 1736935, 26473.79 
3598.347867, 438.0, 2558181461.0, 19453606.0, 24369555.0, 73636286.0, 9145103356.0, 105459.0, 438.0, 3545744399.0, 624.0, 13031461584.0, 15002418.0, 3648158585.0, 1831584130.0, 8142906.0, 139824996.0, 3719695437.0, 1985750269.0, 79247817.0, 9027281.0, 638785, 33153.23 
3486.151712, 647.0, 2553499748.0, 19378387.0, 28402799.0, 74373256.0, 8091911964.0, 143726.0, 647.0, 3501105033.0, 1449.0, 11402739890.0, 14140772.0, 3274736522.0, 1756486867.0, 6319435.0, 121446218.0, 3765755290.0, 1856764483.0, 82876710.0, 10610877.0, 4671709, 64040.39 
3108.03948, 564.0, 2363663207.0, 15660940.0, 23081381.0, 64798836.0, 7394105649.0, 126696.0, 564.0, 3093245029.0, 1297.0, 10519939053.0, 12891066.0, 3017514283.0, 1651969977.0, 7257917.0, 114167454.0, 2990353257.0, 1597101390.0, 66281040.0, 9020491.0, 2351159, 49809.99 
3259.462271, 456.0, 2342953674.0, 18324274.0, 21436817.0, 66700422.0, 7866025039.0, 134006.0, 456.0, 3242192672.0, 720.0, 11240441041.0, 14033853.0, 3286176833.0, 1692200010.0, 7759536.0, 114543977.0, 3209651044.0, 1584321502.0, 71257505.0, 9324717.0, 3878785, 39938.4 
3307.237946, 473.0, 2405891041.0, 16163071.0, 28480844.0, 70992801.0, 7797423337.0, 117863.0, 473.0, 3258217550.0, 726.0, 12040980969.0, 13619581.0, 3441550447.0, 1617138114.0, 7014160.0, 127504668.0, 3091151884.0, 1715310558.0, 70982834.0, 9522280.0, 2928795, 29940.27 
3013.745679, 441.0, 2064016427.0, 17815037.0, 28345494.0, 72342756.0, 7201060010.0, 90160.0, 441.0, 2977252748.0, 668.0, 11008562927.0, 11487313.0, 3656048542.0, 1519546404.0, 6052600.0, 99244763.0, 2819590912.0, 1495349589.0, 57094557.0, 8863294.0, 4880571, 34820.26 
2651.242933, 443.0, 1575120684.0, 14515939.0, 21545193.0, 59056966.0, 5976297756.0, 97670.0, 443.0, 2624159920.0, 750.0, 8404366129.0, 12011618.0, 2565046143.0, 1316827889.0, 6322199.0, 86382695.0, 2482430019.0, 1247596595.0, 66643646.0, 6806070.0, 6851101, 28321.1 
3203.38317, 505.0, 2429982888.0, 17619048.0, 26955805.0, 68506060.0, 7377810470.0, 119872.0, 505.0, 3174445492.0, 725.0, 11622595897.0, 12102735.0, 3610936823.0, 1655636257.0, 6615195.0, 118580399.0, 3278410051.0, 1665681345.0, 68824119.0, 10178714.0, 4389554, 57196.36 
4647.073875, 1191.0, 3330484692.0, 22707078.0, 41045927.0, 88296272.0, 10556148575.0, 200592.0, 1191.0, 4661752565.0, 1474.0, 16227962081.0, 18800640.0, 4379862239.0, 2398494557.0, 9692840.0, 161536523.0, 4961190466.0, 2457043335.0, 87649070.0, 10566824.0, 2883139, 45736.63 
2651.40218, 515.0, 1653222396.0, 17134317.0, 21201676.0, 55751675.0, 6389103687.0, 98260.0, 515.0, 2626562055.0, 717.0, 8844864079.0, 12179202.0, 2563409648.0, 1293653531.0, 5898769.0, 86674380.0, 2542041657.0, 1232586936.0, 53911757.0, 7093423.0, 6340964, 46585.21 
1897.401858, 448.0, 1419331276.0, 11999448.0, 11444912.0, 41177957.0, 4481361487.0, 47333.0, 448.0, 1870655018.0, 678.0, 6849978451.0, 6981463.0, 1938273307.0, 958042370.0, 3370270.0, 62939397.0, 1945744557.0, 1003605143.0, 50414397.0, 4845679.0, 1557078, 25931.48 
3772.699346, 913.0, 2680680734.0, 20346951.0, 33713438.0, 77455715.0, 8887320388.0, 157200.0, 913.0, 3786447764.0, 1264.0, 13039026244.0, 14607132.0, 3714974265.0, 1923484864.0, 7335874.0, 141315787.0, 3668975533.0, 1966473035.0, 82279918.0, 10356693.0, 5442667, 65558.61 
3505.033203, 660.0, 2529920107.0, 18242331.0, 29020771.0, 69348761.0, 8164277657.0, 137554.0, 660.0, 3518645658.0, 1003.0, 12732877771.0, 15433546.0, 3506390633.0, 1914842357.0, 6696865.0, 132823322.0, 3666655949.0, 1921861357.0, 74073863.0, 10361326.0, 2504109, 68192.53 
2983.203746, 437.0, 2149631418.0, 15617865.0, 25391901.0, 68249016.0, 7101800379.0, 101223.0, 437.0, 2929597839.0, 709.0, 10370957157.0, 16876302.0, 2857677221.0, 1451706072.0, 7453473.0, 117102461.0, 2809094876.0, 1493010177.0, 66545648.0, 8768071.0, 6506769, 55818.78 
2980.82778, 606.0, 1755412878.0, 14774230.0, 25218274.0, 60114081.0, 6717410513.0, 111888.0, 606.0, 2947958600.0, 713.0, 9820649075.0, 13345483.0, 3090727671.0, 1555397966.0, 7149017.0, 91637766.0, 2680650693.0, 1391879296.0, 73494206.0, 6999665.0, 6830641, 26787.88 
2898.8628, 326.0, 1972127900.0, 15869856.0, 30114379.0, 71050653.0, 6551991157.0, 104540.0, 326.0, 2866683803.0, 1013.0, 9963923719.0, 10721980.0, 3144296111.0, 1382291632.0, 4808943.0, 98398371.0, 3147491471.0, 1529839403.0, 69042839.0, 9436482.0, 3059211, 36370.32 
3491.283841, 609.0, 2501768036.0, 17660221.0, 29027918.0, 76550937.0, 8532483080.0, 140914.0, 609.0, 3447754596.0, 881.0, 12988805394.0, 13032213.0, 3580644406.0, 1893435983.0, 6807315.0, 123477856.0, 3842981048.0, 1937537336.0, 78593715.0, 10356249.0, 6048344, 39907.79 
3328.235048, 521.0, 2227365913.0, 19879195.0, 31769385.0, 75608636.0, 7893123889.0, 104393.0, 521.0, 3265383073.0, 1194.0, 12051385186.0, 10531273.0, 3901264693.0, 1782871695.0, 6219600.0, 122855658.0, 3368332939.0, 1745812630.0, 85951775.0, 10386839.0, 771808, 63823.75 
2647.642286, 463.0, 2051375263.0, 18723720.0, 19112095.0, 54430703.0, 6335779380.0, 91567.0, 463.0, 2620140668.0, 814.0, 9726132730.0, 9142928.0, 2804481398.0, 1409240568.0, 4753234.0, 99296119.0, 2711119310.0, 1403360347.0, 64782797.0, 8901498.0, 4460501, 31781.42 
2973.67265, 390.0, 2363709931.0, 16388506.0, 22809202.0, 63092786.0, 7066766249.0, 99287.0, 390.0, 2968844517.0, 712.0, 10868783849.0, 11582592.0, 3271900668.0, 1740194843.0, 5831152.0, 117310135.0, 3199447300.0, 1715111408.0, 65158417.0, 8830110.0, 3376085, 29113.05 
3896.772668, 469.0, 2917168386.0, 20270455.0, 37896239.0, 88542446.0, 9650373916.0, 132119.0, 469.0, 3868625216.0, 747.0, 15042463186.0, 14961816.0, 4264995348.0, 2178213785.0, 9933747.0, 150154290.0, 4405679851.0, 2209623225.0, 73398502.0, 11355378.0, 4230092, 48334.26 
2805.785772, 361.0, 1975140015.0, 15178763.0, 19972698.0, 53892351.0, 6711284687.0, 108712.0, 361.0, 2713492338.0, 552.0, 9939882062.0, 13401537.0, 2664623185.0, 1421244780.0, 4192371.0, 102451557.0, 2773144160.0, 1511595774.0, 69026796.0, 8519885.0, 6145011, 52008.07 
2657.00041, 252.0, 1740278726.0, 15459663.0, 19946143.0, 53666407.0, 6152968874.0, 95234.0, 252.0, 2644746622.0, 547.0, 8337593070.0, 11345142.0, 2546611644.0, 1277933093.0, 4191505.0, 86058564.0, 2555139924.0, 1342877244.0, 64668964.0, 7533667.0, 7344699, 35679.99 
3272.497067, 489.0, 2562416283.0, 15281352.0, 24409397.0, 65805561.0, 7868650803.0, 111803.0, 489.0, 3173887240.0, 670.0, 12734952945.0, 13408078.0, 3350156332.0, 1581824266.0, 5926852.0, 123902431.0, 3300786590.0, 1713621953.0, 68375824.0, 9551519.0, 3818756, 59020.27 
3018.942877, 293.0, 2301991208.0, 15489408.0, 21041302.0, 59176264.0, 7216468752.0, 132973.0, 293.0, 2987117395.0, 596.0, 11490044186.0, 14535914.0, 3208313316.0, 1642399097.0, 4803648.0, 116952400.0, 3214310272.0, 1772342638.0, 72364815.0, 9206845.0, 2625075, 25928.75 
2980.64886, 476.0, 2253241267.0, 17272463.0, 22850071.0, 61317552.0, 7155537388.0, 86045.0, 476.0, 2950687835.0, 731.0, 10974277241.0, 10502726.0, 3028133395.0, 1459313233.0, 6809103.0, 110013522.0, 3015973211.0, 1532586211.0, 68299884.0, 9029193.0, 1477109, 51825.75 
3269.218471, 485.0, 2347831093.0, 16039686.0, 21210290.0, 69438684.0, 7628182459.0, 93366.0, 485.0, 3285872916.0, 1157.0, 10847246555.0, 12012468.0, 3290002494.0, 1801333794.0, 6789820.0, 117667287.0, 3382431416.0, 1646386177.0, 75879874.0, 9027461.0, 941024, 39243.69 
3858.235091, 646.0, 2880553486.0, 18854711.0, 31715707.0, 77951270.0, 8902689303.0, 172089.0, 646.0, 3845435657.0, 933.0, 14045447371.0, 16998305.0, 4053340288.0, 1914501258.0, 7612968.0, 136394390.0, 4016971586.0, 2030746517.0, 84715668.0, 10348432.0, 4084279, 65888.44 
2822.822155, 461.0, 2249736847.0, 14694003.0, 21451450.0, 59700009.0, 6755728846.0, 111197.0, 461.0, 2793744673.0, 685.0, 9675347736.0, 13700208.0, 2702387561.0, 1430652377.0, 4736017.0, 114109234.0, 2983828159.0, 1574628466.0, 63602025.0, 8370530.0, 7088620, 53318.83 
4232.984428, 1161.0, 3041578221.0, 22101097.0, 38007955.0, 88615788.0, 9779528977.0, 171529.0, 1161.0, 4174424615.0, 2039.0, 14951149065.0, 15565896.0, 4499812610.0, 2343714482.0, 9524148.0, 151743929.0, 4656316566.0, 2518541005.0, 81252076.0, 10383101.0, 2713925, 70524.84 
3148.422648, 432.0, 2187353821.0, 17809786.0, 25651670.0, 68966877.0, 7026140195.0, 89789.0, 432.0, 3139868345.0, 1158.0, 10314041376.0, 10688068.0, 3134830895.0, 1556863985.0, 8097331.0, 101610801.0, 3215738202.0, 1534578903.0, 69998738.0, 8905722.0, 4349364, 26045.62 
3182.402262, 504.0, 2263272645.0, 17401039.0, 24570688.0, 69538105.0, 7438776919.0, 128150.0, 504.0, 3148512082.0, 736.0, 10553164960.0, 13594221.0, 2853853912.0, 1583710167.0, 7590201.0, 107469633.0, 3282487059.0, 1614482042.0, 66100844.0, 8846408.0, 5943444, 37466.31 
4006.762799, 1081.0, 2994294782.0, 22302663.0, 37086335.0, 85644898.0, 9379839377.0, 171387.0, 1081.0, 4057644538.0, 2002.0, 14324747690.0, 17691703.0, 4260578402.0, 2149553732.0, 5589727.0, 145497911.0, 3972134742.0, 2230467793.0, 94753475.0, 10664114.0, 5602886, 50892.2 
3579.317476, 586.0, 2613433659.0, 20875930.0, 25438299.0, 69914308.0, 8576502623.0, 147719.0, 586.0, 3494719338.0, 766.0, 12969671144.0, 15253246.0, 3896420263.0, 1887082939.0, 7470717.0, 136503872.0, 3384002393.0, 1829398713.0, 74839867.0, 10357277.0, 5765181, 65568.71 
4088.460383, 926.0, 2988463215.0, 20413344.0, 42482067.0, 87565944.0, 9411069335.0, 153570.0, 926.0, 4060254438.0, 1501.0, 14725209388.0, 14755646.0, 4603255249.0, 2176973392.0, 8059929.0, 159540232.0, 4228960476.0, 2168107919.0, 82451337.0, 10357313.0, 4963572, 68528.13 
3309.989554, 454.0, 2470311231.0, 17255020.0, 26204059.0, 66137078.0, 8005365477.0, 147453.0, 454.0, 3263836923.0, 919.0, 12048489439.0, 14719500.0, 3876989785.0, 1914537877.0, 7092882.0, 131837815.0, 3324050840.0, 1783585428.0, 79446466.0, 8783957.0, 4510450, 27302.08 
3354.572459, 777.0, 2360736165.0, 20593918.0, 30753936.0, 66546566.0, 7211714914.0, 125051.0, 777.0, 3267775540.0, 995.0, 10560201869.0, 14299846.0, 3303108588.0, 1456521387.0, 7281671.0, 121222355.0, 3187409137.0, 1725557622.0, 79990676.0, 9176128.0, 6711305, 40817.76 
2793.713501, 557.0, 2045173131.0, 16529651.0, 23118938.0, 55793643.0, 6828329042.0, 80193.0, 557.0, 2769313310.0, 747.0, 10195309815.0, 10866958.0, 2947206402.0, 1450183107.0, 5845083.0, 101371834.0, 2951088843.0, 1470114546.0, 63761869.0, 8869127.0, 1712092, 56789.24 
