task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
883.697795, 299.0, 418738606.0, 7136699.0, 5166195.0, 16882702.0, 1576516966.0, 17118.0, 299.0, 854026428.0, 452.0, 2135916694.0, 2895160.0, 672170262.0, 325961809.0, 1805570.0, 21712875.0, 610657313.0, 347990074.0, 23247335.0, 988924.0, 22597, 7434.28 
830.199172, 276.0, 433944690.0, 5992663.0, 5043024.0, 16354737.0, 1577100097.0, 16059.0, 276.0, 801695731.0, 399.0, 1848315862.0, 2789534.0, 660946436.0, 247811269.0, 1398595.0, 16657934.0, 619438452.0, 342657180.0, 18576402.0, 988886.0, 22797, 7409.43 
846.414108, 283.0, 359050947.0, 7021072.0, 7242001.0, 17958150.0, 1570092010.0, 15133.0, 283.0, 826792263.0, 507.0, 1884198677.0, 2776936.0, 540555716.0, 362900011.0, 1461270.0, 19505962.0, 576613622.0, 266074359.0, 21060533.0, 988886.0, 25022, 7997.85 
842.948204, 283.0, 364400602.0, 6239327.0, 6393130.0, 18080312.0, 1576204307.0, 13193.0, 283.0, 810994056.0, 421.0, 1959092580.0, 2658581.0, 604501144.0, 292669751.0, 1845883.0, 19583636.0, 608659702.0, 269020635.0, 19338693.0, 988886.0, 24336, 7508.04 
896.056481, 294.0, 394857666.0, 6108963.0, 5658456.0, 17097644.0, 1651626708.0, 23220.0, 294.0, 861429607.0, 423.0, 1873493795.0, 3201239.0, 553538174.0, 322354256.0, 1911106.0, 20451405.0, 586797251.0, 289096086.0, 19793293.0, 988886.0, 24448, 7804.73 
887.382778, 321.0, 413251226.0, 5214806.0, 4974248.0, 17361602.0, 1558060678.0, 13958.0, 321.0, 863383077.0, 452.0, 1916443068.0, 2710014.0, 609552955.0, 275599217.0, 1481774.0, 17888233.0, 700944989.0, 360759394.0, 22977228.0, 988924.0, 25973, 7514.02 
848.37803, 281.0, 406708524.0, 6868894.0, 5071371.0, 14000879.0, 1513190046.0, 13698.0, 281.0, 833985746.0, 487.0, 1937686642.0, 2625017.0, 638558122.0, 299042068.0, 1561454.0, 19511974.0, 500919190.0, 291330229.0, 17206323.0, 988924.0, 24188, 7730.73 
846.861219, 323.0, 395765813.0, 6997208.0, 4497821.0, 14205065.0, 1456035136.0, 13979.0, 323.0, 824686723.0, 422.0, 1770856095.0, 2681087.0, 650961398.0, 306176791.0, 1640230.0, 27240370.0, 652528186.0, 354757314.0, 21643225.0, 988924.0, 24284, 7201.14 
894.651996, 287.0, 368497859.0, 6559447.0, 4621697.0, 17164669.0, 1634166040.0, 16083.0, 287.0, 873934804.0, 416.0, 2084841898.0, 2732776.0, 612433277.0, 363831938.0, 2151775.0, 22905061.0, 584678018.0, 358419642.0, 22143102.0, 988886.0, 22569, 7890.27 
841.984462, 294.0, 383695971.0, 7692168.0, 4963848.0, 17893532.0, 1602859590.0, 12665.0, 294.0, 846510473.0, 458.0, 2015087834.0, 2172171.0, 701841512.0, 291604947.0, 1602622.0, 20931527.0, 601492605.0, 365007303.0, 19514981.0, 988886.0, 26820, 7110.16 
853.151243, 261.0, 396831933.0, 6365457.0, 5192873.0, 15780245.0, 1514335688.0, 18823.0, 261.0, 829393000.0, 462.0, 1874164246.0, 3212294.0, 638070622.0, 291276988.0, 1126910.0, 17467398.0, 547586514.0, 271294075.0, 20160254.0, 988886.0, 24110, 7477.19 
878.073425, 314.0, 384928405.0, 5974711.0, 8301866.0, 20505224.0, 1691147858.0, 15061.0, 314.0, 859492139.0, 427.0, 2140791709.0, 2968402.0, 565351382.0, 314441620.0, 2255798.0, 18449166.0, 602972641.0, 269498031.0, 19349237.0, 988924.0, 24969, 7301.98 
845.89246, 279.0, 392156539.0, 6607889.0, 4795789.0, 18096222.0, 1551011740.0, 18473.0, 279.0, 824726507.0, 474.0, 1998185584.0, 2879773.0, 584349649.0, 327346822.0, 1897233.0, 17895349.0, 655100258.0, 290882720.0, 21254272.0, 988886.0, 24647, 7912.42 
848.237366, 292.0, 384249474.0, 6565711.0, 4368357.0, 15178825.0, 1647942958.0, 15560.0, 292.0, 821561153.0, 420.0, 2083166814.0, 2800565.0, 634017056.0, 293680656.0, 1696923.0, 19626543.0, 555639707.0, 287113148.0, 17092041.0, 988886.0, 22069, 7237.58 
852.772381, 267.0, 396774291.0, 7099523.0, 5111434.0, 17265415.0, 1558493302.0, 16442.0, 267.0, 845000056.0, 431.0, 1843417898.0, 3250524.0, 528616787.0, 320442140.0, 1605437.0, 21247819.0, 612099205.0, 299583336.0, 16880245.0, 988924.0, 25169, 8191.36 
811.062397, 280.0, 358498585.0, 6937383.0, 4607371.0, 16956957.0, 1462308067.0, 13773.0, 280.0, 794601903.0, 395.0, 1803837008.0, 2175622.0, 651919579.0, 330406545.0, 1227703.0, 20424682.0, 517519203.0, 330172685.0, 17794726.0, 988924.0, 23257, 6691.83 
861.594188, 289.0, 378331557.0, 5807476.0, 3577983.0, 13939818.0, 1454212811.0, 14281.0, 289.0, 829406012.0, 441.0, 1564919555.0, 2438219.0, 579314135.0, 307092317.0, 1967807.0, 18591733.0, 634550506.0, 300993415.0, 17748799.0, 988886.0, 24066, 6810.12 
783.396595, 187.0, 378937578.0, 8215089.0, 3999534.0, 15704823.0, 1641436961.0, 14856.0, 187.0, 768144244.0, 311.0, 2136910273.0, 3072192.0, 631599151.0, 279208843.0, 1505236.0, 19367151.0, 618318220.0, 298847915.0, 19390913.0, 988886.0, 20300, 6775.79 
872.853021, 303.0, 379520753.0, 7526142.0, 6046828.0, 16477113.0, 1754875987.0, 13256.0, 303.0, 857193420.0, 461.0, 2135569303.0, 3353564.0, 590240574.0, 258474346.0, 1796193.0, 20001802.0, 588836726.0, 294498157.0, 24423434.0, 988924.0, 24170, 6874.61 
854.599018, 281.0, 392311219.0, 6986431.0, 7486972.0, 17291556.0, 1544885334.0, 12742.0, 281.0, 834162856.0, 419.0, 1935168920.0, 3002434.0, 666789357.0, 328930091.0, 1677921.0, 22194573.0, 504696971.0, 307464942.0, 17982365.0, 988886.0, 24610, 7493.14 
855.873949, 344.0, 386357590.0, 7167152.0, 8046295.0, 19578752.0, 1540103677.0, 13700.0, 344.0, 856300633.0, 539.0, 1980322828.0, 2812563.0, 714944202.0, 301529853.0, 1518350.0, 24006433.0, 596028468.0, 347546057.0, 22723278.0, 988924.0, 24846, 8264.06 
834.566257, 280.0, 417170920.0, 5470542.0, 4577651.0, 16037685.0, 1467224292.0, 13257.0, 280.0, 792576522.0, 426.0, 1849941361.0, 2544014.0, 631387524.0, 234290134.0, 1126618.0, 20473804.0, 598196621.0, 316956217.0, 20752954.0, 988924.0, 23213, 8099.36 
809.242356, 248.0, 378513653.0, 5609520.0, 5938584.0, 17119760.0, 1545711169.0, 15852.0, 248.0, 803243735.0, 399.0, 2001705574.0, 2963033.0, 642997370.0, 272265437.0, 2049497.0, 16359834.0, 577340340.0, 293374446.0, 22379878.0, 988886.0, 27349, 7254.32 
879.838797, 319.0, 348409779.0, 5399076.0, 6082576.0, 17549826.0, 1508466461.0, 14210.0, 319.0, 839168498.0, 445.0, 1911613089.0, 2872662.0, 577956037.0, 331936703.0, 1691170.0, 17720075.0, 670011696.0, 384593257.0, 21062740.0, 988886.0, 22538, 7620.8 
869.14869, 275.0, 417648853.0, 5147631.0, 7165888.0, 18276521.0, 1511640833.0, 13920.0, 275.0, 844188059.0, 450.0, 1886191554.0, 2930968.0, 524750334.0, 235090715.0, 1027011.0, 18636304.0, 686964168.0, 351155462.0, 24522784.0, 988924.0, 22932, 7774.37 
855.942213, 249.0, 421900679.0, 7467529.0, 6306668.0, 20440758.0, 1599470926.0, 16070.0, 249.0, 847323703.0, 482.0, 1820744307.0, 2646625.0, 634970729.0, 278399051.0, 1733345.0, 15939613.0, 557483269.0, 301835274.0, 20159096.0, 988924.0, 25559, 7376.99 
874.380684, 342.0, 405086581.0, 7051249.0, 7215508.0, 18960748.0, 1641503383.0, 15716.0, 342.0, 835721518.0, 483.0, 2007393825.0, 2892170.0, 558489690.0, 318040979.0, 1367915.0, 17186655.0, 656537407.0, 351073337.0, 23001848.0, 988924.0, 23483, 8142.24 
919.159558, 312.0, 407861968.0, 7352677.0, 5054717.0, 17089056.0, 1608732734.0, 14144.0, 312.0, 864981009.0, 498.0, 2046116216.0, 2936922.0, 617816439.0, 285467532.0, 1444924.0, 20254512.0, 601910136.0, 353448033.0, 18843706.0, 988886.0, 23038, 7414.4 
940.455653, 312.0, 410740257.0, 6218868.0, 9769828.0, 22279293.0, 1616463619.0, 14645.0, 312.0, 919892761.0, 511.0, 1882601469.0, 2874156.0, 609306634.0, 311671711.0, 2032375.0, 18049979.0, 681239856.0, 340712337.0, 23129921.0, 988886.0, 22803, 7953.63 
975.273662, 331.0, 439128356.0, 6906706.0, 6558074.0, 21070265.0, 1720031421.0, 23603.0, 331.0, 957393420.0, 475.0, 1962081056.0, 3517716.0, 655058420.0, 378286481.0, 1529101.0, 22860725.0, 653421612.0, 316940926.0, 19848188.0, 988886.0, 23926, 8250.94 
847.056454, 326.0, 408392463.0, 7302579.0, 6165468.0, 16347488.0, 1756009286.0, 15067.0, 326.0, 822651283.0, 529.0, 2260175988.0, 2802606.0, 664993436.0, 280580292.0, 1625724.0, 19336408.0, 556866556.0, 304813178.0, 19227532.0, 988924.0, 23075, 7601.01 
878.983754, 284.0, 412554648.0, 8225206.0, 5065654.0, 16091274.0, 1505535237.0, 17064.0, 284.0, 881994238.0, 527.0, 1710994339.0, 2555942.0, 601906444.0, 292613231.0, 1458795.0, 24556232.0, 584347648.0, 348555223.0, 24380500.0, 988886.0, 22929, 8236.45 
862.196208, 276.0, 411887774.0, 6397272.0, 5354009.0, 17784278.0, 1692210574.0, 13837.0, 276.0, 859661271.0, 570.0, 2232219358.0, 3014650.0, 664657356.0, 367032484.0, 1970502.0, 24627670.0, 566581854.0, 310434689.0, 22104582.0, 988886.0, 24325, 7335.95 
880.953823, 269.0, 388276590.0, 7384569.0, 4115988.0, 15530467.0, 1632235370.0, 21970.0, 269.0, 878145237.0, 425.0, 2025589440.0, 2896086.0, 597710056.0, 321031198.0, 1430055.0, 23520266.0, 531902527.0, 318285988.0, 18091723.0, 988886.0, 24201, 7210.58 
868.156646, 274.0, 402525145.0, 8184469.0, 4723108.0, 17563576.0, 1637376466.0, 13437.0, 274.0, 845470865.0, 483.0, 2051176657.0, 2665413.0, 586395306.0, 319914123.0, 1614824.0, 18951670.0, 616388175.0, 306841449.0, 22491944.0, 988924.0, 24921, 8219.29 
863.808676, 320.0, 438060845.0, 5370254.0, 5203050.0, 15668156.0, 1467446984.0, 13971.0, 320.0, 795403592.0, 435.0, 1708764803.0, 2719166.0, 574790929.0, 326073543.0, 1954343.0, 19807800.0, 638371840.0, 310218703.0, 18833863.0, 988924.0, 25254, 7564.32 
837.896214, 312.0, 426347007.0, 6885688.0, 5241761.0, 16636959.0, 1689251366.0, 12600.0, 312.0, 799068485.0, 416.0, 2021154797.0, 2541930.0, 598358442.0, 318039452.0, 1137491.0, 20056695.0, 504149716.0, 303603568.0, 16826965.0, 988886.0, 24139, 7011.98 
837.955487, 264.0, 372494903.0, 7716545.0, 4058493.0, 15069215.0, 1444897652.0, 16440.0, 264.0, 840178445.0, 415.0, 1842989320.0, 2315942.0, 607387430.0, 272374774.0, 1945910.0, 22651023.0, 619674110.0, 395065998.0, 22144953.0, 988886.0, 23385, 6877.92 
966.279524, 342.0, 470299567.0, 8829172.0, 6715383.0, 18993007.0, 1655329886.0, 18114.0, 342.0, 924571351.0, 524.0, 1885358470.0, 2666323.0, 622482416.0, 341607058.0, 1992469.0, 22833269.0, 719552656.0, 355872076.0, 23383248.0, 988924.0, 23475, 8394.58 
873.035287, 306.0, 353676260.0, 8166129.0, 5037468.0, 18246579.0, 1582717845.0, 16722.0, 306.0, 868830242.0, 539.0, 1977784427.0, 2920232.0, 710767876.0, 345097276.0, 1672921.0, 19912799.0, 621305859.0, 332614586.0, 21924640.0, 988886.0, 22896, 7310.99 
858.007933, 308.0, 386931793.0, 8302320.0, 5654071.0, 17748675.0, 1512375315.0, 13654.0, 308.0, 855889575.0, 522.0, 1672175616.0, 2458674.0, 655175233.0, 326760799.0, 1942357.0, 24312174.0, 599493533.0, 342374558.0, 23724764.0, 988886.0, 24201, 7378.42 
893.947687, 324.0, 366363722.0, 7373639.0, 6230730.0, 16061424.0, 1562138033.0, 23853.0, 324.0, 862228090.0, 447.0, 2036446943.0, 3480546.0, 714615485.0, 313548745.0, 1600868.0, 20106890.0, 606908643.0, 301573079.0, 17607366.0, 988924.0, 22733, 7463.67 
863.989803, 259.0, 414017037.0, 6417345.0, 4729728.0, 17496211.0, 1589127441.0, 14326.0, 259.0, 888838476.0, 502.0, 1824426320.0, 2281361.0, 584110987.0, 347056886.0, 1711323.0, 17648233.0, 531924504.0, 309383341.0, 20946723.0, 988924.0, 24877, 7805.83 
845.997867, 276.0, 398937682.0, 6952680.0, 4835470.0, 14333686.0, 1423819147.0, 16761.0, 276.0, 821499467.0, 397.0, 1841015521.0, 2542348.0, 608446821.0, 298915966.0, 1726908.0, 21355432.0, 542096199.0, 318456444.0, 17425311.0, 988924.0, 22985, 7568.15 
920.129298, 294.0, 384527855.0, 6845713.0, 6802142.0, 20025895.0, 1669506513.0, 14789.0, 294.0, 900576860.0, 459.0, 2024569927.0, 3171292.0, 707291273.0, 374454341.0, 1850829.0, 19276874.0, 606371978.0, 312176277.0, 23721209.0, 988924.0, 23304, 8074.39 
855.459524, 283.0, 413913270.0, 7618451.0, 5244784.0, 17570834.0, 1755196411.0, 22711.0, 283.0, 836474454.0, 469.0, 2170016358.0, 3556547.0, 626815214.0, 288522363.0, 1661795.0, 18730626.0, 595349218.0, 307529137.0, 23352592.0, 988924.0, 26251, 7120.5 
841.003572, 302.0, 403655867.0, 7359807.0, 4827915.0, 14579364.0, 1537918918.0, 14511.0, 302.0, 830105901.0, 417.0, 2125654226.0, 2186536.0, 650655369.0, 328514067.0, 1682798.0, 20609529.0, 545560269.0, 339887029.0, 14759107.0, 988924.0, 24923, 7244.32 
881.026588, 286.0, 383641136.0, 10808003.0, 5455463.0, 18784465.0, 1609589258.0, 13693.0, 286.0, 845318836.0, 480.0, 1583038148.0, 1913701.0, 655122934.0, 250359728.0, 1477505.0, 20858300.0, 571866596.0, 337516312.0, 22109721.0, 988886.0, 25885, 8139.52 
831.241863, 279.0, 446057415.0, 8023211.0, 4668587.0, 17567752.0, 1782499969.0, 13219.0, 279.0, 836003672.0, 507.0, 1952398731.0, 2410849.0, 519920491.0, 265299196.0, 1733550.0, 21686448.0, 656909845.0, 328437831.0, 19344936.0, 988924.0, 27339, 7373.04 
855.825871, 288.0, 389958409.0, 7388682.0, 4500069.0, 15653200.0, 1563667675.0, 15187.0, 288.0, 833806874.0, 457.0, 2144492865.0, 2680343.0, 684918269.0, 340717237.0, 1291643.0, 21962745.0, 549260335.0, 284654411.0, 17855859.0, 988886.0, 24235, 8304.2 
828.434412, 270.0, 403791594.0, 5856789.0, 4145741.0, 15064100.0, 1533628433.0, 16775.0, 270.0, 808013368.0, 401.0, 1969908108.0, 2755426.0, 611468104.0, 301451661.0, 2199755.0, 18026579.0, 571467446.0, 278103151.0, 22012271.0, 988886.0, 21585, 7059.36 
841.632603, 295.0, 382161684.0, 8410958.0, 5223188.0, 15712318.0, 1493098343.0, 13585.0, 295.0, 823018144.0, 437.0, 1965398568.0, 2759976.0, 517221463.0, 267911898.0, 1793443.0, 19928446.0, 618678509.0, 303473415.0, 23548012.0, 988924.0, 23773, 6924.24 
875.8446, 279.0, 393695009.0, 7228881.0, 7273390.0, 16991626.0, 1521990776.0, 23305.0, 279.0, 857591174.0, 443.0, 1893251853.0, 2950977.0, 633160679.0, 257448294.0, 1771164.0, 18445854.0, 678855162.0, 353364881.0, 24814859.0, 988886.0, 24435, 7599.61 
931.669901, 310.0, 423760089.0, 5967988.0, 5971892.0, 19129375.0, 1633501986.0, 12948.0, 310.0, 898019735.0, 493.0, 1833979252.0, 2708438.0, 585074007.0, 309774230.0, 1602112.0, 19562163.0, 678009431.0, 370643251.0, 23130879.0, 988886.0, 24227, 8447.61 
816.396146, 200.0, 375039658.0, 6235368.0, 6538209.0, 17055463.0, 1663026133.0, 14504.0, 200.0, 786500761.0, 355.0, 1985551511.0, 2969529.0, 634895237.0, 329117464.0, 1857833.0, 21303670.0, 549424271.0, 260827066.0, 21494414.0, 988886.0, 21393, 7442.67 
845.167647, 288.0, 433782648.0, 6974836.0, 4232207.0, 18252218.0, 1734077368.0, 13282.0, 288.0, 828875927.0, 437.0, 1903196855.0, 2830590.0, 581792433.0, 263959173.0, 1424572.0, 18860248.0, 522879814.0, 267729778.0, 20567315.0, 988886.0, 24514, 7629.44 
882.816028, 283.0, 360629398.0, 7714607.0, 6313966.0, 17778790.0, 1589350426.0, 23477.0, 283.0, 835775317.0, 488.0, 2117725425.0, 3082160.0, 708151420.0, 317594974.0, 1479240.0, 22335174.0, 586890753.0, 359133160.0, 25686190.0, 988886.0, 23498, 8455.27 
938.263949, 276.0, 419947066.0, 8610672.0, 4760630.0, 15149413.0, 1716540270.0, 14452.0, 276.0, 921161887.0, 427.0, 1931552198.0, 3192742.0, 684605618.0, 277717164.0, 2299471.0, 23056288.0, 565233709.0, 322992304.0, 27661673.0, 988924.0, 24529, 7984.97 
846.285865, 324.0, 346335504.0, 8095298.0, 4536189.0, 15166668.0, 1665801900.0, 17016.0, 324.0, 835975731.0, 467.0, 2136497407.0, 2432964.0, 651908277.0, 323186691.0, 1459093.0, 20689991.0, 755091952.0, 318387698.0, 20614610.0, 988924.0, 24852, 7789.6 
836.651746, 301.0, 353226349.0, 8037625.0, 5183186.0, 15935648.0, 1605714704.0, 13908.0, 301.0, 815356239.0, 441.0, 1750958859.0, 2319702.0, 514757111.0, 322816636.0, 1836386.0, 21552265.0, 722947449.0, 316513969.0, 22569551.0, 988924.0, 26549, 7145.69 
840.729667, 257.0, 390528196.0, 6928580.0, 5712368.0, 16401872.0, 1499559479.0, 15926.0, 257.0, 832113055.0, 389.0, 1837860161.0, 3013372.0, 569945728.0, 256319100.0, 1725883.0, 15408649.0, 662470645.0, 350949765.0, 21216604.0, 988924.0, 24025, 7442.67 
882.884058, 311.0, 398312113.0, 6220145.0, 7762502.0, 18322300.0, 1508533026.0, 19074.0, 311.0, 859817249.0, 532.0, 1876595845.0, 2926086.0, 650520007.0, 333688279.0, 1461105.0, 19200289.0, 618715387.0, 307937173.0, 20474927.0, 988886.0, 22319, 7490.17 
853.289397, 271.0, 438377090.0, 7566577.0, 5295819.0, 15194476.0, 1496621282.0, 14318.0, 271.0, 841474631.0, 457.0, 1640696706.0, 2600970.0, 539167028.0, 245447794.0, 1665516.0, 16945310.0, 599309462.0, 347004214.0, 21911243.0, 988886.0, 24343, 6880.88 
873.68531, 307.0, 400521402.0, 7328646.0, 4338189.0, 13615377.0, 1550456600.0, 15168.0, 307.0, 847001423.0, 422.0, 1983037951.0, 2554774.0, 687833486.0, 347672498.0, 2289340.0, 20604658.0, 565383666.0, 301872110.0, 18046882.0, 988924.0, 22588, 7282.54 
872.689776, 274.0, 413818991.0, 6844289.0, 4757384.0, 13198777.0, 1366623010.0, 16107.0, 274.0, 860587786.0, 415.0, 1785221999.0, 2787155.0, 521101341.0, 244117393.0, 1462680.0, 22587222.0, 600961189.0, 390187034.0, 19281147.0, 988886.0, 25023, 7043.74 
895.769727, 274.0, 458552267.0, 6734335.0, 4171145.0, 15398602.0, 1698797069.0, 13611.0, 274.0, 927027772.0, 523.0, 2009639606.0, 2862379.0, 577082939.0, 284320760.0, 1480294.0, 20990554.0, 459846062.0, 285920473.0, 18614262.0, 988886.0, 24435, 6934.87 
917.852016, 273.0, 370120485.0, 6722345.0, 6969633.0, 16620744.0, 1716745043.0, 21863.0, 273.0, 916359142.0, 408.0, 2051774204.0, 3298656.0, 643496270.0, 318500142.0, 2174924.0, 17174763.0, 553604769.0, 320117535.0, 19694545.0, 988886.0, 27090, 7507.36 
841.25048, 275.0, 425819755.0, 8894187.0, 5179667.0, 18841464.0, 1717057246.0, 14992.0, 275.0, 861703393.0, 506.0, 2109867453.0, 3292070.0, 741279053.0, 264516980.0, 1693987.0, 23854287.0, 530800127.0, 302152238.0, 20202831.0, 988924.0, 24549, 7747.73 
811.442216, 308.0, 392703222.0, 6327089.0, 7149781.0, 18089670.0, 1502754159.0, 16822.0, 308.0, 784944920.0, 434.0, 1747159889.0, 2857667.0, 604010292.0, 294403438.0, 1875732.0, 20073968.0, 626522337.0, 329532252.0, 23298892.0, 988924.0, 24839, 8151.76 
794.984116, 229.0, 390483678.0, 6569803.0, 4442030.0, 15661600.0, 1396776756.0, 14966.0, 229.0, 786625561.0, 395.0, 1767536795.0, 2725221.0, 699087645.0, 290681212.0, 1538151.0, 19816810.0, 594051755.0, 321835679.0, 20958673.0, 988886.0, 26685, 7190.1 
810.733786, 265.0, 465937066.0, 6683745.0, 6499612.0, 17706035.0, 1426378645.0, 15522.0, 265.0, 805040749.0, 412.0, 1805880336.0, 3159027.0, 546790505.0, 287352883.0, 1719565.0, 16102823.0, 477848172.0, 299119458.0, 18945563.0, 988886.0, 27658, 7252.29 
859.429703, 259.0, 448928154.0, 7918650.0, 4462849.0, 13844522.0, 1457400306.0, 15109.0, 259.0, 842567362.0, 404.0, 1808439773.0, 3314250.0, 732113995.0, 302901879.0, 1714446.0, 26339486.0, 552042761.0, 347256270.0, 18377112.0, 988924.0, 23384, 7031.42 
853.472764, 291.0, 389074094.0, 7660941.0, 4901658.0, 17523022.0, 1510474791.0, 15195.0, 291.0, 800415358.0, 483.0, 1726077917.0, 2550908.0, 554508067.0, 325320020.0, 1443890.0, 21013291.0, 677036402.0, 300798703.0, 19477027.0, 988886.0, 24065, 8267.51 
845.170168, 282.0, 384564983.0, 8396328.0, 7100128.0, 15976274.0, 1576824479.0, 16544.0, 282.0, 818112693.0, 496.0, 1737994530.0, 2987072.0, 616341630.0, 321442600.0, 1350299.0, 22626024.0, 563089843.0, 276332959.0, 19707225.0, 988924.0, 26874, 7116.41 
894.349887, 296.0, 356520314.0, 7316252.0, 4417857.0, 16952731.0, 1616273026.0, 16016.0, 296.0, 873231556.0, 442.0, 2040552199.0, 2697138.0, 634070353.0, 337599124.0, 1980879.0, 22010209.0, 669592230.0, 411496224.0, 22867996.0, 988886.0, 24667, 8137.99 
867.087914, 287.0, 465587305.0, 6867010.0, 6340372.0, 19320374.0, 1520566366.0, 23606.0, 287.0, 850260722.0, 563.0, 1894877400.0, 3399920.0, 622150727.0, 356194912.0, 1406262.0, 17189074.0, 656673565.0, 297254140.0, 24929327.0, 988924.0, 22943, 7628.56 
839.401563, 256.0, 409366872.0, 5788917.0, 4671609.0, 16697610.0, 1669203553.0, 14374.0, 256.0, 836769697.0, 416.0, 1977675776.0, 2462293.0, 569310286.0, 271771392.0, 1433791.0, 20653034.0, 559959382.0, 320429645.0, 24228094.0, 988923.0, 24898, 8042.25 
940.745922, 330.0, 424613174.0, 7499153.0, 8698484.0, 22308579.0, 1597309111.0, 16556.0, 330.0, 941613992.0, 606.0, 1893551088.0, 3128591.0, 612381654.0, 374188061.0, 1493125.0, 22162438.0, 599408171.0, 314639272.0, 24293328.0, 988886.0, 23274, 8136.46 
835.899244, 274.0, 419441808.0, 7054330.0, 5157344.0, 15800252.0, 1598680022.0, 15372.0, 274.0, 806615865.0, 416.0, 1936198575.0, 2605271.0, 640266795.0, 270248003.0, 1524269.0, 25391428.0, 537553466.0, 348928569.0, 20405607.0, 988886.0, 25228, 7300.57 
873.770022, 272.0, 403932146.0, 6724057.0, 4633330.0, 15046928.0, 1550137429.0, 22730.0, 272.0, 847366037.0, 401.0, 1959454922.0, 2768986.0, 696431131.0, 331836026.0, 1768690.0, 22698556.0, 522477334.0, 302004337.0, 19931918.0, 988886.0, 22987, 7481.9 
796.426999, 282.0, 360734002.0, 5336315.0, 7871419.0, 18740070.0, 1515082468.0, 16772.0, 282.0, 775392423.0, 413.0, 1919523435.0, 3118367.0, 634213149.0, 304559960.0, 1631601.0, 15755348.0, 663098857.0, 319142539.0, 19631426.0, 988949.0, 26696, 7356.69 
882.08912, 288.0, 405222557.0, 6925479.0, 6148651.0, 18331318.0, 1689237097.0, 16638.0, 288.0, 859613193.0, 434.0, 2296391721.0, 3045841.0, 588976307.0, 360624044.0, 2032518.0, 22839720.0, 547637418.0, 299002180.0, 25423111.0, 988924.0, 22133, 7138.64 
832.787722, 264.0, 393838869.0, 6084899.0, 6014098.0, 17292297.0, 1508313143.0, 16256.0, 264.0, 812449171.0, 398.0, 1925387696.0, 2865084.0, 584783536.0, 330422292.0, 1340743.0, 20473333.0, 721694083.0, 299028603.0, 20325899.0, 988924.0, 22986, 7622.66 
860.808958, 307.0, 389443521.0, 6693899.0, 5822265.0, 16599299.0, 1594556140.0, 22277.0, 307.0, 836238963.0, 447.0, 2192277049.0, 3087280.0, 564052050.0, 306256459.0, 1435383.0, 19405417.0, 638919099.0, 358967333.0, 24136306.0, 988886.0, 24023, 7180.99 
802.737675, 285.0, 435008216.0, 7966418.0, 7330621.0, 17221284.0, 1516526537.0, 15016.0, 285.0, 786319901.0, 437.0, 1907730652.0, 2894714.0, 535213301.0, 265947248.0, 1717145.0, 15354523.0, 650303246.0, 349185606.0, 18530677.0, 988923.0, 25170, 7915.25 
857.750764, 274.0, 434873637.0, 6675357.0, 6764950.0, 16978593.0, 1593214046.0, 12783.0, 274.0, 853715022.0, 422.0, 1827083204.0, 2844905.0, 553991334.0, 310716877.0, 1713059.0, 24453648.0, 661431943.0, 318500422.0, 22088586.0, 988924.0, 24094, 7212.07 
827.452842, 266.0, 369341810.0, 5917147.0, 4263312.0, 15845043.0, 1582879098.0, 15449.0, 266.0, 812748873.0, 410.0, 1705071059.0, 2560538.0, 729508716.0, 280356338.0, 1588517.0, 20359242.0, 608087079.0, 291373929.0, 20595998.0, 988886.0, 27353, 7863.95 
842.796664, 302.0, 350402617.0, 6870956.0, 3911308.0, 17006019.0, 1702537237.0, 13301.0, 302.0, 817161831.0, 534.0, 2016518829.0, 2887456.0, 535549776.0, 268827638.0, 1433138.0, 19847359.0, 685342925.0, 311991906.0, 18860395.0, 988924.0, 24602, 7346.59 
825.451228, 325.0, 341413525.0, 6378734.0, 3457380.0, 13909456.0, 1422966076.0, 15488.0, 325.0, 815245247.0, 505.0, 1741062180.0, 2372953.0, 580336485.0, 372196775.0, 1781974.0, 20016220.0, 592932937.0, 304898412.0, 14887368.0, 988924.0, 22850, 7349.85 
