task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1184.697344, 375.0, 656541798.0, 9628391.0, 6838343.0, 23357320.0, 2363761096.0, 24295.0, 375.0, 1160663507.0, 596.0, 2953810778.0, 4111494.0, 946574648.0, 528582239.0, 2164130.0, 34965536.0, 951998174.0, 574334106.0, 32079004.0, 892791.0, 808957, 8523.35 
1112.406502, 265.0, 646466703.0, 8993668.0, 9435471.0, 23967624.0, 2387028636.0, 37703.0, 265.0, 1064546230.0, 478.0, 2847921882.0, 4296404.0, 845822710.0, 414326298.0, 1823167.0, 30453009.0, 789984741.0, 428931989.0, 30236692.0, 894262.0, 1050680, 8674.09 
994.575667, 246.0, 541498154.0, 7770838.0, 6622233.0, 20414665.0, 2227160965.0, 19261.0, 246.0, 958565715.0, 455.0, 2713184765.0, 3294154.0, 779432513.0, 330811990.0, 1916830.0, 25717502.0, 678984262.0, 355090783.0, 21169489.0, 854177.0, 843728, 7577.9 
1081.840217, 415.0, 610386712.0, 8411172.0, 6911850.0, 21282650.0, 2271177492.0, 19707.0, 415.0, 1050806710.0, 603.0, 2876218123.0, 3332602.0, 636996450.0, 443552589.0, 2113002.0, 34689972.0, 896479031.0, 552193861.0, 27085285.0, 878160.0, 166686, 6935.55 
1034.052153, 371.0, 589368894.0, 7994777.0, 8128663.0, 21738473.0, 2202902457.0, 37498.0, 371.0, 1013816209.0, 667.0, 2706645700.0, 3883379.0, 897557822.0, 442246369.0, 2165671.0, 30809294.0, 758560882.0, 430040774.0, 30490097.0, 846727.0, 386815, 6800.95 
1022.167621, 225.0, 640144466.0, 8897016.0, 8850648.0, 26232290.0, 2162552989.0, 34607.0, 225.0, 987803472.0, 422.0, 2382746336.0, 3678865.0, 745822110.0, 370623751.0, 1910977.0, 29003467.0, 750247531.0, 390993509.0, 27510055.0, 915199.0, 900222, 7476.12 
929.078196, 223.0, 447418497.0, 7420721.0, 5453156.0, 20805705.0, 1886728893.0, 16379.0, 223.0, 910507775.0, 604.0, 2333625734.0, 2893423.0, 708935468.0, 328551274.0, 1506315.0, 27775919.0, 545932319.0, 324609559.0, 24368968.0, 854444.0, 534079, 6392.56 
1087.292926, 383.0, 596335937.0, 6396073.0, 7762709.0, 20453667.0, 1968883903.0, 18780.0, 383.0, 1047306735.0, 561.0, 2481830948.0, 3372627.0, 814198396.0, 427098189.0, 2399878.0, 37589326.0, 840532070.0, 426925322.0, 24105650.0, 878149.0, 187026, 7334.64 
1162.878654, 404.0, 563179597.0, 9082082.0, 10749729.0, 24397618.0, 2388348918.0, 21986.0, 404.0, 1107152711.0, 728.0, 3170219199.0, 3810057.0, 1084028060.0, 565055970.0, 2336293.0, 28624328.0, 816701679.0, 421967419.0, 30550781.0, 892131.0, 591132, 8197.12 
1111.954689, 411.0, 642320577.0, 10117216.0, 9473961.0, 26251878.0, 2238133010.0, 37258.0, 411.0, 1080455482.0, 858.0, 2892677588.0, 4036890.0, 698253242.0, 389836711.0, 1640176.0, 27746238.0, 776521448.0, 467940706.0, 28082080.0, 912810.0, 1040319, 7884.77 
1060.903445, 394.0, 624215938.0, 9273525.0, 6154479.0, 20770096.0, 1978052061.0, 35904.0, 394.0, 1030996200.0, 582.0, 2600729728.0, 3812255.0, 871349831.0, 428640039.0, 2207507.0, 24387020.0, 721962385.0, 451756885.0, 20830974.0, 878900.0, 369225, 7281.41 
1161.964326, 453.0, 677069688.0, 8180379.0, 6651138.0, 21085617.0, 2251433621.0, 23446.0, 453.0, 1091989555.0, 647.0, 2990952360.0, 3719355.0, 797179071.0, 427207818.0, 1581017.0, 37682307.0, 1024440108.0, 541794647.0, 30632735.0, 863248.0, 198027, 7455.53 
1064.369831, 394.0, 648573393.0, 9185466.0, 6391178.0, 19840346.0, 2008953031.0, 36292.0, 394.0, 1032306892.0, 649.0, 2675554263.0, 3932807.0, 731030248.0, 465529564.0, 1863634.0, 29408811.0, 731864698.0, 466233100.0, 25016790.0, 840071.0, 348957, 7448.54 
1180.958069, 397.0, 673332473.0, 10129382.0, 9198692.0, 27281538.0, 2525742138.0, 40304.0, 397.0, 1127820108.0, 744.0, 3299869287.0, 4229606.0, 946534003.0, 548399672.0, 2219510.0, 37514630.0, 860254822.0, 451543183.0, 36559222.0, 889423.0, 986185, 8374.77 
