task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1211.51701, 353.0, 638975937.0, 7724090.0, 8692788.0, 19630159.0, 2379289330.0, 26516.0, 353.0, 1151067086.0, 467.0, 3659239453.0, 4410403.0, 1005337647.0, 614580317.0, 2145549.0, 34459977.0, 1047409949.0, 528080657.0, 28392580.0, 2797863.0, 1355120, 14676.49 
1265.331557, 255.0, 721575926.0, 7634456.0, 7386599.0, 22937666.0, 2391297557.0, 24790.0, 255.0, 1243820420.0, 501.0, 3444154397.0, 4074923.0, 1022399862.0, 562716459.0, 2116717.0, 33188443.0, 1095453015.0, 595101378.0, 25116174.0, 2797732.0, 1536404, 14646.37 
1269.110395, 263.0, 696785588.0, 7543469.0, 7884498.0, 23085226.0, 2744108929.0, 26917.0, 263.0, 1254495196.0, 494.0, 3953028838.0, 4001146.0, 1094766772.0, 488693215.0, 2624818.0, 30115071.0, 1105225239.0, 599263088.0, 25112416.0, 2803153.0, 1392901, 15006.53 
1277.72732, 293.0, 847646041.0, 8004004.0, 8989497.0, 22028257.0, 2524865102.0, 25467.0, 293.0, 1269113822.0, 475.0, 3533834503.0, 4400162.0, 1140206679.0, 515133243.0, 2780630.0, 37634992.0, 1088559128.0, 590136107.0, 25229484.0, 2808725.0, 790840, 15465.94 
1248.004433, 277.0, 783081189.0, 10502646.0, 7669865.0, 25241497.0, 2855815985.0, 28175.0, 277.0, 1232426737.0, 449.0, 3779281270.0, 4001397.0, 1189834067.0, 551779311.0, 2353902.0, 38936171.0, 1075525873.0, 650599260.0, 31118037.0, 2801004.0, 894795, 17167.4 
1157.871675, 358.0, 788893734.0, 9916826.0, 7889677.0, 22020106.0, 2531782246.0, 26375.0, 358.0, 1125507058.0, 1302.0, 3501363749.0, 3682055.0, 1024162954.0, 499287858.0, 2134358.0, 35767511.0, 1004228984.0, 588623029.0, 30668564.0, 2797369.0, 1464123, 14628.0 
1218.357798, 246.0, 722413547.0, 9475545.0, 8862859.0, 25030438.0, 2469322254.0, 25213.0, 246.0, 1198050800.0, 409.0, 3349982631.0, 4025342.0, 907183858.0, 502554474.0, 2529863.0, 36092977.0, 1056162369.0, 636071733.0, 23041382.0, 2798370.0, 1172485, 15178.66 
1241.462858, 321.0, 642041312.0, 9696051.0, 9023831.0, 25083349.0, 2619387018.0, 26964.0, 321.0, 1213550524.0, 459.0, 4021300329.0, 4396538.0, 1062103268.0, 531716897.0, 1784733.0, 35719530.0, 948654854.0, 570945197.0, 25043214.0, 2797766.0, 708876, 14717.06 
1215.115744, 260.0, 702282076.0, 9466361.0, 10323953.0, 23636918.0, 2488017600.0, 24252.0, 260.0, 1205006499.0, 586.0, 3598656148.0, 4045029.0, 1113937749.0, 529620262.0, 2120392.0, 32667490.0, 899910056.0, 567121276.0, 25427706.0, 2798130.0, 1158043, 14916.5 
1182.487308, 265.0, 722373199.0, 8805302.0, 10623368.0, 25712246.0, 2510662839.0, 27076.0, 265.0, 1167603701.0, 444.0, 3510829510.0, 4168215.0, 1123839947.0, 458502306.0, 2046613.0, 30413511.0, 990282766.0, 522508105.0, 20622486.0, 2797446.0, 1462553, 14702.9 
1193.529568, 272.0, 712601733.0, 9637136.0, 6678363.0, 21659339.0, 2429536456.0, 24302.0, 272.0, 1174882261.0, 453.0, 3295302738.0, 3906847.0, 1137755302.0, 546501972.0, 2812184.0, 36598412.0, 954299286.0, 651943872.0, 26618988.0, 2802057.0, 1019257, 14987.08 
1238.670821, 305.0, 789044029.0, 8771449.0, 8520588.0, 24595474.0, 2676835617.0, 24424.0, 305.0, 1228060114.0, 490.0, 3764887269.0, 4053354.0, 1120607025.0, 485010686.0, 2271412.0, 30139318.0, 975862317.0, 535326468.0, 25544718.0, 2798112.0, 835716, 14854.39 
1220.504144, 368.0, 744773947.0, 9154518.0, 6697859.0, 22179213.0, 2482304940.0, 27211.0, 368.0, 1174927697.0, 511.0, 3421920377.0, 3833840.0, 1038441124.0, 496660279.0, 1903045.0, 37369144.0, 1129783392.0, 685338190.0, 24835673.0, 2801200.0, 1010205, 16206.83 
1184.31759, 282.0, 788275151.0, 7308813.0, 9610055.0, 22066441.0, 2396115614.0, 25284.0, 282.0, 1150436623.0, 422.0, 3365423106.0, 3995236.0, 949595249.0, 524168645.0, 2268836.0, 34869441.0, 1056942522.0, 588892584.0, 23299098.0, 2797119.0, 1516664, 15168.93 
1224.427757, 288.0, 787968787.0, 8474140.0, 8304533.0, 23061412.0, 2280044226.0, 24835.0, 288.0, 1194615322.0, 552.0, 3255294742.0, 4139614.0, 1044537951.0, 488387838.0, 2214275.0, 30175150.0, 841752188.0, 521619565.0, 26539158.0, 2797722.0, 1287114, 14786.92 
1149.953453, 332.0, 798418528.0, 8687718.0, 10337035.0, 26360636.0, 2518240063.0, 25173.0, 332.0, 1129655415.0, 1606.0, 3678749408.0, 3877169.0, 973906343.0, 471856475.0, 1814763.0, 34911327.0, 1034308303.0, 512554717.0, 26273647.0, 2797867.0, 1429035, 14995.18 
1317.641804, 259.0, 867551819.0, 10593172.0, 9486583.0, 24603497.0, 2843531480.0, 28852.0, 259.0, 1290011213.0, 585.0, 3789095082.0, 4362814.0, 1228104755.0, 601977986.0, 1990669.0, 43854521.0, 1081837147.0, 631784906.0, 28891425.0, 2797745.0, 819599, 19265.51 
1359.705003, 323.0, 853194316.0, 9275781.0, 14952513.0, 28339812.0, 3055102574.0, 30129.0, 323.0, 1322586371.0, 502.0, 4441122765.0, 5103572.0, 1266449150.0, 632417753.0, 2722915.0, 37539579.0, 1189904508.0, 617611221.0, 31346409.0, 2857875.0, 850602, 17057.23 
