task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
782.854272, 203.0, 370365510.0, 6008112.0, 4155314.0, 12685185.0, 1361024063.0, 15269.0, 203.0, 768288845.0, 349.0, 1638050501.0, 2037575.0, 568558692.0, 289765075.0, 973375.0, 16847773.0, 475217066.0, 280829205.0, 18021042.0, 962430.0, 191079, 6721.11 
721.471874, 258.0, 411258796.0, 6956987.0, 4250835.0, 14309043.0, 1495604494.0, 15360.0, 258.0, 687949304.0, 368.0, 1871807837.0, 1747771.0, 551782838.0, 211433313.0, 1066654.0, 16921271.0, 441134294.0, 284138586.0, 18133602.0, 962384.0, 217907, 6738.66 
798.318412, 221.0, 440201748.0, 7661946.0, 6222387.0, 14033365.0, 1509109960.0, 14564.0, 221.0, 783608674.0, 442.0, 2110377833.0, 2297224.0, 541277122.0, 302775320.0, 1562921.0, 13816530.0, 455151774.0, 308992700.0, 18389699.0, 969364.0, 209502, 7211.99 
812.124064, 256.0, 400566389.0, 8121378.0, 6318570.0, 16117099.0, 1529089100.0, 14032.0, 256.0, 789212260.0, 371.0, 1793341297.0, 2286731.0, 576253466.0, 263895561.0, 2180414.0, 22116858.0, 443104974.0, 265887798.0, 14398767.0, 966088.0, 137091, 6732.94 
743.917704, 194.0, 374066710.0, 6493484.0, 4909079.0, 13441956.0, 1452836309.0, 13883.0, 194.0, 734211434.0, 349.0, 1902135094.0, 2307915.0, 607621454.0, 310290744.0, 1352990.0, 15161844.0, 496424786.0, 269219399.0, 18222983.0, 966174.0, 159291, 6821.89 
731.416566, 212.0, 363969189.0, 5952818.0, 4528952.0, 14394425.0, 1372871664.0, 14925.0, 212.0, 718758159.0, 352.0, 1792630159.0, 2006909.0, 471745401.0, 234267611.0, 1002082.0, 19395427.0, 504243480.0, 327892686.0, 15164993.0, 962498.0, 208955, 6648.97 
725.4254, 229.0, 354026934.0, 6218336.0, 4240521.0, 12919827.0, 1179117285.0, 13317.0, 229.0, 711002709.0, 348.0, 1612922066.0, 1809985.0, 556383330.0, 238348205.0, 1563370.0, 17429413.0, 497207941.0, 328028008.0, 14551776.0, 966086.0, 178702, 7112.07 
745.426313, 221.0, 373393103.0, 6320284.0, 3746046.0, 13722979.0, 1293937857.0, 14515.0, 221.0, 731670881.0, 350.0, 1710200447.0, 1834179.0, 560974541.0, 296882874.0, 1467173.0, 21837849.0, 489585991.0, 339568689.0, 17423369.0, 966154.0, 142269, 7109.31 
736.520911, 188.0, 356953497.0, 6176066.0, 4102433.0, 14382199.0, 1263589210.0, 14836.0, 188.0, 725028406.0, 394.0, 1697581074.0, 1667318.0, 502041618.0, 331277013.0, 1152794.0, 21236294.0, 493496193.0, 348383571.0, 17662372.0, 962315.0, 182664, 6853.28 
773.197313, 228.0, 469270311.0, 6539634.0, 5873473.0, 14115733.0, 1412080794.0, 13844.0, 228.0, 755339132.0, 376.0, 1779583777.0, 2015356.0, 593598133.0, 283557938.0, 1548971.0, 17517147.0, 478756606.0, 254607404.0, 15984799.0, 977308.0, 225073, 7045.09 
737.066453, 192.0, 328332002.0, 5848257.0, 3738981.0, 12204894.0, 1296192098.0, 13969.0, 192.0, 727376903.0, 354.0, 1940148677.0, 1814731.0, 495688799.0, 285019172.0, 1657882.0, 17182229.0, 521661498.0, 313187319.0, 18075408.0, 962433.0, 165321, 6906.47 
728.071305, 226.0, 361277791.0, 5837379.0, 3432260.0, 11464987.0, 1242896394.0, 14807.0, 226.0, 711584774.0, 372.0, 1829138843.0, 1714011.0, 424240351.0, 266809258.0, 1107452.0, 18314292.0, 560979440.0, 310364748.0, 16366624.0, 962528.0, 132011, 6363.14 
745.317362, 250.0, 363233257.0, 7495996.0, 4319425.0, 14713608.0, 1537483545.0, 14942.0, 250.0, 720120857.0, 351.0, 2103056123.0, 1951890.0, 538565552.0, 280998489.0, 1734576.0, 18430386.0, 497855920.0, 289412916.0, 15516338.0, 966129.0, 153463, 6610.25 
772.992063, 236.0, 354052899.0, 7481664.0, 4102751.0, 15291370.0, 1458174713.0, 14699.0, 236.0, 768354386.0, 447.0, 1617583907.0, 1957985.0, 464133945.0, 240885289.0, 2005158.0, 19464005.0, 566533590.0, 350340296.0, 22887633.0, 962549.0, 209799, 6421.19 
