task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
705.665278, 210.0, 315712366.0, 7900526.0, 4275867.0, 14636606.0, 1343311708.0, 14117.0, 210.0, 697733003.0, 340.0, 1551844610.0, 2049456.0, 511783985.0, 254237851.0, 929110.0, 17972377.0, 471746489.0, 242684954.0, 17333316.0, 686615.0, 73332, 3821.09 
733.158589, 227.0, 361885592.0, 6521259.0, 4126314.0, 14290037.0, 1386343488.0, 14047.0, 227.0, 715771476.0, 435.0, 1552611491.0, 2008693.0, 495262424.0, 239205273.0, 1013695.0, 13279727.0, 466075104.0, 275441916.0, 12954110.0, 684915.0, 86811, 3832.97 
739.654888, 211.0, 352303650.0, 6969842.0, 4603287.0, 15154119.0, 1436551049.0, 14957.0, 211.0, 715289847.0, 353.0, 1833583174.0, 2694606.0, 575433423.0, 219420885.0, 1468149.0, 14240651.0, 501709447.0, 256575153.0, 14730347.0, 667297.0, 64544, 4413.6 
793.002022, 248.0, 335781625.0, 7001313.0, 4138784.0, 17182944.0, 1548177050.0, 14346.0, 248.0, 785803718.0, 467.0, 1668897669.0, 2038836.0, 593842251.0, 252959613.0, 2023814.0, 17840854.0, 435341254.0, 262024660.0, 15776498.0, 667491.0, 58520, 3874.96 
835.114884, 192.0, 324762790.0, 7070490.0, 4467914.0, 13293490.0, 1364026034.0, 14379.0, 192.0, 816420896.0, 332.0, 1656466730.0, 2206731.0, 524012183.0, 258265446.0, 1455533.0, 17265393.0, 495221779.0, 245441410.0, 17790695.0, 669987.0, 100204, 4253.81 
707.079068, 215.0, 354180441.0, 6673873.0, 4877618.0, 15745650.0, 1408168664.0, 20471.0, 215.0, 694344088.0, 442.0, 1745337776.0, 2422334.0, 615074452.0, 230701199.0, 1144381.0, 15974733.0, 465213117.0, 250625974.0, 14876420.0, 684971.0, 52302, 3966.74 
742.331216, 221.0, 338350381.0, 7107817.0, 5607437.0, 14281489.0, 1214989496.0, 19937.0, 221.0, 719495553.0, 380.0, 1331323169.0, 1853272.0, 469061546.0, 239946123.0, 1266910.0, 19272060.0, 477814853.0, 292347702.0, 19504344.0, 686612.0, 47174, 3929.79 
755.006843, 219.0, 327153708.0, 6154687.0, 3433974.0, 10974750.0, 1272337655.0, 13980.0, 219.0, 731251951.0, 372.0, 1700845251.0, 1874741.0, 546042438.0, 264057404.0, 1501070.0, 18464989.0, 462976777.0, 298263473.0, 17695042.0, 686130.0, 59989, 4152.27 
752.226903, 270.0, 336349643.0, 7153475.0, 4024641.0, 13798033.0, 1304524176.0, 14282.0, 270.0, 729338939.0, 388.0, 1706378215.0, 1823812.0, 551830989.0, 259290291.0, 1521220.0, 19217055.0, 501840164.0, 318548367.0, 18618890.0, 686589.0, 95831, 3832.04 
733.649775, 181.0, 321014219.0, 6315059.0, 3316513.0, 11137321.0, 1174728723.0, 13361.0, 181.0, 731609530.0, 301.0, 1451065783.0, 2110720.0, 497648108.0, 206978041.0, 1213345.0, 18878084.0, 457085054.0, 296455985.0, 15321500.0, 686608.0, 64052, 3669.88 
