task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1594.144663, 408.0, 1046790732.0, 11076385.0, 10792473.0, 28728439.0, 3706568338.0, 51340.0, 408.0, 1541419901.0, 628.0, 5241483773.0, 4933789.0, 1404509992.0, 705328894.0, 3534556.0, 57486991.0, 1304303489.0, 766430820.0, 35537244.0, 1537697.0, 537012, 11524.68 
1428.839695, 260.0, 891946274.0, 8681204.0, 19538458.0, 45541754.0, 2819505372.0, 47940.0, 260.0, 1400340067.0, 491.0, 4256184735.0, 5144719.0, 1250920895.0, 593441449.0, 3171225.0, 58915367.0, 1198836190.0, 622781013.0, 25448406.0, 1320880.0, 619309, 9335.08 
1560.530899, 370.0, 910713515.0, 10670204.0, 12448678.0, 29951098.0, 3185116597.0, 31116.0, 370.0, 1504706952.0, 584.0, 4843744528.0, 4977094.0, 1336316176.0, 678181464.0, 3128299.0, 43375168.0, 1223312257.0, 761958371.0, 32523382.0, 1454106.0, 480991, 11194.79 
1613.871651, 375.0, 996333581.0, 11782523.0, 12140632.0, 33071423.0, 3592279236.0, 35882.0, 375.0, 1555969423.0, 561.0, 5449162239.0, 6391050.0, 1481727684.0, 714496686.0, 3243951.0, 47597931.0, 1449259175.0, 763845607.0, 40742108.0, 1605843.0, 478136, 12244.45 
1642.83337, 488.0, 909474783.0, 10164861.0, 13673367.0, 31367075.0, 3397748525.0, 61309.0, 488.0, 1602943590.0, 854.0, 4469232490.0, 5149504.0, 1304115844.0, 730348600.0, 2934603.0, 52044466.0, 1429629958.0, 751384780.0, 44099674.0, 1470637.0, 686388, 11112.07 
1671.949404, 428.0, 1204432141.0, 9844889.0, 12828385.0, 32986129.0, 3417804923.0, 35604.0, 428.0, 1626547529.0, 747.0, 4672354668.0, 5648203.0, 1283364424.0, 803054131.0, 3096475.0, 53042708.0, 1370243325.0, 761528255.0, 42196552.0, 1589038.0, 410164, 11884.08 
1399.082183, 264.0, 915729244.0, 8910818.0, 9981190.0, 31083557.0, 3118492241.0, 28278.0, 264.0, 1368118350.0, 467.0, 3743415216.0, 5569941.0, 1181147704.0, 555808856.0, 3206145.0, 45705662.0, 1008057653.0, 613672369.0, 28435333.0, 1317008.0, 354240, 9319.91 
1381.185831, 296.0, 867148379.0, 10792415.0, 7643890.0, 25870780.0, 2915488079.0, 30840.0, 296.0, 1331570989.0, 501.0, 4483383082.0, 4925545.0, 1120389945.0, 572003514.0, 2827464.0, 38444506.0, 1069665023.0, 595020408.0, 33871599.0, 1274913.0, 458234, 17721.75 
1293.631299, 264.0, 841654353.0, 10910140.0, 8593614.0, 25861155.0, 2822538661.0, 51300.0, 264.0, 1247691654.0, 456.0, 4007922996.0, 5242377.0, 1197497866.0, 660430534.0, 1963316.0, 37382486.0, 1000069849.0, 630284164.0, 30832109.0, 1284691.0, 655616, 9033.45 
1312.265612, 297.0, 809327294.0, 9861227.0, 10748750.0, 29236062.0, 2822458742.0, 35363.0, 297.0, 1272502319.0, 616.0, 3845026662.0, 4695563.0, 1262359115.0, 533379206.0, 2945449.0, 36178855.0, 1076856684.0, 685793641.0, 24755871.0, 1274491.0, 494512, 9065.57 
1620.376491, 396.0, 1015914068.0, 11087372.0, 15638806.0, 36793419.0, 3368483556.0, 46038.0, 396.0, 1572373976.0, 621.0, 4852369137.0, 6130224.0, 1219231543.0, 732514071.0, 3512022.0, 46718059.0, 1405535945.0, 739306378.0, 35716334.0, 1532810.0, 524923, 11096.28 
1868.824066, 518.0, 1097478941.0, 12052622.0, 18061779.0, 39196594.0, 4078800890.0, 65296.0, 518.0, 1859353027.0, 801.0, 5390104411.0, 7842825.0, 1643319762.0, 855630281.0, 3554655.0, 53983675.0, 1610736621.0, 849998953.0, 38832660.0, 1653173.0, 610039, 12301.3 
1617.975202, 519.0, 1020190364.0, 9625228.0, 11125765.0, 35355954.0, 3506250710.0, 46122.0, 519.0, 1590272113.0, 843.0, 4284710468.0, 5590663.0, 1355405508.0, 713398331.0, 4313850.0, 46893873.0, 1294037561.0, 690575792.0, 33692604.0, 1468938.0, 561402, 10929.62 
1269.786161, 254.0, 735861910.0, 8557003.0, 9759032.0, 27246895.0, 2662630073.0, 26953.0, 254.0, 1222686207.0, 417.0, 3861758411.0, 5155970.0, 1187745618.0, 579901112.0, 2447708.0, 30941848.0, 1064044905.0, 598199399.0, 31055290.0, 1277578.0, 481373, 8930.81 
1544.505096, 397.0, 1082184263.0, 10124499.0, 9016334.0, 27868642.0, 3346090832.0, 59163.0, 397.0, 1491364009.0, 686.0, 5183887951.0, 6000074.0, 1327250703.0, 736498915.0, 3209516.0, 49079170.0, 1300582907.0, 762301872.0, 35590651.0, 1444820.0, 595524, 11197.0 
1428.937331, 335.0, 816031218.0, 8910001.0, 10109518.0, 29296865.0, 3072997341.0, 55799.0, 335.0, 1356699945.0, 519.0, 4584372238.0, 5430948.0, 1409438707.0, 688605436.0, 2866552.0, 41482965.0, 1308562282.0, 733594275.0, 38456157.0, 1414248.0, 618584, 10220.54 
1658.116554, 435.0, 1052825433.0, 11304964.0, 14962202.0, 36055841.0, 3575880279.0, 64535.0, 435.0, 1610926645.0, 645.0, 4294146356.0, 6401198.0, 1407599749.0, 787801030.0, 3428130.0, 47270702.0, 1485343096.0, 803607159.0, 37383596.0, 1528524.0, 670579, 11505.18 
1344.406124, 361.0, 871231680.0, 8670512.0, 13122481.0, 27371292.0, 3081663676.0, 32443.0, 361.0, 1306561985.0, 529.0, 4945314672.0, 5201262.0, 1289958311.0, 693445114.0, 2641680.0, 45175995.0, 1353971223.0, 675507281.0, 27415461.0, 1410679.0, 428678, 11015.38 
1498.973287, 320.0, 899408181.0, 8459046.0, 12397953.0, 28840588.0, 3293627465.0, 57670.0, 320.0, 1446115871.0, 539.0, 5191612051.0, 5816752.0, 1593714904.0, 701887867.0, 2998730.0, 49845437.0, 1230261768.0, 674261868.0, 32704350.0, 1415921.0, 629920, 10979.78 
1340.901991, 279.0, 918130674.0, 9933882.0, 12245874.0, 31014640.0, 2837994405.0, 50773.0, 279.0, 1335773105.0, 584.0, 3875029826.0, 5639521.0, 1085427820.0, 633231533.0, 2327650.0, 42864719.0, 1196765425.0, 622616282.0, 37869080.0, 1321122.0, 614636, 9896.98 
1323.663609, 243.0, 820332917.0, 9290104.0, 10296819.0, 27128025.0, 2861610744.0, 27669.0, 243.0, 1295976492.0, 466.0, 4160177036.0, 4383032.0, 935748641.0, 568676685.0, 3405982.0, 38002653.0, 1152255147.0, 649718128.0, 32296725.0, 1277129.0, 359853, 10635.33 
1495.858489, 339.0, 885257741.0, 9602402.0, 8781363.0, 29618894.0, 3177964284.0, 38984.0, 339.0, 1457617417.0, 528.0, 4387046699.0, 4849957.0, 1312650962.0, 696579381.0, 2240436.0, 37589030.0, 1206296720.0, 632843323.0, 32574146.0, 1272526.0, 837089, 13916.92 
1567.870176, 497.0, 979957405.0, 11198838.0, 13435072.0, 30995225.0, 3469945735.0, 57373.0, 497.0, 1524193293.0, 653.0, 5004821744.0, 5776719.0, 1435337527.0, 718840769.0, 3630558.0, 54555127.0, 1396558951.0, 762718458.0, 37240102.0, 1528366.0, 584200, 11496.85 
1762.754508, 476.0, 1037129885.0, 13472711.0, 20214533.0, 44632213.0, 3464583905.0, 42938.0, 476.0, 1728777456.0, 714.0, 4568070915.0, 7052734.0, 1556554160.0, 736443011.0, 3065949.0, 54792095.0, 1432712456.0, 747699245.0, 36067557.0, 1655404.0, 401701, 12742.81 
1416.788047, 325.0, 1030240209.0, 10429346.0, 12202400.0, 31800440.0, 3143648049.0, 32516.0, 325.0, 1371751858.0, 599.0, 4310292105.0, 4788222.0, 1220316689.0, 703550232.0, 2328502.0, 47396151.0, 1248598043.0, 681821583.0, 32474929.0, 1415129.0, 397264, 10925.25 
