task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1114.626225, 245.0, 639436718.0, 8152034.0, 11774842.0, 30867899.0, 1895316223.0, 26540.0, 245.0, 1093249929.0, 415.0, 2233977552.0, 3027760.0, 883201407.0, 314889521.0, 1771967.0, 56115046.0, 721377772.0, 348819110.0, 20030597.0, 1385550.0, 137413, 6944.13 
1080.419332, 218.0, 618871490.0, 6589634.0, 15637252.0, 40945897.0, 1644650206.0, 26066.0, 218.0, 1076732008.0, 394.0, 2272948830.0, 3296704.0, 749292064.0, 353469408.0, 1536696.0, 49226451.0, 839998300.0, 394341832.0, 28055622.0, 1385420.0, 133246, 6121.57 
922.262404, 278.0, 428785048.0, 7109542.0, 5375794.0, 16890596.0, 1650012674.0, 26932.0, 278.0, 893159484.0, 443.0, 2027380222.0, 2849143.0, 736720846.0, 339922934.0, 1617677.0, 24504219.0, 584477940.0, 308400768.0, 19528204.0, 1387120.0, 126732, 6714.5 
910.210225, 250.0, 411484223.0, 7337539.0, 5723644.0, 16699244.0, 1831342222.0, 26678.0, 250.0, 902338656.0, 442.0, 2209107923.0, 2783501.0, 643929967.0, 340561908.0, 1354262.0, 21056538.0, 626742179.0, 380476246.0, 27089673.0, 1385501.0, 112450, 6122.91 
1147.710887, 290.0, 674531876.0, 8283678.0, 16786066.0, 41098482.0, 1788499807.0, 26362.0, 290.0, 1108156437.0, 494.0, 2428069814.0, 3270813.0, 829474722.0, 436465188.0, 1811497.0, 40921785.0, 956454897.0, 441847079.0, 21072166.0, 1404080.0, 154255, 7046.74 
951.428253, 231.0, 429248395.0, 7038385.0, 6634796.0, 18398739.0, 1720312038.0, 27228.0, 231.0, 937890292.0, 510.0, 2425942451.0, 3246812.0, 738981829.0, 357926657.0, 1807786.0, 19715158.0, 659851990.0, 327627838.0, 22314409.0, 1386704.0, 104424, 6390.0 
1026.920356, 260.0, 450356755.0, 7486080.0, 6218524.0, 20703838.0, 1860385270.0, 27955.0, 260.0, 993372230.0, 552.0, 2401371515.0, 3195236.0, 717878556.0, 318087636.0, 1914573.0, 26000759.0, 732282999.0, 430414682.0, 28664162.0, 1405175.0, 117804, 6968.42 
1054.773816, 281.0, 491784586.0, 8465986.0, 7345182.0, 21704431.0, 2002999279.0, 28833.0, 281.0, 1058621261.0, 621.0, 2569429894.0, 3378208.0, 820376908.0, 331343207.0, 2029684.0, 23616374.0, 669760007.0, 364206172.0, 28296298.0, 1389519.0, 126490, 7065.65 
876.576437, 238.0, 423786687.0, 6494299.0, 5330862.0, 16418810.0, 1688727104.0, 26141.0, 238.0, 852459918.0, 394.0, 2339457523.0, 2777512.0, 644783143.0, 338404203.0, 1796599.0, 21020515.0, 644249981.0, 353476815.0, 22123701.0, 1385314.0, 135981, 6465.07 
1012.793511, 266.0, 576991221.0, 9407346.0, 11502537.0, 24973044.0, 1991050117.0, 23581.0, 266.0, 988172417.0, 551.0, 2390359124.0, 2800132.0, 740188622.0, 352758958.0, 1336566.0, 42126071.0, 794389181.0, 376551147.0, 24781940.0, 1386896.0, 128811, 7096.99 
914.890155, 207.0, 449495699.0, 7997456.0, 6338776.0, 20198116.0, 1893604627.0, 24206.0, 207.0, 896286117.0, 346.0, 2087570810.0, 2704765.0, 603521200.0, 311967163.0, 3149657.0, 23479753.0, 514323694.0, 322135440.0, 19822764.0, 1369994.0, 119766, 6142.54 
