task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
778.722599, 249.0, 343951500.0, 7079154.0, 5639737.0, 15742627.0, 1509415421.0, 21592.0, 249.0, 767404192.0, 392.0, 1763653101.0, 2188136.0, 625465205.0, 242407959.0, 1300942.0, 17562372.0, 561909831.0, 274935541.0, 23292788.0, 762738.0, 117749, 4865.18 
809.831559, 291.0, 421862470.0, 6355576.0, 5280799.0, 15281305.0, 1493772142.0, 22153.0, 291.0, 800276392.0, 425.0, 1764769790.0, 2576641.0, 604272614.0, 265888370.0, 1285224.0, 18488420.0, 604938755.0, 326915102.0, 14710969.0, 779215.0, 154164, 5030.41 
790.808402, 274.0, 430309916.0, 6396509.0, 5163818.0, 12561416.0, 1356725974.0, 15410.0, 274.0, 769557331.0, 435.0, 1740225133.0, 2249068.0, 553665417.0, 327831347.0, 1490635.0, 17564337.0, 469567485.0, 269147570.0, 17447514.0, 810134.0, 80664, 5209.84 
771.697437, 252.0, 338947394.0, 7498405.0, 5925412.0, 13713791.0, 1433968411.0, 14246.0, 252.0, 767585062.0, 483.0, 1940676913.0, 2757595.0, 551762990.0, 301209392.0, 1122679.0, 15510582.0, 471494379.0, 282419233.0, 17248871.0, 759011.0, 74240, 4631.34 
807.722648, 288.0, 388850903.0, 6567834.0, 4619406.0, 15442185.0, 1374663911.0, 21358.0, 288.0, 784252595.0, 424.0, 1750052372.0, 2115304.0, 543999939.0, 248131752.0, 1523869.0, 20388152.0, 587385325.0, 314481628.0, 19698829.0, 765549.0, 177432, 4798.42 
768.303838, 264.0, 329973419.0, 7259085.0, 4672197.0, 13439020.0, 1426228719.0, 14352.0, 264.0, 759191439.0, 496.0, 1924059853.0, 1877422.0, 649697999.0, 311544374.0, 1596751.0, 20470749.0, 515160257.0, 310439920.0, 16405713.0, 769086.0, 53681, 4834.94 
807.912039, 258.0, 358336310.0, 7611272.0, 4090402.0, 13790538.0, 1581957353.0, 13831.0, 258.0, 789485190.0, 403.0, 2108027971.0, 2451335.0, 536504342.0, 264592865.0, 1405373.0, 16368661.0, 557046717.0, 235373010.0, 17695838.0, 780578.0, 42797, 5002.21 
784.700773, 269.0, 356479913.0, 6917615.0, 4755986.0, 14436367.0, 1421218663.0, 14244.0, 269.0, 755963006.0, 408.0, 1851756598.0, 1832992.0, 530566728.0, 288314609.0, 1764132.0, 18331860.0, 529439405.0, 308137953.0, 18245873.0, 790328.0, 70102, 5062.02 
794.994396, 288.0, 399549742.0, 6765169.0, 5105603.0, 14376665.0, 1364454204.0, 21361.0, 288.0, 798441743.0, 507.0, 1715757430.0, 1910360.0, 583188523.0, 288996326.0, 1470765.0, 19404708.0, 572947887.0, 315448935.0, 20401352.0, 779164.0, 172063, 4961.73 
788.029405, 326.0, 434866050.0, 8661730.0, 4822264.0, 17827840.0, 1630320654.0, 15232.0, 326.0, 749989940.0, 460.0, 1796403852.0, 2032394.0, 543012840.0, 316752446.0, 1315230.0, 17784838.0, 609192985.0, 236137256.0, 18126972.0, 787810.0, 95068, 5045.53 
772.811665, 259.0, 308972894.0, 6632334.0, 4254860.0, 12983674.0, 1433658084.0, 21027.0, 259.0, 758982826.0, 408.0, 1718918797.0, 1960673.0, 567941674.0, 296911185.0, 1246754.0, 20279801.0, 551017043.0, 273681881.0, 20224472.0, 759771.0, 109747, 4521.39 
785.02549, 216.0, 354052095.0, 6775996.0, 3183100.0, 12519907.0, 1392533859.0, 19858.0, 216.0, 756234020.0, 360.0, 1778268733.0, 1585322.0, 531446636.0, 252882784.0, 1174385.0, 17561400.0, 556465096.0, 361804345.0, 16376926.0, 760072.0, 136771, 4571.21 
797.718075, 271.0, 330661141.0, 6162275.0, 5031289.0, 14727139.0, 1337510597.0, 18855.0, 271.0, 778841740.0, 422.0, 1813865936.0, 2084941.0, 609249703.0, 360009184.0, 1755334.0, 15971281.0, 495218522.0, 295063302.0, 15536901.0, 792592.0, 107223, 4777.17 
790.107316, 277.0, 372318233.0, 7707149.0, 3793225.0, 14090461.0, 1488042473.0, 14799.0, 277.0, 781289224.0, 431.0, 1897059908.0, 1980596.0, 667509796.0, 229288841.0, 1653176.0, 16744677.0, 519881480.0, 310208771.0, 15954972.0, 755060.0, 85155, 4466.47 
822.171484, 271.0, 399416858.0, 7730847.0, 6034531.0, 13784042.0, 1339631159.0, 21563.0, 271.0, 796447875.0, 418.0, 1608504363.0, 1858398.0, 600126212.0, 312844498.0, 1295533.0, 21794085.0, 567093359.0, 350761924.0, 20826124.0, 765151.0, 129160, 5159.54 
795.397746, 291.0, 357601970.0, 6773020.0, 5214743.0, 13675329.0, 1356407639.0, 21737.0, 291.0, 773304783.0, 451.0, 1838967361.0, 2553229.0, 616328172.0, 349518725.0, 1133682.0, 17821733.0, 565793904.0, 311699924.0, 16779648.0, 770912.0, 159464, 4502.55 
776.58298, 270.0, 321987211.0, 6262747.0, 4508026.0, 13109576.0, 1307035167.0, 21988.0, 270.0, 764505413.0, 392.0, 1732881436.0, 2293462.0, 627969222.0, 335605500.0, 1256258.0, 19410269.0, 606560328.0, 296396526.0, 17493923.0, 791480.0, 167618, 5104.55 
776.885219, 268.0, 327634545.0, 7378981.0, 5197215.0, 14033696.0, 1401548341.0, 14764.0, 268.0, 751882671.0, 406.0, 1808580121.0, 2358068.0, 578282288.0, 245965630.0, 1145563.0, 15202451.0, 525186510.0, 256119333.0, 18569528.0, 773040.0, 66433, 4832.61 
812.524992, 258.0, 390142693.0, 6367479.0, 4522469.0, 14285537.0, 1459251564.0, 21203.0, 258.0, 808107039.0, 487.0, 1645835296.0, 2183172.0, 593313803.0, 243003510.0, 1256745.0, 19651937.0, 564941769.0, 307667535.0, 25099625.0, 765076.0, 154578, 5035.42 
812.7678, 260.0, 349637734.0, 7016305.0, 5292198.0, 13750373.0, 1413235934.0, 20688.0, 260.0, 793514689.0, 405.0, 1768803133.0, 2390613.0, 624488448.0, 244629161.0, 1405642.0, 21794126.0, 593888948.0, 298188221.0, 22074358.0, 768753.0, 143125, 4916.46 
726.465366, 247.0, 327189777.0, 7309659.0, 4805006.0, 12313993.0, 1254949175.0, 14096.0, 247.0, 721766354.0, 397.0, 1688671968.0, 2154029.0, 607081861.0, 296045826.0, 1110385.0, 18681102.0, 548126703.0, 258898403.0, 14662139.0, 766729.0, 32667, 4526.24 
752.82259, 252.0, 367637121.0, 7421366.0, 3829286.0, 13873725.0, 1395494023.0, 15719.0, 252.0, 740130584.0, 395.0, 1806586663.0, 2389887.0, 516973375.0, 278514921.0, 1160800.0, 18057868.0, 529423038.0, 246777461.0, 15013619.0, 756122.0, 102735, 4771.41 
818.53612, 285.0, 403263456.0, 7342501.0, 5820597.0, 14999678.0, 1344149844.0, 22149.0, 285.0, 796415531.0, 427.0, 1703597175.0, 2758658.0, 510624335.0, 303743920.0, 1331108.0, 18606850.0, 558094943.0, 254066932.0, 20014170.0, 785056.0, 124931, 4918.97 
846.892476, 232.0, 388248729.0, 7256718.0, 5970429.0, 16506638.0, 1538443323.0, 13011.0, 232.0, 814049776.0, 366.0, 1967143191.0, 2120113.0, 614163575.0, 287140971.0, 1900811.0, 15245239.0, 503460297.0, 293010125.0, 18200090.0, 836012.0, 26575, 5051.24 
777.788038, 286.0, 345197044.0, 8233330.0, 6065182.0, 16559967.0, 1598307011.0, 13504.0, 286.0, 794770595.0, 539.0, 2246106674.0, 2661146.0, 560342170.0, 342900147.0, 1740089.0, 18237992.0, 524006902.0, 273523608.0, 15863246.0, 756784.0, 46688, 4510.02 
