task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2749.560157, 416.0, 1817658031.0, 13362510.0, 24529471.0, 59976608.0, 6195177838.0, 100169.0, 416.0, 2723319216.0, 742.0, 9688808837.0, 12154759.0, 2959396255.0, 1430633856.0, 5285219.0, 99032491.0, 2770554022.0, 1427074835.0, 57271168.0, 8156588.0, 1199115, 28760.89 
3015.138536, 278.0, 2128360984.0, 15001678.0, 25496401.0, 63905899.0, 7299493470.0, 125912.0, 278.0, 2983525654.0, 484.0, 10984325915.0, 12628623.0, 3149606199.0, 1539696345.0, 6789586.0, 99032037.0, 3099408209.0, 1609014097.0, 55810972.0, 9625136.0, 1443513, 27369.89 
4128.868914, 980.0, 2876586317.0, 22811471.0, 36721151.0, 84152679.0, 9777788674.0, 182588.0, 980.0, 4123763519.0, 1857.0, 14932779367.0, 19816011.0, 4304049717.0, 2192599788.0, 8435302.0, 145224945.0, 4195273299.0, 2256870690.0, 87092358.0, 10357881.0, 925273, 66222.11 
2983.902067, 519.0, 1964405474.0, 14120811.0, 28965799.0, 66083567.0, 6723269625.0, 112165.0, 519.0, 2950094990.0, 764.0, 9870591413.0, 11433353.0, 3059948678.0, 1473496967.0, 6742279.0, 100442823.0, 3008460996.0, 1486752407.0, 68918713.0, 8892607.0, 832026, 28506.8 
3140.096105, 306.0, 2238369216.0, 15425106.0, 25195680.0, 70619773.0, 7598295214.0, 133456.0, 306.0, 3106077253.0, 986.0, 11427310725.0, 15394061.0, 3125078590.0, 1750799623.0, 8263960.0, 113675033.0, 3170596114.0, 1623056114.0, 68106913.0, 8956631.0, 1724230, 26213.51 
4033.099448, 571.0, 3103667817.0, 22146370.0, 56355785.0, 131193086.0, 8391756285.0, 153385.0, 571.0, 3998464913.0, 803.0, 12950263548.0, 16722169.0, 4331101696.0, 1866466849.0, 7852149.0, 210695689.0, 3714828340.0, 1856188161.0, 73189493.0, 10349043.0, 732434, 47309.17 
3123.199835, 569.0, 2286557482.0, 16155404.0, 25521497.0, 68000127.0, 7285799656.0, 123578.0, 569.0, 3087693458.0, 871.0, 11146866503.0, 15418467.0, 3151502575.0, 1645893786.0, 6642943.0, 121880844.0, 2904401630.0, 1659235876.0, 82001725.0, 8866932.0, 551773, 30578.63 
3352.685037, 515.0, 2435900565.0, 18476326.0, 28130440.0, 70418910.0, 7657972592.0, 135456.0, 515.0, 3300974593.0, 815.0, 11493027325.0, 13608711.0, 3301791399.0, 1623610856.0, 6708177.0, 117699331.0, 3287357853.0, 1638669313.0, 77234986.0, 9675396.0, 786393, 25246.76 
3734.428499, 749.0, 2494793088.0, 19298551.0, 32384873.0, 72490238.0, 8633087154.0, 153580.0, 749.0, 3687212919.0, 950.0, 12140829512.0, 14595503.0, 3838977183.0, 1791224694.0, 10187630.0, 131794455.0, 3680618192.0, 1876809638.0, 78856658.0, 10697163.0, 1722904, 67554.22 
3241.817132, 533.0, 2282941714.0, 16847794.0, 27810051.0, 70012394.0, 7411870071.0, 135401.0, 533.0, 3189893681.0, 744.0, 10592638640.0, 13571582.0, 3463654718.0, 1653999850.0, 7375737.0, 115158514.0, 3224262174.0, 1651560131.0, 72025664.0, 11103970.0, 992743, 72957.81 
3105.906463, 467.0, 2304229438.0, 15103043.0, 26367135.0, 66225347.0, 7527904752.0, 118549.0, 467.0, 3108299294.0, 967.0, 11401377102.0, 13857205.0, 3309951607.0, 1766136477.0, 5970351.0, 111660895.0, 3126238605.0, 1707863430.0, 75561528.0, 9034320.0, 1164741, 28503.84 
3205.781817, 412.0, 2278270045.0, 15813694.0, 31201137.0, 75138133.0, 7593462780.0, 135577.0, 412.0, 3179326104.0, 1099.0, 11587502189.0, 15381662.0, 3369388446.0, 1888913583.0, 6310269.0, 119498085.0, 3265495651.0, 1711900249.0, 77387639.0, 10353640.0, 1383079, 67196.3 
3396.50802, 728.0, 2235113335.0, 18113844.0, 37942179.0, 77904136.0, 7766510833.0, 105686.0, 728.0, 3395392386.0, 1033.0, 10645074731.0, 13719255.0, 3249188182.0, 1817525944.0, 6930283.0, 124561227.0, 3435479061.0, 1690137086.0, 79791369.0, 10354942.0, 1114945, 65043.41 
3358.865763, 292.0, 2542008237.0, 18586173.0, 40916918.0, 109488454.0, 7802131571.0, 127996.0, 292.0, 3327646676.0, 520.0, 11158500039.0, 13857846.0, 3637194691.0, 1673924291.0, 7172283.0, 180865289.0, 3504188071.0, 1690105133.0, 72656242.0, 9555342.0, 942123, 29803.07 
3361.609173, 538.0, 2469058313.0, 18473510.0, 47902003.0, 105257915.0, 7719925267.0, 127331.0, 538.0, 3310813310.0, 786.0, 11398643704.0, 16747522.0, 3585632468.0, 1692545682.0, 6956039.0, 188251890.0, 3450361268.0, 1741306737.0, 76789114.0, 9028208.0, 1356736, 50152.96 
3565.530045, 500.0, 2633718532.0, 17055474.0, 26787323.0, 73752279.0, 8444993569.0, 127975.0, 500.0, 3537619397.0, 754.0, 11702261977.0, 12341967.0, 3473702083.0, 1774373913.0, 8991527.0, 133732937.0, 3473569585.0, 1719710196.0, 78300035.0, 8892031.0, 1557584, 24930.93 
3040.324127, 473.0, 2193400552.0, 19522935.0, 26150698.0, 62711287.0, 7064788408.0, 124003.0, 473.0, 3009149881.0, 669.0, 11236626508.0, 12894291.0, 3085662773.0, 1638528946.0, 6600882.0, 105265033.0, 3021570728.0, 1604968913.0, 70561898.0, 8982114.0, 1603573, 28548.01 
3029.861098, 525.0, 2239040197.0, 15943927.0, 22223668.0, 64670352.0, 7205130723.0, 120291.0, 525.0, 2988745739.0, 805.0, 10447251467.0, 14442035.0, 3019671810.0, 1585338500.0, 4593977.0, 108761854.0, 3374310397.0, 1751781734.0, 62112660.0, 9037210.0, 693509, 32811.94 
2341.985267, 292.0, 1430571646.0, 14764960.0, 25218875.0, 64415466.0, 5351538883.0, 63312.0, 292.0, 2311466218.0, 696.0, 8001175001.0, 11756990.0, 2536531522.0, 1111793432.0, 4577584.0, 86782710.0, 2293422179.0, 1194202960.0, 61221597.0, 6542151.0, 1477980, 40679.72 
3813.291494, 1006.0, 2669741318.0, 22991514.0, 31752573.0, 73646851.0, 8723447129.0, 158309.0, 1006.0, 3790786105.0, 1251.0, 13377705259.0, 16935712.0, 4012531091.0, 1888172743.0, 7372058.0, 133046363.0, 3807458131.0, 2021316491.0, 74384430.0, 11044073.0, 1393009, 39723.51 
3545.935154, 348.0, 2845009571.0, 20231180.0, 26678944.0, 68327314.0, 8783951395.0, 142552.0, 348.0, 3493659011.0, 673.0, 12865130250.0, 17829879.0, 3622529988.0, 1888201267.0, 7161093.0, 146169747.0, 3750299748.0, 1916717945.0, 98838781.0, 9746653.0, 541490, 51190.32 
3287.895748, 594.0, 2295174134.0, 19266795.0, 30215700.0, 69350523.0, 7603493339.0, 143050.0, 594.0, 3254841896.0, 821.0, 12465934559.0, 14397567.0, 3667998713.0, 1748460925.0, 4858081.0, 120904355.0, 3454949011.0, 1782043374.0, 76878799.0, 10810717.0, 1043945, 70361.63 
2830.814735, 429.0, 1852006429.0, 15354543.0, 29451939.0, 61582595.0, 6879954400.0, 97086.0, 429.0, 2812474597.0, 791.0, 11374621073.0, 10764288.0, 3014812079.0, 1382112942.0, 5039558.0, 103038591.0, 2669591023.0, 1410177780.0, 64158860.0, 8895049.0, 1277967, 29575.77 
3242.809589, 476.0, 2520856097.0, 16001405.0, 31234150.0, 70922187.0, 7413132452.0, 152706.0, 476.0, 3205424883.0, 807.0, 12095740295.0, 14985851.0, 3604031951.0, 1706956482.0, 4943408.0, 127765909.0, 3917974200.0, 1924742196.0, 69263683.0, 9167892.0, 531934, 37829.76 
3025.282673, 498.0, 2250525284.0, 15917456.0, 24368328.0, 62258478.0, 7308356177.0, 124274.0, 498.0, 3029742083.0, 809.0, 10478416208.0, 12522913.0, 3184489809.0, 1567245175.0, 5485310.0, 119224274.0, 3074366687.0, 1679647132.0, 79614537.0, 8868436.0, 619853, 31144.35 
