task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
912.492701, 313.0, 413045394.0, 8553489.0, 8030057.0, 19736116.0, 1736501050.0, 24114.0, 313.0, 903525690.0, 461.0, 1916356292.0, 3318759.0, 722905011.0, 309285462.0, 1817888.0, 20747751.0, 623728717.0, 276321381.0, 19001956.0, 990911.0, 23752, 6904.0 
965.948957, 257.0, 569582953.0, 8308950.0, 12583209.0, 32592166.0, 1663848776.0, 23303.0, 257.0, 952167063.0, 422.0, 1790542854.0, 2785143.0, 666722839.0, 323359081.0, 1611721.0, 41159338.0, 700910402.0, 363468921.0, 21351093.0, 990911.0, 23859, 7153.78 
840.550143, 278.0, 442193457.0, 7439885.0, 5466779.0, 15996165.0, 1439391095.0, 19688.0, 278.0, 826713937.0, 413.0, 1655322598.0, 2895110.0, 710183820.0, 312057217.0, 1847798.0, 19540266.0, 591257844.0, 282089851.0, 19929051.0, 990911.0, 27820, 7780.38 
894.086036, 317.0, 411568585.0, 6853900.0, 6807916.0, 18956627.0, 1570862208.0, 19891.0, 317.0, 852410412.0, 528.0, 1893657349.0, 2482231.0, 535844702.0, 332272757.0, 1838889.0, 20546661.0, 619176603.0, 375448945.0, 21651172.0, 990911.0, 22933, 7386.84 
949.519697, 294.0, 500959322.0, 7236384.0, 11790957.0, 24658870.0, 1810662126.0, 19701.0, 294.0, 946971971.0, 547.0, 2157566503.0, 3122267.0, 699531057.0, 291321976.0, 1492373.0, 35767845.0, 605301495.0, 278675228.0, 16661642.0, 990910.0, 24252, 7494.74 
869.903801, 279.0, 420259340.0, 6928262.0, 8722483.0, 22319168.0, 1358842820.0, 20372.0, 279.0, 827990987.0, 456.0, 1663832404.0, 2569417.0, 547416755.0, 364167005.0, 1858073.0, 22029331.0, 770159131.0, 370109940.0, 18582526.0, 990911.0, 25343, 8107.71 
865.656749, 245.0, 437481184.0, 7215990.0, 6366866.0, 17744747.0, 1588539002.0, 22551.0, 245.0, 867250352.0, 492.0, 1689588084.0, 2824259.0, 598578270.0, 331898315.0, 1540707.0, 20399611.0, 608143277.0, 290107560.0, 21440542.0, 991655.0, 27037, 7228.07 
867.884534, 257.0, 430566156.0, 7756168.0, 8186707.0, 17648710.0, 1495339625.0, 20322.0, 257.0, 820865483.0, 398.0, 1855104863.0, 2883983.0, 652690888.0, 306987706.0, 1497212.0, 18379953.0, 619755224.0, 304189167.0, 18627338.0, 991033.0, 25180, 8061.8 
864.453122, 251.0, 429620031.0, 8216120.0, 4869340.0, 17797543.0, 1723343558.0, 17816.0, 251.0, 856232317.0, 477.0, 2062612998.0, 2719799.0, 544735502.0, 279281486.0, 1495149.0, 23911264.0, 618980122.0, 349564288.0, 20852642.0, 990911.0, 23805, 7285.67 
876.469025, 282.0, 333973681.0, 7588825.0, 6181006.0, 17669522.0, 1566002371.0, 21503.0, 282.0, 842398633.0, 545.0, 1985496477.0, 2846578.0, 722225467.0, 353689905.0, 1994501.0, 20744989.0, 514331277.0, 330364480.0, 22531868.0, 990911.0, 23763, 7454.53 
