task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1482.440621, 396.0, 926958133.0, 9812006.0, 9470721.0, 28051261.0, 3082134178.0, 42864.0, 396.0, 1450553672.0, 586.0, 4206761242.0, 5255468.0, 1260219196.0, 673375458.0, 3622941.0, 46564621.0, 1208534955.0, 635445464.0, 32732613.0, 1724505.0, 282843, 10993.37 
1561.416107, 464.0, 890155256.0, 10349843.0, 16573929.0, 37486337.0, 3291895464.0, 51220.0, 464.0, 1512189363.0, 821.0, 4422201050.0, 6302538.0, 1418227167.0, 633230970.0, 2731665.0, 47277051.0, 1503213776.0, 752350455.0, 39245911.0, 1737022.0, 356042, 11252.82 
1425.296832, 417.0, 791625932.0, 11020865.0, 11270857.0, 27551220.0, 3036302815.0, 31230.0, 417.0, 1379962091.0, 595.0, 4331874079.0, 4738593.0, 1229350730.0, 622919881.0, 2816990.0, 47491645.0, 1381207307.0, 791203755.0, 30210299.0, 1709850.0, 240028, 11510.02 
1399.146226, 313.0, 853569572.0, 10665249.0, 13470009.0, 34462580.0, 3255776563.0, 29004.0, 313.0, 1360659324.0, 622.0, 4472538115.0, 4912205.0, 1303925617.0, 581295851.0, 2275450.0, 44860433.0, 1223185649.0, 695940333.0, 33682621.0, 1708326.0, 222126, 10987.16 
1684.910437, 518.0, 1012157233.0, 11420192.0, 12519735.0, 29855831.0, 3475961170.0, 50776.0, 518.0, 1675988851.0, 752.0, 4617793681.0, 6965205.0, 1269640411.0, 731453534.0, 3782240.0, 47953432.0, 1519113972.0, 822991596.0, 36769854.0, 1877109.0, 397417, 12838.8 
1480.261728, 281.0, 1007129034.0, 8145313.0, 11387891.0, 30177559.0, 2972138255.0, 48548.0, 281.0, 1453564089.0, 451.0, 3938825990.0, 6032640.0, 1254264637.0, 590233909.0, 2687886.0, 39609761.0, 1204673378.0, 649613694.0, 35625454.0, 1726380.0, 194916, 11649.93 
1359.893246, 293.0, 834416130.0, 9115481.0, 9097155.0, 23674589.0, 2863419053.0, 37249.0, 293.0, 1327113689.0, 469.0, 4441732838.0, 5584122.0, 1053501707.0, 648277139.0, 2124042.0, 39953424.0, 1121850278.0, 624603136.0, 39491431.0, 1666493.0, 183285, 11751.73 
1528.734627, 381.0, 878159157.0, 10648257.0, 16000240.0, 36576815.0, 3055171477.0, 32146.0, 381.0, 1510711231.0, 604.0, 4406552356.0, 5344504.0, 1341304923.0, 709988220.0, 3047822.0, 47585509.0, 1461098351.0, 784500356.0, 36666890.0, 1825284.0, 225616, 12633.32 
1622.565879, 418.0, 953216872.0, 11905942.0, 16604012.0, 38936748.0, 3399540968.0, 43606.0, 418.0, 1636013544.0, 906.0, 4591317947.0, 5919346.0, 1342431151.0, 718618636.0, 2919143.0, 46652229.0, 1462033735.0, 703118926.0, 41134592.0, 1854668.0, 388621, 13582.38 
1420.895405, 355.0, 932643180.0, 8574871.0, 13101884.0, 34248157.0, 3099551390.0, 34146.0, 355.0, 1438706793.0, 738.0, 4121612832.0, 5193217.0, 1290349593.0, 597879116.0, 2932621.0, 35551153.0, 1186637910.0, 677117414.0, 30023981.0, 1692141.0, 239866, 10627.19 
1398.144675, 220.0, 812105233.0, 8339749.0, 6527005.0, 22414052.0, 2883363649.0, 37561.0, 220.0, 1369001660.0, 474.0, 4079413029.0, 4686998.0, 1154461779.0, 635292464.0, 2656023.0, 41124205.0, 1269644522.0, 680153810.0, 27623691.0, 1663634.0, 292363, 10966.08 
1484.350961, 367.0, 1016624470.0, 10121857.0, 12308581.0, 32559924.0, 3174867165.0, 52345.0, 367.0, 1437466037.0, 550.0, 4130522935.0, 6574684.0, 1334202577.0, 678492835.0, 2991581.0, 42073758.0, 1369116287.0, 738302966.0, 31705740.0, 1817806.0, 316146, 12296.28 
1530.499201, 293.0, 933159577.0, 12890680.0, 12178654.0, 35409520.0, 3197107254.0, 45318.0, 293.0, 1487909650.0, 477.0, 4504109858.0, 4905171.0, 1333834715.0, 667322015.0, 3238888.0, 49845726.0, 1274804268.0, 677414625.0, 36328971.0, 1852370.0, 276185, 12234.5 
1417.490933, 439.0, 811037599.0, 10324559.0, 13266944.0, 30622976.0, 3064145242.0, 30763.0, 439.0, 1329961425.0, 766.0, 4273599285.0, 4940105.0, 1287185149.0, 667204901.0, 3106540.0, 40011848.0, 1132694142.0, 619275045.0, 37069516.0, 1661632.0, 229272, 10588.27 
1412.208398, 384.0, 796080905.0, 9655008.0, 8907187.0, 27018031.0, 3064400125.0, 46296.0, 384.0, 1394371477.0, 579.0, 4402589385.0, 5369689.0, 1228350014.0, 618494966.0, 2795145.0, 44961223.0, 1343043106.0, 634737933.0, 32427699.0, 1700763.0, 316314, 11944.3 
1540.87642, 503.0, 803057471.0, 10213090.0, 14148855.0, 34561158.0, 3061728149.0, 45928.0, 503.0, 1517085402.0, 676.0, 4353157902.0, 5926670.0, 1257957818.0, 672168154.0, 3323657.0, 45321015.0, 1450311551.0, 710620436.0, 37844348.0, 1700776.0, 367381, 11666.45 
1581.230565, 460.0, 922626982.0, 9490697.0, 9791859.0, 30746199.0, 3175568325.0, 42114.0, 460.0, 1544027716.0, 645.0, 4273198087.0, 5734647.0, 1439866446.0, 639078404.0, 3422352.0, 55961238.0, 1389889504.0, 764090378.0, 41967464.0, 1772629.0, 209936, 11625.06 
1564.760571, 415.0, 911665407.0, 11727364.0, 16597380.0, 38811028.0, 3190049182.0, 49094.0, 415.0, 1531924151.0, 621.0, 4610820838.0, 5739123.0, 1503722171.0, 657510715.0, 2511257.0, 70159425.0, 1340204193.0, 684733762.0, 32980672.0, 1739161.0, 358763, 11366.07 
1587.493083, 377.0, 1058966028.0, 11391457.0, 13828591.0, 31804084.0, 3221567310.0, 50715.0, 377.0, 1557284874.0, 567.0, 4335710973.0, 6410555.0, 1198937534.0, 680197494.0, 3475367.0, 45824744.0, 1377790873.0, 729671371.0, 40060894.0, 1845306.0, 346883, 13142.82 
1468.047766, 344.0, 835074227.0, 9181236.0, 14187585.0, 34692324.0, 2989653355.0, 43371.0, 344.0, 1428041327.0, 542.0, 4148175593.0, 5818151.0, 1262796088.0, 687891800.0, 2663903.0, 48921074.0, 1375010132.0, 652238526.0, 31352868.0, 1627169.0, 149600, 10711.79 
1443.02285, 262.0, 902599479.0, 9391008.0, 11547597.0, 31658342.0, 3191038593.0, 39319.0, 262.0, 1393833173.0, 428.0, 4307234221.0, 5402509.0, 1481593819.0, 737451712.0, 2163215.0, 43435698.0, 1169749201.0, 665861238.0, 30914349.0, 1857043.0, 264698, 12035.4 
1475.779866, 406.0, 880295800.0, 10081895.0, 12700429.0, 29919546.0, 3160903326.0, 49102.0, 406.0, 1448750091.0, 584.0, 4456797132.0, 5991289.0, 1289994109.0, 599602104.0, 2565764.0, 44657864.0, 1197824415.0, 692384833.0, 33992557.0, 1660030.0, 293348, 11054.91 
1468.364857, 401.0, 884143098.0, 11135342.0, 12647566.0, 30299031.0, 2951606331.0, 51622.0, 401.0, 1429509228.0, 588.0, 4281042669.0, 4973202.0, 1370441374.0, 695632794.0, 2512168.0, 46298665.0, 1202503190.0, 641137251.0, 36467499.0, 1762300.0, 152129, 11644.18 
1403.554071, 369.0, 900318501.0, 11161284.0, 10791013.0, 28614194.0, 2893762691.0, 47419.0, 369.0, 1403078362.0, 564.0, 4037630011.0, 6904060.0, 1299593196.0, 597095324.0, 2455108.0, 44487054.0, 1151908300.0, 597455461.0, 37241702.0, 1626429.0, 179963, 10574.99 
