task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2042.402781, 352.0, 1399988393.0, 11493552.0, 17595570.0, 47539989.0, 4272787433.0, 70816.0, 352.0, 1994191204.0, 817.0, 6171936710.0, 9487701.0, 1986198807.0, 862350076.0, 4962154.0, 63900147.0, 1887313882.0, 1015022707.0, 54203897.0, 2586971.0, 1225354, 14196.39 
2102.458993, 350.0, 1318204336.0, 12602102.0, 20718153.0, 51284857.0, 4655891359.0, 62780.0, 350.0, 2065461461.0, 859.0, 6988592655.0, 8440247.0, 1905428603.0, 953666650.0, 4681607.0, 69564959.0, 1765915387.0, 1013148391.0, 50634921.0, 2590494.0, 1338367, 14366.49 
2034.443125, 383.0, 1363344456.0, 13304656.0, 15621017.0, 41403836.0, 4600320279.0, 71164.0, 383.0, 1994800433.0, 552.0, 6265321917.0, 9167228.0, 1736735781.0, 968057590.0, 3658584.0, 68826313.0, 2117709329.0, 1053802475.0, 45860588.0, 2588602.0, 1087536, 14019.31 
1996.562276, 345.0, 1348756599.0, 12475738.0, 15256517.0, 42470178.0, 4371674635.0, 69125.0, 345.0, 1938963992.0, 793.0, 6186342779.0, 8901258.0, 1924306528.0, 1023540599.0, 4398919.0, 66259311.0, 1938599108.0, 912098864.0, 39904491.0, 2589043.0, 1033558, 14067.62 
2075.084015, 365.0, 1435100988.0, 11498795.0, 18889451.0, 48989428.0, 4628691788.0, 71368.0, 365.0, 2004555321.0, 750.0, 6107005112.0, 9205279.0, 1882903941.0, 1008691351.0, 4903200.0, 73208783.0, 2015283297.0, 1008773027.0, 57353234.0, 2591921.0, 1507850, 14547.59 
2082.728151, 329.0, 1339642301.0, 13205163.0, 17119319.0, 46158902.0, 4828987954.0, 56852.0, 329.0, 2070537129.0, 844.0, 6243199291.0, 8920002.0, 1984080211.0, 977250069.0, 3954569.0, 76245054.0, 1964198156.0, 1043843295.0, 52651693.0, 2592269.0, 1043030, 14575.63 
2182.254729, 362.0, 1490959050.0, 13853149.0, 27555985.0, 62254779.0, 4720057322.0, 70328.0, 362.0, 2076474251.0, 505.0, 6397771576.0, 9245866.0, 2189334519.0, 961818996.0, 4350230.0, 105819031.0, 1903055441.0, 945340335.0, 37425566.0, 2589174.0, 975813, 14483.57 
2031.855918, 328.0, 1267359226.0, 13934933.0, 18753146.0, 42050669.0, 4373488278.0, 64353.0, 328.0, 1982046988.0, 797.0, 6611984879.0, 9200861.0, 2092060731.0, 918478610.0, 4116267.0, 71907084.0, 1793525139.0, 1008133486.0, 51397544.0, 2592275.0, 963661, 14593.84 
2236.016297, 566.0, 1410322004.0, 15828205.0, 20420478.0, 50308403.0, 5190254829.0, 78076.0, 566.0, 2173341244.0, 1029.0, 7052244207.0, 10563941.0, 2164254162.0, 1039672635.0, 4574719.0, 68170391.0, 2130479313.0, 1097557186.0, 45801847.0, 2588777.0, 1448276, 14307.04 
2096.959066, 337.0, 1271071965.0, 12105665.0, 17600809.0, 42865213.0, 4457852212.0, 73308.0, 337.0, 2073663443.0, 784.0, 6347705020.0, 9073215.0, 2129055378.0, 984296418.0, 3584730.0, 66478360.0, 1853737602.0, 900354314.0, 46595624.0, 2589589.0, 1162181, 14662.7 
2173.443764, 296.0, 1516126895.0, 11029495.0, 24352589.0, 65829499.0, 4498308793.0, 70460.0, 296.0, 2154085099.0, 525.0, 6160515711.0, 8898727.0, 2164068725.0, 952617905.0, 4258106.0, 97032994.0, 2031709251.0, 1010025380.0, 47115033.0, 2588777.0, 1187331, 14275.2 
1993.149027, 313.0, 1357770267.0, 12042672.0, 12334697.0, 40376980.0, 4494674365.0, 70930.0, 313.0, 1952069238.0, 510.0, 6532111780.0, 9388631.0, 1844663513.0, 839547685.0, 3553218.0, 66777015.0, 1708890812.0, 940141246.0, 45844321.0, 2588596.0, 1271812, 14102.95 
2055.333313, 376.0, 1239542599.0, 10763846.0, 15329869.0, 42223952.0, 4497902874.0, 72737.0, 376.0, 2016094961.0, 804.0, 7009580242.0, 8506300.0, 2004355716.0, 969520859.0, 5061823.0, 67425162.0, 1856550053.0, 977968315.0, 44587054.0, 2604777.0, 1217074, 14646.35 
2033.532246, 347.0, 1263957555.0, 11732618.0, 15781700.0, 41616800.0, 4584861005.0, 71343.0, 347.0, 1990070169.0, 543.0, 6450281277.0, 12067060.0, 2084623694.0, 959967628.0, 4999485.0, 63904032.0, 1913730470.0, 962418293.0, 44197080.0, 2588629.0, 1032512, 14557.37 
2039.408198, 369.0, 1277914191.0, 12465692.0, 17361145.0, 41287957.0, 4453998899.0, 74303.0, 369.0, 1998106489.0, 567.0, 6174561998.0, 9533864.0, 1787149871.0, 998831324.0, 4352221.0, 64561470.0, 2054352144.0, 1011019694.0, 43275147.0, 2592216.0, 1300446, 14748.75 
2161.18722, 355.0, 1393297262.0, 13821038.0, 16794393.0, 41928624.0, 4801503602.0, 65013.0, 355.0, 2137185514.0, 532.0, 7013849924.0, 7214311.0, 1923446438.0, 918609095.0, 4723481.0, 68800868.0, 2089269024.0, 1062725504.0, 55126097.0, 2602173.0, 1338454, 14341.13 
2100.710622, 335.0, 1308375466.0, 13541253.0, 13224775.0, 37812063.0, 4698245501.0, 69155.0, 335.0, 2045998173.0, 544.0, 6617507233.0, 9436670.0, 1754490063.0, 829338784.0, 4895154.0, 60757457.0, 1670971913.0, 941518310.0, 42538049.0, 2588810.0, 1467108, 14000.85 
1954.540185, 320.0, 1178146788.0, 11195440.0, 14758665.0, 39190210.0, 4362497912.0, 61510.0, 320.0, 1905231924.0, 531.0, 6683696763.0, 8146302.0, 1907021243.0, 1002318145.0, 3290617.0, 67059778.0, 1897689434.0, 932332398.0, 42692030.0, 2604158.0, 998428, 14482.75 
2136.214065, 333.0, 1290985092.0, 10844086.0, 16235488.0, 41887343.0, 4476074050.0, 60257.0, 333.0, 2084374475.0, 579.0, 6476981358.0, 7285729.0, 1878324071.0, 960312390.0, 3969566.0, 64980593.0, 1915453121.0, 979728747.0, 54992778.0, 2593353.0, 1372900, 14034.7 
2092.076145, 374.0, 1238172578.0, 10922419.0, 18380483.0, 43551833.0, 4459240860.0, 73252.0, 374.0, 2052456189.0, 884.0, 6574165593.0, 8848599.0, 2209519341.0, 951667794.0, 3446312.0, 71012558.0, 1802892659.0, 972083643.0, 48313512.0, 2591724.0, 1347641, 14764.43 
2015.814254, 341.0, 1321596631.0, 11435561.0, 15150314.0, 39564089.0, 4422247470.0, 70694.0, 341.0, 1964287951.0, 536.0, 6433418071.0, 9434258.0, 1875279330.0, 867140872.0, 4065297.0, 67820289.0, 1687110083.0, 919823215.0, 52719202.0, 2586448.0, 836767, 14602.32 
