task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1165.294892, 391.0, 702760802.0, 8936658.0, 11215845.0, 25668300.0, 2074587332.0, 26910.0, 391.0, 1128711317.0, 618.0, 2555403481.0, 3450026.0, 830934502.0, 442254000.0, 1823677.0, 52891590.0, 843315531.0, 445618592.0, 26689951.0, 845254.0, 194526, 6898.46 
1176.008321, 461.0, 556968429.0, 9366034.0, 10176978.0, 24619949.0, 2431301592.0, 41014.0, 461.0, 1126459171.0, 598.0, 3357323221.0, 4503587.0, 899023234.0, 480794694.0, 2176860.0, 31559941.0, 854480507.0, 441687675.0, 32011425.0, 857013.0, 242027, 7659.91 
1178.848318, 410.0, 592297567.0, 8248785.0, 9592258.0, 24183289.0, 2361959566.0, 39504.0, 410.0, 1153685028.0, 787.0, 3048254047.0, 4346513.0, 843736967.0, 423850311.0, 2174946.0, 27218272.0, 903603651.0, 516848868.0, 29645950.0, 853233.0, 146996, 6558.78 
1141.423541, 378.0, 558455336.0, 9370405.0, 7964132.0, 22310521.0, 2444852359.0, 37454.0, 378.0, 1113388812.0, 595.0, 3208606599.0, 4550991.0, 868658247.0, 494411563.0, 2546519.0, 28668957.0, 782347173.0, 418489950.0, 33137557.0, 856120.0, 144280, 7711.2 
1216.255925, 370.0, 611761731.0, 8282711.0, 10065769.0, 25316685.0, 2314534082.0, 40775.0, 370.0, 1175434486.0, 750.0, 3097452597.0, 3723151.0, 849597371.0, 576707558.0, 2127611.0, 34139376.0, 910761228.0, 462167876.0, 32631857.0, 870639.0, 290261, 8615.26 
1007.587308, 358.0, 564145164.0, 7131918.0, 6218795.0, 16789788.0, 1802408534.0, 25630.0, 358.0, 967321689.0, 549.0, 2108708919.0, 3010267.0, 665106025.0, 378132250.0, 1878233.0, 24170660.0, 673643072.0, 401078004.0, 25884001.0, 821717.0, 115507, 7026.56 
1106.39296, 372.0, 515835478.0, 7070224.0, 8834549.0, 21184671.0, 2162068963.0, 28246.0, 372.0, 1057628009.0, 554.0, 2696542164.0, 3334760.0, 802806195.0, 479703811.0, 2519554.0, 28689305.0, 814336789.0, 427656108.0, 26245567.0, 881334.0, 109969, 7715.48 
1074.389068, 246.0, 496730489.0, 7487097.0, 7316760.0, 21679238.0, 2146613099.0, 34777.0, 246.0, 1046325458.0, 446.0, 2991744423.0, 3745697.0, 778057273.0, 421064763.0, 1668337.0, 27673017.0, 811229829.0, 432287219.0, 25740310.0, 855273.0, 149138, 8576.7 
1098.366715, 397.0, 611666027.0, 8337250.0, 8160632.0, 24669182.0, 2305735342.0, 37383.0, 397.0, 1053589474.0, 624.0, 3138640169.0, 4341403.0, 752928687.0, 441237091.0, 2107561.0, 27279045.0, 831394959.0, 456768637.0, 30931044.0, 858777.0, 273407, 7455.26 
1071.620941, 391.0, 606834769.0, 8419607.0, 7766764.0, 21929515.0, 2169135711.0, 35839.0, 391.0, 1017499326.0, 569.0, 2617383426.0, 3773581.0, 841751469.0, 399864805.0, 1862658.0, 28601039.0, 837232146.0, 426568372.0, 28712549.0, 847753.0, 165478, 6955.68 
1133.843222, 370.0, 645174349.0, 7709841.0, 11335927.0, 29646916.0, 2048110729.0, 30070.0, 370.0, 1103016788.0, 552.0, 3066819128.0, 3652217.0, 840092868.0, 452608271.0, 2133851.0, 35220465.0, 868960970.0, 434666983.0, 26130820.0, 852629.0, 191939, 7729.04 
