task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
4023.972551, 872.0, 3228636980.0, 25780476.0, 44080345.0, 80867263.0, 9836512549.0, 163950.0, 872.0, 3984316780.0, 1211.0, 15653996188.0, 16584411.0, 4670407986.0, 2200469561.0, 7579351.0, 171015460.0, 4869159544.0, 2494481411.0, 76076377.0, 8637667.0, 977731, 50826.31 
2649.979901, 386.0, 2032222766.0, 14054317.0, 26025169.0, 51590747.0, 6374775898.0, 113517.0, 386.0, 2633471717.0, 675.0, 10119048439.0, 12656195.0, 2763846353.0, 1440776938.0, 5355329.0, 90949275.0, 2914364501.0, 1506124469.0, 52584721.0, 8644359.0, 804117, 48415.16 
3264.612124, 744.0, 2509537170.0, 19086049.0, 32802566.0, 65558039.0, 7249147597.0, 139771.0, 744.0, 3202827551.0, 1092.0, 11290430457.0, 15275991.0, 3703306111.0, 1686080081.0, 6172140.0, 119264420.0, 3513085599.0, 1737647635.0, 72665180.0, 8637098.0, 828620, 48523.47 
2729.368619, 483.0, 2090703003.0, 14541896.0, 24566505.0, 49529568.0, 6559861305.0, 119486.0, 483.0, 2681769856.0, 749.0, 10049043326.0, 12597826.0, 2935119235.0, 1533781649.0, 5210054.0, 106352343.0, 2831503591.0, 1397700741.0, 54322136.0, 8637741.0, 780712, 48309.79 
2739.355198, 527.0, 2150394875.0, 13979178.0, 19298334.0, 50908263.0, 6503779570.0, 115012.0, 527.0, 2635341585.0, 884.0, 9445018719.0, 12558415.0, 2979523800.0, 1512354250.0, 3786211.0, 99305143.0, 2983091725.0, 1578230633.0, 62467157.0, 8636874.0, 833507, 48659.74 
3198.85855, 578.0, 2592520168.0, 17361267.0, 41937069.0, 101433570.0, 7064465279.0, 126760.0, 578.0, 3146734320.0, 1234.0, 10844319452.0, 14691531.0, 3594503648.0, 1604939228.0, 5226947.0, 164148610.0, 3230586334.0, 1604102952.0, 62217814.0, 8642358.0, 719571, 48191.44 
3445.015008, 729.0, 2728364113.0, 17959643.0, 38398676.0, 73334535.0, 7928000660.0, 149631.0, 729.0, 3418256345.0, 1091.0, 12127026659.0, 15572835.0, 3855945081.0, 1880880423.0, 6148399.0, 125887557.0, 3985796260.0, 1975854254.0, 63861375.0, 8652078.0, 714058, 48785.24 
2963.624367, 551.0, 2055029984.0, 16426886.0, 29740485.0, 57419627.0, 7127613275.0, 126354.0, 551.0, 2945613447.0, 1207.0, 10387885176.0, 14270996.0, 3392090113.0, 1591999990.0, 5663158.0, 105029726.0, 3233938711.0, 1546421879.0, 56170562.0, 8634632.0, 753752, 48858.59 
2762.655546, 508.0, 1958466943.0, 14125634.0, 29381772.0, 56689375.0, 6108323537.0, 117431.0, 508.0, 2709716459.0, 837.0, 9712340474.0, 13944358.0, 3261583255.0, 1507219411.0, 5079989.0, 98657061.0, 2794472023.0, 1462037303.0, 59000372.0, 8636113.0, 826609, 48010.09 
3369.878839, 608.0, 2592134074.0, 17705696.0, 48898633.0, 100693887.0, 7349920646.0, 133591.0, 608.0, 3332456728.0, 1439.0, 11365108953.0, 15083562.0, 3537430945.0, 1634970628.0, 5512042.0, 209504674.0, 3852765734.0, 1672251552.0, 65047317.0, 8636939.0, 814418, 48472.42 
2768.47508, 424.0, 1850234788.0, 14661045.0, 31141856.0, 56357964.0, 5891064326.0, 108882.0, 424.0, 2690775108.0, 800.0, 8669337757.0, 12461455.0, 2961028922.0, 1370137547.0, 5088820.0, 102012666.0, 2836123042.0, 1445055488.0, 58000542.0, 8636616.0, 820910, 48169.92 
3034.107462, 568.0, 2252986761.0, 15703979.0, 29118173.0, 55582307.0, 6679746045.0, 129558.0, 568.0, 2991251361.0, 868.0, 10231270182.0, 14477098.0, 3462864134.0, 1712669848.0, 6147572.0, 109082376.0, 3258460522.0, 1618475134.0, 63886651.0, 8642240.0, 783970, 48403.22 
3502.702118, 811.0, 2666506385.0, 18304166.0, 34998647.0, 68458818.0, 7969157379.0, 157853.0, 811.0, 3423393299.0, 1036.0, 12255489076.0, 15430161.0, 4055886793.0, 1902281282.0, 7587466.0, 140851843.0, 4018590341.0, 1949425776.0, 68505586.0, 8636461.0, 796546, 49504.23 
2432.600528, 346.0, 2019328519.0, 17074540.0, 18486609.0, 47049435.0, 6052651117.0, 107460.0, 346.0, 2392634114.0, 923.0, 9140956282.0, 12313879.0, 2635391103.0, 1429881534.0, 5109398.0, 93060763.0, 2613402316.0, 1402141578.0, 52251305.0, 8738788.0, 810681, 47518.15 
3042.488389, 623.0, 2223621610.0, 19705982.0, 24079851.0, 56450594.0, 7271337653.0, 119988.0, 623.0, 2992365075.0, 970.0, 10646199421.0, 13266761.0, 2795509294.0, 1581522523.0, 6422727.0, 103952119.0, 2959693679.0, 1528212493.0, 68989742.0, 8636508.0, 843770, 48579.27 
