task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
3359.501533, 524.0, 2468931447.0, 21557522.0, 36655598.0, 69688787.0, 7951426701.0, 126836.0, 524.0, 3258284085.0, 1029.0, 13023297142.0, 12948541.0, 3797395664.0, 1765858697.0, 5211548.0, 131785829.0, 3584249073.0, 1891349116.0, 78207574.0, 3099156.0, 1066440, 19398.92 
7417.108071, 562.0, 7214796886.0, 34565624.0, 77541240.0, 131154212.0, 18385097180.0, 432621.0, 562.0, 7309214903.0, 845.0, 33548911094.0, 32950898.0, 9894632400.0, 4741108418.0, 10298324.0, 348510478.0, 9907371827.0, 5086070811.0, 101259547.0, 7794629.0, 1243165, 20098.75 
3492.848058, 457.0, 2694672654.0, 22848245.0, 41106176.0, 85093941.0, 8458064217.0, 108448.0, 457.0, 3446756762.0, 1225.0, 12750316237.0, 13422008.0, 3840886126.0, 1902149295.0, 7660274.0, 127870401.0, 3449842974.0, 1690874852.0, 82945266.0, 3128897.0, 1089790, 19156.25 
3344.168701, 451.0, 2618605886.0, 18346499.0, 25683594.0, 65683300.0, 8307804682.0, 124629.0, 451.0, 3278600860.0, 756.0, 11653217551.0, 14316260.0, 3206977509.0, 1634535932.0, 6718926.0, 114896098.0, 3543934826.0, 1824317757.0, 71632935.0, 3057173.0, 922689, 18888.66 
3479.053584, 618.0, 2559975671.0, 17831519.0, 31976081.0, 68710838.0, 8218991212.0, 158455.0, 618.0, 3376092261.0, 914.0, 13009178891.0, 15994947.0, 3796131388.0, 1840865251.0, 7134616.0, 133239709.0, 3804711491.0, 1927017873.0, 63844082.0, 3118860.0, 853640, 20631.99 
3630.253361, 560.0, 2881172115.0, 21790577.0, 34131939.0, 66787361.0, 8809839169.0, 125884.0, 560.0, 3568700668.0, 935.0, 14111817529.0, 15022842.0, 3947532604.0, 2011158759.0, 6996355.0, 158147929.0, 3888211958.0, 2000293951.0, 70852664.0, 3107402.0, 1278022, 18787.57 
3505.121504, 545.0, 2490992163.0, 20938185.0, 31663858.0, 64081330.0, 8805129603.0, 152386.0, 545.0, 3412426173.0, 819.0, 12888069636.0, 15793296.0, 3919509607.0, 1895038703.0, 8923671.0, 129534098.0, 3717064178.0, 1936959154.0, 77952427.0, 3124745.0, 690737, 19385.51 
3272.055681, 446.0, 2614297700.0, 18415102.0, 28387234.0, 65633137.0, 7454613491.0, 150669.0, 446.0, 3186937369.0, 939.0, 11362055094.0, 13315219.0, 3630771641.0, 1931041069.0, 4967316.0, 124962068.0, 3850526186.0, 1824306895.0, 75182483.0, 3189499.0, 884787, 20399.11 
3275.493474, 440.0, 2503937228.0, 17396109.0, 30014117.0, 61821107.0, 8181978013.0, 150630.0, 440.0, 3186426143.0, 739.0, 13183749668.0, 15612181.0, 3747506552.0, 1736897078.0, 6267099.0, 130461756.0, 3613698283.0, 1888057192.0, 69004112.0, 3096503.0, 1137032, 18145.95 
8204.213609, 571.0, 7736546862.0, 38802979.0, 102898242.0, 177523002.0, 19786506377.0, 395876.0, 571.0, 8137663839.0, 1778.0, 38037637208.0, 28309484.0, 10742940051.0, 5175616112.0, 11546213.0, 401269966.0, 11379093336.0, 5410303513.0, 111929258.0, 7866712.0, 975419, 18930.18 
3498.810823, 524.0, 2463855605.0, 21833467.0, 33047731.0, 68643753.0, 8405347830.0, 137185.0, 524.0, 3376214632.0, 793.0, 13593546891.0, 13842514.0, 3741743706.0, 1747292902.0, 7656593.0, 132942852.0, 3789180711.0, 1943530769.0, 75920349.0, 3110937.0, 1349472, 20301.21 
