task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1295.093962, 273.0, 671064925.0, 7463360.0, 9807697.0, 23559623.0, 2543801055.0, 27712.0, 273.0, 1275629731.0, 432.0, 3899684457.0, 4956283.0, 1112702668.0, 615886084.0, 3342816.0, 32980560.0, 935080131.0, 535164651.0, 26622166.0, 2802753.0, 1027194, 14844.2 
1319.068816, 255.0, 705906363.0, 8703165.0, 9687435.0, 25380933.0, 2768775177.0, 45677.0, 255.0, 1295417040.0, 434.0, 3896559094.0, 5209824.0, 1273315593.0, 565409443.0, 2645671.0, 35552644.0, 984649297.0, 597678966.0, 29965657.0, 2802195.0, 1084998, 14558.45 
1258.802749, 293.0, 771585168.0, 11489139.0, 7125031.0, 23642667.0, 2808659089.0, 27007.0, 293.0, 1248619726.0, 440.0, 4023060100.0, 3991393.0, 1039916041.0, 515529615.0, 2701198.0, 34998059.0, 1032120597.0, 662369029.0, 24585029.0, 2813375.0, 904801, 15587.73 
1229.325061, 269.0, 757249723.0, 7912380.0, 8560413.0, 23279354.0, 2602059442.0, 25771.0, 269.0, 1207149972.0, 443.0, 3585612863.0, 4276803.0, 1172596227.0, 524199218.0, 2180805.0, 38838697.0, 1090740690.0, 625892942.0, 25718845.0, 2802765.0, 885067, 14696.37 
1340.177792, 274.0, 845404167.0, 10435922.0, 10215496.0, 26883803.0, 2711662945.0, 48653.0, 274.0, 1321005728.0, 456.0, 3537789018.0, 4468804.0, 1061894046.0, 597869768.0, 2127272.0, 38518697.0, 1034297407.0, 547710631.0, 30307804.0, 2807147.0, 1204750, 15244.9 
1270.863785, 232.0, 765927947.0, 9360023.0, 10356628.0, 24625236.0, 2507096274.0, 47581.0, 232.0, 1248521397.0, 396.0, 3899632757.0, 5119025.0, 1006135607.0, 553873051.0, 2376809.0, 37033724.0, 1188163882.0, 625437154.0, 29379278.0, 2801916.0, 878211, 14932.73 
1306.499563, 267.0, 774623365.0, 10793410.0, 10704000.0, 24434863.0, 2681518073.0, 50190.0, 267.0, 1288397048.0, 460.0, 4027840728.0, 4963552.0, 1150096187.0, 596303788.0, 2882245.0, 36617380.0, 983630568.0, 539065666.0, 27614963.0, 2802447.0, 726833, 14633.79 
1272.987858, 290.0, 733313921.0, 7423641.0, 9257312.0, 23129774.0, 2638794380.0, 37778.0, 290.0, 1271716749.0, 622.0, 3821223224.0, 4896367.0, 1089269967.0, 637772299.0, 2760490.0, 36288109.0, 1039578950.0, 583923874.0, 28354556.0, 2803589.0, 890416, 14816.11 
1327.274164, 429.0, 817780795.0, 9782729.0, 9769896.0, 23200232.0, 2649472803.0, 46615.0, 429.0, 1291842464.0, 472.0, 3711467433.0, 4529807.0, 1175978303.0, 481137405.0, 2528656.0, 38976883.0, 1040903543.0, 638938541.0, 30772199.0, 2802789.0, 1138001, 14175.35 
1279.175505, 246.0, 806675208.0, 9427806.0, 9637080.0, 24317525.0, 2583800004.0, 27616.0, 246.0, 1265526065.0, 434.0, 3688125118.0, 3929243.0, 1209578300.0, 585871361.0, 2851041.0, 42083222.0, 1040678085.0, 590288267.0, 31417167.0, 2801820.0, 973947, 14976.47 
1277.187132, 278.0, 715514048.0, 10004298.0, 9573193.0, 23999308.0, 2631550736.0, 27149.0, 278.0, 1254279483.0, 442.0, 3997985362.0, 4333263.0, 1194134664.0, 521345581.0, 2369481.0, 34518643.0, 931666168.0, 560788056.0, 24715360.0, 2802328.0, 963581, 14571.19 
1244.80444, 265.0, 775264380.0, 8427470.0, 10577182.0, 23731481.0, 2634954114.0, 39589.0, 265.0, 1228925268.0, 432.0, 3799788910.0, 4213221.0, 1034777406.0, 466696390.0, 2488847.0, 33617095.0, 1022896810.0, 642170441.0, 30582447.0, 2802249.0, 1075689, 14716.76 
1289.503055, 258.0, 777706546.0, 8677348.0, 9125419.0, 24810336.0, 2707628642.0, 28034.0, 258.0, 1259532761.0, 403.0, 3652764803.0, 4227782.0, 1168976436.0, 550906540.0, 2720492.0, 34621910.0, 1074950645.0, 595438568.0, 26870047.0, 2804147.0, 930149, 15393.82 
