task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1122.167007, 304.0, 610582073.0, 8373710.0, 17170656.0, 43676084.0, 1682674119.0, 29907.0, 304.0, 1091400916.0, 417.0, 2227046911.0, 2951127.0, 856755767.0, 322266066.0, 1937900.0, 34851554.0, 926916811.0, 444461367.0, 29425525.0, 1560860.0, 195920, 4911.98 
957.545228, 240.0, 479668915.0, 8076658.0, 7780947.0, 23121098.0, 1673218288.0, 27095.0, 240.0, 918574062.0, 381.0, 2139111013.0, 3412795.0, 710086277.0, 355853492.0, 1247939.0, 29756979.0, 754047094.0, 384523553.0, 25343883.0, 1570072.0, 222356, 5380.77 
1009.796318, 213.0, 516476256.0, 7038783.0, 7030926.0, 20011487.0, 1950467570.0, 22765.0, 213.0, 1016776658.0, 405.0, 2315126046.0, 3077133.0, 822835692.0, 366038597.0, 2355777.0, 31999785.0, 576909778.0, 319047337.0, 20993026.0, 1568938.0, 160932, 4715.2 
949.689559, 237.0, 536190629.0, 7061786.0, 8628237.0, 24269763.0, 1705012481.0, 22194.0, 237.0, 932564177.0, 435.0, 2065225289.0, 2642914.0, 667078834.0, 302892588.0, 1812244.0, 26727116.0, 760395763.0, 407782589.0, 21463957.0, 1564254.0, 157340, 6041.61 
1041.340464, 225.0, 547794205.0, 7930048.0, 8510112.0, 22203241.0, 1894446177.0, 27878.0, 225.0, 1017966516.0, 394.0, 2371273766.0, 2818577.0, 723079447.0, 299110340.0, 2139193.0, 53290453.0, 711540317.0, 342421866.0, 18434813.0, 1569997.0, 234786, 4931.62 
1045.4849, 236.0, 592754168.0, 8782174.0, 15899248.0, 39734701.0, 1703289047.0, 27460.0, 236.0, 1034764912.0, 533.0, 2169065114.0, 2390160.0, 823288858.0, 374203185.0, 1840647.0, 46757433.0, 770783932.0, 403832112.0, 26336661.0, 1561476.0, 145778, 5014.37 
1010.701084, 276.0, 455389893.0, 8213906.0, 5620429.0, 17640509.0, 1730914068.0, 28626.0, 276.0, 984069289.0, 483.0, 2086014929.0, 3119345.0, 675156657.0, 368494471.0, 1786272.0, 28952644.0, 757703384.0, 436028452.0, 24287167.0, 1555061.0, 133615, 10812.14 
933.638519, 264.0, 442533287.0, 6464159.0, 5786320.0, 19033425.0, 1789815375.0, 16842.0, 264.0, 920620034.0, 428.0, 2114789207.0, 3112840.0, 759934831.0, 392775574.0, 1680973.0, 27267569.0, 759692993.0, 370511976.0, 20379644.0, 1570888.0, 147687, 5303.12 
971.784301, 231.0, 496186685.0, 7424681.0, 6644461.0, 19133075.0, 1805356249.0, 25445.0, 231.0, 948214012.0, 375.0, 2154537579.0, 3338116.0, 638913034.0, 329326657.0, 1489833.0, 27749438.0, 656162337.0, 383001067.0, 28600134.0, 1564319.0, 236829, 6404.85 
991.325178, 285.0, 520231104.0, 8567132.0, 10524249.0, 26084863.0, 1780017928.0, 23401.0, 285.0, 943325741.0, 481.0, 2532195871.0, 2615296.0, 695705743.0, 348859684.0, 2216052.0, 45194512.0, 756493843.0, 339740911.0, 19108910.0, 1564245.0, 186371, 5988.19 
1063.411768, 221.0, 647360390.0, 7761379.0, 18663287.0, 49874230.0, 1457543334.0, 27017.0, 221.0, 1044554158.0, 385.0, 1542869801.0, 2842377.0, 802611748.0, 433375897.0, 1987872.0, 29014883.0, 745788068.0, 384834880.0, 21928729.0, 1564397.0, 188523, 4938.48 
948.406305, 256.0, 567519048.0, 7705530.0, 9763711.0, 24525821.0, 1909114224.0, 27448.0, 256.0, 931125940.0, 553.0, 2035328508.0, 3435518.0, 694331346.0, 349232103.0, 2151009.0, 27809106.0, 656271255.0, 323783566.0, 20260034.0, 1564278.0, 218199, 5875.04 
1019.554534, 220.0, 512741408.0, 8090456.0, 14567591.0, 33938364.0, 1733190067.0, 27447.0, 220.0, 994914037.0, 384.0, 2314023034.0, 3812492.0, 813508391.0, 336377791.0, 1323224.0, 49533261.0, 855215555.0, 365408956.0, 27402737.0, 1563601.0, 196522, 5999.98 
