task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1630.9733, 728.0, 875345039.0, 11242676.0, 13569029.0, 30453368.0, 3478116581.0, 49533.0, 728.0, 1615346891.0, 921.0, 5307176630.0, 6674521.0, 1481718089.0, 587772347.0, 3013665.0, 41529528.0, 1205186986.0, 739417644.0, 35224488.0, 1658764.0, 551224, 13364.43 
1719.665966, 800.0, 882133640.0, 11268644.0, 11888532.0, 31315854.0, 3442705540.0, 49609.0, 800.0, 1717056065.0, 1029.0, 4427688787.0, 6617422.0, 1250078558.0, 710180519.0, 3968079.0, 48923539.0, 1365684117.0, 718694740.0, 38698647.0, 1684040.0, 635521, 13097.3 
1421.666245, 616.0, 828413185.0, 10957278.0, 12376773.0, 30525879.0, 3062540467.0, 31738.0, 616.0, 1412146103.0, 848.0, 4345727871.0, 4866673.0, 1203008854.0, 648757278.0, 2686713.0, 39410800.0, 1424179045.0, 721735720.0, 38096402.0, 1664933.0, 417800, 12770.46 
1589.89041, 774.0, 930096027.0, 11257792.0, 11164774.0, 30392497.0, 3263424181.0, 32378.0, 774.0, 1583086489.0, 954.0, 4378490083.0, 4899895.0, 1272591238.0, 936591262.0, 2988717.0, 43382420.0, 1114047682.0, 538066866.0, 35868031.0, 1672746.0, 398349, 13010.27 
1692.796483, 772.0, 1028301782.0, 10401100.0, 15531457.0, 35380532.0, 3240450009.0, 49679.0, 772.0, 1682718911.0, 995.0, 4730121550.0, 5981215.0, 1643465060.0, 648809499.0, 3258719.0, 49538236.0, 1405438173.0, 738859754.0, 34754349.0, 1686216.0, 744400, 13549.95 
1592.326187, 816.0, 1022551473.0, 13324966.0, 14823619.0, 31039745.0, 3229337668.0, 44847.0, 816.0, 1591965850.0, 1009.0, 4209827774.0, 6215671.0, 1297464959.0, 680842582.0, 2210634.0, 52728437.0, 1313556932.0, 721289931.0, 41978147.0, 1641472.0, 333396, 12542.64 
1725.556625, 763.0, 970878598.0, 15320878.0, 13132519.0, 34435093.0, 3781123842.0, 53395.0, 763.0, 1710092204.0, 963.0, 5296112998.0, 7433306.0, 1398160146.0, 764342346.0, 3405791.0, 41494686.0, 1358847539.0, 780764349.0, 36576526.0, 1662788.0, 306707, 13160.25 
1522.588269, 775.0, 870614308.0, 11957119.0, 16841418.0, 36186386.0, 3214701176.0, 31603.0, 775.0, 1505069537.0, 985.0, 4553976091.0, 5425786.0, 1147073653.0, 670666010.0, 3208986.0, 38708324.0, 1589974269.0, 804149887.0, 31399775.0, 1635069.0, 382279, 12962.57 
1623.477381, 679.0, 883718516.0, 8599788.0, 14993880.0, 33207616.0, 3101804966.0, 51626.0, 679.0, 1586742369.0, 848.0, 4556022231.0, 5892285.0, 1266749729.0, 703345127.0, 3271057.0, 41828928.0, 1329799945.0, 677698865.0, 36911490.0, 1692076.0, 712244, 13384.56 
1541.33284, 769.0, 1046378383.0, 11492132.0, 13447092.0, 31626808.0, 3443370163.0, 46866.0, 769.0, 1521524762.0, 953.0, 4348542641.0, 5502256.0, 1302619456.0, 652739196.0, 2706492.0, 42023776.0, 1228882894.0, 793577915.0, 33762494.0, 1660391.0, 477778, 13350.68 
