task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1370.38121, 211.0, 870797068.0, 8219786.0, 8598181.0, 27035442.0, 2916303666.0, 31167.0, 211.0, 1369218867.0, 393.0, 4332835734.0, 4615165.0, 1202908062.0, 586493129.0, 2452018.0, 42880694.0, 1250077373.0, 640940824.0, 34135007.0, 3121394.0, 1839980, 42625.59 
1489.618615, 212.0, 1012503466.0, 9126648.0, 12774899.0, 30904473.0, 3215501460.0, 33711.0, 212.0, 1485690720.0, 410.0, 4757845043.0, 5764897.0, 1431090044.0, 723401072.0, 3086182.0, 42519492.0, 1266087863.0, 671278735.0, 29849953.0, 3121402.0, 2188404, 38568.58 
1408.717672, 343.0, 895914724.0, 8234351.0, 11336015.0, 29460348.0, 3054692945.0, 33595.0, 343.0, 1403595640.0, 381.0, 4795548332.0, 5661835.0, 1311168026.0, 672410322.0, 3597608.0, 46641296.0, 1192536134.0, 692762330.0, 30786426.0, 3121395.0, 1560125, 40020.53 
1442.219063, 210.0, 944003293.0, 8463925.0, 11189823.0, 28023248.0, 3205579075.0, 33168.0, 210.0, 1444400667.0, 382.0, 4918255907.0, 6298300.0, 1321782037.0, 754982116.0, 2639668.0, 47008009.0, 1326408648.0, 677354238.0, 32589179.0, 3121404.0, 2483927, 40992.13 
1369.834462, 230.0, 898066031.0, 8276693.0, 10552392.0, 27446102.0, 3039336450.0, 33770.0, 230.0, 1358296992.0, 409.0, 4212395448.0, 4198177.0, 1234016054.0, 614538963.0, 2168666.0, 41449456.0, 1323437814.0, 643689965.0, 31839261.0, 3121410.0, 1752595, 40886.99 
1568.279866, 222.0, 1010771391.0, 10852601.0, 10730248.0, 30437242.0, 3322667930.0, 34231.0, 222.0, 1570673838.0, 395.0, 4959842172.0, 5599098.0, 1419167750.0, 743208646.0, 3212903.0, 46140115.0, 1434418422.0, 745395434.0, 30784567.0, 3132167.0, 1219261, 42449.03 
1490.36382, 248.0, 966340102.0, 9346302.0, 13753247.0, 31215337.0, 3171481135.0, 33408.0, 248.0, 1445415204.0, 398.0, 4767696047.0, 5001331.0, 1366061562.0, 697172172.0, 3266941.0, 47520459.0, 1270215972.0, 650933811.0, 32508610.0, 3121402.0, 2346433, 40618.74 
1450.516787, 204.0, 946940835.0, 9683512.0, 10331622.0, 31215018.0, 3124781136.0, 33406.0, 204.0, 1448689303.0, 400.0, 4626126868.0, 6840006.0, 1459401305.0, 723592069.0, 2301005.0, 52040647.0, 1293724716.0, 699239228.0, 36016207.0, 3121403.0, 2410569, 41651.57 
1483.699073, 193.0, 1003085289.0, 9568817.0, 8426748.0, 29402221.0, 3319304906.0, 33833.0, 193.0, 1478733511.0, 383.0, 4439177100.0, 5059619.0, 1349854644.0, 777825105.0, 2851838.0, 50193277.0, 1350956521.0, 721928893.0, 36502549.0, 3121409.0, 1622043, 40082.37 
1335.221356, 201.0, 861923386.0, 8937602.0, 9419332.0, 25587157.0, 2867211194.0, 31509.0, 201.0, 1329383718.0, 389.0, 3750882143.0, 4424763.0, 1252085271.0, 726643965.0, 2377805.0, 45386702.0, 1113904937.0, 609177167.0, 31131012.0, 3121408.0, 1994035, 39471.4 
1402.042252, 180.0, 860758937.0, 7903941.0, 12369684.0, 30345061.0, 3086849976.0, 31759.0, 180.0, 1404720099.0, 349.0, 4914668244.0, 5525660.0, 1328051621.0, 703403763.0, 3127483.0, 41863266.0, 1373895476.0, 624246308.0, 30930039.0, 3121408.0, 1618009, 39994.95 
1558.752767, 218.0, 965946542.0, 10361563.0, 11639122.0, 31996350.0, 3566222466.0, 33779.0, 218.0, 1550655887.0, 405.0, 4928302692.0, 6051734.0, 1464731084.0, 764917510.0, 3461918.0, 47979973.0, 1268905801.0, 680722416.0, 34341992.0, 3127066.0, 1388626, 39889.27 
1450.703654, 212.0, 952712003.0, 10653746.0, 9254817.0, 27479036.0, 3161853263.0, 32022.0, 212.0, 1434193044.0, 383.0, 4704197298.0, 5295117.0, 1168722182.0, 740979216.0, 3014445.0, 46683207.0, 1220161365.0, 660961867.0, 33359786.0, 3121418.0, 2288667, 38834.06 
1538.575803, 216.0, 908100602.0, 9921576.0, 12406894.0, 34374895.0, 3272468056.0, 32801.0, 216.0, 1535543974.0, 612.0, 4823630744.0, 5335548.0, 1265520530.0, 724537781.0, 4137478.0, 47911187.0, 1441410045.0, 761942122.0, 34611316.0, 3121395.0, 2097463, 40933.38 
1502.342608, 227.0, 905494289.0, 8059014.0, 11976472.0, 30166290.0, 3258396971.0, 34173.0, 227.0, 1488918291.0, 401.0, 4852041250.0, 5284710.0, 1383504127.0, 680552895.0, 2180481.0, 51340229.0, 1428486377.0, 762147640.0, 33382027.0, 3121394.0, 2064993, 38161.95 
1406.333747, 220.0, 831278512.0, 8812791.0, 9512627.0, 26495351.0, 2685545880.0, 32728.0, 220.0, 1391834709.0, 407.0, 4102284678.0, 4641057.0, 1299820386.0, 646495654.0, 2331135.0, 44785144.0, 1235964784.0, 664056379.0, 26865986.0, 3121394.0, 1976431, 41477.86 
1502.350023, 254.0, 882687622.0, 8525813.0, 8689484.0, 30282398.0, 3244616852.0, 30536.0, 254.0, 1476101817.0, 389.0, 4717999321.0, 4992658.0, 1343672339.0, 658129755.0, 3261272.0, 43631969.0, 1276585378.0, 662821915.0, 35048648.0, 3121410.0, 1700265, 40399.99 
1516.768949, 275.0, 994358962.0, 10964913.0, 11288752.0, 31546671.0, 3212064171.0, 32557.0, 275.0, 1490510301.0, 440.0, 4970492956.0, 6199533.0, 1373987064.0, 790890987.0, 2811696.0, 48207168.0, 1361948420.0, 707366647.0, 32532731.0, 3121508.0, 1206817, 40339.96 
1497.797181, 241.0, 955277521.0, 8308087.0, 7498821.0, 27445743.0, 3134660941.0, 32002.0, 241.0, 1485331184.0, 401.0, 4588798333.0, 5023532.0, 1219612265.0, 661914485.0, 2821452.0, 50608733.0, 1418750905.0, 718677345.0, 31534281.0, 3127503.0, 1518083, 41100.96 
1585.133402, 236.0, 944956235.0, 9521231.0, 13067773.0, 32789409.0, 3490448385.0, 35392.0, 236.0, 1601330079.0, 390.0, 5350139257.0, 5277983.0, 1466182363.0, 759385683.0, 2951780.0, 47849433.0, 1436983539.0, 774226727.0, 36887756.0, 3121418.0, 2045988, 43970.04 
1503.489058, 220.0, 917679356.0, 9045175.0, 12344109.0, 33576429.0, 3361383125.0, 33750.0, 220.0, 1494781442.0, 652.0, 4709588504.0, 4936802.0, 1258147637.0, 659968152.0, 3112730.0, 48438369.0, 1412481277.0, 719060512.0, 35839602.0, 3121394.0, 1436039, 41660.58 
1517.218552, 225.0, 996925514.0, 9778044.0, 12677370.0, 33296774.0, 3383979778.0, 34400.0, 225.0, 1515917797.0, 667.0, 5124289042.0, 5568783.0, 1381435202.0, 688246682.0, 3327671.0, 45662171.0, 1412607816.0, 781524221.0, 28925152.0, 3121419.0, 2321822, 39082.65 
1431.773431, 205.0, 893811863.0, 10268879.0, 9080384.0, 31564117.0, 3235975297.0, 31269.0, 205.0, 1411720913.0, 452.0, 4335371462.0, 5175766.0, 1413011575.0, 644844741.0, 3819546.0, 50513089.0, 1217362526.0, 731736319.0, 35667953.0, 3121394.0, 2062515, 40852.5 
1331.673841, 186.0, 896763714.0, 9333196.0, 10116164.0, 33191273.0, 2927244437.0, 30708.0, 186.0, 1330798489.0, 575.0, 4015541813.0, 4679647.0, 1277697668.0, 745433201.0, 2403158.0, 44124502.0, 1182361490.0, 641301297.0, 34938876.0, 3121394.0, 1873555, 41055.85 
1337.937841, 185.0, 907502414.0, 8305062.0, 9855411.0, 30458610.0, 2914170745.0, 32017.0, 185.0, 1341800390.0, 472.0, 4054007935.0, 4514059.0, 1187817449.0, 704183190.0, 1986373.0, 47020002.0, 1169670723.0, 619171169.0, 39700829.0, 3121408.0, 1313193, 40519.11 
