task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1109.226083, 351.0, 583162622.0, 8370099.0, 6942905.0, 19176980.0, 2120734421.0, 24286.0, 351.0, 1101045553.0, 488.0, 3254980116.0, 3521028.0, 902521790.0, 412960309.0, 2046854.0, 27759728.0, 944342214.0, 498224478.0, 19888010.0, 1625455.0, 1603966, 25035.45 
906.187814, 218.0, 540128435.0, 6179323.0, 5617533.0, 18423409.0, 1811070644.0, 18446.0, 218.0, 874515579.0, 452.0, 2423705338.0, 2889912.0, 847563827.0, 383841299.0, 1508957.0, 22564966.0, 615910826.0, 359658695.0, 16367678.0, 1624957.0, 1507111, 23619.78 
1320.87779, 393.0, 739008362.0, 7514179.0, 6388207.0, 21107585.0, 2601304836.0, 26904.0, 393.0, 1285023197.0, 704.0, 3461545023.0, 4077125.0, 1059131928.0, 531567508.0, 2958601.0, 38059020.0, 851976708.0, 468375619.0, 22959494.0, 2069899.0, 1286994, 26453.88 
1029.973719, 311.0, 559689100.0, 6764497.0, 8581581.0, 18036714.0, 1947334405.0, 21893.0, 311.0, 1010323183.0, 451.0, 2815552094.0, 2954234.0, 739937588.0, 455414761.0, 1502356.0, 27858478.0, 877757644.0, 488566898.0, 21761966.0, 1635968.0, 1281299, 23733.39 
1046.530166, 190.0, 597925343.0, 8613019.0, 6993735.0, 20544292.0, 2116299122.0, 25186.0, 190.0, 1030626353.0, 404.0, 3369415649.0, 3417751.0, 870091442.0, 548909293.0, 1563631.0, 27336508.0, 967833975.0, 457607014.0, 20202811.0, 2665975.0, 1131605, 25915.69 
1104.810051, 277.0, 704184762.0, 7840487.0, 7292517.0, 21058273.0, 2198222363.0, 23325.0, 277.0, 1096722901.0, 437.0, 3010468774.0, 3217898.0, 814779138.0, 463451358.0, 2595906.0, 32096851.0, 950870612.0, 574977783.0, 25466502.0, 1630269.0, 1713837, 27202.19 
1031.937783, 298.0, 615387037.0, 8682931.0, 6227101.0, 17430189.0, 2050579863.0, 23725.0, 298.0, 1002862380.0, 449.0, 2940732182.0, 3156882.0, 848093667.0, 339303307.0, 1390164.0, 32581247.0, 732661425.0, 449406304.0, 18244193.0, 1635510.0, 1576267, 25168.33 
960.591382, 186.0, 516298017.0, 7532226.0, 6963261.0, 19111201.0, 1944241137.0, 21018.0, 186.0, 953335922.0, 340.0, 2909132573.0, 2988376.0, 746382779.0, 365128036.0, 1283931.0, 26190987.0, 650713135.0, 418465185.0, 19475922.0, 1615615.0, 1182373, 23729.34 
971.304726, 270.0, 514281057.0, 7371559.0, 5706960.0, 16537413.0, 1840193344.0, 20151.0, 270.0, 989731642.0, 433.0, 2535664603.0, 2797084.0, 733439209.0, 344566185.0, 1665242.0, 26177877.0, 687032430.0, 464621451.0, 21667649.0, 1615374.0, 1491490, 24484.55 
989.882107, 201.0, 567912301.0, 7530820.0, 6128216.0, 17998767.0, 1788319015.0, 20809.0, 201.0, 980604130.0, 361.0, 2669215256.0, 2951458.0, 728769659.0, 433188618.0, 1604783.0, 25850046.0, 838802518.0, 422326541.0, 17122558.0, 1621333.0, 1366037, 24876.31 
1032.1391, 304.0, 551377873.0, 7460954.0, 8925165.0, 21761695.0, 1915354620.0, 21136.0, 304.0, 1035825013.0, 499.0, 2822070012.0, 3545401.0, 883720065.0, 457153151.0, 1449290.0, 31460561.0, 805938752.0, 472346883.0, 22256689.0, 1620152.0, 1056220, 24551.37 
1126.70869, 426.0, 617879991.0, 7207892.0, 11080316.0, 21965663.0, 2122976758.0, 23137.0, 426.0, 1140202728.0, 631.0, 3146590471.0, 3084138.0, 1002851341.0, 517180345.0, 1829400.0, 29929730.0, 938663419.0, 499218905.0, 21757509.0, 1635335.0, 1606079, 24699.93 
1036.700808, 261.0, 623763690.0, 8484347.0, 7448997.0, 18956362.0, 1911259288.0, 21807.0, 261.0, 1044142476.0, 434.0, 2681259231.0, 3002339.0, 782842625.0, 460165389.0, 1847899.0, 23489636.0, 877133069.0, 456959157.0, 19126821.0, 1619986.0, 1549164, 25075.88 
1022.331687, 245.0, 576664233.0, 6905741.0, 6887667.0, 21102971.0, 2106757171.0, 21677.0, 245.0, 1025193958.0, 405.0, 3045186661.0, 3387402.0, 930053160.0, 406803888.0, 1456114.0, 25503667.0, 736573953.0, 495300608.0, 20745002.0, 1650055.0, 1534132, 24757.85 
1092.004239, 340.0, 539777480.0, 8521993.0, 8076793.0, 20230300.0, 2142709221.0, 21416.0, 340.0, 1090345707.0, 514.0, 3099643150.0, 3329816.0, 773935799.0, 467221346.0, 1525281.0, 29701576.0, 792442300.0, 437507832.0, 18334452.0, 1619807.0, 1443157, 24624.25 
1186.311491, 400.0, 755777936.0, 8799241.0, 10942925.0, 27625722.0, 2597647725.0, 25303.0, 400.0, 1178385787.0, 745.0, 3613114188.0, 3446915.0, 820118986.0, 424823249.0, 1971135.0, 24287781.0, 806210809.0, 509814948.0, 25824321.0, 1629875.0, 1335777, 25793.97 
