task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1682.181787, 425.0, 1171883666.0, 9945419.0, 12634651.0, 35216940.0, 3671873819.0, 36433.0, 425.0, 1642806739.0, 977.0, 5365147190.0, 6411301.0, 1494021599.0, 830586142.0, 2481563.0, 61719972.0, 1549491607.0, 756977709.0, 36770434.0, 2011991.0, 2178636, 27164.79 
2073.484657, 311.0, 1287215018.0, 11579504.0, 20773835.0, 43714617.0, 4868806938.0, 55385.0, 311.0, 2043839807.0, 552.0, 7521247845.0, 8658254.0, 2213043934.0, 1056086915.0, 5193440.0, 55355618.0, 1959624402.0, 1067595784.0, 42727772.0, 2023276.0, 2169152, 27239.24 
1566.147794, 246.0, 957039212.0, 10488597.0, 12231883.0, 31415686.0, 3441913563.0, 33969.0, 246.0, 1511924872.0, 361.0, 5083343517.0, 5460173.0, 1480123181.0, 771219980.0, 3366397.0, 49156295.0, 1421470489.0, 712530335.0, 32547966.0, 2024735.0, 1178198, 27568.48 
2064.457253, 271.0, 1650703889.0, 12492956.0, 16637362.0, 41004736.0, 4772603243.0, 48827.0, 271.0, 2030665929.0, 787.0, 7325695478.0, 9183404.0, 1981533482.0, 1218872891.0, 4048296.0, 72339721.0, 2045324091.0, 1060835767.0, 47934073.0, 2009075.0, 1407781, 27268.56 
2046.812205, 223.0, 1432156388.0, 11485666.0, 15998489.0, 39644238.0, 4699458972.0, 48964.0, 223.0, 2024639889.0, 698.0, 7631826131.0, 9040932.0, 1793807642.0, 997532114.0, 3489671.0, 76060549.0, 2000537826.0, 1234080298.0, 44106374.0, 2009820.0, 1149074, 28025.61 
1674.481592, 361.0, 962910499.0, 11556744.0, 16479179.0, 37528019.0, 3694962889.0, 35558.0, 361.0, 1657707545.0, 865.0, 5883047375.0, 5758810.0, 1287354693.0, 756759043.0, 3186619.0, 57611366.0, 1414121159.0, 823490959.0, 43435108.0, 2010490.0, 2457264, 26998.99 
1739.468922, 366.0, 1177131461.0, 10277533.0, 11613072.0, 30115892.0, 3473828456.0, 36245.0, 366.0, 1710601999.0, 753.0, 5163257225.0, 7247765.0, 1540289477.0, 750953346.0, 3229932.0, 58675491.0, 1626137437.0, 825804367.0, 33131266.0, 2018770.0, 2325312, 27375.72 
2104.293265, 306.0, 1460631486.0, 11716331.0, 19423282.0, 44675752.0, 4680177263.0, 48956.0, 306.0, 2062085221.0, 563.0, 7046709247.0, 7928683.0, 2154213838.0, 1016633916.0, 3041902.0, 69880590.0, 2058150583.0, 1077049125.0, 44010342.0, 2022046.0, 1272234, 26467.9 
1682.299583, 278.0, 1062958989.0, 10826743.0, 11772138.0, 32545861.0, 3842262742.0, 34874.0, 278.0, 1670980243.0, 489.0, 4551849541.0, 5737875.0, 1385637620.0, 805871587.0, 4267407.0, 52813034.0, 1309817434.0, 765999232.0, 38889830.0, 2011986.0, 1711023, 27531.91 
1594.911799, 236.0, 1025263789.0, 9738976.0, 13274824.0, 29438387.0, 3277794326.0, 33840.0, 236.0, 1561430557.0, 399.0, 4923681797.0, 6510376.0, 1478532461.0, 690276889.0, 3094085.0, 45995436.0, 1363254425.0, 720014416.0, 39077106.0, 2019455.0, 1413992, 27547.12 
2185.422634, 379.0, 1580973327.0, 11134556.0, 21406123.0, 45914654.0, 4852647009.0, 51254.0, 379.0, 2167793691.0, 787.0, 7709174174.0, 9305322.0, 2271875270.0, 1142244175.0, 3059668.0, 73959435.0, 2081936438.0, 1079012525.0, 47035416.0, 2009775.0, 1018475, 27253.14 
2103.195326, 327.0, 1517708156.0, 12964715.0, 24502430.0, 50370169.0, 4713132899.0, 50326.0, 327.0, 2073844432.0, 1015.0, 7488858996.0, 8693252.0, 1982484404.0, 1083919263.0, 4291806.0, 81015241.0, 2082327890.0, 1142686524.0, 51539622.0, 2020648.0, 2295793, 26881.84 
1983.518173, 621.0, 1223749101.0, 13179866.0, 17371345.0, 40195130.0, 4473853159.0, 43829.0, 621.0, 1942142380.0, 933.0, 7061040623.0, 6768392.0, 1642028419.0, 947484999.0, 3199199.0, 70681323.0, 1668168312.0, 974787058.0, 49249841.0, 2019501.0, 1887138, 28543.96 
2084.856806, 243.0, 1416255672.0, 12334192.0, 15169013.0, 36455571.0, 4806328016.0, 49751.0, 243.0, 2052719752.0, 596.0, 8194725786.0, 7586534.0, 1982650250.0, 937393962.0, 5320377.0, 75976924.0, 1964394860.0, 1162886906.0, 51866818.0, 2023736.0, 1949902, 27276.32 
2108.947998, 272.0, 1637624296.0, 11619895.0, 14315812.0, 40743273.0, 4781414871.0, 48647.0, 272.0, 2077689557.0, 688.0, 7344270892.0, 7591056.0, 1924454192.0, 1074368617.0, 4522381.0, 71211245.0, 2079879738.0, 1046804824.0, 41060706.0, 2035965.0, 1686394, 27000.81 
1712.816465, 379.0, 1110748548.0, 11825739.0, 13164825.0, 34290423.0, 3774500654.0, 36371.0, 379.0, 1682069245.0, 597.0, 5971725553.0, 6058049.0, 1582723600.0, 796345484.0, 2929806.0, 57367332.0, 1262937921.0, 692314084.0, 38695770.0, 2014063.0, 1314136, 28658.8 
