task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2487.095909, 699.0, 1544959403.0, 15024764.0, 24242403.0, 52022131.0, 5369956555.0, 75711.0, 699.0, 2464418488.0, 1058.0, 8213342010.0, 9420556.0, 2377523193.0, 1050856069.0, 3118883.0, 76826743.0, 2523479436.0, 1339083418.0, 57582889.0, 2158787.0, 2817913, 36062.34 
2080.030931, 356.0, 1162405613.0, 11956005.0, 15140418.0, 36858880.0, 4849008773.0, 56946.0, 356.0, 2047891548.0, 624.0, 7003896541.0, 7500279.0, 2080928392.0, 1079180809.0, 5760567.0, 67752161.0, 1833457721.0, 937853393.0, 46899559.0, 1785530.0, 2677014, 29022.46 
1845.3714, 354.0, 1235190280.0, 13237567.0, 11790987.0, 39502322.0, 4219428202.0, 42925.0, 354.0, 1812069956.0, 652.0, 5694115783.0, 7544799.0, 1588793865.0, 843827322.0, 3559610.0, 62018768.0, 1543764980.0, 816525516.0, 40378370.0, 1851789.0, 1014758, 31490.09 
1613.659475, 304.0, 1015022362.0, 13173603.0, 12174340.0, 30388794.0, 3065027053.0, 43568.0, 304.0, 1544177413.0, 578.0, 4516756321.0, 6092111.0, 1402060528.0, 700705856.0, 2858988.0, 53579524.0, 1357953192.0, 770215180.0, 36106011.0, 1785238.0, 3310306, 28989.7 
2488.076727, 482.0, 1640243432.0, 14390796.0, 19421512.0, 45928059.0, 5552451553.0, 100862.0, 482.0, 2410003528.0, 665.0, 8129573660.0, 11704688.0, 2571131793.0, 1251568053.0, 4773791.0, 79247676.0, 2719388287.0, 1383948329.0, 45313556.0, 1917803.0, 3090660, 34789.46 
1805.249365, 327.0, 1014335731.0, 13269333.0, 14818306.0, 39808752.0, 3949647346.0, 53641.0, 327.0, 1763710574.0, 725.0, 5361704633.0, 6350779.0, 1654565054.0, 840370313.0, 3368424.0, 51379211.0, 1658344010.0, 832136818.0, 43405755.0, 1789750.0, 1234648, 30445.18 
2523.468426, 581.0, 1854923960.0, 15671347.0, 22793842.0, 52216639.0, 5478095774.0, 86260.0, 581.0, 2464982639.0, 862.0, 8310372021.0, 9771806.0, 2519596775.0, 1135581538.0, 3620049.0, 66815454.0, 2481582335.0, 1232597741.0, 52832898.0, 2119249.0, 1741109, 37789.56 
2647.155374, 608.0, 1833166154.0, 15721148.0, 20713311.0, 50849279.0, 5920044377.0, 70796.0, 608.0, 2622754775.0, 889.0, 9039326255.0, 9864109.0, 2694349291.0, 1224151259.0, 5410428.0, 90305642.0, 2336871199.0, 1333121300.0, 51753207.0, 2174944.0, 2082357, 37010.99 
1744.897862, 397.0, 1086171633.0, 11809516.0, 14691722.0, 32072721.0, 3692534518.0, 54184.0, 397.0, 1692645371.0, 613.0, 4999806395.0, 6792977.0, 1406196541.0, 789943888.0, 4396042.0, 48927270.0, 1536307200.0, 814532705.0, 44222451.0, 1825315.0, 1455815, 30223.72 
2347.024138, 642.0, 1437106499.0, 13501179.0, 32427234.0, 61093314.0, 5338218401.0, 82140.0, 642.0, 2277912515.0, 811.0, 7848961058.0, 9345940.0, 2374543180.0, 1103889382.0, 5161748.0, 77759005.0, 2497201159.0, 1211295725.0, 52036047.0, 1941415.0, 2970737, 34305.47 
2072.609802, 352.0, 1274957367.0, 11569268.0, 18576687.0, 42191770.0, 4700950483.0, 48952.0, 352.0, 1989654368.0, 762.0, 7267050370.0, 8144294.0, 2089045148.0, 983821608.0, 3555236.0, 67056079.0, 1931815506.0, 1037250170.0, 46878632.0, 1781152.0, 2321407, 28810.84 
1660.657559, 319.0, 941398113.0, 9655380.0, 12272983.0, 31418054.0, 3640784198.0, 38353.0, 319.0, 1615085289.0, 554.0, 5310103228.0, 5954862.0, 1499104429.0, 691889928.0, 3761065.0, 54845158.0, 1483715560.0, 763886299.0, 40767446.0, 1806187.0, 2414324, 29173.23 
2424.526078, 601.0, 1660571342.0, 14809026.0, 23880107.0, 51104340.0, 5865721463.0, 75239.0, 601.0, 2390878109.0, 1086.0, 8727779914.0, 10771835.0, 2484289285.0, 1241725145.0, 4289030.0, 83987675.0, 2262032751.0, 1208342316.0, 58839253.0, 2142263.0, 1923914, 37431.47 
2391.173034, 652.0, 1466686458.0, 14333580.0, 23819284.0, 51092558.0, 5405917713.0, 70984.0, 652.0, 2362934668.0, 929.0, 8244439959.0, 9864727.0, 2085007300.0, 1116055396.0, 4292158.0, 71385684.0, 2263325068.0, 1229193947.0, 48710233.0, 2163676.0, 1057960, 35506.95 
2407.050205, 619.0, 1452528217.0, 13770823.0, 20238161.0, 49634443.0, 5361612008.0, 85734.0, 619.0, 2384462847.0, 886.0, 7974790849.0, 10630894.0, 2476139876.0, 1053183976.0, 4932336.0, 77059919.0, 2228069773.0, 1211440713.0, 55435672.0, 2153618.0, 1511949, 35851.47 
1803.875896, 326.0, 1107355599.0, 9498725.0, 13267797.0, 36338956.0, 3916248461.0, 39757.0, 326.0, 1733874686.0, 613.0, 4669302517.0, 6646717.0, 1344911836.0, 757742014.0, 5227879.0, 49719909.0, 1522962333.0, 791433988.0, 45578334.0, 1925644.0, 687068, 31061.5 
1731.618559, 351.0, 1112139530.0, 10246369.0, 10410060.0, 31047906.0, 3818509914.0, 41658.0, 351.0, 1685196737.0, 518.0, 5325593570.0, 6344012.0, 1551947172.0, 711585709.0, 3422246.0, 48076517.0, 1828498147.0, 924427108.0, 33518862.0, 1827757.0, 2576048, 32277.6 
2264.019242, 548.0, 1593684025.0, 14195345.0, 17578311.0, 46163409.0, 5217845781.0, 60226.0, 548.0, 2194520638.0, 1126.0, 7437879266.0, 8809168.0, 1969488546.0, 1100488823.0, 3553130.0, 78622966.0, 2167136348.0, 1221244023.0, 53431075.0, 2255158.0, 883415, 37147.5 
1730.73919, 337.0, 1095961576.0, 10632039.0, 14404614.0, 32442470.0, 4072856915.0, 58892.0, 337.0, 1698871424.0, 600.0, 5239227690.0, 7965398.0, 1512230313.0, 747359551.0, 4324491.0, 49876514.0, 1503777566.0, 784270513.0, 37720531.0, 1807747.0, 3204502, 29493.23 
2327.970145, 687.0, 1637922262.0, 14196595.0, 22703268.0, 49468694.0, 5220110600.0, 62134.0, 687.0, 2263616895.0, 905.0, 7874169861.0, 8947588.0, 2387944799.0, 1174747209.0, 4637774.0, 74879376.0, 2310068636.0, 1250476018.0, 48519522.0, 2146332.0, 2208650, 36852.55 
2246.763031, 617.0, 1391443265.0, 14116385.0, 17262418.0, 41125778.0, 5068001474.0, 75453.0, 617.0, 2198323647.0, 797.0, 7848053542.0, 8908546.0, 2472830330.0, 1029840933.0, 3940572.0, 72173413.0, 1968321806.0, 1119968772.0, 46135128.0, 2121802.0, 1337378, 36150.26 
2443.452352, 541.0, 1804242867.0, 16922516.0, 20395589.0, 50252332.0, 5537549159.0, 72161.0, 541.0, 2415320966.0, 985.0, 7916150842.0, 9364167.0, 2398769440.0, 1407969011.0, 5059295.0, 79469642.0, 2491395255.0, 1348797430.0, 54092328.0, 1913957.0, 746600, 33505.4 
