task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1147.462863, 355.0, 654146395.0, 8677172.0, 8447857.0, 20183666.0, 2185041742.0, 28265.0, 355.0, 1137964458.0, 520.0, 3300884588.0, 3680132.0, 1041102891.0, 500802547.0, 2889909.0, 29977314.0, 868246521.0, 458602182.0, 28210712.0, 1709172.0, 180338, 21644.49 
846.239126, 261.0, 453720597.0, 7782988.0, 5204245.0, 14574317.0, 1476369906.0, 22792.0, 261.0, 827792343.0, 402.0, 2051535795.0, 2224944.0, 613345028.0, 278006831.0, 1230371.0, 20948962.0, 595581219.0, 374559228.0, 16902274.0, 1694062.0, 142552, 19794.14 
862.619244, 285.0, 423332951.0, 8779258.0, 4924797.0, 15420728.0, 1566801541.0, 21748.0, 285.0, 844655289.0, 494.0, 2006556414.0, 2400905.0, 628590871.0, 354099434.0, 1591355.0, 24613937.0, 623472031.0, 409315260.0, 17975544.0, 1718347.0, 125087, 20523.38 
895.944041, 287.0, 463158124.0, 7946583.0, 6755670.0, 18964453.0, 1811595802.0, 21636.0, 287.0, 883181695.0, 452.0, 2344275217.0, 3323239.0, 747295669.0, 386677445.0, 1744290.0, 24095999.0, 744310762.0, 418292036.0, 16643198.0, 1716868.0, 184342, 21404.02 
883.21715, 246.0, 461864950.0, 8962443.0, 4407432.0, 13465670.0, 1559434135.0, 21827.0, 246.0, 873150457.0, 487.0, 2160132408.0, 2128394.0, 683501705.0, 301657737.0, 1649183.0, 23664835.0, 717881441.0, 455330880.0, 21537374.0, 1708536.0, 158213, 20744.14 
874.864707, 228.0, 488296818.0, 7565089.0, 5945631.0, 18319200.0, 1749047425.0, 19556.0, 228.0, 865945102.0, 465.0, 2110176381.0, 2538529.0, 765334058.0, 306411446.0, 1835718.0, 26698746.0, 604751347.0, 393741178.0, 21418798.0, 1718199.0, 162289, 21143.18 
879.201454, 284.0, 428541526.0, 6691092.0, 6999283.0, 18687922.0, 1562346407.0, 21933.0, 284.0, 883421498.0, 495.0, 2171528598.0, 2865344.0, 749907568.0, 350097750.0, 1347370.0, 17788907.0, 656085204.0, 352040042.0, 19274441.0, 1724507.0, 162080, 22645.59 
1248.603658, 369.0, 781762760.0, 8030182.0, 9643234.0, 23269870.0, 2561163393.0, 30657.0, 369.0, 1239604366.0, 556.0, 3652380319.0, 4483140.0, 1083252630.0, 527084004.0, 2398905.0, 41579094.0, 1074480450.0, 641737992.0, 30743904.0, 1715088.0, 160466, 23984.32 
865.452727, 271.0, 433197633.0, 8356955.0, 4578095.0, 16472057.0, 1553143743.0, 22513.0, 271.0, 844857913.0, 429.0, 2107859469.0, 2459709.0, 632848371.0, 328414090.0, 1619024.0, 21279191.0, 636809629.0, 409627090.0, 19321767.0, 1722021.0, 122400, 20784.7 
1268.069611, 362.0, 710107639.0, 10261118.0, 12460713.0, 26774098.0, 2718741361.0, 31280.0, 362.0, 1261223812.0, 533.0, 3730791874.0, 3832304.0, 1158457306.0, 570903501.0, 2810715.0, 32238733.0, 1160895803.0, 562588046.0, 24949158.0, 1720827.0, 159373, 23589.1 
888.058243, 248.0, 452563051.0, 5490562.0, 8452316.0, 18426380.0, 1571307302.0, 21246.0, 248.0, 870847988.0, 396.0, 2065930925.0, 2777906.0, 708347873.0, 311681091.0, 1614213.0, 21115173.0, 725248886.0, 382924864.0, 21863689.0, 1706145.0, 186352, 20695.53 
1149.499186, 428.0, 654832678.0, 7932747.0, 8711922.0, 22399599.0, 2389128072.0, 27361.0, 428.0, 1109192009.0, 520.0, 3266761903.0, 3941806.0, 1046565357.0, 518409213.0, 2101166.0, 32523070.0, 890461456.0, 464950124.0, 24602353.0, 1717652.0, 156973, 24593.26 
857.853133, 234.0, 408770935.0, 7119763.0, 4757105.0, 17265812.0, 1606558218.0, 21298.0, 234.0, 854111867.0, 480.0, 2316277358.0, 3066302.0, 760177186.0, 323771890.0, 1353509.0, 21562539.0, 686157234.0, 348662922.0, 17812243.0, 1716392.0, 176475, 20936.3 
846.552533, 247.0, 416770482.0, 6487900.0, 7867334.0, 16688852.0, 1517643614.0, 19569.0, 247.0, 834945571.0, 459.0, 1965132860.0, 2566762.0, 671125143.0, 334165478.0, 1272615.0, 19070652.0, 608181435.0, 298946569.0, 16544233.0, 1715908.0, 169693, 20556.03 
897.078749, 246.0, 481131816.0, 7969018.0, 5768481.0, 15760607.0, 1646654144.0, 21366.0, 246.0, 885993672.0, 393.0, 2133418263.0, 2700975.0, 685020297.0, 311387199.0, 1599293.0, 26572089.0, 685857779.0, 380067689.0, 18483746.0, 1710206.0, 129267, 21670.57 
869.768713, 237.0, 464721569.0, 6412469.0, 4724863.0, 14051176.0, 1484377874.0, 21622.0, 237.0, 868226975.0, 378.0, 2140462284.0, 2548862.0, 665254966.0, 357752864.0, 1182645.0, 25735878.0, 731601272.0, 416741749.0, 17183065.0, 1716476.0, 118138, 21042.45 
888.164438, 237.0, 506922549.0, 8042381.0, 5301636.0, 17010280.0, 1701048232.0, 20381.0, 237.0, 873091562.0, 387.0, 2312623943.0, 2324229.0, 629940585.0, 336402910.0, 1638829.0, 18892545.0, 529383233.0, 321353289.0, 14696855.0, 1720818.0, 145016, 20385.12 
861.846587, 271.0, 480870544.0, 7792282.0, 5393797.0, 16126001.0, 1663932198.0, 22014.0, 271.0, 840890100.0, 404.0, 2260040092.0, 2433666.0, 679133853.0, 302668336.0, 1134943.0, 19903439.0, 593708833.0, 356381256.0, 20183073.0, 1707892.0, 144984, 21004.45 
889.994988, 280.0, 465631102.0, 8303063.0, 5373543.0, 15846765.0, 1686068930.0, 21771.0, 280.0, 890080806.0, 398.0, 2059296734.0, 2535946.0, 747587159.0, 340787618.0, 1047446.0, 22149790.0, 645829748.0, 403068222.0, 12957311.0, 1722716.0, 172475, 20165.25 
913.904536, 234.0, 479593582.0, 6385179.0, 5538863.0, 16764809.0, 1772970590.0, 21909.0, 234.0, 902205492.0, 386.0, 2303946638.0, 3036107.0, 648306848.0, 341971144.0, 1807400.0, 19227955.0, 694390974.0, 348545722.0, 20221132.0, 1719072.0, 174881, 21103.96 
