task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2090.690652, 297.0, 1378466815.0, 12118024.0, 15686980.0, 38130666.0, 4698532654.0, 49358.0, 297.0, 2047395401.0, 501.0, 6720969507.0, 7874740.0, 2004993794.0, 1042977904.0, 4788097.0, 68678568.0, 2075420650.0, 1084358568.0, 53518462.0, 3005557.0, 4577875, 44942.81 
1974.878769, 460.0, 1308673815.0, 12679660.0, 11607659.0, 36395785.0, 4405250049.0, 44990.0, 460.0, 1934635264.0, 653.0, 6381146594.0, 6395682.0, 1762077319.0, 923869846.0, 4322675.0, 66841842.0, 1432105842.0, 897644973.0, 45033608.0, 2825487.0, 4245612, 40001.38 
2692.277834, 548.0, 1861511740.0, 16977937.0, 26812582.0, 59329403.0, 6250688850.0, 74564.0, 548.0, 2657274157.0, 1099.0, 9854154467.0, 11527731.0, 2872678291.0, 1457073759.0, 5042965.0, 93314714.0, 2654591764.0, 1405220610.0, 68527412.0, 3182681.0, 3131291, 46904.98 
3271.006698, 626.0, 2600813917.0, 20325295.0, 26120214.0, 61283558.0, 7682982370.0, 102913.0, 626.0, 3178651936.0, 819.0, 11920551322.0, 12348203.0, 3313489157.0, 1596531944.0, 5895892.0, 123901508.0, 3291913728.0, 1940688649.0, 69678099.0, 3174689.0, 3504579, 51015.15 
2925.389066, 541.0, 2052280959.0, 16999637.0, 25645525.0, 58094382.0, 7029441678.0, 78986.0, 541.0, 2887346639.0, 843.0, 9039566094.0, 12692655.0, 3062183608.0, 1417167885.0, 6104941.0, 98913269.0, 2903682699.0, 1488322862.0, 70559070.0, 3210168.0, 2483602, 46683.65 
1952.839775, 476.0, 1243711905.0, 13705399.0, 15607481.0, 41789734.0, 4467485635.0, 43972.0, 476.0, 1921032045.0, 676.0, 6174367958.0, 7293689.0, 1677881540.0, 937686318.0, 4626920.0, 58377439.0, 1929790479.0, 979922585.0, 42602626.0, 2792343.0, 4953947, 38615.98 
2347.862797, 623.0, 1477931224.0, 14019773.0, 17768892.0, 43361826.0, 5462820374.0, 53372.0, 623.0, 2232219259.0, 724.0, 7049804762.0, 8428441.0, 2213864354.0, 1104528271.0, 5818536.0, 74340847.0, 2173353527.0, 1110738261.0, 56248883.0, 3062727.0, 4791357, 45613.49 
2915.011692, 573.0, 2050857309.0, 17307578.0, 27217025.0, 56999888.0, 6441556868.0, 78708.0, 573.0, 2867026570.0, 830.0, 9716412640.0, 10749010.0, 2584498988.0, 1531501772.0, 7725729.0, 106560041.0, 2964279667.0, 1518768016.0, 58296290.0, 3221069.0, 3312893, 47698.86 
2627.181849, 747.0, 2077437120.0, 20667423.0, 22000279.0, 54174523.0, 6245989689.0, 67455.0, 747.0, 2497072344.0, 897.0, 8570438757.0, 9456756.0, 2542701369.0, 1272502243.0, 4862934.0, 90837790.0, 2429223073.0, 1285405740.0, 66302804.0, 3167263.0, 3870282, 45926.96 
2762.216245, 599.0, 1938028779.0, 16724895.0, 22428359.0, 55902194.0, 6341902834.0, 77200.0, 599.0, 2733371318.0, 1208.0, 9733446510.0, 10446400.0, 2967715136.0, 1467582062.0, 4309783.0, 101677067.0, 2658084574.0, 1453137076.0, 64726959.0, 3155421.0, 3630790, 47218.7 
