task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
2330.980061, 311.0, 1661146510.0, 12972921.0, 18279332.0, 40662524.0, 5192500092.0, 55123.0, 311.0, 2302144162.0, 503.0, 7222431502.0, 9398317.0, 2132630339.0, 1001552719.0, 4704175.0, 78370963.0, 2163638529.0, 1166631518.0, 49782627.0, 4903876.0, 929570, 39326.94 
2398.355966, 625.0, 1612058317.0, 13924618.0, 21818266.0, 48993682.0, 5559547221.0, 57075.0, 625.0, 2332301918.0, 745.0, 8236270031.0, 9183635.0, 1978529806.0, 1136045986.0, 4868102.0, 86268913.0, 2166806900.0, 1241603764.0, 58487731.0, 4903423.0, 988782, 35080.72 
2230.307448, 269.0, 1487778955.0, 12418504.0, 16846536.0, 42801639.0, 5215780993.0, 54816.0, 269.0, 2214343981.0, 479.0, 7231015523.0, 8818702.0, 2109193048.0, 970570638.0, 5811114.0, 76890958.0, 1906312015.0, 1051260748.0, 54384650.0, 4804452.0, 803279, 37147.15 
3168.575467, 687.0, 2562201987.0, 18022671.0, 25641399.0, 58764758.0, 7602530848.0, 105267.0, 687.0, 3065071702.0, 900.0, 12008548268.0, 10298321.0, 3384604512.0, 1777382676.0, 5186029.0, 105926274.0, 3767348365.0, 1836152883.0, 64698916.0, 3978882.0, 981042, 53269.8 
2326.380723, 365.0, 1456908975.0, 14696164.0, 20967095.0, 52296677.0, 5359074358.0, 55353.0, 365.0, 2255787074.0, 928.0, 7589880240.0, 9498008.0, 2380070857.0, 1170719427.0, 4485666.0, 65565507.0, 2225846413.0, 1106974457.0, 45941341.0, 4903323.0, 925201, 35629.46 
1596.7142, 265.0, 864281305.0, 9073336.0, 12466091.0, 32229061.0, 3262338743.0, 35525.0, 265.0, 1563150774.0, 654.0, 4416280766.0, 5574143.0, 1416610926.0, 783879330.0, 2948130.0, 43196425.0, 1270492371.0, 712819035.0, 42158127.0, 2220389.0, 748328, 30928.92 
3233.39197, 581.0, 2286100897.0, 17357731.0, 25201685.0, 57468499.0, 7791342707.0, 104210.0, 581.0, 3199603490.0, 783.0, 12238235443.0, 10962674.0, 3620278204.0, 1793044943.0, 4931611.0, 114062916.0, 3528370757.0, 1794969718.0, 62866466.0, 3978437.0, 979690, 53077.06 
3425.155283, 599.0, 2455069370.0, 19295273.0, 27051726.0, 55561338.0, 8061173775.0, 104752.0, 599.0, 3422410697.0, 852.0, 13261834990.0, 10715409.0, 3539273031.0, 1577729287.0, 5562780.0, 121865361.0, 3331069545.0, 1836753704.0, 63508962.0, 3978860.0, 964418, 53198.14 
3261.432253, 580.0, 2385635704.0, 17945982.0, 25859096.0, 56671516.0, 7581854528.0, 95916.0, 580.0, 3215908303.0, 769.0, 11755961418.0, 11044747.0, 3483952293.0, 1766873083.0, 6636513.0, 126571163.0, 3108057421.0, 1797806068.0, 63949825.0, 4139975.0, 932174, 53522.15 
1668.395772, 344.0, 1015708826.0, 9610187.0, 12187791.0, 31057759.0, 3579997788.0, 34311.0, 344.0, 1634471120.0, 641.0, 4977354882.0, 5725244.0, 1366418118.0, 671754005.0, 3543600.0, 54569731.0, 1387336266.0, 689333483.0, 41976196.0, 2220456.0, 941458, 32464.75 
