task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
787.270152, 208.0, 403334677.0, 4864913.0, 4596279.0, 14054139.0, 1471953669.0, 17232.0, 208.0, 780237011.0, 391.0, 1897073894.0, 2693317.0, 594318094.0, 297728654.0, 1620861.0, 16616430.0, 573853010.0, 333611292.0, 15562966.0, 962623.0, 293064, 14242.45 
779.124843, 210.0, 347147973.0, 6591648.0, 4046189.0, 14002506.0, 1417732001.0, 16179.0, 210.0, 744909478.0, 400.0, 1865307254.0, 1896216.0, 553597617.0, 263883495.0, 1868235.0, 16384660.0, 462339356.0, 300313697.0, 16405465.0, 953261.0, 289259, 13493.91 
729.83696, 202.0, 348978595.0, 5346007.0, 3922574.0, 14081549.0, 1356220105.0, 16411.0, 202.0, 717789975.0, 330.0, 1779247507.0, 2256409.0, 596867267.0, 262115069.0, 1184151.0, 18201588.0, 472146562.0, 250932236.0, 14052049.0, 966424.0, 267573, 13393.85 
810.272192, 217.0, 354146275.0, 6141853.0, 5065222.0, 14207672.0, 1374210954.0, 17261.0, 217.0, 805846626.0, 361.0, 2009470092.0, 2093686.0, 608051290.0, 371111090.0, 1587357.0, 22525694.0, 657994495.0, 347073549.0, 16185209.0, 953234.0, 340972, 14791.03 
703.369239, 165.0, 347946311.0, 7786667.0, 5828619.0, 16318545.0, 1512833720.0, 15964.0, 165.0, 699199244.0, 298.0, 1704248968.0, 1919474.0, 486099003.0, 234993999.0, 1392149.0, 15002554.0, 467587004.0, 305322046.0, 15473755.0, 962729.0, 160968, 12951.86 
852.571004, 223.0, 386554353.0, 6324706.0, 4843541.0, 11529058.0, 1383933240.0, 17195.0, 223.0, 849937289.0, 451.0, 1893690042.0, 2064514.0, 528134044.0, 333597294.0, 993842.0, 22314124.0, 650969274.0, 363651588.0, 19794443.0, 953299.0, 263430, 13877.63 
743.964654, 185.0, 381937783.0, 5470595.0, 3892736.0, 14110548.0, 1441994260.0, 16313.0, 185.0, 732568848.0, 411.0, 1696066816.0, 2237202.0, 557050149.0, 277420413.0, 1045896.0, 18619369.0, 487651059.0, 300623825.0, 16971959.0, 966414.0, 265847, 14708.81 
727.122859, 213.0, 339484407.0, 6934702.0, 4636527.0, 14335995.0, 1295148178.0, 16721.0, 213.0, 718321534.0, 332.0, 1763053068.0, 1982857.0, 526249142.0, 238007377.0, 1110969.0, 20464592.0, 539754115.0, 305536982.0, 16217639.0, 957665.0, 327626, 14290.0 
709.215087, 160.0, 361264675.0, 5527515.0, 4130592.0, 12565453.0, 1234168078.0, 15889.0, 160.0, 708979810.0, 352.0, 1422806027.0, 1771503.0, 442483476.0, 228659376.0, 1347030.0, 18930117.0, 518710045.0, 324619527.0, 18705734.0, 953291.0, 210916, 13235.79 
775.984565, 216.0, 397841223.0, 6796340.0, 6219064.0, 16553805.0, 1460870169.0, 17450.0, 216.0, 766800420.0, 445.0, 1797365809.0, 2533874.0, 632052657.0, 327225301.0, 1216318.0, 22386040.0, 607920964.0, 290092358.0, 12136609.0, 966522.0, 302574, 14134.5 
