task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1284.586316, 280.0, 725959311.0, 8444122.0, 10021609.0, 24330332.0, 2514932321.0, 29758.0, 280.0, 1278134078.0, 564.0, 3752814730.0, 4168754.0, 1133989925.0, 620244097.0, 1989790.0, 37038920.0, 1235034582.0, 641136555.0, 28684484.0, 2147325.0, 705816, 28504.98 
931.347111, 211.0, 442181728.0, 7425341.0, 5188995.0, 17079451.0, 1757098337.0, 18213.0, 211.0, 909052789.0, 376.0, 2461511792.0, 2860179.0, 759254068.0, 379008473.0, 1853317.0, 19502942.0, 689324595.0, 405375972.0, 20190945.0, 2137271.0, 729217, 27083.26 
1300.455692, 322.0, 779590346.0, 9136182.0, 13658538.0, 29411710.0, 2632221676.0, 30906.0, 322.0, 1288725509.0, 637.0, 3702634543.0, 4256664.0, 1124613289.0, 529596943.0, 1691109.0, 33846211.0, 1137980415.0, 546076365.0, 25451713.0, 2152712.0, 684171, 29328.4 
941.113474, 217.0, 552493402.0, 7200373.0, 9326586.0, 19790324.0, 1853701097.0, 19717.0, 217.0, 934121457.0, 377.0, 2375086598.0, 3420364.0, 837164490.0, 393377731.0, 1398638.0, 22291102.0, 660513839.0, 379575002.0, 17532453.0, 2147440.0, 661804, 28120.78 
941.301644, 201.0, 464918623.0, 7158046.0, 4307288.0, 16265218.0, 1606201862.0, 19584.0, 201.0, 924960827.0, 373.0, 2062296337.0, 2574292.0, 691586829.0, 330710101.0, 2048067.0, 24923312.0, 624091818.0, 438392690.0, 21719250.0, 2139085.0, 791665, 28278.69 
908.087362, 233.0, 510175487.0, 6974717.0, 5975468.0, 16762059.0, 1739171304.0, 21666.0, 233.0, 883574025.0, 385.0, 2492633303.0, 2858181.0, 731462799.0, 378475671.0, 1618904.0, 25462402.0, 725865301.0, 396822675.0, 21761572.0, 2146522.0, 868081, 28690.0 
925.255418, 206.0, 470806418.0, 8688535.0, 6215968.0, 17454300.0, 1839476590.0, 19193.0, 206.0, 908545357.0, 379.0, 2260922837.0, 3164211.0, 585559924.0, 307995681.0, 1829424.0, 24674103.0, 648217675.0, 333363917.0, 24039591.0, 2143863.0, 722665, 28670.91 
963.56168, 238.0, 466551381.0, 7416315.0, 6269017.0, 16883028.0, 1677578535.0, 20071.0, 238.0, 946082410.0, 413.0, 2319078920.0, 2945075.0, 758911367.0, 350595085.0, 1714472.0, 29853560.0, 708123073.0, 431384299.0, 23945685.0, 2139490.0, 807594, 28787.03 
916.47956, 212.0, 502226246.0, 7464604.0, 4570756.0, 16955071.0, 1564662355.0, 18157.0, 212.0, 896816318.0, 397.0, 2174303793.0, 2940607.0, 696740267.0, 328032297.0, 1784598.0, 18529880.0, 744747701.0, 436304874.0, 17204690.0, 2147032.0, 683523, 28338.12 
897.350817, 185.0, 462757326.0, 6122784.0, 8079722.0, 18826205.0, 1760150266.0, 18073.0, 185.0, 886358316.0, 371.0, 2547522390.0, 3183257.0, 715078689.0, 375910883.0, 1868258.0, 25705698.0, 623912092.0, 339368668.0, 21981248.0, 2136698.0, 745137, 28879.7 
1159.512382, 297.0, 724140333.0, 8509312.0, 7384075.0, 23547974.0, 2228290611.0, 28044.0, 297.0, 1150651448.0, 471.0, 3273509408.0, 3618752.0, 983259136.0, 440313490.0, 1930625.0, 35184826.0, 1058698094.0, 625814719.0, 22672964.0, 2138881.0, 822345, 28532.76 
1160.030675, 279.0, 645156687.0, 10025262.0, 10007176.0, 21492034.0, 2319703931.0, 27960.0, 279.0, 1146547872.0, 450.0, 3130528075.0, 4503748.0, 977026232.0, 490626006.0, 1906682.0, 27830576.0, 914906701.0, 515356983.0, 22533756.0, 2143949.0, 750321, 28756.31 
935.717309, 249.0, 465913362.0, 6567132.0, 6701687.0, 19381879.0, 1668732324.0, 20741.0, 249.0, 912859541.0, 404.0, 2190089461.0, 2902028.0, 784621498.0, 387089140.0, 1448405.0, 24784194.0, 763267902.0, 431336787.0, 14856373.0, 2143776.0, 686650, 28116.36 
936.290898, 223.0, 458129281.0, 8438323.0, 6071324.0, 19808326.0, 1820468389.0, 17577.0, 223.0, 918719320.0, 421.0, 2269709841.0, 3206534.0, 817471997.0, 327127950.0, 1601425.0, 22245639.0, 660726229.0, 355711424.0, 19783111.0, 2139345.0, 944333, 28665.15 
1173.336828, 284.0, 641425051.0, 9431018.0, 8955273.0, 21484331.0, 2378222727.0, 25579.0, 284.0, 1158382755.0, 452.0, 3346089921.0, 4064649.0, 946876275.0, 533851367.0, 2074202.0, 29228106.0, 1033494443.0, 540429220.0, 24771526.0, 2134926.0, 731895, 28545.77 
934.105486, 245.0, 527707870.0, 6202007.0, 6560001.0, 19696919.0, 1798682006.0, 20025.0, 245.0, 913593806.0, 451.0, 2563808868.0, 3215754.0, 843029540.0, 436141425.0, 1406283.0, 23107599.0, 770138435.0, 424200069.0, 21551965.0, 2150307.0, 669738, 27879.47 
981.377181, 198.0, 515358704.0, 8485074.0, 7966343.0, 20895251.0, 1953377212.0, 21451.0, 198.0, 978931267.0, 368.0, 2597950597.0, 3702784.0, 814762945.0, 397145125.0, 1758546.0, 20648056.0, 733370787.0, 397865257.0, 20819406.0, 2144298.0, 694394, 28770.61 
921.621429, 183.0, 451159389.0, 6157614.0, 5283711.0, 16766803.0, 1645752390.0, 19655.0, 183.0, 904109801.0, 360.0, 2214409378.0, 3056731.0, 674808530.0, 397474449.0, 1585377.0, 20074256.0, 698519725.0, 375018002.0, 19065539.0, 2141876.0, 640065, 28127.28 
901.511063, 198.0, 471908398.0, 6861845.0, 5735278.0, 17424196.0, 1603301685.0, 17643.0, 198.0, 890099327.0, 374.0, 2050737179.0, 2893369.0, 646016088.0, 363834658.0, 1277302.0, 23722002.0, 747322051.0, 372141958.0, 16666502.0, 2154439.0, 748585, 28989.92 
976.990882, 364.0, 479063115.0, 6700600.0, 7084707.0, 19461379.0, 1859882238.0, 23250.0, 364.0, 963541371.0, 441.0, 2788559483.0, 3369992.0, 914158640.0, 447263656.0, 1585305.0, 25394023.0, 904756616.0, 450305256.0, 19678770.0, 2140478.0, 926794, 28159.84 
920.663831, 213.0, 490051097.0, 6787683.0, 6389463.0, 16249637.0, 1560946191.0, 18269.0, 213.0, 900820310.0, 407.0, 2358786586.0, 2852320.0, 751642563.0, 345534604.0, 1597878.0, 26083958.0, 738638181.0, 407678509.0, 20458980.0, 2142400.0, 759413, 28763.53 
877.559086, 208.0, 451660608.0, 7528786.0, 6388384.0, 19545174.0, 1799458620.0, 17516.0, 208.0, 861643408.0, 382.0, 2056619041.0, 2688976.0, 769426410.0, 383751110.0, 1639723.0, 20757840.0, 629342783.0, 323752849.0, 22324669.0, 2142486.0, 716663, 28280.28 
