task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
947.522785, 210.0, 405554794.0, 8789425.0, 4881712.0, 14739488.0, 1497243071.0, 17521.0, 210.0, 932859413.0, 386.0, 1918169494.0, 2416048.0, 692222730.0, 303503961.0, 1967444.0, 20213594.0, 544302364.0, 337423431.0, 17619931.0, 851766.0, 193554, 13827.49 
828.385905, 239.0, 355031063.0, 6360060.0, 4970966.0, 15095352.0, 1393206102.0, 15919.0, 239.0, 797753796.0, 441.0, 1830786925.0, 2534484.0, 553714516.0, 311394858.0, 1286339.0, 18035366.0, 595365489.0, 290761907.0, 15364755.0, 845691.0, 192151, 12494.73 
1039.525447, 259.0, 411710671.0, 7467681.0, 6364006.0, 17039238.0, 1963546173.0, 17801.0, 259.0, 1019239024.0, 410.0, 2430929463.0, 2512802.0, 603075346.0, 368303425.0, 3892194.0, 21947042.0, 717254093.0, 374040923.0, 20206763.0, 907142.0, 92643, 19545.8 
900.114342, 236.0, 432227538.0, 6808947.0, 7716159.0, 20021749.0, 1620263625.0, 16209.0, 236.0, 870366484.0, 401.0, 1931964081.0, 2867091.0, 527991563.0, 299699020.0, 1407059.0, 18969470.0, 613281599.0, 280185916.0, 18289521.0, 850164.0, 117226, 15486.02 
814.209683, 212.0, 364957232.0, 7120813.0, 4141216.0, 13251950.0, 1383022707.0, 16005.0, 212.0, 806168930.0, 348.0, 1736883279.0, 2116559.0, 544285454.0, 262003607.0, 1664234.0, 19775532.0, 541307550.0, 327786403.0, 20046085.0, 844664.0, 84608, 12978.79 
895.837216, 249.0, 412422705.0, 7102620.0, 4864730.0, 15975130.0, 1476611011.0, 16905.0, 249.0, 871904449.0, 428.0, 2009274016.0, 2250040.0, 575137206.0, 295634507.0, 1288309.0, 18301817.0, 618422923.0, 357430372.0, 17005599.0, 854290.0, 218644, 12931.78 
908.364239, 225.0, 364349499.0, 6983277.0, 4491119.0, 15061657.0, 1562350661.0, 16968.0, 225.0, 887469939.0, 363.0, 1953538742.0, 2117378.0, 653109219.0, 339657735.0, 2018912.0, 24737014.0, 607747729.0, 358163986.0, 19609038.0, 850508.0, 205314, 14190.34 
878.471551, 185.0, 411704380.0, 6661462.0, 5001802.0, 17287399.0, 1493564794.0, 15745.0, 185.0, 868048539.0, 399.0, 1829839213.0, 2640090.0, 686394589.0, 292719476.0, 1422701.0, 20638600.0, 540853313.0, 328380138.0, 25312998.0, 850547.0, 97373, 13690.77 
892.399348, 234.0, 412286023.0, 7491120.0, 4770650.0, 14651934.0, 1525080908.0, 16789.0, 234.0, 860178161.0, 411.0, 1663692549.0, 2485127.0, 538598408.0, 262912098.0, 1502281.0, 20986883.0, 612238195.0, 356074275.0, 20066503.0, 858683.0, 152661, 15236.28 
898.50525, 244.0, 424460116.0, 7731231.0, 5188566.0, 17367016.0, 1604878241.0, 16187.0, 244.0, 887822298.0, 384.0, 1966246404.0, 2855702.0, 685485027.0, 334120307.0, 1312638.0, 19151991.0, 642892451.0, 349811789.0, 17299184.0, 857995.0, 116650, 13738.54 
904.28178, 227.0, 437201158.0, 7610723.0, 6321813.0, 20844026.0, 1749202324.0, 16330.0, 227.0, 902511354.0, 512.0, 2114463488.0, 2757267.0, 546540936.0, 264640483.0, 1189824.0, 17379235.0, 562193820.0, 333961851.0, 23217321.0, 850038.0, 65356, 13776.18 
