task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
719.670565, 222.0, 285288768.0, 6040196.0, 3133586.0, 11522595.0, 1105455044.0, 13168.0, 222.0, 718208493.0, 370.0, 1392742890.0, 1785589.0, 568245079.0, 227268286.0, 1379659.0, 19367710.0, 445783469.0, 255493059.0, 16678503.0, 740253.0, 136428, 9820.2 
698.877, 197.0, 289101566.0, 6282596.0, 3085778.0, 10948618.0, 1247437937.0, 13760.0, 197.0, 682054022.0, 332.0, 1416719517.0, 1892299.0, 570883226.0, 196821513.0, 1001844.0, 15120425.0, 375702531.0, 195404079.0, 17385916.0, 740253.0, 132353, 10063.09 
701.448044, 194.0, 232172630.0, 5669873.0, 3602175.0, 12278384.0, 1175806702.0, 13758.0, 194.0, 678469324.0, 342.0, 1562933670.0, 1715390.0, 473152302.0, 244087366.0, 1195992.0, 14732293.0, 441331643.0, 265298665.0, 15996982.0, 740316.0, 156075, 10360.72 
683.964485, 200.0, 320074072.0, 6617058.0, 4635805.0, 12479064.0, 1180032419.0, 14371.0, 200.0, 661352751.0, 329.0, 1508328836.0, 1988508.0, 528569914.0, 269866265.0, 1005365.0, 15808025.0, 496935681.0, 254975300.0, 13321488.0, 736104.0, 149388, 9814.36 
731.233579, 230.0, 309544822.0, 6760850.0, 4772278.0, 14036103.0, 1256941371.0, 14860.0, 230.0, 711377931.0, 380.0, 1695842944.0, 2076363.0, 518750629.0, 265214663.0, 984160.0, 13609416.0, 415628231.0, 273436339.0, 15655667.0, 744712.0, 134726, 9449.52 
663.611815, 172.0, 272858725.0, 5384981.0, 4078198.0, 12519563.0, 1184740306.0, 14577.0, 172.0, 651403717.0, 305.0, 1353879953.0, 1809523.0, 459837148.0, 229583029.0, 1140237.0, 14078199.0, 443719691.0, 229783738.0, 16344212.0, 739732.0, 157345, 10726.39 
681.963698, 190.0, 283657573.0, 5680330.0, 3310389.0, 11304055.0, 1154162196.0, 14794.0, 190.0, 679149478.0, 315.0, 1381859652.0, 1968668.0, 482229524.0, 241563299.0, 696034.0, 16713262.0, 440611127.0, 209049375.0, 17458568.0, 741203.0, 158598, 11410.41 
676.877898, 191.0, 300424096.0, 6342541.0, 3880069.0, 12934123.0, 1253553323.0, 14470.0, 191.0, 666849741.0, 373.0, 1681384364.0, 1956921.0, 502216684.0, 263335785.0, 1465737.0, 12583649.0, 383902983.0, 258972469.0, 14691761.0, 741190.0, 143120, 10471.6 
667.255872, 152.0, 291784513.0, 6120937.0, 4076650.0, 13777834.0, 1213769957.0, 14489.0, 152.0, 666480205.0, 306.0, 1545219934.0, 1945508.0, 531321963.0, 221232338.0, 933134.0, 12733470.0, 405167415.0, 245345421.0, 14745553.0, 736106.0, 140292, 9980.42 
661.095083, 192.0, 331460716.0, 6944563.0, 4834110.0, 13745692.0, 1238905212.0, 13185.0, 192.0, 635787609.0, 321.0, 1451517773.0, 1761247.0, 484108076.0, 199173520.0, 1136598.0, 14506157.0, 413922596.0, 240221704.0, 15448273.0, 740253.0, 152481, 9980.36 
688.59542, 179.0, 276018683.0, 6913177.0, 3722537.0, 12113689.0, 1210543268.0, 14729.0, 179.0, 673421602.0, 322.0, 1477343330.0, 2072256.0, 485147764.0, 280894927.0, 1101340.0, 16734836.0, 502897761.0, 250241553.0, 14152234.0, 740253.0, 136583, 10453.28 
649.440732, 233.0, 294241906.0, 5639013.0, 3455603.0, 11155479.0, 1101543944.0, 13416.0, 233.0, 627968734.0, 378.0, 1451022910.0, 2034479.0, 471449241.0, 212230853.0, 1100133.0, 15157045.0, 438000334.0, 262813290.0, 15436074.0, 740194.0, 135715, 9866.1 
642.308721, 216.0, 309846294.0, 5039591.0, 3570713.0, 10904107.0, 1124471935.0, 14778.0, 216.0, 623670726.0, 363.0, 1453603128.0, 1635088.0, 444399595.0, 199832945.0, 1164537.0, 13175218.0, 412132424.0, 228305249.0, 10511197.0, 740251.0, 139678, 10243.42 
731.305469, 231.0, 292762608.0, 6730841.0, 3986786.0, 12477852.0, 1115971037.0, 13953.0, 231.0, 718826833.0, 358.0, 1332125542.0, 1726046.0, 439632000.0, 234608069.0, 1116726.0, 15009688.0, 551613296.0, 251544407.0, 18755125.0, 740253.0, 142406, 9839.31 
677.212165, 192.0, 317076343.0, 6237647.0, 4510513.0, 12764421.0, 1278901967.0, 12798.0, 192.0, 672215171.0, 348.0, 1646516074.0, 2184199.0, 447290981.0, 210733120.0, 984362.0, 13528319.0, 418951410.0, 249652103.0, 18826383.0, 740253.0, 140273, 10240.15 
692.098298, 203.0, 333634305.0, 6858943.0, 3736167.0, 11107314.0, 1095015622.0, 14488.0, 203.0, 678211344.0, 354.0, 1441560633.0, 1774017.0, 512690739.0, 234022873.0, 1566279.0, 14744271.0, 440863326.0, 263573076.0, 17201249.0, 734618.0, 140018, 10462.04 
736.466172, 208.0, 350219557.0, 6498254.0, 5244950.0, 13435275.0, 1200305394.0, 14692.0, 208.0, 721706162.0, 341.0, 1502501189.0, 2126669.0, 530748828.0, 204393367.0, 1498044.0, 17630734.0, 515527492.0, 271506398.0, 17825045.0, 740253.0, 141143, 11049.38 
945.871914, 254.0, 472574406.0, 6779849.0, 6718240.0, 18845883.0, 1838627120.0, 20992.0, 254.0, 929564190.0, 411.0, 2265961167.0, 2853591.0, 836223035.0, 365834414.0, 1475566.0, 26590436.0, 879705784.0, 356294038.0, 16183382.0, 794958.0, 124497, 20725.27 
669.036643, 220.0, 275929461.0, 5685034.0, 4299211.0, 11970300.0, 1160562503.0, 13091.0, 220.0, 663254025.0, 309.0, 1520941894.0, 2185664.0, 501783909.0, 261713435.0, 1002877.0, 13591437.0, 385444225.0, 232848489.0, 14625277.0, 740252.0, 136569, 10748.07 
699.127956, 205.0, 354048492.0, 6155477.0, 4740602.0, 14866977.0, 1384391621.0, 14908.0, 205.0, 691810288.0, 408.0, 1670369723.0, 1650400.0, 451471428.0, 254330354.0, 1094857.0, 13122156.0, 391864260.0, 228737802.0, 15905047.0, 740253.0, 146136, 10287.79 
698.855586, 171.0, 320819856.0, 5149781.0, 5898845.0, 12919254.0, 1161990412.0, 12637.0, 171.0, 680432332.0, 302.0, 1343202048.0, 1967441.0, 420592100.0, 239752981.0, 973811.0, 15636478.0, 412724617.0, 186860289.0, 14705439.0, 740252.0, 151817, 10706.21 
683.166456, 156.0, 284914664.0, 4933226.0, 3422309.0, 12595198.0, 1197706215.0, 12739.0, 156.0, 673432714.0, 299.0, 1560567487.0, 2238248.0, 452694754.0, 252657756.0, 1699776.0, 11432743.0, 330676955.0, 222680686.0, 15766887.0, 741189.0, 149152, 10735.37 
677.313034, 165.0, 260986904.0, 6278822.0, 2727500.0, 11878213.0, 1222039867.0, 12172.0, 165.0, 660608657.0, 293.0, 1529900434.0, 1562021.0, 517523523.0, 262551265.0, 1403656.0, 16130876.0, 454231947.0, 255504956.0, 19447717.0, 740253.0, 136855, 9986.02 
708.74894, 194.0, 294160024.0, 5931067.0, 3623137.0, 12842447.0, 1218282007.0, 14272.0, 194.0, 693647953.0, 309.0, 1543835038.0, 1752674.0, 563566303.0, 258053010.0, 1450770.0, 16396304.0, 499708905.0, 305134665.0, 15942855.0, 739509.0, 171326, 11042.17 
691.408141, 169.0, 328256226.0, 6357523.0, 4531167.0, 13583608.0, 1206227495.0, 15176.0, 169.0, 688505283.0, 308.0, 1399268258.0, 1935816.0, 505761712.0, 248081569.0, 1275061.0, 16201916.0, 547487011.0, 313133787.0, 15352777.0, 739732.0, 149519, 10347.12 
