task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1713.253047, 222.0, 1077950346.0, 9655147.0, 19176094.0, 41943273.0, 3979017753.0, 75406.0, 222.0, 1718514320.0, 413.0, 6569296580.0, 7905298.0, 1763530955.0, 975540859.0, 2924694.0, 57034046.0, 1545038170.0, 834241761.0, 44625307.0, 3915779.0, 1995, 19835.59 
1928.903198, 246.0, 1502781647.0, 12400348.0, 20081934.0, 47518420.0, 4391161840.0, 80191.0, 246.0, 1914799934.0, 434.0, 7113308073.0, 9473438.0, 2077619137.0, 982797950.0, 3252943.0, 72137738.0, 1859347322.0, 911859411.0, 42799115.0, 4519929.0, 1286, 27281.99 
1514.444889, 169.0, 1005029956.0, 7563726.0, 11015542.0, 31824360.0, 3386862985.0, 42970.0, 169.0, 1518284717.0, 356.0, 5587408177.0, 6589919.0, 1544011692.0, 676428196.0, 2854378.0, 59637116.0, 1448469075.0, 757569554.0, 33918311.0, 3122132.0, 646, 19818.95 
1732.802859, 250.0, 1315803871.0, 8911130.0, 13246542.0, 35068347.0, 3774732129.0, 57808.0, 250.0, 1731421353.0, 636.0, 5845963295.0, 7042344.0, 1433049596.0, 866729392.0, 3727324.0, 61251669.0, 1723374959.0, 917520516.0, 41749597.0, 3686664.0, 1887, 19893.46 
1826.403538, 214.0, 1395110844.0, 11637526.0, 11029771.0, 36971967.0, 4155634226.0, 57611.0, 214.0, 1810197486.0, 388.0, 5604625769.0, 9044488.0, 1758937024.0, 931286451.0, 4058340.0, 56528817.0, 1728624847.0, 864489430.0, 42610130.0, 4002023.0, 2102, 19290.52 
1560.134842, 194.0, 1099479767.0, 10288943.0, 12018492.0, 34958840.0, 3598189015.0, 34563.0, 194.0, 1548925972.0, 364.0, 4744362035.0, 6413349.0, 1333738479.0, 779087062.0, 3289941.0, 46533657.0, 1417927448.0, 755847640.0, 36758535.0, 3125431.0, 950, 19827.44 
1822.940496, 218.0, 1434355349.0, 10706482.0, 9022044.0, 32063810.0, 4118137109.0, 42764.0, 218.0, 1807706355.0, 396.0, 7026262572.0, 8466147.0, 1801957893.0, 865594240.0, 3464221.0, 58045108.0, 1709131894.0, 901349779.0, 38028300.0, 4065649.0, 275, 20357.9 
2113.091546, 331.0, 1485318811.0, 14246375.0, 15551745.0, 42646190.0, 5002665594.0, 88415.0, 331.0, 2110331210.0, 567.0, 7581014826.0, 9657698.0, 2128130122.0, 1135406854.0, 3792101.0, 72023824.0, 2099370479.0, 1011666814.0, 47250055.0, 4416750.0, 1752, 32616.25 
2022.290159, 277.0, 1404756537.0, 10206194.0, 11681454.0, 36174446.0, 4644262389.0, 77310.0, 277.0, 1959003547.0, 419.0, 6759078229.0, 8307208.0, 1719732100.0, 964472495.0, 5992339.0, 71024013.0, 1839010643.0, 1060115580.0, 44990027.0, 4174707.0, 1713, 19993.87 
2038.110634, 227.0, 1369862426.0, 9713160.0, 17558083.0, 44160496.0, 4815534055.0, 81666.0, 227.0, 2019853849.0, 415.0, 7687118337.0, 10628443.0, 1884774557.0, 1045111694.0, 4597877.0, 74540359.0, 1859575793.0, 1140646452.0, 53397796.0, 4618717.0, 702, 19541.49 
1588.857418, 266.0, 986923768.0, 10064134.0, 14919544.0, 36851138.0, 3581027274.0, 55651.0, 266.0, 1572643259.0, 530.0, 5471701473.0, 6970052.0, 1528063471.0, 797922940.0, 2929884.0, 49430309.0, 1413474530.0, 764679341.0, 45413424.0, 3139929.0, 1931, 19646.95 
1828.989894, 288.0, 1520869026.0, 10652229.0, 12364254.0, 36742233.0, 4464367232.0, 69969.0, 288.0, 1803654279.0, 482.0, 6860021345.0, 7617830.0, 1858799341.0, 1047489250.0, 3203735.0, 67567538.0, 1778119539.0, 962501874.0, 43138332.0, 4246113.0, 1057, 29530.06 
2006.088672, 263.0, 1482672512.0, 10906748.0, 13894351.0, 40258353.0, 4807243580.0, 79406.0, 263.0, 1990940546.0, 491.0, 7416234851.0, 9851389.0, 1900978355.0, 987037275.0, 3942486.0, 67208599.0, 1819895769.0, 972526618.0, 47005963.0, 4517200.0, 896, 19636.95 
1840.592835, 227.0, 1071633355.0, 10496515.0, 15683033.0, 40684222.0, 4026398648.0, 74674.0, 227.0, 1829282853.0, 409.0, 6566187015.0, 8177049.0, 1704330869.0, 854398440.0, 2746971.0, 58933582.0, 1701265772.0, 941040125.0, 43658309.0, 4089055.0, 2129, 19469.14 
1911.355841, 265.0, 1488658204.0, 10260136.0, 14232141.0, 36828770.0, 4579885105.0, 74268.0, 265.0, 1892074724.0, 420.0, 6593057860.0, 8219798.0, 1676383392.0, 985659612.0, 3937773.0, 62615593.0, 1954165974.0, 1004012792.0, 39203906.0, 4336330.0, 377, 19500.51 
1937.293406, 305.0, 1210923360.0, 12449636.0, 17550863.0, 46237654.0, 4186723041.0, 75517.0, 305.0, 1905306021.0, 435.0, 6162466371.0, 7818904.0, 1855186150.0, 938767441.0, 3200047.0, 58027630.0, 1580845919.0, 909219736.0, 43196989.0, 4089103.0, 2070, 25867.77 
