task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1247.226279, 263.0, 738327200.0, 8365122.0, 8018448.0, 21176182.0, 2504456487.0, 46136.0, 263.0, 1205089551.0, 395.0, 3454545376.0, 4739468.0, 1009809184.0, 564753852.0, 2887756.0, 37505663.0, 1030388452.0, 598659248.0, 30399481.0, 2797427.0, 743987, 14628.54 
1258.001931, 266.0, 733671324.0, 7571757.0, 8631302.0, 23017074.0, 2333444726.0, 44334.0, 266.0, 1232124679.0, 608.0, 3560651420.0, 5177442.0, 1086108012.0, 543614041.0, 2367025.0, 37776482.0, 1028802259.0, 546664263.0, 26736837.0, 2797472.0, 861762, 15013.97 
1218.831033, 274.0, 820847191.0, 8104431.0, 9413294.0, 26771547.0, 2456710243.0, 24932.0, 274.0, 1188589727.0, 565.0, 3346229047.0, 4592520.0, 1010166854.0, 521385066.0, 1635319.0, 47691184.0, 977215010.0, 528059889.0, 29851875.0, 2797999.0, 840985, 14512.02 
1253.047936, 259.0, 717182644.0, 6899857.0, 10467711.0, 25835317.0, 2521447383.0, 46732.0, 259.0, 1217078100.0, 443.0, 3589595552.0, 4694479.0, 1064361846.0, 593117533.0, 1957532.0, 29980831.0, 935763143.0, 532697966.0, 21153964.0, 2797947.0, 738301, 14316.62 
1251.705598, 293.0, 793190101.0, 7723962.0, 7908045.0, 22878763.0, 2467441737.0, 39217.0, 293.0, 1229141943.0, 457.0, 3462258231.0, 3704457.0, 865917462.0, 437656854.0, 1892619.0, 35218992.0, 1034875195.0, 576225807.0, 28429060.0, 2797964.0, 795675, 14802.67 
1629.63148, 456.0, 1178521701.0, 10708088.0, 16070365.0, 35836491.0, 3300065180.0, 53405.0, 456.0, 1602859731.0, 836.0, 4617163373.0, 5768180.0, 1545074563.0, 825463928.0, 2262634.0, 42073694.0, 1490208029.0, 831390074.0, 38456265.0, 2869481.0, 905978, 17459.46 
1288.106122, 302.0, 797986576.0, 8413730.0, 9369602.0, 25617708.0, 2574316630.0, 48374.0, 302.0, 1248390390.0, 450.0, 3685946006.0, 4562926.0, 1035374782.0, 466462714.0, 2807133.0, 33291345.0, 1061941056.0, 660380270.0, 25937877.0, 2797510.0, 748125, 15586.4 
1267.438692, 278.0, 740568482.0, 8012549.0, 9448581.0, 24053906.0, 2575067729.0, 46537.0, 278.0, 1252689193.0, 491.0, 3580116684.0, 5012461.0, 1142549433.0, 555682853.0, 2480967.0, 34907659.0, 1024788362.0, 549410607.0, 23288791.0, 2797777.0, 738690, 14551.92 
1304.062526, 247.0, 781491185.0, 8829642.0, 8263861.0, 23252647.0, 2537938184.0, 46301.0, 247.0, 1313327944.0, 427.0, 3538478062.0, 4746554.0, 1029531541.0, 565579816.0, 2298952.0, 32639954.0, 922789995.0, 554134723.0, 29623271.0, 2798129.0, 806591, 14953.09 
1211.85761, 256.0, 699060521.0, 9272597.0, 10418136.0, 23511223.0, 2554412827.0, 35909.0, 256.0, 1197429211.0, 596.0, 3801575497.0, 4630292.0, 1253295452.0, 478154214.0, 2177272.0, 32231367.0, 935727273.0, 531446160.0, 28992277.0, 2797899.0, 840871, 14759.72 
1215.020969, 266.0, 742457917.0, 8763080.0, 10218261.0, 22943894.0, 2376862189.0, 36854.0, 266.0, 1196788672.0, 418.0, 3759863125.0, 6139946.0, 1185100535.0, 586027233.0, 2312419.0, 35231264.0, 933617637.0, 484790212.0, 25137678.0, 2797650.0, 827453, 14351.81 
1301.420691, 285.0, 711549349.0, 9239718.0, 8838057.0, 26433943.0, 2532701143.0, 36431.0, 285.0, 1277978171.0, 536.0, 3222103294.0, 4140923.0, 985028841.0, 566145435.0, 1972200.0, 34046711.0, 1036753648.0, 586183257.0, 26595335.0, 2802243.0, 822428, 14869.14 
1287.261516, 295.0, 720900450.0, 9379385.0, 10554445.0, 26466907.0, 2519936576.0, 45687.0, 295.0, 1290934655.0, 476.0, 3542871192.0, 4899153.0, 1059778318.0, 629147709.0, 2552277.0, 34659613.0, 1039940955.0, 545790714.0, 24109372.0, 2797820.0, 814252, 14825.14 
