task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
718.174636, 224.0, 373272346.0, 5821704.0, 4215374.0, 14099726.0, 1377785639.0, 15099.0, 224.0, 713760857.0, 394.0, 1869855625.0, 1923089.0, 576634745.0, 281036458.0, 1474639.0, 18559696.0, 449588146.0, 282618978.0, 16710020.0, 962551.0, 610, 6887.95 
773.574371, 224.0, 396936267.0, 7731451.0, 4737814.0, 13196466.0, 1435183765.0, 20929.0, 224.0, 760178547.0, 362.0, 1609518478.0, 2006889.0, 535309231.0, 273044532.0, 1737657.0, 19420249.0, 580190060.0, 362894965.0, 19209597.0, 962427.0, 1201, 6566.83 
762.917169, 221.0, 425676515.0, 6596804.0, 4668947.0, 14528470.0, 1341598304.0, 21042.0, 221.0, 744652253.0, 361.0, 1551966957.0, 2088546.0, 566110132.0, 240095655.0, 1241448.0, 17596597.0, 512018327.0, 269444133.0, 12912013.0, 953015.0, 913, 6280.54 
708.471112, 245.0, 415576454.0, 7356377.0, 4534703.0, 13591837.0, 1339907636.0, 21750.0, 245.0, 681346666.0, 429.0, 1544702663.0, 2188422.0, 532320837.0, 267895947.0, 1158978.0, 16407984.0, 411675201.0, 275882344.0, 18535881.0, 962426.0, 697, 6669.06 
793.339859, 246.0, 355081288.0, 5906620.0, 4438022.0, 12838575.0, 1405305221.0, 24767.0, 246.0, 776912715.0, 371.0, 1979442430.0, 2387932.0, 602900040.0, 310958350.0, 1223625.0, 19832966.0, 598101677.0, 344043150.0, 15917106.0, 966166.0, 1166, 6795.11 
758.665275, 223.0, 445281094.0, 7224419.0, 5040007.0, 14588151.0, 1479166796.0, 26065.0, 223.0, 753353529.0, 373.0, 2001908414.0, 2882858.0, 643088203.0, 298875741.0, 1129420.0, 15926571.0, 498409954.0, 269125146.0, 15094407.0, 966186.0, 1250, 8818.84 
846.488663, 217.0, 395458898.0, 8000731.0, 4416594.0, 15375045.0, 1482525854.0, 22729.0, 217.0, 830268192.0, 350.0, 1697919587.0, 2495544.0, 552049856.0, 285875154.0, 2389231.0, 23462982.0, 562408136.0, 335176950.0, 22129628.0, 962503.0, 817, 6838.71 
868.760543, 218.0, 421509136.0, 6972074.0, 5748229.0, 15953891.0, 1808451004.0, 25119.0, 218.0, 850278882.0, 362.0, 2256642283.0, 2841862.0, 551533222.0, 321112328.0, 2510596.0, 20278048.0, 517800821.0, 304379335.0, 17525243.0, 956759.0, 594, 6715.53 
780.803437, 213.0, 443367620.0, 6024887.0, 5925570.0, 16954557.0, 1508601041.0, 22912.0, 213.0, 765752064.0, 346.0, 1729529178.0, 2298860.0, 622535083.0, 275472716.0, 1276326.0, 17124960.0, 521106132.0, 293808851.0, 17230594.0, 962435.0, 1002, 6758.65 
834.531162, 210.0, 371089973.0, 6612177.0, 5523459.0, 14615246.0, 1442941373.0, 23619.0, 210.0, 826252663.0, 443.0, 1863349472.0, 2038572.0, 531707594.0, 300058443.0, 2900180.0, 24382267.0, 533294987.0, 323339158.0, 20463219.0, 952937.0, 1127, 6881.99 
