task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1170.97391, 232.0, 695161244.0, 7109656.0, 9760396.0, 27320435.0, 2651416485.0, 23555.0, 232.0, 1145932954.0, 431.0, 3678873281.0, 4345394.0, 1126261806.0, 574142401.0, 2932217.0, 37030820.0, 969298490.0, 520158983.0, 25456974.0, 3216804.0, 36737, 1618.03 
1283.303139, 518.0, 852380298.0, 7588277.0, 7666178.0, 26259027.0, 2670086835.0, 26919.0, 518.0, 1241820912.0, 488.0, 3819185531.0, 4218152.0, 1102694125.0, 543828952.0, 2397649.0, 38889378.0, 1204296636.0, 580358582.0, 32363559.0, 4154116.0, 58909, 2592.58 
1396.799756, 409.0, 1010703581.0, 8925520.0, 8222589.0, 26119799.0, 3069716081.0, 32011.0, 409.0, 1372269069.0, 601.0, 4695371302.0, 5105812.0, 1472643656.0, 642092714.0, 2282353.0, 40716429.0, 1175513347.0, 646102934.0, 32352722.0, 4329396.0, 83513, 2313.02 
1253.857383, 354.0, 839838721.0, 10380437.0, 10395741.0, 28640459.0, 2998948351.0, 28827.0, 354.0, 1242651334.0, 449.0, 4493180794.0, 4567123.0, 1163240741.0, 609145865.0, 2284913.0, 42864020.0, 1104779471.0, 608860427.0, 31606276.0, 3917127.0, 49216, 1477.71 
1278.254322, 458.0, 809790546.0, 8018016.0, 9082781.0, 29966379.0, 3016042979.0, 27498.0, 458.0, 1236155706.0, 444.0, 4248770049.0, 5206658.0, 1150041866.0, 571304946.0, 2438917.0, 37228236.0, 1046693077.0, 681070388.0, 30449137.0, 4220768.0, 27148, 1947.59 
1265.539745, 229.0, 892471594.0, 7326531.0, 10767988.0, 31232305.0, 2987022956.0, 29668.0, 229.0, 1241108018.0, 396.0, 4226881131.0, 4910354.0, 1168322362.0, 625360149.0, 3089078.0, 35693130.0, 1299397863.0, 658096791.0, 28335605.0, 4154133.0, 23658, 1662.28 
1292.799124, 296.0, 858447822.0, 11128588.0, 9275480.0, 29202040.0, 3152314045.0, 28980.0, 296.0, 1261178498.0, 424.0, 4271908172.0, 4922394.0, 1326336611.0, 601960352.0, 2780513.0, 42836058.0, 1209771221.0, 706319275.0, 31690814.0, 4181129.0, 64988, 1822.39 
1361.557602, 260.0, 913973938.0, 9594242.0, 11209463.0, 32581130.0, 3476775529.0, 31290.0, 260.0, 1342726541.0, 431.0, 5135893450.0, 4568204.0, 1363996224.0, 679035011.0, 3736687.0, 41976891.0, 1459230092.0, 727442866.0, 27180461.0, 4334281.0, 57442, 1630.33 
1349.263149, 340.0, 907379478.0, 8854973.0, 8684099.0, 25703970.0, 2970645710.0, 30555.0, 340.0, 1293892099.0, 405.0, 4354489038.0, 4594498.0, 1198072072.0, 683988863.0, 2758030.0, 43591101.0, 1224398140.0, 614154097.0, 29751968.0, 4283618.0, 77170, 2647.95 
1207.579912, 320.0, 838998653.0, 7946930.0, 11714312.0, 27347353.0, 2989604379.0, 27020.0, 320.0, 1170089344.0, 434.0, 4235913203.0, 4767719.0, 1122715085.0, 554508091.0, 2804494.0, 42216394.0, 1120190958.0, 553400831.0, 34207564.0, 4055298.0, 39057, 1549.39 
1164.539108, 309.0, 744736143.0, 9939657.0, 9838266.0, 25727767.0, 2768777718.0, 24988.0, 309.0, 1144263995.0, 394.0, 4158574184.0, 4068330.0, 1122654701.0, 624334335.0, 2837234.0, 36785894.0, 1084640935.0, 559499079.0, 32464556.0, 3371637.0, 41035, 1505.61 
1313.396232, 380.0, 874671047.0, 8604243.0, 7790533.0, 26123796.0, 2889446360.0, 27780.0, 380.0, 1297459495.0, 653.0, 4305920824.0, 4570489.0, 1206347331.0, 539523820.0, 2172677.0, 39668704.0, 1170383372.0, 667204136.0, 32943181.0, 4181110.0, 65977, 1907.23 
1322.201301, 651.0, 866086236.0, 10923778.0, 7971720.0, 29915552.0, 3241564194.0, 30165.0, 651.0, 1257414286.0, 405.0, 5164627504.0, 4621935.0, 1091025552.0, 600094967.0, 2396881.0, 42877670.0, 1238267040.0, 682608361.0, 37943493.0, 4184057.0, 51899, 1949.8 
1235.354682, 198.0, 854875760.0, 8484175.0, 11313837.0, 29038666.0, 2977381761.0, 26306.0, 198.0, 1223943256.0, 380.0, 4413246736.0, 4995373.0, 1123396089.0, 532720249.0, 3326321.0, 37699679.0, 1151936124.0, 614384215.0, 31433627.0, 4193169.0, 54766, 1454.88 
1340.958838, 293.0, 778450304.0, 7283336.0, 8172424.0, 24542319.0, 2926665078.0, 27605.0, 293.0, 1312533358.0, 511.0, 4053850739.0, 4622707.0, 1165600687.0, 584570925.0, 3790448.0, 41566399.0, 1029086036.0, 631304671.0, 30817979.0, 4098881.0, 32749, 1449.81 
1429.598445, 307.0, 864054383.0, 8349836.0, 9036443.0, 30219476.0, 3193784012.0, 29987.0, 307.0, 1408219797.0, 515.0, 4564559572.0, 5762656.0, 1163826114.0, 654376610.0, 3116014.0, 36750760.0, 1172961050.0, 691678910.0, 33333130.0, 4283424.0, 49304, 1969.05 
1327.204404, 255.0, 911997725.0, 7625640.0, 9564139.0, 27569364.0, 2845421847.0, 29705.0, 255.0, 1307598587.0, 420.0, 4419958571.0, 5300031.0, 1234985778.0, 596006502.0, 2369456.0, 44917650.0, 1259695075.0, 742476636.0, 31910395.0, 4283431.0, 47524, 2000.13 
1189.927566, 501.0, 840426604.0, 8152744.0, 8861364.0, 26162877.0, 2772552045.0, 24498.0, 501.0, 1121285960.0, 423.0, 3483532019.0, 3716011.0, 1233142816.0, 554283679.0, 2632615.0, 42265405.0, 1087186496.0, 603579256.0, 29243047.0, 3469177.0, 16997, 1534.71 
1269.564058, 449.0, 909277524.0, 9592026.0, 9769850.0, 27377104.0, 2987017548.0, 30038.0, 449.0, 1195535823.0, 423.0, 4237918417.0, 4521791.0, 1219860931.0, 676237447.0, 2358949.0, 46540925.0, 1177668947.0, 622069459.0, 32537537.0, 4283432.0, 44624, 2059.54 
1413.078834, 391.0, 1019395843.0, 10108692.0, 12475894.0, 33112073.0, 3195161687.0, 30788.0, 391.0, 1391338346.0, 605.0, 4395981187.0, 5584673.0, 1228699841.0, 800357874.0, 2738543.0, 40009574.0, 1341566099.0, 728287967.0, 34639480.0, 4283575.0, 45530, 1702.7 
1244.732413, 224.0, 850697358.0, 9305613.0, 11342428.0, 28815529.0, 3080931138.0, 29598.0, 224.0, 1217276637.0, 384.0, 4489489200.0, 5174945.0, 1249649687.0, 660426042.0, 3333831.0, 37201892.0, 1160028872.0, 630780131.0, 28929915.0, 4165319.0, 44102, 1580.78 
1256.261938, 453.0, 743742343.0, 9957786.0, 10361312.0, 26419752.0, 2746200016.0, 26306.0, 453.0, 1183909789.0, 408.0, 4441105640.0, 4189303.0, 1180168123.0, 615686227.0, 2832202.0, 35369622.0, 1046036997.0, 538628846.0, 31490984.0, 4283602.0, 29947, 1881.65 
1382.083358, 260.0, 908564080.0, 11002894.0, 9244066.0, 29359026.0, 3233530899.0, 29835.0, 260.0, 1356877342.0, 463.0, 4519048191.0, 5065234.0, 1375838422.0, 621602115.0, 2748531.0, 40923520.0, 1192531372.0, 748546808.0, 29176469.0, 4224810.0, 67615, 1920.46 
1148.949205, 287.0, 781321561.0, 8808174.0, 8417101.0, 25743008.0, 2525971887.0, 24938.0, 287.0, 1101659356.0, 560.0, 3495676612.0, 3682992.0, 1151170881.0, 529229472.0, 2942559.0, 39556108.0, 1038003391.0, 592885018.0, 32568038.0, 3216754.0, 76357, 1909.83 
