task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
734.359462, 258.0, 299518221.0, 6269394.0, 4272503.0, 12484914.0, 1400345885.0, 14491.0, 258.0, 709093223.0, 377.0, 1787267900.0, 2103677.0, 490832098.0, 224373167.0, 1366553.0, 12005535.0, 390983382.0, 225124509.0, 18565052.0, 686074.0, 11673, 964.08 
696.609615, 215.0, 306062673.0, 6723439.0, 5838756.0, 16390298.0, 1401117023.0, 11974.0, 215.0, 665906615.0, 389.0, 1600619262.0, 2387426.0, 506410767.0, 189265601.0, 1061117.0, 11672952.0, 477563974.0, 246586006.0, 16177939.0, 669567.0, 7512, 970.85 
694.760433, 193.0, 282139981.0, 5682880.0, 3856365.0, 14301381.0, 1241804945.0, 12159.0, 193.0, 671812518.0, 394.0, 1438978145.0, 2214091.0, 450076747.0, 225016994.0, 1172329.0, 14875617.0, 482739181.0, 232643861.0, 14518405.0, 683593.0, 21457, 743.75 
700.6216, 222.0, 316737817.0, 7369568.0, 4812352.0, 14492585.0, 1371658679.0, 19275.0, 222.0, 670039351.0, 352.0, 1654775940.0, 2109605.0, 486354203.0, 239122466.0, 1145549.0, 18671249.0, 434477668.0, 268410820.0, 19937090.0, 686110.0, 20218, 1563.24 
708.569649, 225.0, 295866946.0, 6790242.0, 4165211.0, 15097100.0, 1368071176.0, 12208.0, 225.0, 694069135.0, 344.0, 1574888129.0, 2057146.0, 475391293.0, 214314904.0, 1110192.0, 12239095.0, 435413927.0, 204073313.0, 15234670.0, 669557.0, 7405, 974.21 
665.720646, 241.0, 319234996.0, 6694118.0, 4397249.0, 14777276.0, 1068642471.0, 12789.0, 241.0, 640075198.0, 348.0, 1244813602.0, 1519868.0, 460844388.0, 235304220.0, 1166353.0, 15081600.0, 448255951.0, 270566668.0, 12555632.0, 686101.0, 7036, 761.59 
650.638324, 197.0, 291068465.0, 6573793.0, 4866399.0, 14704263.0, 1211965190.0, 12665.0, 197.0, 632332130.0, 336.0, 1340057752.0, 1846086.0, 413879443.0, 225063671.0, 1117776.0, 14361632.0, 425563092.0, 188192073.0, 14835786.0, 669545.0, 23786, 1175.4 
635.720159, 181.0, 323959800.0, 4808471.0, 3480574.0, 10436883.0, 1161590835.0, 17730.0, 181.0, 637864027.0, 304.0, 1371757956.0, 1936307.0, 451618608.0, 270193033.0, 1138131.0, 12718453.0, 394921950.0, 238857502.0, 13618060.0, 672498.0, 18579, 849.38 
647.045757, 253.0, 284032135.0, 6302647.0, 5415144.0, 14931930.0, 1332710186.0, 12968.0, 253.0, 621316928.0, 403.0, 1435763951.0, 1904889.0, 482292854.0, 214950258.0, 1069699.0, 12550545.0, 362888120.0, 163525945.0, 14478810.0, 669566.0, 9964, 963.99 
672.855332, 197.0, 312754526.0, 6306259.0, 4077142.0, 13676431.0, 1312283697.0, 12321.0, 197.0, 667085985.0, 381.0, 1649458866.0, 1799050.0, 542839554.0, 253141429.0, 1610538.0, 16036236.0, 417828366.0, 232444862.0, 15304359.0, 686266.0, 12321, 1030.61 
641.137878, 226.0, 266069165.0, 7003420.0, 4382298.0, 14815564.0, 1377399607.0, 11951.0, 226.0, 627182971.0, 322.0, 1501087173.0, 1789469.0, 436174897.0, 202414715.0, 1229176.0, 12834337.0, 459013855.0, 210552796.0, 14998075.0, 669733.0, 10843, 908.64 
688.091399, 187.0, 319697737.0, 6398146.0, 4434658.0, 13814462.0, 1402783405.0, 17664.0, 187.0, 659965154.0, 330.0, 1542830345.0, 2203211.0, 543216677.0, 211157837.0, 1126143.0, 17254876.0, 408234890.0, 253260188.0, 19921248.0, 669562.0, 17264, 841.06 
747.202271, 214.0, 299489652.0, 6351103.0, 3543640.0, 12152787.0, 1302709705.0, 19191.0, 214.0, 718157084.0, 358.0, 1604648447.0, 2181977.0, 462861139.0, 287308813.0, 1138601.0, 18687318.0, 501595482.0, 277796285.0, 16847438.0, 686094.0, 18910, 1070.26 
646.793035, 231.0, 343273566.0, 6957965.0, 4250412.0, 14817895.0, 1138344154.0, 19490.0, 231.0, 602116944.0, 432.0, 1458042022.0, 1888796.0, 366498732.0, 211789681.0, 1067438.0, 16289660.0, 439020041.0, 272046412.0, 18976799.0, 681233.0, 17959, 965.79 
