task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
1254.319226, 419.0, 838336667.0, 10786260.0, 10938287.0, 28803949.0, 2723973930.0, 24764.0, 419.0, 1179867235.0, 483.0, 3743065076.0, 4574470.0, 1021201933.0, 453119769.0, 1940054.0, 36232024.0, 995718941.0, 526771796.0, 27338082.0, 1587968.0, 53151, 2612.72 
1378.833398, 482.0, 888778292.0, 9139586.0, 11524590.0, 29556621.0, 3163207527.0, 29214.0, 482.0, 1330001733.0, 538.0, 4340405710.0, 4718177.0, 1192599922.0, 576082173.0, 3003752.0, 36801882.0, 1075532013.0, 555631170.0, 35760382.0, 1820641.0, 33205, 2701.13 
1122.402477, 421.0, 573422357.0, 8750660.0, 7738582.0, 20817747.0, 2536255116.0, 23758.0, 421.0, 1072058141.0, 468.0, 3623992266.0, 3484689.0, 1057825160.0, 508480346.0, 2361949.0, 36493121.0, 987926423.0, 498860391.0, 23587647.0, 1281791.0, 113202, 2476.01 
1097.044195, 421.0, 865281483.0, 9630379.0, 9075221.0, 24913697.0, 2522499985.0, 23600.0, 421.0, 1070844956.0, 637.0, 3142434046.0, 3906430.0, 957565702.0, 425747890.0, 2261917.0, 41496861.0, 839544049.0, 458547464.0, 26114902.0, 1296034.0, 72183, 2406.51 
1221.586899, 368.0, 600776945.0, 8436528.0, 8727884.0, 21816564.0, 2659470178.0, 23592.0, 368.0, 1123669552.0, 499.0, 3718041199.0, 4123084.0, 1063481932.0, 564751367.0, 3137779.0, 33751806.0, 957357867.0, 480706548.0, 34950188.0, 1338707.0, 54138, 2282.38 
1198.620689, 353.0, 636004343.0, 8884592.0, 9260703.0, 24200062.0, 2456464916.0, 22827.0, 353.0, 1175380222.0, 685.0, 3366257116.0, 3618470.0, 1107133592.0, 543263679.0, 2883798.0, 38794856.0, 972277557.0, 499200977.0, 31230714.0, 1291131.0, 98742, 2492.23 
1242.064889, 481.0, 778711813.0, 9851904.0, 9611977.0, 25628133.0, 2786020662.0, 26876.0, 481.0, 1189865037.0, 530.0, 4065392843.0, 5150337.0, 1144698088.0, 613740792.0, 2477726.0, 33243352.0, 1089196062.0, 595651318.0, 24817045.0, 1591093.0, 88619, 3281.2 
1282.978979, 408.0, 878992195.0, 7697084.0, 9701161.0, 27614354.0, 3021082707.0, 29228.0, 408.0, 1231831438.0, 500.0, 4076435035.0, 4515132.0, 1127586805.0, 590374300.0, 3366059.0, 40397039.0, 1074212975.0, 603835383.0, 30642831.0, 1612010.0, 59610, 2893.31 
1103.211776, 475.0, 585997344.0, 9981699.0, 9454567.0, 22934580.0, 2588467925.0, 23853.0, 475.0, 1053402532.0, 462.0, 3865723757.0, 3539625.0, 1025263443.0, 576092888.0, 2556267.0, 35931862.0, 993675795.0, 519074740.0, 29086769.0, 1326839.0, 56769, 2524.39 
1246.314975, 433.0, 823697072.0, 8217675.0, 10294700.0, 27281582.0, 2757606785.0, 24647.0, 433.0, 1215401702.0, 763.0, 3447747455.0, 4263589.0, 1037055846.0, 491844376.0, 3042761.0, 40174943.0, 1075197173.0, 592425230.0, 28683459.0, 1514635.0, 48562, 2427.32 
1286.35276, 309.0, 774166815.0, 10672963.0, 11176889.0, 28818708.0, 3245564621.0, 25879.0, 309.0, 1272912854.0, 481.0, 4233175893.0, 4670232.0, 1030624375.0, 533807529.0, 2879372.0, 39131937.0, 1131991127.0, 605907836.0, 36355570.0, 1514732.0, 81553, 2816.48 
1264.712017, 472.0, 698410727.0, 9008097.0, 9288834.0, 26153504.0, 2805516805.0, 27297.0, 472.0, 1221615886.0, 526.0, 4110397325.0, 4275530.0, 1252683746.0, 560667826.0, 2398777.0, 42289141.0, 1197634811.0, 600737758.0, 25107461.0, 1867938.0, 77334, 2844.13 
1152.524085, 460.0, 729574203.0, 9226549.0, 9375155.0, 24675273.0, 2438143097.0, 23366.0, 460.0, 1065661805.0, 653.0, 2699513205.0, 3452143.0, 945947664.0, 504162372.0, 2567123.0, 41167794.0, 912207758.0, 555721983.0, 33637575.0, 1283006.0, 76959, 2184.43 
1221.495294, 543.0, 803360582.0, 8507395.0, 7077861.0, 24399965.0, 2970609323.0, 26855.0, 543.0, 1068292362.0, 468.0, 3339337284.0, 3594179.0, 1082367298.0, 597792024.0, 2544392.0, 42163041.0, 1089850846.0, 649834820.0, 29456131.0, 1586562.0, 42853, 2691.24 
1280.812041, 490.0, 856676939.0, 8931397.0, 10108117.0, 26513819.0, 2871483495.0, 29140.0, 490.0, 1234991666.0, 552.0, 4322669001.0, 4803953.0, 1250556728.0, 574829828.0, 2733020.0, 35463242.0, 1197239072.0, 656052374.0, 33518670.0, 1971440.0, 74631, 2895.6 
1277.439049, 569.0, 776789981.0, 10194011.0, 9511448.0, 25324217.0, 2781404659.0, 26503.0, 569.0, 1132822472.0, 553.0, 3410751752.0, 4289299.0, 1031524494.0, 508832397.0, 3084252.0, 36208700.0, 1007176998.0, 602703486.0, 28583021.0, 1512139.0, 60589, 2513.61 
1086.779785, 357.0, 652971392.0, 8980790.0, 8948156.0, 23043440.0, 2425540784.0, 20874.0, 357.0, 1023398811.0, 440.0, 3141488691.0, 3834570.0, 940092829.0, 508591424.0, 2643599.0, 29724912.0, 903917814.0, 514887050.0, 29508226.0, 1312820.0, 25371, 2235.35 
1121.948447, 556.0, 688011257.0, 8908868.0, 7096813.0, 21977389.0, 2513475601.0, 22298.0, 556.0, 1075417022.0, 698.0, 3451050309.0, 3945120.0, 996550349.0, 456046038.0, 2419528.0, 34635361.0, 846348047.0, 488103296.0, 23577091.0, 1289273.0, 54223, 2255.3 
1111.122507, 345.0, 761186020.0, 9251748.0, 8117625.0, 25290826.0, 2580555618.0, 23655.0, 345.0, 1081940777.0, 445.0, 3457151298.0, 4637841.0, 934336172.0, 460452070.0, 2947383.0, 33377246.0, 843643086.0, 474655705.0, 28903866.0, 1300898.0, 65025, 2029.26 
1241.851024, 378.0, 756018717.0, 8518014.0, 6944729.0, 21901348.0, 2741853481.0, 26982.0, 378.0, 1178433981.0, 548.0, 3671472101.0, 3715465.0, 929069197.0, 503572694.0, 2584427.0, 38590730.0, 1159749543.0, 613698954.0, 27721968.0, 1574603.0, 65717, 2878.49 
1064.430497, 308.0, 667255829.0, 6330180.0, 6093808.0, 18834333.0, 2315593298.0, 21232.0, 308.0, 1047448886.0, 452.0, 2924867440.0, 3885488.0, 986823258.0, 425139952.0, 2483907.0, 38824554.0, 825647752.0, 462345688.0, 21313970.0, 1315354.0, 35146, 2230.03 
1152.083745, 352.0, 747533280.0, 9282365.0, 7595049.0, 23055996.0, 2612558898.0, 25395.0, 352.0, 1101886160.0, 456.0, 3229025308.0, 3584930.0, 935408699.0, 493022126.0, 3404014.0, 32470592.0, 949737155.0, 487631847.0, 28146804.0, 1305137.0, 93206, 2323.84 
1433.82163, 431.0, 859071051.0, 9306211.0, 11355864.0, 29604738.0, 3344470984.0, 29351.0, 431.0, 1330517223.0, 560.0, 4293399764.0, 4915485.0, 1193457433.0, 557694445.0, 4747698.0, 41107802.0, 1243592353.0, 631517743.0, 32825292.0, 1779394.0, 110461, 2706.08 
