task-clock, context-switches, branches, branch-misses, cache-misses, cache-references, cycles:u, page-faults, sched:sched_switch, sched:sched_stat_runtime, sched:sched_wakeup, instructions:u, dTLB-load-misses, dTLB-loads, dTLB-stores, iTLB-loads, L1-dcache-load-misses, L1-dcache-loads, L1-dcache-stores, L1-icache-load-misses, sockets_bytes_in, similarity, time 
814.860379, 304.0, 427459076.0, 7114475.0, 4923335.0, 16953592.0, 1770380870.0, 14139.0, 304.0, 784449386.0, 513.0, 2308882273.0, 2547814.0, 567692774.0, 227726612.0, 1757147.0, 16895305.0, 572399935.0, 294163522.0, 23513733.0, 1404486.0, 36895, 1312.58 
832.164321, 213.0, 375515619.0, 5727232.0, 4945163.0, 15012693.0, 1560034636.0, 13449.0, 213.0, 809354129.0, 371.0, 2153055524.0, 2570071.0, 608568548.0, 296338543.0, 1161314.0, 20521684.0, 629122944.0, 330287189.0, 18549719.0, 1386918.0, 35867, 1654.37 
795.466701, 273.0, 482921497.0, 6948656.0, 5071510.0, 16016866.0, 1440545130.0, 12514.0, 273.0, 747273064.0, 403.0, 1556114737.0, 2161752.0, 564489128.0, 314138646.0, 1594771.0, 21938209.0, 756143431.0, 312696296.0, 17929193.0, 1406794.0, 71986, 1761.54 
807.4175, 212.0, 373881875.0, 6835144.0, 3503972.0, 14081579.0, 1497716055.0, 13494.0, 212.0, 786263154.0, 356.0, 1986680907.0, 2417502.0, 566150866.0, 300098125.0, 1260686.0, 20382378.0, 598107319.0, 348727370.0, 20842272.0, 1388622.0, 54568, 1527.29 
847.962281, 255.0, 396975982.0, 7220034.0, 4724257.0, 15646110.0, 1636659193.0, 12940.0, 255.0, 789100164.0, 380.0, 2016162319.0, 2363466.0, 747249030.0, 262366148.0, 1382684.0, 18127027.0, 534754315.0, 313930222.0, 19704695.0, 1367894.0, 35896, 1556.97 
871.889912, 263.0, 462112856.0, 7059235.0, 7130540.0, 18396867.0, 1766954940.0, 15467.0, 263.0, 853632490.0, 413.0, 1978806196.0, 2773361.0, 623198636.0, 311080726.0, 2007276.0, 21950296.0, 699067137.0, 323770550.0, 23184280.0, 1406392.0, 42354, 1822.3 
783.730994, 259.0, 411447646.0, 7816156.0, 5370993.0, 14839432.0, 1489235552.0, 14145.0, 259.0, 755285916.0, 454.0, 1914385390.0, 2144623.0, 616213556.0, 288813245.0, 1694459.0, 17969622.0, 596110671.0, 357155631.0, 15615918.0, 1387357.0, 66985, 1621.22 
851.466045, 220.0, 488097261.0, 7477930.0, 6554616.0, 19470620.0, 1636957113.0, 14848.0, 220.0, 818467238.0, 401.0, 1924019518.0, 2289776.0, 661249883.0, 332616241.0, 1864177.0, 21387961.0, 651768630.0, 305277645.0, 17362465.0, 1407006.0, 62066, 1853.71 
802.927923, 255.0, 361018712.0, 6888580.0, 5241170.0, 15199761.0, 1532584930.0, 13432.0, 255.0, 777028072.0, 407.0, 1872129958.0, 2064540.0, 584407002.0, 296985558.0, 1743087.0, 18392305.0, 546713205.0, 340090708.0, 19524186.0, 1365497.0, 45918, 1727.74 
803.990607, 257.0, 403749438.0, 7709729.0, 7010347.0, 17887946.0, 1546750932.0, 14674.0, 257.0, 782328627.0, 394.0, 2073772448.0, 2308345.0, 713949403.0, 283137374.0, 1992933.0, 21595917.0, 581496476.0, 352915481.0, 18648027.0, 1369974.0, 36004, 1755.86 
810.320065, 297.0, 365719358.0, 7595987.0, 5646870.0, 15522933.0, 1555566224.0, 13510.0, 297.0, 774223176.0, 504.0, 1830798398.0, 2255815.0, 674544414.0, 291461668.0, 1540720.0, 20524728.0, 603307323.0, 333330692.0, 21145865.0, 1386068.0, 43446, 1755.49 
761.400325, 279.0, 455479864.0, 6019248.0, 4584510.0, 15203703.0, 1601858205.0, 13498.0, 279.0, 711671244.0, 398.0, 1937981071.0, 2643194.0, 557895828.0, 275327090.0, 1582316.0, 18188663.0, 647284908.0, 298536712.0, 16426336.0, 1388638.0, 61163, 1812.69 
800.023638, 246.0, 483844457.0, 6052791.0, 5162009.0, 15237616.0, 1520923670.0, 14882.0, 246.0, 792336204.0, 416.0, 1859833382.0, 2416617.0, 571161341.0, 285175778.0, 1416196.0, 19584392.0, 692790004.0, 263082528.0, 23052787.0, 1388691.0, 56524, 1826.48 
801.52693, 213.0, 396568231.0, 5868038.0, 5958030.0, 14726282.0, 1533296666.0, 13982.0, 213.0, 796191762.0, 353.0, 1964258281.0, 2399120.0, 674835040.0, 324639875.0, 1750404.0, 19812548.0, 580237465.0, 301623156.0, 17795368.0, 1369030.0, 58928, 1599.28 
831.963792, 297.0, 388684162.0, 6631901.0, 5111855.0, 15645706.0, 1708196185.0, 14977.0, 297.0, 790988385.0, 427.0, 2342297783.0, 2860937.0, 649832242.0, 347527076.0, 1692593.0, 18896410.0, 603341609.0, 348231715.0, 21783741.0, 1387411.0, 39574, 1616.08 
794.952798, 251.0, 442251624.0, 7077340.0, 5275923.0, 17237106.0, 1723519648.0, 12630.0, 251.0, 743037739.0, 435.0, 1948819119.0, 2615155.0, 603020414.0, 316809192.0, 1521695.0, 20538483.0, 629770290.0, 284492160.0, 19615143.0, 1405738.0, 57529, 1795.17 
789.165322, 246.0, 394158468.0, 7638703.0, 6175610.0, 18794594.0, 1733136309.0, 15162.0, 246.0, 793069041.0, 492.0, 2209156254.0, 2451157.0, 708576366.0, 308283683.0, 1678830.0, 20582160.0, 610057550.0, 346762375.0, 19744720.0, 1386366.0, 40461, 1689.42 
845.571632, 236.0, 488035804.0, 6183926.0, 5103517.0, 16800258.0, 1541028068.0, 13390.0, 236.0, 786515972.0, 375.0, 1837903098.0, 2413952.0, 530926084.0, 318485692.0, 927456.0, 20793836.0, 570417880.0, 307282247.0, 22516591.0, 1387533.0, 29851, 2625.07 
861.856179, 319.0, 478320182.0, 6906374.0, 6919195.0, 19962232.0, 1721736653.0, 15898.0, 319.0, 838055454.0, 535.0, 2082766461.0, 2998398.0, 604761868.0, 295259676.0, 1968329.0, 18600862.0, 709794763.0, 356744845.0, 20814181.0, 1384385.0, 40129, 2440.58 
776.761406, 254.0, 324027428.0, 6931902.0, 5896739.0, 16364717.0, 1534133269.0, 13462.0, 254.0, 747648319.0, 460.0, 1841231208.0, 1859231.0, 664894338.0, 325670339.0, 1649791.0, 19744642.0, 620068501.0, 377139555.0, 19151636.0, 1404083.0, 43084, 1389.05 
784.074068, 238.0, 348039307.0, 5351801.0, 5214564.0, 16476623.0, 1454865389.0, 14249.0, 238.0, 749007359.0, 380.0, 1876464371.0, 2278637.0, 627928706.0, 322807801.0, 1538130.0, 21944271.0, 583488051.0, 342147964.0, 22361501.0, 1386334.0, 38876, 1199.4 
884.344442, 275.0, 375667369.0, 7878635.0, 6663148.0, 17926813.0, 1833626625.0, 15005.0, 275.0, 844010635.0, 436.0, 2175699512.0, 2459103.0, 687902374.0, 276421568.0, 3019682.0, 25153451.0, 646300372.0, 382414029.0, 19525134.0, 1406026.0, 39221, 1785.13 
796.515134, 271.0, 346135381.0, 7180591.0, 3965132.0, 13940368.0, 1564592847.0, 12988.0, 271.0, 754202654.0, 460.0, 2220999821.0, 2533014.0, 684997635.0, 353436664.0, 1880887.0, 23579701.0, 575446596.0, 327106828.0, 20583938.0, 1389529.0, 61638, 1658.07 
888.664141, 281.0, 449244797.0, 5977660.0, 6141786.0, 16823854.0, 1670085973.0, 15410.0, 281.0, 854750758.0, 420.0, 2066546193.0, 2818577.0, 678979960.0, 344825314.0, 1345521.0, 19356071.0, 600407687.0, 264993934.0, 17675882.0, 1368947.0, 63145, 2212.1 
